 Z=  94 A= 214  Pu beta2= -.13 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.821621E-02  -4.034118E-16  -6.557255E-16  -4.253151E-16  -2.746540E-15   7.132782E-02  -3.878960E-16  -5.308254E-16  -9.507044E-16  -4.005371E-16
   0.100   7.828498E-02  -4.963060E-05   2.513438E-09   8.411308E-12  -1.316051E-15   7.124058E-02   6.401553E-06  -4.145459E-09  -1.765083E-12   4.148420E-16
   0.200   7.848831E-02  -1.955344E-04   3.949577E-08   5.351932E-10  -2.443848E-13   7.098168E-02   2.530536E-05  -6.575803E-08  -1.119907E-10   7.062327E-14
   0.300   7.881736E-02  -4.289066E-04   1.938829E-07   6.038028E-09  -6.169630E-12   7.055946E-02   5.582825E-05  -3.281124E-07  -1.264269E-09   1.752035E-12
   0.400   7.925794E-02  -7.355966E-04   5.859757E-07   3.347256E-08  -6.162617E-11   6.998760E-02   9.656094E-05  -1.015928E-06  -7.015439E-09   1.760660E-11
   0.500   7.979123E-02  -1.096868E-03   1.346806E-06   1.254962E-07  -3.673600E-10   6.928477E-02   1.456549E-04  -2.414683E-06  -2.633744E-08   1.052686E-10
   0.600   8.039483E-02  -1.490417E-03   2.581720E-06   3.668670E-07  -1.578619E-09   6.847409E-02   2.009315E-04  -4.842645E-06  -7.712810E-08   4.534424E-10
   0.700   8.104392E-02  -1.891593E-03   4.325791E-06   9.021469E-07  -5.408707E-09   6.758250E-02   2.600016E-04  -8.616874E-06  -1.900874E-07   1.556728E-09
   0.800   8.171257E-02  -2.274770E-03   6.493950E-06   1.952538E-06  -1.568865E-08   6.663991E-02   3.203852E-04  -1.401512E-05  -4.125620E-07   4.521677E-09
   0.900   8.237510E-02  -2.614796E-03   8.830257E-06   3.829577E-06  -4.003947E-08   6.567814E-02   3.796208E-04  -2.123621E-05  -8.119437E-07   1.154578E-08
   1.000   8.300743E-02  -2.888443E-03   1.086226E-05   6.943482E-06  -9.229333E-08   6.472983E-02   4.353565E-04  -3.036202E-05  -1.478220E-06   2.659962E-08
   1.100   8.358829E-02  -3.075771E-03   1.186755E-05   1.180422E-05  -1.957453E-07   6.382716E-02   4.854186E-04  -4.132472E-05  -2.525310E-06   5.632128E-08
   1.200   8.410026E-02  -3.161340E-03   1.086015E-05   1.901379E-05  -3.872268E-07   6.300051E-02   5.278580E-04  -5.388268E-05  -4.090865E-06   1.110985E-07
