 Z=  96 A= 220  Cm beta2= -.06 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.006674E-02  -4.034118E-16  -6.557255E-16  -6.504820E-16  -1.916856E-15   7.320515E-02  -4.034118E-16  -5.412337E-16  -8.005932E-16  -1.087172E-15
   0.100   8.017063E-02  -6.261854E-05   3.722935E-08  -6.756694E-12   2.145734E-16   7.309522E-02   9.648932E-06  -5.007376E-09   9.976142E-13  -3.490395E-15
   0.200   8.047720E-02  -2.474201E-04   5.910045E-07  -4.302791E-10   1.182872E-13   7.276915E-02   3.813578E-05  -7.974572E-08   6.381113E-11   2.620657E-14
   0.300   8.097140E-02  -5.453854E-04   2.952861E-06  -4.860307E-09   3.152112E-12   7.223788E-02   8.410555E-05  -4.005435E-07   7.322903E-10   6.744329E-13
   0.400   8.162911E-02  -9.419534E-04   9.161256E-06  -2.698699E-08   3.138095E-11   7.151929E-02   1.453807E-04  -1.251721E-06   4.153361E-09   6.158286E-12
   0.500   8.241843E-02  -1.417706E-03   2.183622E-05  -1.013734E-07   1.860201E-10   7.063760E-02   2.190759E-04  -3.010754E-06   1.600855E-08   3.238003E-11
   0.600   8.330148E-02  -1.949287E-03   4.395957E-05  -2.969718E-07   7.941580E-10   6.962256E-02   3.017459E-04  -6.126742E-06   4.829104E-08   1.181022E-10
   0.700   8.423647E-02  -2.510509E-03   7.861243E-05  -7.318579E-07   2.700596E-09   6.850845E-02   3.895565E-04  -1.109189E-05   1.228625E-07   3.262087E-10
   0.800   8.518002E-02  -3.073607E-03   1.286852E-04  -1.587309E-06   7.768042E-09   6.733285E-02   4.784661E-04  -1.840619E-05   2.755560E-07   7.076819E-10
   0.900   8.608950E-02  -3.610574E-03   1.965780E-04  -3.119108E-06   1.964384E-08   6.613529E-02   5.644078E-04  -2.853629E-05   5.603821E-07   1.186104E-09
   1.000   8.692538E-02  -4.094518E-03   2.839116E-04  -5.663863E-06   4.483437E-08   6.495571E-02   6.434605E-04  -4.187023E-05   1.053192E-06   1.314810E-09
   1.100   8.765328E-02  -4.500978E-03   3.912711E-04  -9.638267E-06   9.409391E-08   6.383294E-02   7.120029E-04  -5.867096E-05   1.854012E-06  -1.363833E-10
   1.200   8.824578E-02  -4.809121E-03   5.180020E-04  -1.552956E-05   1.840873E-07   6.280309E-02   7.668443E-04  -7.903191E-05   3.087221E-06  -5.784865E-09
   1.300   8.868377E-02  -5.002778E-03   6.620799E-04  -2.387612E-05   3.392277E-07   6.189806E-02   8.053301E-04  -1.028388E-04   4.898862E-06  -2.041276E-08
   1.400   8.895730E-02  -5.071243E-03   8.200683E-04  -3.523783E-05   5.935244E-07   6.114421E-02   8.254226E-04  -1.297413E-04   7.450612E-06  -5.185581E-08
   1.500   8.906585E-02  -5.009801E-03   9.871744E-04  -5.015712E-05   9.922202E-07   6.056121E-02   8.257571E-04  -1.591391E-04   1.091032E-05  -1.118942E-07
   1.600   8.901809E-02  -4.819955E-03   1.157408E-03  -6.911235E-05   1.592949E-06   6.016125E-02   8.056780E-04  -1.901844E-04   1.543943E-05  -2.169999E-07
   1.700   8.883104E-02  -4.509328E-03   1.323836E-03  -9.246658E-05   2.466126E-06   5.994860E-02   7.652547E-04  -2.218029E-04   2.117817E-05  -3.887798E-07
   1.800   8.852878E-02  -4.091252E-03   1.478928E-03  -1.204154E-04   3.694294E-06   5.991953E-02   7.052812E-04  -2.527335E-04   2.822952E-05  -6.539630E-07
   1.900   8.814076E-02  -3.584050E-03   1.614959E-03  -1.529382E-04   5.370197E-06   6.006272E-02   6.272578E-04  -2.815857E-04   3.664361E-05  -1.043819E-06
   2.000   8.769979E-02  -3.010067E-03   1.724463E-03  -1.897579E-04   7.593426E-06   6.036000E-02   5.333555E-04  -3.069115E-04   4.640397E-05  -1.592958E-06
   2.100   8.723989E-02  -2.394480E-03   1.800689E-03  -2.303126E-04   1.046561E-05   6.078746E-02   4.263602E-04  -3.272868E-04   5.741711E-05  -2.337522E-06
   2.200   8.679417E-02  -1.763978E-03   1.838042E-03  -2.737443E-04   1.408424E-05   6.131688E-02   3.095949E-04  -3.413981E-04   6.950678E-05  -3.312887E-06
   2.300   8.639275E-02  -1.145360E-03   1.832465E-03  -3.189061E-04   1.853535E-05   6.191731E-02   1.868175E-04  -3.481280E-04   8.241363E-05  -4.551018E-06
   2.400   8.606098E-02  -5.641479E-04   1.781744E-03  -3.643903E-04   2.388543E-05   6.255677E-02   6.209460E-05  -3.466320E-04   9.580085E-05  -6.077685E-06
   2.500   8.581797E-02  -4.328820E-05   1.685715E-03  -4.085768E-04   3.017304E-05   6.320396E-02  -6.034732E-05  -3.364025E-04   1.092655E-04  -7.909786E-06
   2.600   8.567559E-02   3.979879E-04   1.546340E-03  -4.497001E-04   3.740071E-05   6.382976E-02  -1.762897E-04  -3.173135E-04   1.223553E-04  -1.005298E-05
   2.700   8.563794E-02   7.450814E-04   1.367667E-03  -4.859319E-04   4.552764E-05   6.440864E-02  -2.817003E-04  -2.896423E-04   1.345893E-04  -1.249981E-05
   2.800   8.570136E-02   9.886690E-04   1.155666E-03  -5.154745E-04   5.446398E-05   6.491967E-02  -3.729144E-04  -2.540670E-04   1.454817E-04  -1.522856E-05
   2.900   8.585489E-02   1.125042E-03   9.179441E-04  -5.366600E-04   6.406704E-05   6.534729E-02  -4.468056E-04  -2.116379E-04   1.545675E-04  -1.820276E-05
   3.000   8.608123E-02   1.156128E-03   6.633739E-04  -5.480489E-04   7.414014E-05   6.568172E-02  -5.009376E-04  -1.637265E-04   1.614264E-04  -2.137171E-05
   3.100   8.635808E-02   1.089195E-03   4.016400E-04  -5.485225E-04   8.443429E-05   6.591893E-02  -5.336839E-04  -1.119542E-04   1.657066E-04  -2.467165E-05
   3.200   8.665975E-02   9.362653E-04   1.427452E-04  -5.373622E-04   9.465307E-05   6.606042E-02  -5.443083E-04  -5.810711E-05   1.671431E-04  -2.802803E-05
   3.300   8.695899E-02   7.132835E-04  -1.035023E-04  -5.143118E-04   1.044607E-04   6.611267E-02  -5.330010E-04  -4.044062E-06   1.655718E-04  -3.135836E-05
   3.400   8.722887E-02   4.390759E-04  -3.279891E-04  -4.796179E-04   1.134932E-04   6.608635E-02  -5.008691E-04   4.839588E-05   1.609375E-04  -3.457585E-05
   3.500   8.744455E-02   1.341811E-04  -5.227565E-04  -4.340449E-04   1.213725E-04   6.599543E-02  -4.498836E-04   9.747742E-05   1.532941E-04  -3.759364E-05
   3.600   8.758501E-02  -1.803900E-04  -6.813966E-04  -3.788635E-04   1.277223E-04   6.585620E-02  -3.827911E-04   1.416387E-04   1.427989E-04  -4.032922E-05
   3.700   8.763430E-02  -4.843883E-04  -7.993649E-04  -3.158130E-04   1.321864E-04   6.568622E-02  -3.029983E-04   1.795408E-04   1.296992E-04  -4.270901E-05
   3.800   8.758257E-02  -7.594882E-04  -8.741933E-04  -2.470371E-04   1.344471E-04   6.550331E-02  -2.144415E-04   2.100939E-04   1.143139E-04  -4.467256E-05
   3.900   8.742656E-02  -9.903115E-04  -9.055951E-04  -1.749967E-04   1.342437E-04   6.532462E-02  -1.214514E-04   2.324595E-04   9.701086E-05  -4.617609E-05
   4.000   8.716958E-02  -1.165259E-03  -8.954582E-04  -1.023643E-04   1.313899E-04   6.516574E-02  -2.862300E-05   2.460302E-04   7.818211E-05  -4.719498E-05
   4.100   8.682104E-02  -1.277104E-03  -8.477273E-04  -3.190371E-05   1.257886E-04   6.503986E-02   5.930239E-05   2.503918E-04   5.821977E-05  -4.772480E-05
   4.200   8.639545E-02  -1.323322E-03  -7.681821E-04   3.365877E-05   1.174435E-04   6.495713E-02   1.375411E-04   2.452751E-04   3.749423E-05  -4.778083E-05
   4.300   8.591097E-02  -1.306136E-03  -6.641233E-04   9.176407E-05   1.064666E-04   6.492402E-02   2.013574E-04   2.305040E-04   1.633739E-05  -4.739568E-05
   4.400   8.538765E-02  -1.232277E-03  -5.439821E-04   1.401454E-04   9.308046E-05   6.494280E-02   2.461452E-04   2.059499E-04  -4.967706E-06  -4.661551E-05
   4.500   8.484543E-02  -1.112484E-03  -4.168726E-04   1.769411E-04   7.761488E-05   6.501119E-02   2.675097E-04   1.715001E-04  -2.618974E-05  -4.549470E-05
   4.600   8.430208E-02  -9.607601E-04  -2.921105E-04   2.007887E-04   6.049769E-05   6.512205E-02   2.613562E-04   1.270458E-04  -4.714449E-05  -4.408991E-05
   4.700   8.377117E-02  -7.934497E-04  -1.787220E-04   2.108955E-04   4.223999E-05   6.526331E-02   2.239966E-04   7.249470E-05  -6.768354E-05  -4.245374E-05
   4.800   8.326030E-02  -6.281682E-04  -8.496953E-05   2.070791E-04   2.341606E-05   6.541796E-02   1.522765E-04   7.807895E-06  -8.767793E-05  -4.062899E-05
   4.900   8.276975E-02  -4.826706E-04  -1.792059E-05   1.897772E-04   4.638890E-06   6.556434E-02   4.372659E-05  -6.694171E-05  -1.069993E-04  -3.864410E-05
   5.000   8.229155E-02  -3.737161E-04   1.691768E-05   1.600244E-04  -1.346742E-05   6.567660E-02  -1.032667E-04  -1.514955E-04  -1.255014E-04  -3.651038E-05
