 Z=  97 A= 223  Bk beta2= 0.00 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.488319E-02  -4.034118E-16  -6.140921E-16  -7.005191E-16  -1.373270E-15   7.542225E-02  -4.034118E-16  -5.620504E-16  -7.380469E-16  -1.802417E-15
   0.100   7.508091E-02  -3.322271E-07  -1.394788E-10  -8.256117E-15   4.219944E-15   7.528786E-02   4.174222E-07   2.816955E-10   1.873888E-14   2.431832E-15
   0.200   7.566566E-02  -1.310500E-06  -2.211080E-09  -2.321470E-13  -5.979447E-15   7.488939E-02   1.641164E-06   4.477226E-09   1.095612E-12  -3.232907E-15
   0.300   7.661259E-02  -2.880481E-06  -1.102208E-08  -2.481876E-12  -1.706574E-14   7.424074E-02   3.586998E-06   2.241486E-08   1.226538E-11   2.695043E-14
   0.400   7.788164E-02  -4.954549E-06  -3.408878E-08  -1.367964E-11  -1.080449E-13   7.336452E-02   6.119004E-06   6.974037E-08   6.759221E-11   3.135776E-13
   0.500   7.941937E-02  -7.416121E-06  -8.093334E-08  -5.082980E-11  -6.633037E-13   7.229125E-02   9.056142E-06   1.668462E-07   2.515013E-10   1.829053E-12
   0.600   8.116156E-02  -1.012550E-05  -1.621766E-07  -1.469844E-10  -2.802930E-12   7.105825E-02   1.218120E-05   3.374353E-07   7.283700E-10   7.719838E-12
   0.700   8.303622E-02  -1.292708E-05  -2.884987E-07  -3.566090E-10  -9.452632E-12   6.970823E-02   1.525186E-05   6.067833E-07   1.771397E-09   2.587524E-11
   0.800   8.496705E-02  -1.565756E-05  -4.695479E-07  -7.596956E-10  -2.681880E-11   6.828771E-02   1.801349E-05   9.997815E-07   3.784983E-09   7.329617E-11
   0.900   8.687704E-02  -1.815483E-05  -7.128849E-07  -1.462723E-09  -6.687367E-11   6.684523E-02   2.021315E-05   1.538860E-06   7.315952E-09   1.823515E-10
   1.000   8.869215E-02  -2.026707E-05  -1.023047E-06  -2.595799E-09  -1.506962E-10   6.542944E-02   2.161425E-05   2.241907E-06   1.304924E-08   4.089848E-10
   1.100   9.034477E-02  -2.186160E-05  -1.400808E-06  -4.305518E-09  -3.121510E-10   6.408717E-02   2.201111E-05   3.120303E-06   2.178513E-08   8.431134E-10
   1.200   9.177687E-02  -2.283279E-05  -1.842691E-06  -6.742953E-09  -6.026633E-10   6.286155E-02   2.124262E-05   4.177202E-06   3.439781E-08   1.619942E-09
   1.300   9.294262E-02  -2.310866E-05  -2.340781E-06  -1.004635E-08  -1.096436E-09   6.179020E-02   1.920420E-05   5.406185E-06   5.177697E-08   2.931562E-09
   1.400   9.381033E-02  -2.265556E-05  -2.882853E-06  -1.432116E-08  -1.894914E-09   6.090373E-02   1.585726E-05   6.790387E-06   7.475499E-08   5.037977E-09
   1.500   9.436369E-02  -2.148064E-05  -3.452809E-06  -1.961684E-08  -3.131053E-09   6.022449E-02   1.123528E-05   8.302193E-06   1.040263E-07   8.275340E-09
   1.600   9.460210E-02  -1.963175E-05  -4.031392E-06  -2.590356E-08  -4.972193E-09   5.976570E-02   5.446233E-06   9.903568E-06   1.400648E-07   1.306011E-08
   1.700   9.454013E-02  -1.719475E-05  -4.597142E-06  -3.305045E-08  -7.620495E-09   5.953103E-02  -1.329433E-06   1.154703E-05   1.830456E-07   1.988773E-08
   1.800   9.420629E-02  -1.428847E-05  -5.127515E-06  -4.080710E-08  -1.131133E-08   5.951464E-02  -8.845053E-06   1.317729E-05   2.327803E-07   2.932371E-08
   1.900   9.364085E-02  -1.105740E-05  -5.600092E-06  -4.879296E-08  -1.630735E-08   5.970172E-02  -1.679829E-05   1.473340E-05   2.886679E-07   4.198721E-08
   2.000   9.289324E-02  -7.662807E-06  -5.993820E-06  -5.649039E-08  -2.289059E-08   6.006946E-02  -2.484541E-05   1.615150E-05   3.496709E-07   5.852505E-08
   2.100   9.201886E-02  -4.272776E-06  -6.290176E-06  -6.325397E-08  -3.134823E-08   6.058838E-02  -3.261865E-05   1.736784E-05   4.143111E-07   7.957889E-08
   2.200   9.107573E-02  -1.051964E-06  -6.474219E-06  -6.832246E-08  -4.195803E-08   6.122407E-02  -3.974560E-05   1.832201E-05   4.806964E-07   1.057430E-07
   2.300   9.012103E-02   1.848290E-06  -6.535445E-06  -7.084774E-08  -5.496759E-08   6.193905E-02  -4.586955E-05   1.896023E-05   5.465669E-07   1.375188E-07
   2.400   8.920784E-02   4.298774E-06  -6.468417E-06  -6.992678E-08  -7.057470E-08   6.269481E-02  -5.066948E-05   1.923844E-05   6.093671E-07   1.752638E-07
   2.500   8.838223E-02   6.199533E-06  -6.273116E-06  -6.465419E-08  -8.890282E-08   6.345373E-02  -5.387848E-05   1.912509E-05   6.663293E-07   2.191435E-07
   2.600   8.768089E-02   7.484922E-06  -5.955034E-06  -5.416712E-08  -1.099814E-07   6.418098E-02  -5.529946E-05   1.860333E-05   7.145801E-07   2.690845E-07
   2.700   8.712946E-02   8.126250E-06  -5.524955E-06  -3.770780E-08  -1.337261E-07   6.484604E-02  -5.481713E-05   1.767260E-05   7.512484E-07   3.247357E-07
   2.800   8.674151E-02   8.131970E-06  -4.998479E-06  -1.467630E-08  -1.599249E-07   6.542404E-02  -5.240544E-05   1.634946E-05   7.735866E-07   3.854394E-07
   2.900   8.651848E-02   7.545467E-06  -4.395271E-06   1.530189E-08  -1.882264E-07   6.589658E-02  -4.813017E-05   1.466753E-05   7.790834E-07   4.502198E-07
   3.000   8.645025E-02   6.440735E-06  -3.738119E-06   5.233584E-08  -2.181396E-07   6.625222E-02  -4.214637E-05   1.267656E-05   7.655881E-07   5.177834E-07
   3.100   8.651649E-02   4.916290E-06  -3.051781E-06   9.621943E-08  -2.490425E-07   6.648654E-02  -3.469099E-05   1.044064E-05   7.314185E-07   5.865392E-07
   3.200   8.668863E-02   3.087835E-06  -2.361741E-06   1.464009E-07  -2.801917E-07   6.660186E-02  -2.607101E-05   8.035724E-06   6.754633E-07   6.546420E-07
   3.300   8.693223E-02   1.080220E-06  -1.692908E-06   2.019795E-07  -3.107539E-07   6.660652E-02  -1.664790E-05   5.546306E-06   5.972785E-07   7.200461E-07
   3.400   8.720967E-02  -9.807324E-07  -1.068338E-06   2.617058E-07  -3.398285E-07   6.651402E-02  -6.819304E-06   3.061723E-06   4.971583E-07   7.805862E-07
   3.500   8.748291E-02  -2.976002E-06  -5.080547E-07   3.240117E-07  -3.664936E-07   6.634192E-02   3.001031E-06   6.720401E-07   3.761894E-07   8.340622E-07
   3.600   8.771620E-02  -4.800183E-06  -2.807428E-08   3.870674E-07  -3.898411E-07   6.611062E-02   1.240401E-05  -1.536196E-06   2.362839E-07   8.783436E-07
   3.700   8.787848E-02  -6.366957E-06   3.603222E-07   4.488522E-07  -4.090231E-07   6.584208E-02   2.100549E-05  -3.484135E-06   8.017853E-08   9.114732E-07
   3.800   8.794528E-02  -7.612887E-06   6.509929E-07   5.072537E-07  -4.232950E-07   6.555864E-02   2.846507E-05  -5.104521E-06  -8.859257E-08   9.317718E-07
   3.900   8.790019E-02  -8.499311E-06   8.429882E-07   5.601633E-07  -4.320491E-07   6.528176E-02   3.450255E-05  -6.345089E-06  -2.657739E-07   9.379409E-07
   4.000   8.773555E-02  -9.012264E-06   9.402007E-07   6.056061E-07  -4.348435E-07   6.503105E-02   3.891119E-05  -7.171309E-06  -4.464840E-07   9.291521E-07
   4.100   8.745245E-02  -9.160522E-06   9.506749E-07   6.418557E-07  -4.314287E-07   6.482321E-02   4.156720E-05  -7.568275E-06  -6.253601E-07   9.051135E-07
   4.200   8.706011E-02  -8.971999E-06   8.856236E-07   6.675327E-07  -4.217503E-07   6.467131E-02   4.243499E-05  -7.541633E-06  -7.967423E-07   8.661232E-07
   4.300   8.657450E-02  -8.488750E-06   7.581613E-07   6.817196E-07  -4.059551E-07   6.458405E-02   4.156802E-05  -7.117494E-06  -9.548694E-07   8.130839E-07
   4.400   8.601646E-02  -7.761170E-06   5.819757E-07   6.840133E-07  -3.843720E-07   6.456524E-02   3.910515E-05  -6.341257E-06  -1.094121E-06   7.474987E-07
   4.500   8.540944E-02  -6.841780E-06   3.699421E-07   6.745817E-07  -3.574941E-07   6.461348E-02   3.526278E-05  -5.275433E-06  -1.209254E-06   6.714260E-07
   4.600   8.477693E-02  -5.779256E-06   1.328997E-07   6.541579E-07  -3.259451E-07   6.472185E-02   3.032306E-05  -3.996505E-06  -1.295651E-06   5.874096E-07
   4.700   8.413995E-02  -4.613219E-06  -1.213460E-07   6.240235E-07  -2.904487E-07   6.487792E-02   2.461878E-05  -2.591013E-06  -1.349549E-06   4.983731E-07
   4.800   8.351459E-02  -3.370257E-06  -3.886678E-07   5.859344E-07  -2.517897E-07   6.506386E-02   1.851574E-05  -1.151050E-06  -1.368248E-06   4.074944E-07
   4.900   8.291005E-02  -2.061596E-06  -6.688424E-07   5.420245E-07  -2.107739E-07   6.525680E-02   1.239346E-05   2.305992E-07  -1.350273E-06   3.180631E-07
   5.000   8.232702E-02  -6.826018E-07  -9.653425E-07   4.946809E-07  -1.681968E-07   6.542932E-02   6.625272E-06   1.465376E-06  -1.295482E-06   2.333221E-07
   5.100   8.175694E-02   7.857969E-07  -1.284699E-06   4.464056E-07  -1.248183E-07   6.555030E-02   1.558784E-06   2.473653E-06  -1.205116E-06   1.563092E-07
   5.200   8.118180E-02   2.373925E-06  -1.635499E-06   3.996660E-07  -8.133799E-08   6.558590E-02  -2.502049E-06   3.188935E-06  -1.081770E-06   8.970890E-08
   5.300   8.057487E-02   4.118705E-06  -2.027104E-06   3.567437E-07  -3.838580E-08   6.550074E-02  -5.312397E-06   3.561315E-06  -9.293040E-07   3.571729E-08
   5.400   7.990205E-02   6.058048E-06  -2.468255E-06   3.196070E-07   3.488712E-09   6.525936E-02  -6.698563E-06   3.559936E-06  -7.526795E-07  -4.062051E-09
   5.500   7.912391E-02   8.224796E-06  -2.965659E-06   2.897981E-07   4.381280E-08   6.482770E-02  -6.565905E-06   3.174347E-06  -5.577388E-07  -2.869413E-08
   5.600   7.819819E-02   1.064089E-05  -3.522738E-06   2.683581E-07   8.218294E-08   6.417466E-02  -4.902192E-06   2.414658E-06  -3.509359E-07  -3.795054E-08
   5.700   7.708267E-02   1.331232E-05  -4.138643E-06   2.557772E-07   1.182595E-07   6.327373E-02  -1.776239E-06   1.310492E-06  -1.390420E-07  -3.230331E-08
   5.800   7.573802E-02   1.622548E-05  -4.807659E-06   2.519941E-07   1.517526E-07   6.210435E-02   2.668035E-06  -9.116454E-08   7.116751E-08  -1.288439E-08
   5.900   7.413064E-02   1.934518E-05  -5.519047E-06   2.564241E-07   1.824142E-07   6.065320E-02   8.221682E-06  -1.729063E-06   2.732143E-07   1.859511E-08
   6.000   7.223509E-02   2.261467E-05  -6.257335E-06   2.680211E-07   2.100326E-07   5.891513E-02   1.462422E-05  -3.531515E-06   4.611948E-07   5.995655E-08
   6.100   7.003606E-02   2.595769E-05  -7.003058E-06   2.853733E-07   2.344208E-07   5.689372E-02   2.157963E-05  -5.420681E-06   6.300207E-07   1.086820E-07
   6.200   6.752968E-02   2.928223E-05  -7.733845E-06   3.068066E-07   2.554205E-07   5.460147E-02   2.877372E-05  -7.317003E-06   7.755991E-07   1.620640E-07
   6.300   6.472409E-02   3.248594E-05  -8.425789E-06   3.305064E-07   2.729043E-07   5.205949E-02   3.589184E-05  -9.143535E-06   8.949561E-07   2.173547E-07
   6.400   6.163930E-02   3.546239E-05  -9.054942E-06   3.546393E-07   2.867779E-07   4.929686E-02   4.263560E-05  -1.082986E-05   9.862955E-07   2.719076E-07
   6.500   5.830633E-02   3.810795E-05  -9.598833E-06   3.774639E-07   2.969881E-07   4.634946E-02   4.873782E-05  -1.231540E-05   1.048990E-06   3.233059E-07
   6.600   5.476571E-02   4.032834E-05  -1.003786E-05   3.974292E-07   3.035320E-07   4.325862E-02   5.397466E-05  -1.355190E-05   1.083517E-06   3.694687E-07
   6.700   5.106546E-02   4.204467E-05  -1.035648E-05   4.132510E-07   3.064615E-07   4.006937E-02   5.817450E-05  -1.450508E-05   1.091342E-06   4.087279E-07
   6.800   4.725882E-02   4.319817E-05  -1.054404E-05   4.239648E-07   3.058915E-07   3.682873E-02   6.122307E-05  -1.515525E-05   1.074760E-06   4.398767E-07
   6.900   4.340166E-02   4.375349E-05  -1.059531E-05   4.289540E-07   3.019989E-07   3.358378E-02   6.306485E-05  -1.549718E-05   1.036724E-06   4.621843E-07
   7.000   3.955004E-02   4.370028E-05  -1.051060E-05   4.279506E-07   2.950249E-07   3.037996E-02   6.370108E-05  -1.553901E-05   9.806377E-07   4.753860E-07
   7.100   3.575784E-02   4.305304E-05  -1.029552E-05   4.210164E-07   2.852686E-07   2.725947E-02   6.318453E-05  -1.530063E-05   9.101700E-07   4.796440E-07
   7.200   3.207470E-02   4.184926E-05  -9.960396E-06   4.085044E-07   2.730798E-07   2.425989E-02   6.161190E-05  -1.481148E-05   8.290645E-07   4.754903E-07
   7.300   2.854434E-02   4.014636E-05  -9.519501E-06   3.910061E-07   2.588477E-07   2.141322E-02   5.911450E-05  -1.410811E-05   7.409738E-07   4.637559E-07
   7.400   2.520335E-02   3.801742E-05  -8.990040E-06   3.692917E-07   2.429878E-07   1.874514E-02   5.584798E-05  -1.323162E-05   6.493195E-07   4.454906E-07
   7.500   2.208044E-02   3.554636E-05  -8.391093E-06   3.442465E-07   2.259274E-07   1.627467E-02   5.198188E-05  -1.222510E-05   5.571806E-07   4.218828E-07
   7.600   1.919618E-02   3.282289E-05  -7.742530E-06   3.168087E-07   2.080907E-07   1.401424E-02   4.768962E-05  -1.113143E-05   4.672141E-07   3.941822E-07
   7.700   1.656310E-02   2.993757E-05  -7.064017E-06   2.879136E-07   1.898840E-07   1.196988E-02   4.313972E-05  -9.991219E-06   3.816082E-07   3.636302E-07
   7.800   1.418626E-02   2.697739E-05  -6.374129E-06   2.584451E-07   1.716848E-07   1.014186E-02   3.848834E-05  -8.841269E-06   3.020625E-07   3.314026E-07
   7.900   1.206399E-02   2.402203E-05  -5.689650E-06   2.291989E-07   1.538294E-07   8.525365E-03   3.387368E-05  -7.713451E-06   2.297960E-07   2.985638E-07
   8.000   1.018887E-02   2.114109E-05  -5.025059E-06   2.008554E-07   1.366068E-07   7.111377E-03   2.941219E-05  -6.634006E-06   1.655754E-07   2.660358E-07
   8.100   8.548873E-03   1.839219E-05  -4.392211E-06   1.739648E-07   1.202533E-07   5.887578E-03   2.519656E-05  -5.623259E-06   1.097596E-07   2.345799E-07
   8.200   7.128463E-03   1.582007E-05  -3.800213E-06   1.489421E-07   1.049505E-07   4.839273E-03   2.129538E-05  -4.695708E-06   6.235632E-08   2.047907E-07
   8.300   5.909692E-03   1.345658E-05  -3.255466E-06   1.260702E-07   9.082675E-08   3.950260E-03   1.775412E-05  -3.860398E-06   2.308479E-08   1.770995E-07
   8.400   4.873215E-03   1.132129E-05  -2.761832E-06   1.055101E-07   7.795947E-08   3.203618E-03   1.459728E-05  -3.121512E-06  -8.559786E-09   1.517868E-07
   8.500   3.999172E-03   9.422781E-06  -2.320921E-06   8.731621E-08   6.638065E-08   2.582380E-03   1.183119E-05  -2.479110E-06  -3.324282E-08   1.289992E-07
   8.600   3.267926E-03   7.760240E-06  -1.932425E-06   7.145414E-08   5.608281E-08   2.070087E-03   9.447263E-06  -1.929936E-06  -5.173180E-08   1.087707E-07
   8.700   2.660640E-03   6.325279E-06  -1.594499E-06   5.781995E-08   4.702596E-08   1.651207E-03   7.425463E-06  -1.468236E-06  -6.484449E-08   9.104452E-08
   8.800   2.159701E-03   5.103806E-06  -1.304134E-06   4.625896E-08   3.914482E-08   1.311434E-03   5.737561E-06  -1.086531E-06  -7.340518E-08   7.569563E-08
   8.900   1.749006E-03   4.077812E-06  -1.057521E-06   3.658332E-08   3.235577E-08   1.037868E-03   4.350191E-06  -7.763130E-07  -7.820977E-08   6.255085E-08
