 Z=  16 A=  24  S  beta2=-0.09 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   6.184704E-02   9.939615E-02
   0.100   6.197264E-02   9.932617E-02
   0.200   6.226849E-02   9.916112E-02
   0.300   6.274091E-02   9.889340E-02
   0.400   6.335231E-02   9.853462E-02
   0.500   6.406834E-02   9.809490E-02
   0.600   6.484923E-02   9.757746E-02
   0.700   6.564172E-02   9.698999E-02
   0.800   6.639827E-02   9.633759E-02
   0.900   6.706319E-02   9.561258E-02
   1.000   6.759303E-02   9.481304E-02
   1.100   6.794919E-02   9.393332E-02
   1.200   6.809893E-02   9.296566E-02
   1.300   6.798569E-02   9.188508E-02
   1.400   6.755606E-02   9.067094E-02
   1.500   6.684883E-02   8.933522E-02
   1.600   6.590337E-02   8.789681E-02
   1.700   6.459022E-02   8.627571E-02
   1.800   6.302983E-02   8.452807E-02
   1.900   6.105537E-02   8.253335E-02
   2.000   5.881039E-02   8.035529E-02
   2.100   5.636992E-02   7.803576E-02
   2.200   5.362250E-02   7.546119E-02
   2.300   5.072539E-02   7.273661E-02
   2.400   4.753432E-02   6.971080E-02
   2.500   4.422252E-02   6.650823E-02
   2.600   4.088148E-02   6.319989E-02
   2.700   3.742287E-02   5.967905E-02
   2.800   3.401092E-02   5.609300E-02
   2.900   3.053550E-02   5.230916E-02
   3.000   2.716342E-02   4.849192E-02
   3.100   2.397036E-02   4.472152E-02
   3.200   2.089962E-02   4.092860E-02
   3.300   1.806556E-02   3.725228E-02
   3.400   1.539841E-02   3.361157E-02
   3.500   1.299532E-02   3.014410E-02
   3.600   1.087424E-02   2.689523E-02
   3.700   8.992592E-03   2.383366E-02
   3.800   7.376161E-03   2.102367E-02
   3.900   5.977101E-03   1.842561E-02
   4.000   4.805783E-03   1.608762E-02
   4.100   3.838780E-03   1.400262E-02
   4.200   3.041605E-03   1.214659E-02
   4.300   2.397242E-03   1.051561E-02
   4.400   1.876011E-03   9.084413E-03
   4.500   1.462121E-03   7.842106E-03
   4.600   1.135720E-03   6.766192E-03
   4.700   8.789068E-04   5.838578E-03
   4.800   6.785369E-04   5.039594E-03
   4.900   5.222987E-04   4.355186E-03
   5.000   4.013893E-04   3.768544E-03
   5.100   3.080612E-04   3.264673E-03
   5.200   2.361029E-04   2.834108E-03
   5.300   1.807880E-04   2.464071E-03
   5.400   1.383138E-04   2.148090E-03
   5.500   1.057892E-04   1.876326E-03
   5.600   8.089514E-05   1.641709E-03
   5.700   6.186085E-05   1.439917E-03
   5.800   4.730626E-05   1.264953E-03
   5.900   3.618869E-05   1.114260E-03
   6.000   2.769133E-05   9.834776E-04
   6.100   2.119330E-05   8.695167E-04
   6.200   1.622350E-05   7.706823E-04
   6.300   1.242011E-05   6.842902E-04
   6.400   9.509638E-06   6.094015E-04
   6.500   7.282403E-06   5.438546E-04
   6.600   5.577645E-06   4.862255E-04
   6.700   4.273839E-06   4.357380E-04
   6.800   3.275894E-06   3.911054E-04
   6.900   2.513444E-06   3.518360E-04
   7.000   1.930088E-06   3.169605E-04
   7.100   1.483181E-06   2.858821E-04
   7.200   1.140889E-06   2.582703E-04
   7.300   8.780524E-07   2.335938E-04
   7.400   6.761802E-07   2.117176E-04
   7.500   5.207448E-07   1.922169E-04
   7.600   4.010134E-07   1.747718E-04
   7.700   3.086843E-07   1.592756E-04
   7.800   2.375268E-07   1.453786E-04
   7.900   1.827285E-07   1.330029E-04
   8.000   1.406143E-07   1.218317E-04
   8.100   1.082418E-07   1.117058E-04
   8.200   8.343794E-08   1.024813E-04
   8.300   6.451593E-08   9.398800E-05
   8.400   5.003812E-08   8.614853E-05
   8.500   3.880923E-08   7.896295E-05
   8.600   3.010018E-08   7.237671E-05
   8.700   2.334550E-08   6.633983E-05
   8.800   1.810661E-08   6.080648E-05
   8.900   1.401907E-08   5.582482E-05
   9.000   1.081175E-08   5.143952E-05
   9.100   8.338207E-09   4.739870E-05
   9.200   6.430569E-09   4.367531E-05
   9.300   4.959366E-09   4.024441E-05
   9.400   3.824748E-09   3.708302E-05
   9.500   2.949712E-09   3.416998E-05
   9.600   2.274869E-09   3.148576E-05
   9.700   1.780691E-09   2.904359E-05
   9.800   1.400531E-09   2.680008E-05
   9.900   1.101532E-09   2.472987E-05
  10.000   8.663665E-10   2.281958E-05
  10.100   6.814062E-10   2.105685E-05
  10.200   5.359329E-10   1.943028E-05
  10.300   4.215168E-10   1.792937E-05
  10.400   3.302125E-10   1.655048E-05
  10.500   2.504179E-10   1.532373E-05
  10.600   1.899054E-10   1.418790E-05
  10.700   1.440155E-10   1.313627E-05
  10.800   1.092147E-10   1.216258E-05
  10.900   8.282342E-11   1.126106E-05
  11.000   6.280946E-11   1.042637E-05
  11.100   4.763180E-11   9.653547E-06
  11.200   3.730263E-11   8.919249E-06
  11.300   3.090990E-11   8.210479E-06
  11.400   2.561272E-11   7.558032E-06
  11.500   2.122334E-11   6.957432E-06
  11.600   1.758619E-11   6.404559E-06
  11.700   1.457236E-11   5.895620E-06
  11.800   1.207503E-11   5.427123E-06
  11.900   1.000567E-11   4.995856E-06
  12.000   7.713660E-12   4.584773E-06
  12.100   5.507978E-12   4.193831E-06
  12.200   3.933000E-12   3.836226E-06
  12.300   2.808379E-12   3.509112E-06
  12.400   2.005337E-12   3.209892E-06
  12.500   1.431921E-12   2.936186E-06
  12.600   1.022471E-12   2.685819E-06
  12.700   7.301003E-13   2.456801E-06
  12.800   5.621673E-13   2.239375E-06
  12.900   4.785649E-13   2.031605E-06
  13.000   4.073954E-13   1.843112E-06
  13.100   3.468098E-13   1.672107E-06
  13.200   2.952341E-13   1.516968E-06
  13.300   2.513285E-13   1.376223E-06
  13.400   2.139523E-13   1.248536E-06
  13.500   1.821345E-13   1.132696E-06
  13.600   1.635048E-13   1.015645E-06
  13.700   2.068793E-13   8.443339E-07
  13.800   2.617603E-13   7.019182E-07
  13.900   3.312001E-13   5.835241E-07
  14.000   4.190609E-13   4.850998E-07
  14.100   5.302294E-13   4.032769E-07
  14.200   6.708887E-13   3.352553E-07
  14.300   8.488621E-13   2.787070E-07
  14.400   1.074048E-12   2.316969E-07
  14.500   1.112254E-12   1.802134E-07
  14.600   9.544946E-13   1.316864E-07
