 Z=  17 A=  25  Cl beta2=-0.11 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   6.186831E-02   9.943193E-02
   0.100   6.199356E-02   9.935890E-02
   0.200   6.229211E-02   9.918606E-02
   0.300   6.275925E-02   9.891216E-02
   0.400   6.336400E-02   9.855032E-02
   0.500   6.407863E-02   9.810628E-02
   0.600   6.485395E-02   9.759088E-02
   0.700   6.564159E-02   9.701596E-02
   0.800   6.638771E-02   9.637255E-02
   0.900   6.704788E-02   9.566504E-02
   1.000   6.758336E-02   9.488480E-02
   1.100   6.793299E-02   9.401186E-02
   1.200   6.807142E-02   9.304097E-02
   1.300   6.796303E-02   9.196192E-02
   1.400   6.753931E-02   9.074260E-02
   1.500   6.690634E-02   8.943639E-02
   1.600   6.581152E-02   8.791182E-02
   1.700   6.457377E-02   8.632424E-02
   1.800   6.301446E-02   8.457372E-02
   1.900   6.103963E-02   8.257517E-02
   2.000   5.888032E-02   8.045817E-02
   2.100   5.627337E-02   7.800727E-02
   2.200   5.361034E-02   7.549170E-02
   2.300   5.071673E-02   7.276208E-02
   2.400   4.752613E-02   6.972550E-02
   2.500   4.429964E-02   6.659497E-02
   2.600   4.080073E-02   6.312546E-02
   2.700   3.742299E-02   5.967837E-02
   2.800   3.401469E-02   5.609249E-02
   2.900   3.054059E-02   5.230847E-02
   3.000   2.723447E-02   4.856681E-02
   3.100   2.392433E-02   4.466106E-02
   3.200   2.091173E-02   4.093948E-02
   3.300   1.807925E-02   3.726822E-02
   3.400   1.541250E-02   3.363108E-02
   3.500   1.304083E-02   3.021067E-02
   3.600   1.086345E-02   2.689039E-02
   3.700   9.006617E-03   2.387116E-02
   3.800   7.389658E-03   2.106740E-02
   3.900   5.989628E-03   1.847607E-02
   4.000   4.825590E-03   1.615493E-02
   4.100   3.843075E-03   1.405297E-02
   4.200   3.051002E-03   1.220966E-02
   4.300   2.405575E-03   1.058003E-02
   4.400   1.883100E-03   9.148405E-03
   4.500   1.469420E-03   7.905249E-03
