 Z=  18 A=  27  Ar beta2= 0.12 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   5.896949E-02   9.773936E-02
   0.100   5.909965E-02   9.765747E-02
   0.200   5.940687E-02   9.746379E-02
   0.300   5.987758E-02   9.716327E-02
   0.400   6.050530E-02   9.675419E-02
   0.500   6.125415E-02   9.624972E-02
   0.600   6.208446E-02   9.566232E-02
   0.700   6.294800E-02   9.500931E-02
   0.800   6.380665E-02   9.430399E-02
   0.900   6.460508E-02   9.354573E-02
   1.000   6.531005E-02   9.274650E-02
   1.100   6.586358E-02   9.190374E-02
   1.200   6.625499E-02   9.102131E-02
   1.300   6.643100E-02   9.008833E-02
   1.400   6.637173E-02   8.909769E-02
   1.500   6.600130E-02   8.801801E-02
   1.600   6.542160E-02   8.687586E-02
   1.700   6.447355E-02   8.559917E-02
   1.800   6.332913E-02   8.424010E-02
   1.900   6.190604E-02   8.275442E-02
   2.000   6.009631E-02   8.104954E-02
   2.100   5.808908E-02   7.921512E-02
   2.200   5.573291E-02   7.712170E-02
   2.300   5.324758E-02   7.490167E-02
   2.400   5.056241E-02   7.248637E-02
   2.500   4.758978E-02   6.976324E-02
   2.600   4.454535E-02   6.690546E-02
   2.700   4.129800E-02   6.376299E-02
   2.800   3.807726E-02   6.054681E-02
   2.900   3.482783E-02   5.718831E-02
   3.000   3.149064E-02   5.360312E-02
   3.100   2.827086E-02   5.000588E-02
   3.200   2.507018E-02   4.627431E-02
   3.300   2.208122E-02   4.263256E-02
   3.400   1.925812E-02   3.902776E-02
   3.500   1.656930E-02   3.542116E-02
   3.600   1.414209E-02   3.198867E-02
   3.700   1.191121E-02   2.865570E-02
   3.800   9.964550E-03   2.556744E-02
   3.900   8.255544E-03   2.268256E-02
   4.000   6.756033E-03   1.998724E-02
   4.100   5.492036E-03   1.755051E-02
   4.200   4.418332E-03   1.533149E-02
   4.300   3.537649E-03   1.336528E-02
   4.400   2.813515E-03   1.161778E-02
   4.500   2.220834E-03   1.007226E-02
   4.600   1.746558E-03   8.723830E-03
   4.700   1.366225E-03   7.548291E-03
   4.800   1.066379E-03   6.530998E-03
   4.900   8.297950E-04   5.650992E-03
   5.000   6.436961E-04   4.893459E-03
   5.100   4.986484E-04   4.240911E-03
   5.200   3.855229E-04   3.681269E-03
   5.300   2.978485E-04   3.198981E-03
   5.400   2.298815E-04   2.784314E-03
   5.500   1.772709E-04   2.429352E-03
   5.600   1.366816E-04   2.123164E-03
   5.700   1.053759E-04   1.860739E-03
   5.800   8.125414E-05   1.633268E-03
   5.900   6.266993E-05   1.436783E-03
   6.000   4.836538E-05   1.267715E-03
   6.100   3.734546E-05   1.120564E-03
   6.200   2.885819E-05   9.933653E-04
   6.300   2.230818E-05   8.819259E-04
   6.400   1.725368E-05   7.846694E-04
   6.500   1.335172E-05   7.001284E-04
   6.600   1.033651E-05   6.257840E-04
   6.700   8.007661E-06   5.609221E-04
   6.800   6.206208E-06   5.035449E-04
   6.900   4.813096E-06   4.530202E-04
   7.000   3.737094E-06   4.087442E-04
   7.100   2.904387E-06   3.694249E-04
   7.200   2.260786E-06   3.347934E-04
   7.300   1.761290E-06   3.038198E-04
   7.400   1.373785E-06   2.762439E-04
   7.500   1.072941E-06   2.517766E-04
   7.600   8.384696E-07   2.297986E-04
   7.700   6.556534E-07   2.102117E-04
   7.800   5.127568E-07   1.925129E-04
   7.900   4.010541E-07   1.765903E-04
   8.000   3.137091E-07   1.623233E-04
   8.100   2.454664E-07   1.493871E-04
   8.200   1.922037E-07   1.377226E-04
   8.300   1.506230E-07   1.270642E-04
   8.400   1.182702E-07   1.173564E-04
   8.500   9.338275E-08   1.084868E-04
   8.600   7.373234E-08   1.002876E-04
   8.700   5.821694E-08   9.270806E-05
   8.800   4.596642E-08   8.570136E-05
   8.900   3.629377E-08   7.922422E-05
   9.000   2.865651E-08   7.323660E-05
   9.100   2.262357E-08   6.788530E-05
   9.200   1.786041E-08   6.294961E-05
   9.300   1.410008E-08   5.837277E-05
   9.400   1.113145E-08   5.412870E-05
   9.500   8.787832E-09   5.019320E-05
   9.600   6.937642E-09   4.654383E-05
   9.700   5.476991E-09   4.315980E-05
   9.800   4.334545E-09   4.005978E-05
   9.900   3.470530E-09   3.734904E-05
  10.000   2.778742E-09   3.482172E-05
  10.100   2.224849E-09   3.246542E-05
  10.200   1.781364E-09   3.026857E-05
  10.300   1.426281E-09   2.822037E-05
  10.400   1.141977E-09   2.631077E-05
  10.500   9.143442E-10   2.453039E-05
  10.600   7.284091E-10   2.285842E-05
  10.700   5.754560E-10   2.128178E-05
  10.800   4.546203E-10   1.981388E-05
  10.900   3.591580E-10   1.844723E-05
  11.000   2.837411E-10   1.717485E-05
  11.100   2.241605E-10   1.599022E-05
  11.200   1.770907E-10   1.488731E-05
  11.300   1.399048E-10   1.386047E-05
  11.400   1.124768E-10   1.291990E-05
  11.500   9.218339E-11   1.205902E-05
  11.600   7.555140E-11   1.125551E-05
  11.700   6.192020E-11   1.050553E-05
  11.800   5.074838E-11   9.805533E-06
  11.900   4.159221E-11   9.152173E-06
  12.000   3.408802E-11   8.542348E-06
  12.100   2.793776E-11   7.973157E-06
  12.200   2.238661E-11   7.399953E-06
  12.300   1.743498E-11   6.819132E-06
  12.400   1.357859E-11   6.283899E-06
  12.500   1.057519E-11   5.790676E-06
  12.600   8.236096E-12   5.336167E-06
  12.700   6.414380E-12   4.917332E-06
  12.800   4.995604E-12   4.531371E-06
  12.900   3.890642E-12   4.175704E-06
  13.000   3.076039E-12   3.850792E-06
  13.100   2.560656E-12   3.560138E-06
  13.200   2.131624E-12   3.291422E-06
  13.300   1.774476E-12   3.042988E-06
  13.400   1.477167E-12   2.813306E-06
  13.500   1.229671E-12   2.600961E-06
  13.600   1.023643E-12   2.404643E-06
  13.700   8.521337E-13   2.223143E-06
  13.800   7.093607E-13   2.055342E-06
  13.900   7.457384E-13   1.819922E-06
  14.000   8.415833E-13   1.590473E-06
  14.100   9.497464E-13   1.389951E-06
  14.200   1.071811E-12   1.214711E-06
  14.300   1.209564E-12   1.061565E-06
  14.400   1.365021E-12   9.277263E-07
  14.500   1.540459E-12   8.107618E-07
  14.600   1.738444E-12   7.085438E-07
  14.700   1.961874E-12   6.192131E-07
  14.800   1.759650E-12   4.809918E-07
  14.900   1.570136E-12   3.726353E-07
  15.000   1.401033E-12   2.886891E-07
  15.100   1.250143E-12   2.236540E-07
  15.200   1.115503E-12   1.732699E-07
  15.300   9.953638E-13   1.342361E-07
