 Z=  21 A=  32  Sc beta2= 0.13 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   5.694106E-02   9.578402E-02
   0.100   5.708568E-02   9.568753E-02
   0.200   5.737793E-02   9.549042E-02
   0.300   5.784378E-02   9.517404E-02
   0.400   5.847353E-02   9.474147E-02
   0.500   5.924043E-02   9.420580E-02
   0.600   6.010427E-02   9.359311E-02
   0.700   6.103760E-02   9.291457E-02
   0.800   6.199834E-02   9.218964E-02
   0.900   6.295102E-02   9.144261E-02
   1.000   6.385582E-02   9.068572E-02
   1.100   6.465869E-02   8.993378E-02
   1.200   6.535850E-02   8.919169E-02
   1.300   6.589488E-02   8.845994E-02
   1.400   6.623121E-02   8.773355E-02
   1.500   6.639001E-02   8.700056E-02
   1.600   6.629494E-02   8.624188E-02
   1.700   6.591462E-02   8.542384E-02
   1.800   6.533425E-02   8.455012E-02
   1.900   6.441351E-02   8.355137E-02
   2.000   6.330718E-02   8.246207E-02
   2.100   6.194264E-02   8.123823E-02
   2.200   6.021856E-02   7.977526E-02
   2.300   5.830646E-02   7.816190E-02
   2.400   5.606751E-02   7.626477E-02
   2.500   5.369773E-02   7.421705E-02
   2.600   5.113284E-02   7.194907E-02
   2.700   4.828315E-02   6.934215E-02
   2.800   4.535090E-02   6.657817E-02
   2.900   4.220892E-02   6.350492E-02
   3.000   3.907283E-02   6.033889E-02
   3.100   3.589132E-02   5.701368E-02
   3.200   3.260010E-02   5.344221E-02
   3.300   2.940325E-02   4.984829E-02
   3.400   2.620321E-02   4.611072E-02
   3.500   2.319207E-02   4.245522E-02
   3.600   2.032810E-02   3.883251E-02
   3.700   1.757818E-02   3.520220E-02
   3.800   1.507847E-02   3.174499E-02
   3.900   1.276488E-02   2.838775E-02
   4.000   1.073121E-02   2.527718E-02
   4.100   8.933606E-03   2.237355E-02
   4.200   7.344971E-03   1.966209E-02
   4.300   5.997646E-03   1.721501E-02
   4.400   4.846062E-03   1.499085E-02
   4.500   3.896232E-03   1.302510E-02
   4.600   3.111164E-03   1.128291E-02
   4.700   2.465263E-03   9.746795E-03
   4.800   1.946076E-03   8.412295E-03
   4.900   1.527963E-03   7.253694E-03
   5.000   1.197008E-03   6.255214E-03
   5.100   9.348778E-04   5.395293E-03
   5.200   7.279176E-04   4.659168E-03
   5.300   5.660116E-04   4.028197E-03
   5.400   4.392840E-04   3.490681E-03
   5.500   3.406823E-04   3.029827E-03
   5.600   2.639519E-04   2.636013E-03
   5.700   2.043318E-04   2.302114E-03
   5.800   1.581466E-04   2.015712E-03
   5.900   1.223911E-04   1.772593E-03
   6.000   9.473464E-05   1.562663E-03
   6.100   7.334575E-05   1.382416E-03
   6.200   5.682564E-05   1.228737E-03
   6.300   4.405294E-05   1.095242E-03
   6.400   3.418186E-05   9.807101E-04
   6.500   2.653498E-05   8.803397E-04
   6.600   2.061136E-05   7.930301E-04
   6.700   1.601919E-05   7.179355E-04
   6.800   1.245486E-05   6.519868E-04
   6.900   9.687630E-06   5.952101E-04
   7.000   7.537317E-06   5.449802E-04
   7.100   5.866610E-06   5.010585E-04
   7.200   4.569844E-06   4.631569E-04
   7.300   3.562465E-06   4.294164E-04
   7.400   2.781005E-06   3.999258E-04
   7.500   2.172943E-06   3.732216E-04
   7.600   1.699994E-06   3.492800E-04
   7.700   1.332167E-06   3.279138E-04
   7.800   1.044836E-06   3.083998E-04
   7.900   8.202400E-07   2.908483E-04
   8.000   6.440164E-07   2.747300E-04
   8.100   5.057082E-07   2.600853E-04
   8.200   3.969046E-07   2.469795E-04
   8.300   3.114274E-07   2.349635E-04
   8.400   2.442350E-07   2.241379E-04
   8.500   1.915646E-07   2.140419E-04
   8.600   1.504402E-07   2.046418E-04
   8.700   1.188562E-07   1.955440E-04
   8.800   9.390302E-08   1.868506E-04
   8.900   7.418863E-08   1.785437E-04
   9.000   5.861317E-08   1.706061E-04
   9.100   4.630768E-08   1.630214E-04
   9.200   3.658565E-08   1.557739E-04
   9.300   2.891769E-08   1.488183E-04
   9.400   2.286103E-08   1.421616E-04
   9.500   1.807290E-08   1.358026E-04
   9.600   1.428762E-08   1.297281E-04
   9.700   1.129515E-08   1.239253E-04
   9.800   8.929439E-09   1.183820E-04
   9.900   7.059213E-09   1.130867E-04
  10.000   5.580696E-09   1.080283E-04
  10.100   4.451512E-09   1.033052E-04
  10.200   3.559212E-09   9.881612E-05
  10.300   2.845772E-09   9.452215E-05
  10.400   2.275341E-09   9.041476E-05
  10.500   1.819251E-09   8.648586E-05
  10.600   1.454584E-09   8.272769E-05
  10.700   1.163015E-09   7.913282E-05
  10.800   9.298898E-10   7.569417E-05
  10.900   7.362456E-10   7.200418E-05
  11.000   5.812039E-10   6.837932E-05
  11.100   4.588115E-10   6.493695E-05
  11.200   3.621931E-10   6.166787E-05
  11.300   2.859209E-10   5.856337E-05
  11.400   2.257105E-10   5.561516E-05
  11.500   1.781794E-10   5.281536E-05
  11.600   1.406576E-10   5.015652E-05
  11.700   1.132698E-10   4.753107E-05
  11.800   9.223732E-11   4.498984E-05
  11.900   7.511025E-11   4.258447E-05
  12.000   6.116342E-11   4.030770E-05
  12.100   4.980630E-11   3.815266E-05
  12.200   4.055802E-11   3.611284E-05
  12.300   3.302701E-11   3.418207E-05
  12.400   2.689440E-11   3.235454E-05
  12.500   2.184026E-11   3.040738E-05
  12.600   1.765500E-11   2.824164E-05
  12.700   1.427177E-11   2.623015E-05
  12.800   1.153686E-11   2.436193E-05
  12.900   9.326050E-12   2.262676E-05
  13.000   7.538896E-12   2.101519E-05
  13.100   6.094215E-12   1.951840E-05
  13.200   4.926378E-12   1.812821E-05
  13.300   3.982335E-12   1.683705E-05
  13.400   3.045307E-12   1.563188E-05
  13.500   2.318297E-12   1.451253E-05
  13.600   1.764847E-12   1.347333E-05
  13.700   1.343523E-12   1.250854E-05
  13.800   1.022782E-12   1.161284E-05
  13.900   7.786117E-13   1.078128E-05
  14.000   5.927327E-13   1.000926E-05
  14.100   4.512288E-13   9.292529E-06
  14.200   3.879915E-13   8.499093E-06
  14.300   5.112008E-13   7.376591E-06
  14.400   6.735362E-13   6.402342E-06
  14.500   8.874223E-13   5.556765E-06
  14.600   1.169229E-12   4.822866E-06
  14.700   1.540526E-12   4.185895E-06
  14.800   2.029731E-12   3.633051E-06
  14.900   2.674286E-12   3.153223E-06
  15.000   3.523524E-12   2.736767E-06
  15.100   4.355732E-12   2.322809E-06
  15.200   4.035261E-12   1.781819E-06
  15.300   3.738369E-12   1.366828E-06
  15.400   3.463320E-12   1.048489E-06
  15.500   3.208508E-12   8.042928E-07
  15.600   2.972444E-12   6.169705E-07
  15.700   2.753748E-12   4.732761E-07
  15.800   2.551143E-12   3.630486E-07
  15.900   2.363444E-12   2.784935E-07
  16.000   2.189554E-12   2.136315E-07
  16.100   1.734962E-12   1.500070E-07
  16.200   1.272005E-12   1.008024E-07
  16.300   9.325842E-13   6.773765E-08
  16.400   6.837340E-13   4.551865E-08
  16.500   5.012868E-13   3.058783E-08
  16.600   3.675237E-13   2.055455E-08
  16.700   2.694539E-13   1.381234E-08
  16.800   1.975530E-13   9.281681E-09
  16.900   1.448380E-13   6.237147E-09
  17.000   1.061895E-13   4.191267E-09
  17.100   7.194261E-14   2.649706E-09
  17.200   4.453989E-14   1.562418E-09
  17.300   2.757478E-14   9.212904E-10
  17.400   1.707163E-14   5.432453E-10
  17.500   1.056910E-14   3.203284E-10
  17.600   6.543362E-15   1.888838E-10
  17.700   4.051016E-15   1.113767E-10
  17.800   2.507996E-15   6.567403E-11
  17.900   1.552708E-15   3.872515E-11
  18.000   9.612864E-16   2.283455E-11
  18.100   5.951354E-16   1.346455E-11
  18.200   3.594130E-16   7.768760E-12
  18.300   1.907081E-16   4.002394E-12
  18.400   1.011916E-16   2.061997E-12
  18.500   5.369330E-17   1.062322E-12
  18.600   2.849020E-17   5.472985E-13
  18.700   1.511719E-17   2.819632E-13
  18.800   8.021332E-18   1.452648E-13
  18.900   4.256199E-18   7.483912E-14
  19.000   2.258382E-18   3.855643E-14
  19.100   1.198320E-18   1.986392E-14
  19.200   6.358407E-19   1.023371E-14
  19.300   3.373834E-19   5.272314E-15
  19.400   1.790190E-19   2.716248E-15
  19.500   9.498930E-20   1.399386E-15
  19.600   5.040227E-20   7.209509E-16
  19.700   2.674395E-20   3.714273E-16
  19.800   1.419061E-20   1.913559E-16
  19.900   7.529680E-21   9.858483E-17
 Z=  21 A=  33  Sc beta2= 0.13 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   5.848038E-02   9.557248E-02
   0.100   5.862397E-02   9.546095E-02
   0.200   5.890666E-02   9.524068E-02
   0.300   5.936470E-02   9.488596E-02
   0.400   5.998733E-02   9.440720E-02
   0.500   6.074187E-02   9.383037E-02
   0.600   6.160689E-02   9.317335E-02
   0.700   6.254899E-02   9.245785E-02
   0.800   6.352959E-02   9.170947E-02
   0.900   6.451561E-02   9.094341E-02
   1.000   6.546545E-02   9.017675E-02
   1.100   6.634735E-02   8.941973E-02
   1.200   6.712082E-02   8.868072E-02
   1.300   6.775100E-02   8.796321E-02
   1.400   6.821936E-02   8.726261E-02
   1.500   6.848612E-02   8.657446E-02
   1.600   6.852627E-02   8.588203E-02
   1.700   6.833837E-02   8.516466E-02
   1.800   6.787308E-02   8.439445E-02
   1.900   6.708873E-02   8.351386E-02
   2.000   6.618912E-02   8.259155E-02
   2.100   6.490655E-02   8.147541E-02
   2.200   6.338759E-02   8.020310E-02
   2.300   6.156148E-02   7.870244E-02
   2.400   5.941605E-02   7.691748E-02
   2.500   5.720548E-02   7.505092E-02
   2.600   5.464439E-02   7.282467E-02
   2.700   5.191594E-02   7.038429E-02
   2.800   4.896420E-02   6.765374E-02
   2.900   4.579383E-02   6.461710E-02
   3.000   4.268763E-02   6.156273E-02
   3.100   3.936701E-02   5.817638E-02
   3.200   3.603946E-02   5.467193E-02
   3.300   3.266528E-02   5.099596E-02
   3.400   2.927860E-02   4.717595E-02
   3.500   2.612939E-02   4.350287E-02
   3.600   2.299887E-02   3.971540E-02
   3.700   2.005999E-02   3.602350E-02
   3.800   1.729013E-02   3.240294E-02
   3.900   1.471786E-02   2.889795E-02
   4.000   1.246900E-02   2.568903E-02
   4.100   1.041463E-02   2.262048E-02
   4.200   8.623426E-03   1.980593E-02
   4.300   7.064768E-03   1.722476E-02
   4.400   5.729825E-03   1.488875E-02
   4.500   4.629934E-03   1.284097E-02
   4.600   3.703351E-03   1.100979E-02
   4.700   2.945958E-03   9.413046E-03
   4.800   2.329058E-03   8.024087E-03
   4.900   1.832064E-03   6.826933E-03
   5.000   1.438543E-03   5.804785E-03
   5.100   1.124627E-03   4.930799E-03
   5.200   8.772722E-04   4.187896E-03
   5.300   6.828862E-04   3.558077E-03
   5.400   5.306924E-04   3.025089E-03
   5.500   4.121798E-04   2.572701E-03
   5.600   3.197114E-04   2.190422E-03
   5.700   2.478390E-04   1.866328E-03
   5.800   1.920439E-04   1.592205E-03
   5.900   1.488005E-04   1.360370E-03
   6.000   1.152977E-04   1.162997E-03
   6.100   8.938224E-05   9.963934E-04
   6.200   6.932197E-05   8.549315E-04
   6.300   5.381524E-05   7.351778E-04
   6.400   4.182012E-05   6.336585E-04
   6.500   3.251116E-05   5.466353E-04
   6.600   2.530262E-05   4.727906E-04
   6.700   1.970159E-05   4.095341E-04
   6.800   1.535053E-05   3.554667E-04
   6.900   1.196487E-05   3.092411E-04
   7.000   9.327301E-06   2.692821E-04
   7.100   7.274514E-06   2.353082E-04
   7.200   5.675343E-06   2.062374E-04
   7.300   4.431665E-06   1.816274E-04
   7.400   3.464958E-06   1.609511E-04
   7.500   2.710584E-06   1.429790E-04
   7.600   2.124743E-06   1.280462E-04
   7.700   1.667750E-06   1.152720E-04
   7.800   1.311359E-06   1.045010E-04
   7.900   1.032426E-06   9.550078E-05
   8.000   8.131473E-07   8.756211E-05
   8.100   6.408089E-07   8.121868E-05
   8.200   5.048420E-07   7.603216E-05
   8.300   3.975121E-07   7.215679E-05
   8.400   3.127510E-07   6.961135E-05
   8.500   2.460015E-07   6.757661E-05
   8.600   1.934309E-07   6.685007E-05
   8.700   1.529672E-07   6.732091E-05
   8.800   1.211623E-07   6.813483E-05
   8.900   9.597022E-08   6.895859E-05
   9.000   7.601610E-08   6.979232E-05
   9.100   6.021083E-08   7.063612E-05
   9.200   4.769180E-08   7.149013E-05
   9.300   3.780388E-08   7.265381E-05
   9.400   3.001647E-08   7.452781E-05
   9.500   2.383323E-08   7.645015E-05
   9.600   1.892370E-08   7.842208E-05
   9.700   1.502551E-08   8.044487E-05
   9.800   1.193033E-08   8.251983E-05
   9.900   9.472744E-09   8.464831E-05
  10.000   7.521406E-09   8.683170E-05
  10.100   5.991730E-09   8.912148E-05
  10.200   4.802954E-09   9.156887E-05
