 Z=  24 A=  38  Cr beta2=-0.32 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   5.740932E-02   9.259459E-02
   0.100   5.755057E-02   9.250204E-02
   0.200   5.778793E-02   9.234632E-02
   0.300   5.820182E-02   9.207600E-02
   0.400   5.878018E-02   9.170509E-02
   0.500   5.947542E-02   9.126790E-02
   0.600   6.029583E-02   9.076589E-02
   0.700   6.120010E-02   9.022971E-02
   0.800   6.217919E-02   8.967072E-02
   0.900   6.319589E-02   8.911811E-02
   1.000   6.422057E-02   8.858525E-02
   1.100   6.521700E-02   8.809397E-02
   1.200   6.616787E-02   8.764607E-02
   1.300   6.702217E-02   8.725567E-02
   1.400   6.774395E-02   8.692076E-02
   1.500   6.833805E-02   8.662191E-02
   1.600   6.874485E-02   8.635097E-02
   1.700   6.898160E-02   8.608446E-02
   1.800   6.898098E-02   8.579333E-02
   1.900   6.870669E-02   8.543257E-02
   2.000   6.825658E-02   8.501089E-02
   2.100   6.741742E-02   8.439968E-02
   2.200   6.644971E-02   8.370458E-02
   2.300   6.520499E-02   8.282809E-02
   2.400   6.359700E-02   8.165971E-02
   2.500   6.181255E-02   8.032559E-02
   2.600   5.961629E-02   7.858816E-02
   2.700   5.733890E-02   7.673140E-02
   2.800   5.482345E-02   7.459261E-02
   2.900   5.199376E-02   7.206675E-02
   3.000   4.907787E-02   6.937540E-02
   3.100   4.583869E-02   6.624976E-02
   3.200   4.265048E-02   6.308255E-02
   3.300   3.936282E-02   5.969814E-02
   3.400   3.592434E-02   5.602716E-02
   3.500   3.257493E-02   5.233138E-02
   3.600   2.912160E-02   4.837856E-02
   3.700   2.590597E-02   4.456656E-02
   3.800   2.280394E-02   4.074713E-02
   3.900   1.979847E-02   3.689880E-02
   4.000   1.705611E-02   3.323569E-02
   4.100   1.446016E-02   2.961398E-02
   4.200   1.219612E-02   2.629835E-02
   4.300   1.017409E-02   2.318758E-02
   4.400   8.377053E-03   2.027770E-02
   4.500   6.849212E-03   1.765761E-02
   4.600   5.526444E-03   1.525903E-02
   4.700   4.442475E-03   1.316036E-02
   4.800   3.542849E-03   1.130312E-02
   4.900   2.802140E-03   9.671573E-03
   5.000   2.207202E-03   8.262112E-03
   5.100   1.726740E-03   7.043205E-03
   5.200   1.348655E-03   6.003244E-03
   5.300   1.049710E-03   5.115332E-03
   5.400   8.145302E-04   4.362076E-03
   5.500   6.310381E-04   3.721863E-03
   5.600   4.876658E-04   3.182104E-03
   5.700   3.766680E-04   2.723276E-03
   5.800   2.906091E-04   2.335470E-03
   5.900   2.240135E-04   2.009239E-03
   6.000   1.725689E-04   1.731629E-03
   6.100   1.328582E-04   1.498398E-03
   6.200   1.022972E-04   1.298536E-03
   6.300   7.878589E-05   1.128955E-03
   6.400   6.072975E-05   9.857540E-04
