 Z=  36 A=  62  Kr beta2= 0.34 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.989776E-02   8.494134E-02
   0.100   7.971616E-02   8.503383E-02
   0.200   7.950015E-02   8.514344E-02
   0.300   7.910765E-02   8.533845E-02
   0.400   7.859539E-02   8.558870E-02
   0.500   7.795736E-02   8.589064E-02
   0.600   7.720653E-02   8.622868E-02
   0.700   7.640577E-02   8.657587E-02
   0.800   7.555542E-02   8.691875E-02
   0.900   7.469952E-02   8.724663E-02
   1.000   7.386622E-02   8.753256E-02
   1.100   7.307090E-02   8.778086E-02
   1.200   7.236543E-02   8.795843E-02
   1.300   7.176650E-02   8.806389E-02
   1.400   7.127726E-02   8.810238E-02
   1.500   7.094279E-02   8.804845E-02
   1.600   7.071274E-02   8.793365E-02
   1.700   7.063535E-02   8.772929E-02
   1.800   7.065069E-02   8.746901E-02
   1.900   7.078266E-02   8.712911E-02
   2.000   7.097922E-02   8.673549E-02
   2.100   7.122043E-02   8.628199E-02
   2.200   7.146298E-02   8.576504E-02
   2.300   7.167279E-02   8.520738E-02
   2.400   7.179340E-02   8.458326E-02
   2.500   7.182844E-02   8.391545E-02
   2.600   7.167339E-02   8.315907E-02
   2.700   7.135804E-02   8.233111E-02
   2.800   7.079575E-02   8.139041E-02
   2.900   7.003583E-02   8.035288E-02
   3.000   6.904310E-02   7.919709E-02
   3.100   6.768893E-02   7.783113E-02
   3.200   6.611211E-02   7.632460E-02
   3.300   6.420792E-02   7.459522E-02
   3.400   6.209289E-02   7.270307E-02
   3.500   5.974124E-02   7.062127E-02
   3.600   5.703105E-02   6.822890E-02
   3.700   5.416048E-02   6.567035E-02
   3.800   5.103501E-02   6.284889E-02
   3.900   4.780791E-02   5.988602E-02
   4.000   4.447088E-02   5.676374E-02
   4.100   4.092666E-02   5.337155E-02
   4.200   3.739966E-02   4.991502E-02
   4.300   3.382072E-02   4.631440E-02
   4.400   3.034981E-02   4.272591E-02
   4.500   2.698789E-02   3.914672E-02
   4.600   2.368044E-02   3.551476E-02
   4.700   2.060310E-02   3.202194E-02
   4.800   1.770907E-02   2.861973E-02
   4.900   1.509422E-02   2.542851E-02
   5.000   1.274029E-02   2.243876E-02
   5.100   1.061236E-02   1.962409E-02
   5.200   8.770917E-03   1.707626E-02
   5.300   7.171856E-03   1.475808E-02
   5.400   5.825814E-03   1.270515E-02
   5.500   4.696922E-03   1.089018E-02
   5.600   3.752803E-03   9.290399E-03
   5.700   2.984534E-03   7.908753E-03
   5.800   2.359442E-03   6.716289E-03
   5.900   1.859548E-03   5.698905E-03
   6.000   1.460548E-03   4.831718E-03
   6.100   1.143182E-03   4.096364E-03
   6.200   8.934313E-04   3.474626E-03
   6.300   6.969228E-04   2.950099E-03
   6.400   5.431318E-04   2.507326E-03
   6.500   4.228303E-04   2.133653E-03
   6.600   3.287972E-04   1.819425E-03
   6.700   2.555460E-04   1.553752E-03
   6.800   1.984788E-04   1.329731E-03
   6.900   1.541160E-04   1.139857E-03
   7.000   1.196385E-04   9.789406E-04
   7.100   9.289448E-05   8.431052E-04
   7.200   7.216878E-05   7.275215E-04
   7.300   5.611920E-05   6.294805E-04
   7.400   4.368037E-05   5.456892E-04
   7.500   3.403629E-05   4.740911E-04
   7.600   2.656558E-05   4.131214E-04
   7.700   2.075485E-05   3.606575E-04
   7.800   1.623194E-05   3.156343E-04
   7.900   1.269863E-05   2.766698E-04
   8.000   9.936384E-06   2.429560E-04
   8.100   7.771811E-06   2.138723E-04
   8.200   6.076972E-06   1.885687E-04
   8.300   4.748896E-06   1.666303E-04
   8.400   3.710716E-06   1.474774E-04
   8.500   2.899524E-06   1.307731E-04
   8.600   2.268173E-06   1.162969E-04
   8.700   1.776925E-06   1.036156E-04
   8.800   1.395740E-06   9.255901E-05
   8.900   1.098890E-06   8.282022E-05
   9.000   8.675411E-07   7.424515E-05
   9.100   6.873659E-07   6.669936E-05
   9.200   5.454775E-07   5.997806E-05
   9.300   4.334661E-07   5.398505E-05
   9.400   3.442642E-07   4.859466E-05
   9.500   2.726122E-07   4.370780E-05
   9.600   2.140711E-07   3.919701E-05
   9.700   1.681012E-07   3.515175E-05
   9.800   1.320030E-07   3.152397E-05
   9.900   1.036565E-07   2.827059E-05
  10.000   8.139716E-08   2.535297E-05
  10.100   6.391784E-08   2.273646E-05
  10.200   5.030042E-08   2.038886E-05
  10.300   4.066714E-08   1.827110E-05
  10.400   3.287878E-08   1.637331E-05
  10.500   2.658200E-08   1.467264E-05
  10.600   2.149115E-08   1.314862E-05
  10.700   1.737527E-08   1.178289E-05
  10.800   1.404765E-08   1.055902E-05
  10.900   1.135731E-08   9.462273E-06
  11.000   9.182220E-09   8.479442E-06
  11.100   7.345602E-09   7.591341E-06
  11.200   5.671956E-09   6.774258E-06
  11.300   4.379639E-09   6.045121E-06
  11.400   3.381768E-09   5.394463E-06
  11.500   2.611255E-09   4.813838E-06
  11.600   2.016298E-09   4.295708E-06
  11.700   1.556898E-09   3.833346E-06
  11.800   1.202169E-09   3.420749E-06
  11.900   9.282632E-10   3.052562E-06
  12.000   7.400500E-10   2.717887E-06
  12.100   6.427060E-10   2.405388E-06
  12.200   5.581663E-10   2.128820E-06
  12.300   4.847467E-10   1.884051E-06
  12.400   4.209846E-10   1.667426E-06
  12.500   3.656095E-10   1.475708E-06
  12.600   3.175183E-10   1.306033E-06
  12.700   2.757529E-10   1.155867E-06
  12.800   2.394812E-10   1.022967E-06
  12.900   1.982884E-10   9.063534E-07
  13.000   1.353239E-10   8.066521E-07
  13.100   9.235323E-11   7.179182E-07
  13.200   6.302742E-11   6.389453E-07
  13.300   4.301371E-11   5.686597E-07
  13.400   2.935515E-11   5.061056E-07
  13.500   2.003373E-11   4.504326E-07
  13.600   1.367223E-11   4.008839E-07
  13.700   9.330753E-12   3.567856E-07
  13.800   6.367869E-12   3.175382E-07
  13.900   7.163550E-12   2.978286E-07
  14.000   8.184189E-12   2.797960E-07
  14.100   9.350244E-12   2.628552E-07
  14.200   1.068243E-11   2.469401E-07
  14.300   1.220443E-11   2.319886E-07
  14.400   1.394328E-11   2.179424E-07
  14.500   1.592987E-11   2.047466E-07
  14.600   1.819950E-11   1.923498E-07
  14.700   2.079250E-11   1.807036E-07
  14.800   2.069564E-11   1.748945E-07
  14.900   1.826419E-11   1.737291E-07
  15.000   1.611840E-11   1.725715E-07
  15.100   1.422471E-11   1.714216E-07
  15.200   1.255351E-11   1.702794E-07
  15.300   1.107864E-11   1.691448E-07
  15.400   9.777057E-12   1.680177E-07
  15.500   8.628388E-12   1.668981E-07
  15.600   7.614672E-12   1.657860E-07
  15.700   6.720053E-12   1.646814E-07
  15.800   7.104022E-12   1.583883E-07
  15.900   7.819859E-12   1.512384E-07
  16.000   8.607828E-12   1.444112E-07
  16.100   9.475197E-12   1.378922E-07
  16.200   1.042997E-11   1.316674E-07
  16.300   1.148094E-11   1.257237E-07
  16.400   1.263782E-11   1.200483E-07
  16.500   1.391127E-11   1.146291E-07
  16.600   1.531304E-11   1.094545E-07
  16.700   1.685606E-11   1.045135E-07
  16.800   1.842498E-11   9.162270E-08
  16.900   2.008565E-11   7.772226E-08
  17.000   2.189600E-11   6.593071E-08
  17.100   2.386951E-11   5.592811E-08
  17.200   2.602091E-11   4.744303E-08
  17.300   2.836621E-11   4.024526E-08
  17.400   3.092290E-11   3.413950E-08
  17.500   3.371002E-11   2.896006E-08
  17.600   3.674836E-11   2.456642E-08
  17.700   4.006054E-11   2.083935E-08
  17.800   4.243275E-11   1.745098E-08
  17.900   3.469243E-11   1.301055E-08
  18.000   2.836405E-11   9.699992E-09
  18.100   2.319006E-11   7.231812E-09
  18.200   1.895987E-11   5.391665E-09
  18.300   1.550133E-11   4.019747E-09
  18.400   1.267367E-11   2.996915E-09
  18.500   1.036182E-11   2.234345E-09
  18.600   8.471682E-12   1.665812E-09
  18.700   6.926331E-12   1.241943E-09
  18.800   5.662873E-12   9.259288E-10
  18.900   4.629887E-12   6.903246E-10
  19.000   3.344615E-12   4.707680E-10
  19.100   2.297581E-12   3.096144E-10
  19.200   1.578322E-12   2.036270E-10
  19.300   1.084228E-12   1.339213E-10
  19.400   7.448096E-13   8.807728E-11
  19.500   5.116466E-13   5.792661E-11
  19.600   3.514753E-13   3.809714E-11
  19.700   2.414458E-13   2.505570E-11
  19.800   1.658611E-13   1.647862E-11
  19.900   1.139382E-13   1.083765E-11
 Z=  36 A=  63  Kr beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.972146E-02   8.408214E-02
   0.100   7.953787E-02   8.417223E-02
   0.200   7.932274E-02   8.427752E-02
   0.300   7.893145E-02   8.446546E-02
   0.400   7.841393E-02   8.470967E-02
   0.500   7.777686E-02   8.500168E-02
   0.600   7.702846E-02   8.533029E-02
   0.700   7.623312E-02   8.566845E-02
   0.800   7.539201E-02   8.600419E-02
   0.900   7.454720E-02   8.632735E-02
   1.000   7.373141E-02   8.661242E-02
   1.100   7.296140E-02   8.686176E-02
   1.200   7.228603E-02   8.704824E-02
   1.300   7.174544E-02   8.715754E-02
   1.400   7.131026E-02   8.721177E-02
   1.500   7.104298E-02   8.718122E-02
   1.600   7.088792E-02   8.709538E-02
   1.700   7.089887E-02   8.692726E-02
   1.800   7.101108E-02   8.670863E-02
   1.900   7.125206E-02   8.641713E-02
   2.000   7.157723E-02   8.606688E-02
   2.100   7.193675E-02   8.567443E-02
   2.200   7.230320E-02   8.522491E-02
   2.300   7.264244E-02   8.473932E-02
   2.400   7.289374E-02   8.419313E-02
   2.500   7.306193E-02   8.360504E-02
   2.600   7.303487E-02   8.293125E-02
   2.700   7.286685E-02   8.220001E-02
   2.800   7.236110E-02   8.131482E-02
   2.900   7.173962E-02   8.037647E-02
   3.000   7.084248E-02   7.930095E-02
   3.100   6.957768E-02   7.801477E-02
   3.200   6.811393E-02   7.660932E-02
   3.300   6.619449E-02   7.489091E-02
   3.400   6.417324E-02   7.309315E-02
   3.500   6.185584E-02   7.106499E-02
   3.600   5.917202E-02   6.872308E-02
   3.700   5.635127E-02   6.624179E-02
   3.800   5.312923E-02   6.337208E-02
   3.900   4.992485E-02   6.047284E-02
   4.000   4.654367E-02   5.735844E-02
   4.100   4.294416E-02   5.396976E-02
   4.200   3.938150E-02   5.054147E-02
   4.300   3.562902E-02   4.683897E-02
   4.400   3.209370E-02   4.326227E-02
   4.500   2.861097E-02   3.964148E-02
   4.600   2.517421E-02   3.596410E-02
   4.700   2.198474E-02   3.244473E-02
   4.800   1.889893E-02   2.892958E-02
   4.900   1.616899E-02   2.570629E-02
   5.000   1.367800E-02   2.265603E-02
   5.100   1.141779E-02   1.978480E-02
   5.200   9.463919E-03   1.719254E-02
   5.300   7.736000E-03   1.480564E-02
   5.400   6.299762E-03   1.272039E-02
   5.500   5.084730E-03   1.086891E-02
   5.600   4.066671E-03   9.240081E-03
   5.700   3.237907E-03   7.837282E-03
   5.800   2.558356E-03   6.625354E-03
   5.900   2.017906E-03   5.597845E-03
   6.000   1.585148E-03   4.723913E-03
   6.100   1.240743E-03   3.985228E-03
   6.200   9.697849E-04   3.362875E-03
   6.300   7.562300E-04   2.840995E-03
   6.400   5.894002E-04   2.401396E-03
   6.500   4.588259E-04   2.032441E-03
   6.600   3.567465E-04   1.723307E-03
   6.700   2.772478E-04   1.463033E-03
   6.800   2.152658E-04   1.245286E-03
   6.900   1.671152E-04   1.060887E-03
   7.000   1.296895E-04   9.057031E-04
   7.100   1.006499E-04   7.752342E-04
   7.200   7.814425E-05   6.646443E-04
   7.300   6.074316E-05   5.717665E-04
   7.400   4.724288E-05   4.923851E-04
   7.500   3.679156E-05   4.250838E-04
   7.600   2.869900E-05   3.680373E-04
   7.700   2.240890E-05   3.191698E-04
   7.800   1.752096E-05   2.776475E-04
   7.900   1.370096E-05   2.417341E-04
   8.000   1.071679E-05   2.108926E-04
   8.100   8.378822E-06   1.844010E-04
   8.200   6.548431E-06   1.614459E-04
   8.300   5.112567E-06   1.417318E-04
   8.400   3.990963E-06   1.245351E-04
   8.500   3.114394E-06   1.096552E-04
   8.600   2.432086E-06   9.681267E-05
   8.700   1.901243E-06   8.561667E-05
   8.800   1.491416E-06   7.596832E-05
   8.900   1.171560E-06   6.747216E-05
   9.000   9.233723E-07   6.006274E-05
   9.100   7.305386E-07   5.358280E-05
   9.200   5.791079E-07   4.785250E-05
   9.300   4.598572E-07   4.278485E-05
   9.400   3.650227E-07   3.825485E-05
   9.500   2.894584E-07   3.420554E-05
   9.600   2.265583E-07   3.045335E-05
   9.700   1.772936E-07   2.711110E-05
   9.800   1.387415E-07   2.413566E-05
   9.900   1.085724E-07   2.148678E-05
  10.000   8.496355E-08   1.912861E-05
  10.100   6.648840E-08   1.702925E-05
  10.200   5.203063E-08   1.516029E-05
  10.300   4.179056E-08   1.347642E-05
  10.400   3.376609E-08   1.197551E-05
  10.500   2.728245E-08   1.064176E-05
  10.600   2.204377E-08   9.456556E-06
  10.700   1.781101E-08   8.403351E-06
  10.800   1.439100E-08   7.467444E-06
  10.900   1.162770E-08   6.635772E-06
  11.000   9.394989E-09   5.896726E-06
  11.100   7.590998E-09   5.239990E-06
  11.200   5.797910E-09   4.618911E-06
  11.300   4.414452E-09   4.069605E-06
  11.400   3.361105E-09   3.585626E-06
  11.500   2.559101E-09   3.159204E-06
  11.600   1.948466E-09   2.783494E-06
  11.700   1.483536E-09   2.452466E-06
  11.800   1.129545E-09   2.160805E-06
  11.900   8.600204E-10   1.903831E-06
  12.000   6.548081E-10   1.677417E-06
  12.100   5.741507E-10   1.458094E-06
  12.200   5.060125E-10   1.266827E-06
  12.300   4.459607E-10   1.100649E-06
  12.400   3.930357E-10   9.562698E-07
  12.500   3.463916E-10   8.308299E-07
  12.600   3.052831E-10   7.218447E-07
  12.700   2.690532E-10   6.271557E-07
  12.800   2.371229E-10   5.448877E-07
  12.900   2.089820E-10   4.734114E-07
  13.000   1.281124E-10   4.160668E-07
  13.100   7.428299E-11   3.663139E-07
  13.200   4.307125E-11   3.225104E-07
  13.300   2.497385E-11   2.839449E-07
  13.400   1.448050E-11   2.499910E-07
  13.500   8.396179E-12   2.200973E-07
  13.600   4.868328E-12   1.937782E-07
  13.700   2.822785E-12   1.706064E-07
  13.800   1.636726E-12   1.502054E-07
  13.900   1.607984E-12   1.409927E-07
  14.000   2.200679E-12   1.377836E-07
  14.100   3.011838E-12   1.346476E-07
  14.200   4.121986E-12   1.315830E-07
  14.300   5.641328E-12   1.285881E-07
  14.400   7.720693E-12   1.256613E-07
  14.500   1.056650E-11   1.228012E-07
  14.600   1.446126E-11   1.200062E-07
  14.700   1.979160E-11   1.172748E-07
  14.800   2.533495E-11   1.153337E-07
  14.900   2.239850E-11   1.174718E-07
  15.000   1.980240E-11   1.196496E-07
  15.100   1.750720E-11   1.218677E-07
  15.200   1.547803E-11   1.241270E-07
  15.300   1.368405E-11   1.264281E-07
  15.400   1.209800E-11   1.287720E-07
  15.500   1.069578E-11   1.311592E-07
  15.600   9.456083E-12   1.335907E-07
  15.700   8.360075E-12   1.360673E-07
  15.800   8.070367E-12   1.351998E-07
  15.900   8.841468E-12   1.296346E-07
  16.000   9.686246E-12   1.242985E-07
  16.100   1.061174E-11   1.191820E-07
