 Z=  38 A=  66  Sr beta2=-0.13 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.746682E-02   8.179489E-02
   0.100   7.728964E-02   8.193289E-02
   0.200   7.709054E-02   8.208786E-02
   0.300   7.672443E-02   8.236833E-02
   0.400   7.622571E-02   8.274397E-02
   0.500   7.562881E-02   8.318465E-02
   0.600   7.492767E-02   8.368586E-02
   0.700   7.418208E-02   8.420914E-02
   0.800   7.339311E-02   8.474083E-02
   0.900   7.259776E-02   8.526616E-02
   1.000   7.182968E-02   8.574995E-02
   1.100   7.113192E-02   8.616920E-02
   1.200   7.050807E-02   8.653285E-02
   1.300   7.001628E-02   8.680119E-02
   1.400   6.962249E-02   8.700460E-02
   1.500   6.939583E-02   8.710069E-02
   1.600   6.929497E-02   8.711750E-02
   1.700   6.935055E-02   8.703717E-02
   1.800   6.956151E-02   8.685881E-02
   1.900   6.985483E-02   8.662441E-02
   2.000   7.025044E-02   8.630935E-02
   2.100   7.069150E-02   8.594903E-02
   2.200   7.116006E-02   8.552543E-02
   2.300   7.161177E-02   8.505609E-02
   2.400   7.200481E-02   8.454385E-02
   2.500   7.227531E-02   8.397610E-02
   2.600   7.244500E-02   8.337158E-02
   2.700   7.239441E-02   8.268625E-02
   2.800   7.215763E-02   8.193106E-02
   2.900   7.166917E-02   8.107633E-02
   3.000   7.094990E-02   8.011537E-02
   3.100   6.998898E-02   7.903808E-02
   3.200   6.864919E-02   7.774661E-02
   3.300   6.706798E-02   7.630226E-02
   3.400   6.517431E-02   7.464448E-02
   3.500   6.303690E-02   7.279744E-02
   3.600   6.066441E-02   7.075792E-02
   3.700   5.792561E-02   6.839463E-02
   3.800   5.501081E-02   6.584722E-02
   3.900   5.186283E-02   6.305151E-02
   4.000   4.858085E-02   6.007960E-02
   4.100   4.519426E-02   5.694815E-02
   4.200   4.159413E-02   5.353692E-02
   4.300   3.799939E-02   5.004592E-02
   4.400   3.437513E-02   4.642975E-02
   4.500   3.083305E-02   4.279824E-02
   4.600   2.740840E-02   3.918294E-02
   4.700   2.403774E-02   3.551152E-02
   4.800   2.089554E-02   3.197468E-02
   4.900   1.795505E-02   2.854750E-02
   5.000   1.528545E-02   2.531894E-02
   5.100   1.288749E-02   2.230260E-02
   5.200   1.071985E-02   1.946483E-02
   5.300   8.844190E-03   1.689660E-02
   5.400   7.222226E-03   1.457071E-02
   5.500   5.854218E-03   1.250829E-02
   5.600   4.710053E-03   1.069022E-02
   5.700   3.754844E-03   9.091251E-03
   5.800   2.978772E-03   7.713323E-03
   5.900   2.349564E-03   6.527772E-03
   6.000   1.846853E-03   5.518399E-03
   6.100   1.446835E-03   4.660753E-03
   6.200   1.129509E-03   3.935543E-03
   6.300   8.803714E-04   3.324501E-03
   6.400   6.849744E-04   2.810445E-03
   6.500   5.323899E-04   2.378204E-03
   6.600   4.133543E-04   2.014615E-03
   6.700   3.205384E-04   1.709892E-03
   6.800   2.484158E-04   1.453294E-03
   6.900   1.923759E-04   1.237490E-03
   7.000   1.489210E-04   1.055432E-03
   7.100   1.152423E-04   9.017010E-04
   7.200   8.918830E-05   7.724449E-04
   7.300   6.905921E-05   6.629438E-04
   7.400   5.351598E-05   5.703369E-04
   7.500   4.151490E-05   4.916427E-04
   7.600   3.224094E-05   4.246775E-04
   7.700   2.508269E-05   3.679126E-04
   7.800   1.953356E-05   3.193231E-04
   7.900   1.522807E-05   2.777827E-04
   8.000   1.187474E-05   2.420671E-04
   8.100   9.260644E-06   2.113132E-04
   8.200   7.217510E-06   1.849178E-04
   8.300   5.621674E-06   1.620833E-04
   8.400   4.374512E-06   1.423603E-04
   8.500   3.402408E-06   1.252614E-04
   8.600   2.645425E-06   1.104217E-04
   8.700   2.058425E-06   9.762325E-05
   8.800   1.604059E-06   8.648159E-05
   8.900   1.253054E-06   7.680573E-05
   9.000   9.816626E-07   6.834577E-05
   9.100   7.713662E-07   6.093591E-05
