 Z=  41 A=  72  Nb beta2= 0.28 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.082236E-02   8.142801E-02
   0.100   8.073821E-02   8.159315E-02
   0.200   8.065132E-02   8.176369E-02
   0.300   8.048434E-02   8.207869E-02
   0.400   8.024196E-02   8.251458E-02
   0.500   7.996009E-02   8.300115E-02
   0.600   7.961529E-02   8.354909E-02
   0.700   7.923688E-02   8.412084E-02
   0.800   7.880998E-02   8.469397E-02
   0.900   7.834612E-02   8.522791E-02
   1.000   7.787046E-02   8.572158E-02
   1.100   7.738126E-02   8.613129E-02
   1.200   7.689039E-02   8.648356E-02
   1.300   7.640677E-02   8.672177E-02
   1.400   7.594645E-02   8.683216E-02
   1.500   7.550644E-02   8.686869E-02
   1.600   7.510393E-02   8.678506E-02
   1.700   7.472744E-02   8.663302E-02
   1.800   7.439736E-02   8.637497E-02
   1.900   7.411570E-02   8.602445E-02
   2.000   7.386064E-02   8.563076E-02
   2.100   7.364229E-02   8.517629E-02
   2.200   7.344162E-02   8.469345E-02
   2.300   7.325538E-02   8.417659E-02
   2.400   7.306084E-02   8.363706E-02
   2.500   7.284382E-02   8.308768E-02
   2.600   7.257044E-02   8.251880E-02
   2.700   7.225242E-02   8.193823E-02
   2.800   7.181203E-02   8.131670E-02
   2.900   7.127281E-02   8.065785E-02
   3.000   7.052135E-02   7.989715E-02
   3.100   6.969552E-02   7.909618E-02
   3.200   6.865828E-02   7.817065E-02
   3.300   6.737991E-02   7.707732E-02
   3.400   6.592340E-02   7.584858E-02
   3.500   6.413163E-02   7.434151E-02
   3.600   6.226186E-02   7.275481E-02
   3.700   6.012003E-02   7.091254E-02
   3.800   5.770246E-02   6.879224E-02
   3.900   5.512138E-02   6.648514E-02
   4.000   5.220603E-02   6.381222E-02
   4.100   4.929593E-02   6.109668E-02
   4.200   4.617683E-02   5.811617E-02
   4.300   4.287817E-02   5.489007E-02
   4.400   3.954543E-02   5.155782E-02
   4.500   3.603656E-02   4.795946E-02
   4.600   3.270399E-02   4.446513E-02
   4.700   2.935918E-02   4.086935E-02
   4.800   2.605935E-02   3.722816E-02
   4.900   2.293456E-02   3.368506E-02
   5.000   1.989783E-02   3.014269E-02
   5.100   1.718299E-02   2.687695E-02
   5.200   1.466071E-02   2.374620E-02
   5.300   1.236306E-02   2.079789E-02
   5.400   1.033951E-02   1.810481E-02
   5.500   8.536145E-03   1.561735E-02
   5.600   7.020104E-03   1.343560E-02
   5.700   5.717461E-03   1.148167E-02
   5.800   4.617850E-03   9.759467E-03
   5.900   3.709348E-03   8.267584E-03
   6.000   2.957825E-03   6.974929E-03
   6.100   2.354000E-03   5.878712E-03
   6.200   1.864806E-03   4.944068E-03
   6.300   1.472462E-03   4.153563E-03
   6.400   1.160604E-03   3.488460E-03
   6.500   9.129303E-04   2.930856E-03
   6.600   7.177755E-04   2.463064E-03
   6.700   5.637553E-04   2.071726E-03
   6.800   4.424488E-04   1.744663E-03
   6.900   3.471321E-04   1.470860E-03
   7.000   2.722305E-04   1.242463E-03
   7.100   2.134721E-04   1.050250E-03
   7.200   1.673664E-04   8.893849E-04
   7.300   1.312336E-04   7.546190E-04
   7.400   1.029422E-04   6.413110E-04
   7.500   8.083888E-05   5.464871E-04
   7.600   6.351278E-05   4.661124E-04
   7.700   4.996981E-05   3.985219E-04
   7.800   3.937854E-05   3.415332E-04
   7.900   3.107622E-05   2.932381E-04
   8.000   2.457328E-05   2.524934E-04
   8.100   1.944144E-05   2.176058E-04
   8.200   1.540087E-05   1.879714E-04
   8.300   1.220528E-05   1.627165E-04
   8.400   9.675784E-06   1.410909E-04
   8.500   7.668535E-06   1.226588E-04
   8.600   6.076989E-06   1.067310E-04
   8.700   4.814183E-06   9.309302E-05
   8.800   3.813543E-06   8.139417E-05
   8.900   3.022153E-06   7.130647E-05
   9.000   2.398839E-06   6.267402E-05
   9.100   1.905667E-06   5.514454E-05
   9.200   1.517558E-06   4.865114E-05
   9.300   1.212091E-06   4.302238E-05
