 Z=  48 A=  86  Cd beta2=-0.09 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.659645E-02   7.496162E-02
   0.100   7.667301E-02   7.514965E-02
   0.200   7.674966E-02   7.533815E-02
   0.300   7.687924E-02   7.566784E-02
   0.400   7.704942E-02   7.611557E-02
   0.500   7.723616E-02   7.661669E-02
   0.600   7.743873E-02   7.720032E-02
   0.700   7.762783E-02   7.781441E-02
   0.800   7.780295E-02   7.843049E-02
   0.900   7.793969E-02   7.902884E-02
   1.000   7.801820E-02   7.957351E-02
   1.100   7.804965E-02   8.006658E-02
   1.200   7.800704E-02   8.047126E-02
   1.300   7.790774E-02   8.080452E-02
   1.400   7.773323E-02   8.103525E-02
   1.500   7.748612E-02   8.116071E-02
   1.600   7.720561E-02   8.123560E-02
   1.700   7.685676E-02   8.120381E-02
   1.800   7.646501E-02   8.109381E-02
   1.900   7.606083E-02   8.095529E-02
   2.000   7.563768E-02   8.076882E-02
   2.100   7.521363E-02   8.055628E-02
   2.200   7.480055E-02   8.034366E-02
   2.300   7.441020E-02   8.014090E-02
   2.400   7.404412E-02   7.995563E-02
   2.500   7.371011E-02   7.980544E-02
   2.600   7.340750E-02   7.969570E-02
   2.700   7.311979E-02   7.960607E-02
   2.800   7.284590E-02   7.955714E-02
   2.900   7.255334E-02   7.951994E-02
   3.000   7.224309E-02   7.947901E-02
   3.100   7.185958E-02   7.940238E-02
   3.200   7.141008E-02   7.928220E-02
   3.300   7.078244E-02   7.902251E-02
   3.400   7.007660E-02   7.869190E-02
   3.500   6.920420E-02   7.821254E-02
   3.600   6.806962E-02   7.748209E-02
   3.700   6.678728E-02   7.660032E-02
   3.800   6.515089E-02   7.535501E-02
   3.900   6.340936E-02   7.398317E-02
   4.000   6.141962E-02   7.233569E-02
   4.100   5.908696E-02   7.030634E-02
   4.200   5.661279E-02   6.809142E-02
   4.300   5.374977E-02   6.542736E-02
   4.400   5.085437E-02   6.267899E-02
   4.500   4.776636E-02   5.967021E-02
   4.600   4.441701E-02   5.631658E-02
   4.700   4.105916E-02   5.288367E-02
   4.800   3.746967E-02   4.911786E-02
   4.900   3.403226E-02   4.543768E-02
   5.000   3.060575E-02   4.168285E-02
   5.100   2.716890E-02   3.782322E-02
   5.200   2.393883E-02   3.410792E-02
   5.300   2.077057E-02   3.036700E-02
   5.400   1.792639E-02   2.691915E-02
   5.500   1.530173E-02   2.364767E-02
   5.600   1.288718E-02   2.055021E-02
   5.700   1.077442E-02   1.775508E-02
   5.800   8.882987E-03   1.517259E-02
   5.900   7.291626E-03   1.292248E-02
   6.000   5.931210E-03   1.093003E-02
   6.100   4.779087E-03   9.181576E-03
   6.200   3.831992E-03   7.686146E-03
   6.300   3.047908E-03   6.399638E-03
   6.400   2.419108E-03   5.321730E-03
   6.500   1.911622E-03   4.413876E-03
   6.600   1.505662E-03   3.655512E-03
   6.700   1.183958E-03   3.025678E-03
   6.800   9.290849E-04   2.504129E-03
   6.900   7.287529E-04   2.072893E-03
   7.000   5.710973E-04   1.716666E-03
   7.100   4.474177E-04   1.423655E-03
   7.200   3.503649E-04   1.181429E-03
   7.300   2.742198E-04   9.820157E-04
   7.400   2.145766E-04   8.167534E-04
   7.500   1.678322E-04   6.801681E-04
   7.600   1.312878E-04   5.676449E-04
   7.700   1.026923E-04   4.742217E-04
   7.800   8.037440E-05   3.971957E-04
   7.900   6.293271E-05   3.329962E-04
   8.000   4.931967E-05   2.797296E-04
   8.100   3.873680E-05   2.356879E-04
   8.200   3.045574E-05   1.988735E-04
   8.300   2.400458E-05   1.683521E-04
   8.400   1.893236E-05   1.426586E-04
   8.500   1.495243E-05   1.211419E-04
   8.600   1.182544E-05   1.031643E-04
   8.700   9.353156E-06   8.796699E-05
   8.800   7.395088E-06   7.522252E-05
   8.900   5.844230E-06   6.438755E-05
   9.000   4.614188E-06   5.522693E-05
   9.100   3.639666E-06   4.752088E-05
   9.200   2.869140E-06   4.095774E-05
   9.300   2.261441E-06   3.543773E-05
   9.400   1.783280E-06   3.070330E-05
   9.500   1.407650E-06   2.667695E-05
   9.600   1.115090E-06   2.326342E-05
   9.700   8.851254E-07   2.032010E-05
   9.800   7.062639E-07   1.779943E-05
   9.900   5.644500E-07   1.559890E-05
  10.000   4.525380E-07   1.368249E-05
  10.100   3.615857E-07   1.196407E-05
  10.200   2.889132E-07   1.046147E-05
  10.300   2.308466E-07   9.147590E-06
  10.400   1.844504E-07   7.998721E-06
  10.500   1.473791E-07   6.994142E-06
  10.600   1.177584E-07   6.115731E-06
  10.700   9.409099E-08   5.347641E-06
  10.800   7.517251E-08   4.678968E-06
  10.900   6.005143E-08   4.096574E-06
  11.000   4.797199E-08   3.586671E-06
  11.100   3.832234E-08   3.140236E-06
  11.200   3.061374E-08   2.749369E-06
  11.300   2.445574E-08   2.407153E-06
  11.400   1.953643E-08   2.107533E-06
  11.500   1.560664E-08   1.845207E-06
  11.600   1.246734E-08   1.615533E-06
  11.700   9.964402E-09   1.413125E-06
  11.800   7.985447E-09   1.229746E-06
  11.900   6.399517E-09   1.070164E-06
  12.000   5.128557E-09   9.312901E-07
  12.100   4.110012E-09   8.104379E-07
  12.200   3.293753E-09   7.052685E-07
  12.300   2.639606E-09   6.137468E-07
  12.400   2.115373E-09   5.341017E-07
  12.500   1.695255E-09   4.647921E-07
  12.600   1.358573E-09   4.044767E-07
  12.700   1.101467E-09   3.500392E-07
  12.800   8.976208E-10   3.021841E-07
  12.900   7.315001E-10   2.608714E-07
  13.000   5.961229E-10   2.252067E-07
  13.100   4.857997E-10   1.944179E-07
  13.200   3.958938E-10   1.678383E-07
  13.300   3.226266E-10   1.448926E-07
  13.400   2.629188E-10   1.250838E-07
  13.500   2.142610E-10   1.079831E-07
  13.600   1.746812E-10   9.415990E-08
  13.700   1.428910E-10   8.897283E-08
  13.800   1.168862E-10   8.407150E-08
  13.900   9.561411E-11   7.944018E-08
  14.000   7.821329E-11   7.506399E-08
  14.100   6.397925E-11   7.092887E-08
  14.200   5.233566E-11   6.702154E-08
  14.300   4.281109E-11   6.332947E-08
  14.400   3.501989E-11   5.984078E-08
  14.500   2.864662E-11   5.654428E-08
  14.600   2.398671E-11   5.521238E-08
  14.700   2.091369E-11   5.706631E-08
  14.800   1.823436E-11   5.898249E-08
  14.900   1.589830E-11   6.096301E-08
  15.000   1.386151E-11   6.301003E-08
  15.100   1.208567E-11   6.512579E-08
  15.200   1.053733E-11   6.731259E-08
  15.300   9.187357E-12   6.957282E-08
  15.400   8.010333E-12   7.190895E-08
  15.500   6.984102E-12   7.432351E-08
  15.600   6.649333E-12   7.640647E-08
  15.700   7.223654E-12   7.791568E-08
  15.800   7.847580E-12   7.945471E-08
  15.900   8.525396E-12   8.102414E-08
  16.000   9.261758E-12   8.262456E-08
  16.100   1.006172E-11   8.425660E-08
  16.200   1.093078E-11   8.592088E-08
  16.300   1.187490E-11   8.761803E-08
  16.400   1.290057E-11   8.934870E-08
  16.500   1.401482E-11   9.111356E-08
  16.600   1.522818E-11   9.212877E-08
  16.700   1.656584E-11   8.838880E-08
  16.800   1.802101E-11   8.480067E-08
  16.900   1.960400E-11   8.135819E-08
  17.000   2.132604E-11   7.805546E-08
  17.100   2.319935E-11   7.488680E-08
  17.200   2.523722E-11   7.184677E-08
  17.300   2.745409E-11   6.893016E-08
  17.400   2.986570E-11   6.613194E-08
  17.500   3.248914E-11   6.344732E-08
  17.600   3.534303E-11   6.087168E-08
  17.700   3.727966E-11   5.532274E-08
  17.800   3.801975E-11   4.739299E-08
  17.900   3.877453E-11   4.059986E-08
  18.000   3.954430E-11   3.478043E-08
  18.100   4.032935E-11   2.979513E-08
  18.200   4.112998E-11   2.552441E-08
  18.300   4.194651E-11   2.186584E-08
  18.400   4.277925E-11   1.873167E-08
  18.500   4.362852E-11   1.604675E-08
  18.600   4.449465E-11   1.374667E-08
  18.700   4.537797E-11   1.177627E-08
  18.800   4.360356E-11   9.776656E-09
  18.900   3.539784E-11   7.426543E-09
  19.000   2.873636E-11   5.641350E-09
  19.100   2.332849E-11   4.285281E-09
  19.200   1.893832E-11   3.255185E-09
  19.300   1.537434E-11   2.472703E-09
  19.400   1.248105E-11   1.878315E-09
  19.500   1.013226E-11   1.426805E-09
  19.600   8.225476E-12   1.083830E-09
  19.700   6.677531E-12   8.232985E-10
  19.800   5.420893E-12   6.253939E-10
  19.900   4.400740E-12   4.750616E-10
 Z=  48 A=  87  Cd beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.726379E-02   7.484538E-02
   0.100   7.738535E-02   7.503596E-02
   0.200   7.750709E-02   7.522703E-02
   0.300   7.771558E-02   7.555789E-02
   0.400   7.799299E-02   7.600719E-02
   0.500   7.830010E-02   7.651031E-02
   0.600   7.864559E-02   7.709968E-02
   0.700   7.898722E-02   7.771583E-02
   0.800   7.931748E-02   7.833437E-02
   0.900   7.960800E-02   7.893448E-02
   1.000   7.982573E-02   7.947428E-02
   1.100   7.999174E-02   7.996716E-02
   1.200   8.006482E-02   8.036998E-02
   1.300   8.005484E-02   8.068835E-02
   1.400   7.995360E-02   8.091272E-02
   1.500   7.975086E-02   8.102923E-02
   1.600   7.949388E-02   8.108667E-02
   1.700   7.913562E-02   8.103614E-02
   1.800   7.870656E-02   8.090852E-02
   1.900   7.824986E-02   8.074955E-02
   2.000   7.774501E-02   8.053884E-02
   2.100   7.721281E-02   8.029904E-02
   2.200   7.668267E-02   8.006010E-02
   2.300   7.615852E-02   7.982891E-02
   2.400   7.565388E-02   7.962163E-02
   2.500   7.517473E-02   7.944455E-02
   2.600   7.472849E-02   7.930998E-02
   2.700   7.430500E-02   7.920513E-02
   2.800   7.390333E-02   7.913846E-02
