 Z=  53 A=  96  I  beta2= 0.11 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.156161E-02   7.238686E-02
   0.100   7.182576E-02   7.261339E-02
   0.200   7.209088E-02   7.284064E-02
   0.300   7.251980E-02   7.321271E-02
   0.400   7.310349E-02   7.372729E-02
   0.500   7.378762E-02   7.433730E-02
   0.600   7.455743E-02   7.504212E-02
   0.700   7.537010E-02   7.581064E-02
   0.800   7.620074E-02   7.661335E-02
   0.900   7.699671E-02   7.742494E-02
   1.000   7.772034E-02   7.821213E-02
   1.100   7.840233E-02   7.898506E-02
   1.200   7.894092E-02   7.967868E-02
   1.300   7.933950E-02   8.028650E-02
   1.400   7.967725E-02   8.085825E-02
   1.500   7.981806E-02   8.129603E-02
   1.600   7.981061E-02   8.162821E-02
   1.700   7.974404E-02   8.191808E-02
   1.800   7.951298E-02   8.208042E-02
   1.900   7.916447E-02   8.214629E-02
   2.000   7.877764E-02   8.217806E-02
   2.100   7.829990E-02   8.212390E-02
   2.200   7.776902E-02   8.200563E-02
   2.300   7.723028E-02   8.186986E-02
   2.400   7.667685E-02   8.169528E-02
   2.500   7.614405E-02   8.149831E-02
   2.600   7.562624E-02   8.129889E-02
   2.700   7.514188E-02   8.109445E-02
   2.800   7.470737E-02   8.089075E-02
   2.900   7.428807E-02   8.068611E-02
   3.000   7.389473E-02   8.047636E-02
   3.100   7.350252E-02   8.024366E-02
   3.200   7.309528E-02   7.998932E-02
   3.300   7.263036E-02   7.967062E-02
   3.400   7.209910E-02   7.928878E-02
   3.500   7.142785E-02   7.877931E-02
   3.600   7.065483E-02   7.817715E-02
   3.700   6.973073E-02   7.743765E-02
   3.800   6.854718E-02   7.646217E-02
   3.900   6.720175E-02   7.533341E-02
   4.000   6.555490E-02   7.392108E-02
   4.100   6.375171E-02   7.235223E-02
   4.200   6.171933E-02   7.055488E-02
   4.300   5.934091E-02   6.841007E-02
   4.400   5.679999E-02   6.608598E-02
   4.500   5.393896E-02   6.342106E-02
   4.600   5.098208E-02   6.062643E-02
   4.700   4.785861E-02   5.762629E-02
   4.800   4.447229E-02   5.431501E-02
   4.900   4.106236E-02   5.092290E-02
   5.000   3.749359E-02   4.730348E-02
   5.100   3.401824E-02   4.371243E-02
   5.200   3.058230E-02   4.008958E-02
   5.300   2.713702E-02   3.637721E-02
   5.400   2.389105E-02   3.279953E-02
   5.500   2.075572E-02   2.926003E-02
   5.600   1.790496E-02   2.595692E-02
   5.700   1.528988E-02   2.284320E-02
   5.800   1.288283E-02   1.989737E-02
   5.900   1.077278E-02   1.723325E-02
   6.000   8.899753E-03   1.479403E-02
   6.100   7.309628E-03   1.264841E-02
   6.200   5.954234E-03   1.075236E-02
   6.300   4.803515E-03   9.084407E-03
   6.400   3.856363E-03   7.653191E-03
   6.500   3.073928E-03   6.423024E-03
