 Z=  59 A= 116  Pr beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.106584E-02   6.722593E-02
   0.100   7.130158E-02   6.741325E-02
   0.200   7.153810E-02   6.760109E-02
   0.300   7.187113E-02   6.786703E-02
   0.400   7.233785E-02   6.824167E-02
   0.500   7.296388E-02   6.875210E-02
   0.600   7.361907E-02   6.928866E-02
   0.700   7.436928E-02   6.991308E-02
   0.800   7.516335E-02   7.059062E-02
   0.900   7.597266E-02   7.128359E-02
   1.000   7.677097E-02   7.199150E-02
   1.100   7.752549E-02   7.268107E-02
   1.200   7.825379E-02   7.336060E-02
   1.300   7.889336E-02   7.398621E-02
   1.400   7.944391E-02   7.455397E-02
   1.500   7.989557E-02   7.505482E-02
   1.600   8.026088E-02   7.549359E-02
   1.700   8.051637E-02   7.585194E-02
   1.800   8.062285E-02   7.609635E-02
   1.900   8.068714E-02   7.630759E-02
   2.000   8.063524E-02   7.642603E-02
   2.100   8.046619E-02   7.644666E-02
   2.200   8.028137E-02   7.645360E-02
   2.300   8.000344E-02   7.637610E-02
   2.400   7.968868E-02   7.626082E-02
   2.500   7.935602E-02   7.612651E-02
   2.600   7.900986E-02   7.596933E-02
   2.700   7.866953E-02   7.580598E-02
   2.800   7.834154E-02   7.564225E-02
   2.900   7.803757E-02   7.548993E-02
   3.000   7.776182E-02   7.535200E-02
   3.100   7.752569E-02   7.523692E-02
   3.200   7.730118E-02   7.512885E-02
   3.300   7.710023E-02   7.503530E-02
   3.400   7.689209E-02   7.493493E-02
   3.500   7.667961E-02   7.483064E-02
   3.600   7.641487E-02   7.468316E-02
   3.700   7.606782E-02   7.446821E-02
   3.800   7.559191E-02   7.414499E-02
   3.900   7.506376E-02   7.377669E-02
   4.000   7.431321E-02   7.321525E-02
   4.100   7.341114E-02   7.252003E-02
   4.200   7.225974E-02   7.159948E-02
   4.300   7.083675E-02   7.043002E-02
   4.400   6.932574E-02   6.917457E-02
   4.500   6.744419E-02   6.757070E-02
   4.600   6.536342E-02   6.577102E-02
   4.700   6.296424E-02   6.366239E-02
   4.800   6.026171E-02   6.125183E-02
   4.900   5.752335E-02   5.878838E-02
   5.000   5.441051E-02   5.594729E-02
   5.100   5.117411E-02   5.296410E-02
   5.200   4.770607E-02   4.972920E-02
   5.300   4.406567E-02   4.629721E-02
   5.400   4.055191E-02   4.295450E-02
   5.500   3.685480E-02   3.939756E-02
   5.600   3.324416E-02   3.588886E-02
   5.700   2.965042E-02   3.235595E-02
   5.800   2.615217E-02   2.887943E-02
   5.900   2.296422E-02   2.567337E-02
   6.000   1.988148E-02   2.253546E-02
   6.100   1.707565E-02   1.964298E-02
   6.200   1.449850E-02   1.694886E-02
   6.300   1.218309E-02   1.449552E-02
   6.400   1.019576E-02   1.235439E-02
   6.500   8.431294E-03   1.042441E-02
   6.600   6.930060E-03   8.752868E-03
   6.700   5.650521E-03   7.302778E-03
   6.800   4.578802E-03   6.065053E-03
   6.900   3.701598E-03   5.028424E-03
   7.000   2.974983E-03   4.152812E-03
   7.100   2.385203E-03   3.425115E-03
   7.200   1.907541E-03   2.821958E-03
   7.300   1.523461E-03   2.325188E-03
   7.400   1.216134E-03   1.916036E-03
   7.500   9.702825E-04   1.580715E-03
   7.600   7.740393E-04   1.305308E-03
   7.700   6.176182E-04   1.079728E-03
   7.800   4.928993E-04   8.947356E-04
   7.900   3.933945E-04   7.419737E-04
   8.000   3.140448E-04   6.167516E-04
