 Z=  65 A= 128  Tb beta2= 0.44 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.602974E-02   7.483048E-02
   0.100   7.613846E-02   7.484370E-02
   0.200   7.624733E-02   7.485694E-02
   0.300   7.638932E-02   7.487541E-02
   0.400   7.660341E-02   7.490529E-02
   0.500   7.689943E-02   7.495310E-02
   0.600   7.720815E-02   7.500347E-02
   0.700   7.758714E-02   7.507691E-02
   0.800   7.799741E-02   7.516487E-02
   0.900   7.843532E-02   7.526659E-02
   1.000   7.888469E-02   7.537977E-02
   1.100   7.934399E-02   7.550498E-02
   1.200   7.978447E-02   7.564120E-02
   1.300   8.022158E-02   7.577747E-02
   1.400   8.060843E-02   7.591225E-02
   1.500   8.093498E-02   7.603395E-02
   1.600   8.123084E-02   7.614899E-02
   1.700   8.144568E-02   7.624008E-02
   1.800   8.159115E-02   7.630836E-02
   1.900   8.163845E-02   7.634091E-02
   2.000   8.164691E-02   7.635753E-02
   2.100   8.156074E-02   7.633529E-02
   2.200   8.136920E-02   7.626696E-02
   2.300   8.115983E-02   7.619069E-02
   2.400   8.085740E-02   7.606927E-02
   2.500   8.050965E-02   7.592521E-02
   2.600   8.012098E-02   7.576040E-02
   2.700   7.971189E-02   7.558431E-02
   2.800   7.928054E-02   7.539584E-02
   2.900   7.884232E-02   7.520172E-02
   3.000   7.840794E-02   7.500890E-02
   3.100   7.799275E-02   7.482607E-02
   3.200   7.760241E-02   7.465568E-02
   3.300   7.722680E-02   7.449246E-02
   3.400   7.687572E-02   7.434086E-02
   3.500   7.653856E-02   7.419350E-02
   3.600   7.620707E-02   7.404134E-02
   3.700   7.586797E-02   7.387965E-02
   3.800   7.549217E-02   7.367883E-02
   3.900   7.506449E-02   7.342849E-02
   4.000   7.451342E-02   7.306476E-02
   4.100   7.391201E-02   7.265382E-02
   4.200   7.315413E-02   7.209991E-02
   4.300   7.221114E-02   7.137723E-02
   4.400   7.110215E-02   7.049988E-02
   4.500   6.969746E-02   6.934789E-02
   4.600   6.820592E-02   6.810939E-02
   4.700   6.643070E-02   6.660139E-02
   4.800   6.438139E-02   6.482930E-02
   4.900   6.211740E-02   6.284314E-02
   5.000   5.949026E-02   6.050092E-02
   5.100   5.682132E-02   5.810109E-02
   5.200   5.386805E-02   5.541112E-02
   5.300   5.068533E-02   5.247875E-02
   5.400   4.737341E-02   4.939607E-02
   5.500   4.380830E-02   4.603886E-02
   5.600   4.035942E-02   4.276145E-02
   5.700   3.680003E-02   3.934180E-02
   5.800   3.322206E-02   3.586840E-02
   5.900   2.973539E-02   3.244617E-02
   6.000   2.627018E-02   2.900718E-02
   6.100   2.310669E-02   2.583047E-02
   6.200   2.008445E-02   2.275948E-02
   6.300   1.727340E-02   1.986636E-02
   6.400   1.472389E-02   1.720552E-02
   6.500   1.239679E-02   1.474443E-02
   6.600   1.039645E-02   1.259335E-02
   6.700   8.629727E-03   1.066362E-02
   6.800   7.105157E-03   8.970435E-03
   6.900   5.811800E-03   7.506668E-03
   7.000   4.717667E-03   6.245745E-03
   7.100   3.821160E-03   5.188558E-03
   7.200   3.078565E-03   4.294627E-03
   7.300   2.472128E-03   3.548136E-03
   7.400   1.980212E-03   2.927643E-03
   7.500   1.583328E-03   2.415452E-03
   7.600   1.265493E-03   1.993223E-03
   7.700   1.010690E-03   1.646046E-03
   7.800   8.071637E-04   1.361137E-03
   7.900   6.444407E-04   1.126622E-03
   8.000   5.146538E-04   9.344757E-04
   8.100   4.110229E-04   7.756429E-04
   8.200   3.282776E-04   6.450103E-04
   8.300   2.622111E-04   5.373442E-04
   8.400   2.093805E-04   4.481877E-04
   8.500   1.672576E-04   3.747132E-04
   8.600   1.336339E-04   3.135417E-04
   8.700   1.068317E-04   2.629443E-04
   8.800   8.551136E-05   2.210435E-04
   8.900   6.850503E-05   1.861534E-04
   9.000   5.501791E-05   1.573253E-04
   9.100   4.422511E-05   1.331233E-04
   9.200   3.563590E-05   1.130165E-04
   9.300   2.878067E-05   9.624917E-05
   9.400   2.327560E-05   8.216251E-05
   9.500   1.885946E-05   7.040629E-05
   9.600   1.528666E-05   6.040541E-05
   9.700   1.239770E-05   5.198869E-05
   9.800   1.005295E-05   4.486603E-05
   9.900   8.145544E-06   3.879415E-05
  10.000   6.592308E-06   3.364383E-05
  10.100   5.333244E-06   2.920385E-05
  10.200   4.310401E-06   2.540870E-05
  10.300   3.483434E-06   2.214900E-05
  10.400   2.815292E-06   1.933143E-05
  10.500   2.280323E-06   1.690050E-05
  10.600   1.848971E-06   1.478134E-05
  10.700   1.504148E-06   1.293955E-05
  10.800   1.237293E-06   1.129236E-05
  10.900   1.019108E-06   9.851291E-06
  11.000   8.393986E-07   8.594123E-06
  11.100   6.913788E-07   7.497388E-06
  11.200   5.694608E-07   6.540613E-06
  11.300   4.690419E-07   5.705935E-06
  11.400   3.863309E-07   4.977775E-06
  11.500   3.182052E-07   4.342539E-06
  11.600   2.589381E-07   3.753622E-06
  11.700   2.103187E-07   3.239988E-06
  11.800   1.708283E-07   2.796639E-06
  11.900   1.387528E-07   2.413955E-06
  12.000   1.126999E-07   2.083638E-06
  12.100   9.153886E-08   1.798519E-06
  12.200   7.435110E-08   1.552416E-06
  12.300   6.039059E-08   1.339988E-06
  12.400   4.905138E-08   1.156628E-06
  12.500   3.984126E-08   9.983591E-07
  12.600   3.347358E-08   8.545142E-07
  12.700   2.824384E-08   7.306176E-07
  12.800   2.383116E-08   6.246849E-07
  12.900   2.010790E-08   5.341114E-07
  13.000   1.696635E-08   4.566702E-07
  13.100   1.431561E-08   3.904573E-07
  13.200   1.207901E-08   3.338446E-07
  13.300   1.019185E-08   2.854403E-07
  13.400   8.599525E-09   2.440541E-07
  13.500   7.255979E-09   2.086685E-07
  13.600   5.822646E-09   1.704261E-07
  13.700   4.606773E-09   1.374056E-07
  13.800   3.644796E-09   1.107830E-07
  13.900   2.883698E-09   8.931856E-08
