 Z=  69 A= 136  Tm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.604541E-02   7.087076E-02
   0.100   7.610012E-02   7.090478E-02
   0.200   7.615487E-02   7.093881E-02
   0.300   7.622313E-02   7.098180E-02
   0.400   7.633633E-02   7.105458E-02
   0.500   7.649667E-02   7.116131E-02
   0.600   7.667330E-02   7.127970E-02
   0.700   7.689818E-02   7.143692E-02
   0.800   7.715709E-02   7.162276E-02
   0.900   7.746459E-02   7.185195E-02
   1.000   7.778377E-02   7.209300E-02
   1.100   7.814422E-02   7.237733E-02
   1.200   7.852420E-02   7.269105E-02
   1.300   7.891286E-02   7.301696E-02
   1.400   7.929849E-02   7.335727E-02
   1.500   7.967441E-02   7.370245E-02
   1.600   8.001683E-02   7.404041E-02
   1.700   8.034614E-02   7.437295E-02
   1.800   8.061226E-02   7.467611E-02
   1.900   8.080390E-02   7.493610E-02
   2.000   8.096380E-02   7.517798E-02
   2.100   8.104052E-02   7.536681E-02
   2.200   8.105274E-02   7.551351E-02
   2.300   8.096198E-02   7.558991E-02
   2.400   8.085177E-02   7.565247E-02
   2.500   8.064081E-02   7.564304E-02
   2.600   8.036341E-02   7.558276E-02
   2.700   8.005526E-02   7.549841E-02
   2.800   7.970185E-02   7.537681E-02
   2.900   7.931937E-02   7.523010E-02
   3.000   7.890966E-02   7.505730E-02
   3.100   7.850172E-02   7.488377E-02
   3.200   7.809383E-02   7.470381E-02
   3.300   7.770311E-02   7.453185E-02
   3.400   7.732222E-02   7.436425E-02
   3.500   7.696094E-02   7.420755E-02
   3.600   7.661270E-02   7.405743E-02
   3.700   7.627124E-02   7.390784E-02
   3.800   7.592760E-02   7.375513E-02
   3.900   7.555590E-02   7.357545E-02
   4.000   7.512505E-02   7.334205E-02
   4.100   7.459994E-02   7.302366E-02
   4.200   7.403719E-02   7.266995E-02
   4.300   7.328873E-02   7.214991E-02
   4.400   7.242319E-02   7.152142E-02
   4.500   7.133136E-02   7.068445E-02
   4.600   7.000690E-02   6.962938E-02
   4.700   6.860451E-02   6.849590E-02
   4.800   6.684821E-02   6.702836E-02
   4.900   6.492090E-02   6.538947E-02
   5.000   6.267253E-02   6.343671E-02
   5.100   6.014166E-02   6.120159E-02
   5.200   5.756899E-02   5.890830E-02
   5.300   5.460940E-02   5.622500E-02
   5.400   5.153738E-02   5.340960E-02
   5.500   4.820262E-02   5.031271E-02
   5.600   4.469535E-02   4.701774E-02
   5.700   4.129421E-02   4.379241E-02
   5.800   3.767545E-02   4.031796E-02
   5.900   3.413846E-02   3.688596E-02
   6.000   3.057501E-02   3.338832E-02
   6.100   2.709425E-02   2.993295E-02
   6.200   2.390433E-02   2.672851E-02
   6.300   2.078618E-02   2.355847E-02
   6.400   1.793977E-02   2.062690E-02
   6.500   1.529693E-02   1.786782E-02
   6.600   1.291136E-02   1.534275E-02
   6.700   1.085233E-02   1.312717E-02
   6.800   9.007326E-03   1.111125E-02
   6.900   7.431507E-03   9.359428E-03
   7.000   6.076863E-03   7.827128E-03
   7.100   4.937124E-03   6.513412E-03
   7.200   4.000632E-03   5.409382E-03
   7.300   3.220055E-03   4.471285E-03
   7.400   2.585012E-03   3.689826E-03
   7.500   2.068408E-03   3.039845E-03
   7.600   1.652290E-03   2.503576E-03
   7.700   1.319018E-03   2.061705E-03
   7.800   1.051921E-03   1.699063E-03
   7.900   8.387039E-04   1.401180E-03
   8.000   6.687124E-04   1.157371E-03
   8.100   5.332001E-04   9.574208E-04
   8.200   4.251560E-04   7.925086E-04
   8.300   3.389948E-04   6.574140E-04
   8.400   2.702491E-04   5.459107E-04
   8.500   2.154307E-04   4.541761E-04
   8.600   1.717291E-04   3.784983E-04
   8.700   1.368935E-04   3.156543E-04
   8.800   1.091753E-04   2.639216E-04
   8.900   8.711412E-05   2.209758E-04
   9.000   6.960931E-05   1.855376E-04
   9.100   5.572151E-05   1.562055E-04
   9.200   4.463815E-05   1.316597E-04
   9.300   3.586564E-05   1.114298E-04
   9.400   2.885990E-05   9.450411E-05
   9.500   2.328139E-05   8.045359E-05
   9.600   1.881090E-05   6.871160E-05
   9.700   1.520831E-05   5.876082E-05
   9.800   1.230726E-05   5.045900E-05
   9.900   9.957556E-06   4.341276E-05
  10.000   8.050727E-06   3.747214E-05
  10.100   6.500837E-06   3.242636E-05
  10.200   5.246577E-06   2.808918E-05
  10.300   4.226871E-06   2.440784E-05
  10.400   3.402962E-06   2.123851E-05
  10.500   2.739172E-06   1.852374E-05
  10.600   2.207374E-06   1.618123E-05
  10.700   1.779759E-06   1.414389E-05
  10.800   1.440293E-06   1.238247E-05
  10.900   1.178018E-06   1.082530E-05
  11.000   9.674505E-07   9.458878E-06
  11.100   7.945213E-07   8.264929E-06
  11.200   6.525027E-07   7.221687E-06
  11.300   5.358695E-07   6.310128E-06
  11.400   4.400842E-07   5.513631E-06
  11.500   3.614203E-07   4.817672E-06
  11.600   2.968174E-07   4.209560E-06
  11.700   2.412443E-07   3.665940E-06
  11.800   1.948113E-07   3.185881E-06
  11.900   1.573153E-07   2.768687E-06
  12.000   1.270364E-07   2.406124E-06
  12.100   1.025853E-07   2.091039E-06
  12.200   8.284036E-08   1.817215E-06
  12.300   6.689581E-08   1.579249E-06
  12.400   5.402017E-08   1.372445E-06
  12.500   4.362273E-08   1.192721E-06
  12.600   3.522653E-08   1.036533E-06
  12.700   2.913372E-08   8.998324E-07
  12.800   2.459792E-08   7.804352E-07
  12.900   2.076830E-08   6.768806E-07
  13.000   1.753490E-08   5.870664E-07
  13.100   1.480491E-08   5.091696E-07
  13.200   1.249995E-08   4.416087E-07
  13.300   1.055385E-08   3.830124E-07
  13.400   8.910728E-09   3.321911E-07
  13.500   7.523425E-09   2.881133E-07
  13.600   6.352111E-09   2.498840E-07
  13.700   5.224871E-09   2.134433E-07
  13.800   4.070712E-09   1.766257E-07
  13.900   3.171503E-09   1.461589E-07
  14.000   2.470927E-09   1.209474E-07
  14.100   1.925107E-09   1.000848E-07
  14.200   1.499856E-09   8.282080E-08
  14.300   1.168542E-09   6.853474E-08
  14.400   9.104147E-10   5.671294E-08
  14.500   7.093067E-10   4.693033E-08
  14.600   5.526229E-10   3.883515E-08
  14.700   4.305501E-10   3.213634E-08
  14.800   4.002333E-10   2.808656E-08
  14.900   3.732575E-10   2.457173E-08
  15.000   3.480999E-10   2.149676E-08
  15.100   3.246379E-10   1.880659E-08
  15.200   3.027573E-10   1.645308E-08
  15.300   2.823514E-10   1.439410E-08
  15.400   2.633208E-10   1.259278E-08
  15.500   2.455730E-10   1.101689E-08
  15.600   2.290213E-10   9.638202E-09
  15.700   2.135852E-10   8.432050E-09
  15.800   1.870684E-10   8.212782E-09
