 Z=  73 A= 144  Ta beta2= 0.46 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.884772E-02   7.239112E-02
   0.100   7.880359E-02   7.235562E-02
   0.200   7.875948E-02   7.232014E-02
   0.300   7.871060E-02   7.228087E-02
   0.400   7.863468E-02   7.222000E-02
   0.500   7.855408E-02   7.215582E-02
   0.600   7.847067E-02   7.208967E-02
   0.700   7.839831E-02   7.203479E-02
   0.800   7.833590E-02   7.199002E-02
   0.900   7.832344E-02   7.199193E-02
   1.000   7.831097E-02   7.199385E-02
   1.100   7.836252E-02   7.205859E-02
   1.200   7.844860E-02   7.215844E-02
   1.300   7.857937E-02   7.230406E-02
   1.400   7.872881E-02   7.247124E-02
   1.500   7.892006E-02   7.268672E-02
   1.600   7.913346E-02   7.293822E-02
   1.700   7.935353E-02   7.320054E-02
   1.800   7.956854E-02   7.347476E-02
   1.900   7.977315E-02   7.375162E-02
   2.000   7.993594E-02   7.401337E-02
   2.100   8.009270E-02   7.427236E-02
   2.200   8.017651E-02   7.448966E-02
   2.300   8.020472E-02   7.467034E-02
   2.400   8.018795E-02   7.482127E-02
   2.500   8.012189E-02   7.493677E-02
   2.600   7.999946E-02   7.501144E-02
   2.700   7.978777E-02   7.501690E-02
   2.800   7.957084E-02   7.501786E-02
   2.900   7.929083E-02   7.496551E-02
   3.000   7.898741E-02   7.489077E-02
   3.100   7.865730E-02   7.478863E-02
   3.200   7.832607E-02   7.468266E-02
   3.300   7.798833E-02   7.456420E-02
   3.400   7.766473E-02   7.444948E-02
   3.500   7.734759E-02   7.433637E-02
   3.600   7.704626E-02   7.423097E-02
   3.700   7.675476E-02   7.412980E-02
   3.800   7.646424E-02   7.402475E-02
   3.900   7.617442E-02   7.391946E-02
   4.000   7.584942E-02   7.377994E-02
   4.100   7.546298E-02   7.358770E-02
   4.200   7.498735E-02   7.331650E-02
   4.300   7.445828E-02   7.299685E-02
   4.400   7.375147E-02   7.251867E-02
   4.500   7.292958E-02   7.193610E-02
   4.600   7.186832E-02   7.113400E-02
   4.700   7.059272E-02   7.013251E-02
   4.800   6.920080E-02   6.901871E-02
   4.900   6.747984E-02   6.759272E-02
   5.000   6.558721E-02   6.599745E-02
   5.100   6.335160E-02   6.406813E-02
   5.200   6.086040E-02   6.188133E-02
   5.300   5.827225E-02   5.958375E-02
   5.400   5.532917E-02   5.692685E-02
   5.500   5.227085E-02   5.413452E-02
   5.600   4.891997E-02   5.103211E-02
   5.700   4.542419E-02   4.775731E-02
   5.800   4.197504E-02   4.449326E-02
   5.900   3.833813E-02   4.100997E-02
   6.000   3.477906E-02   3.756401E-02
   6.100   3.116675E-02   3.402462E-02
   6.200   2.765868E-02   3.054739E-02
   6.300   2.440002E-02   2.727818E-02
   6.400   2.123744E-02   2.406632E-02
   6.500   1.834595E-02   2.109018E-02
   6.600   1.564673E-02   1.827440E-02
   6.700   1.321879E-02   1.570534E-02
