 Z=  75 A= 156  Re beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.913717E-02   7.061611E-02
   0.100   8.890557E-02   7.054554E-02
   0.200   8.867457E-02   7.047504E-02
   0.300   8.843702E-02   7.040265E-02
   0.400   8.799745E-02   7.027492E-02
   0.500   8.748779E-02   7.013495E-02
   0.600   8.689118E-02   6.997967E-02
   0.700   8.627261E-02   6.982657E-02
   0.800   8.558968E-02   6.967867E-02
   0.900   8.491027E-02   6.956517E-02
   1.000   8.423539E-02   6.946758E-02
   1.100   8.360851E-02   6.941291E-02
   1.200   8.302664E-02   6.939907E-02
   1.300   8.259731E-02   6.948126E-02
   1.400   8.218254E-02   6.957158E-02
   1.500   8.191665E-02   6.973809E-02
   1.600   8.173045E-02   6.994256E-02
   1.700   8.170234E-02   7.021204E-02
   1.800   8.167425E-02   7.048256E-02
   1.900   8.178988E-02   7.079498E-02
   2.000   8.193686E-02   7.110830E-02
   2.100   8.212886E-02   7.142172E-02
   2.200   8.232295E-02   7.172795E-02
   2.300   8.252305E-02   7.200667E-02
   2.400   8.268843E-02   7.224480E-02
   2.500   8.283439E-02   7.246031E-02
   2.600   8.293708E-02   7.263986E-02
   2.700   8.299058E-02   7.277836E-02
   2.800   8.294795E-02   7.284805E-02
   2.900   8.289226E-02   7.290837E-02
   3.000   8.276362E-02   7.292154E-02
   3.100   8.259607E-02   7.291024E-02
   3.200   8.236177E-02   7.286186E-02
   3.300   8.212813E-02   7.281351E-02
   3.400   8.185636E-02   7.274957E-02
   3.500   8.158225E-02   7.268704E-02
   3.600   8.130705E-02   7.262853E-02
   3.700   8.103484E-02   7.257218E-02
   3.800   8.077249E-02   7.252500E-02
   3.900   8.050792E-02   7.246995E-02
   4.000   8.024215E-02   7.240961E-02
   4.100   7.995851E-02   7.232760E-02
   4.200   7.962985E-02   7.219540E-02
   4.300   7.925020E-02   7.201051E-02
   4.400   7.872703E-02   7.168505E-02
   4.500   7.814455E-02   7.130226E-02
   4.600   7.741426E-02   7.077895E-02
   4.700   7.645714E-02   7.004548E-02
   4.800   7.535872E-02   6.917739E-02
   4.900   7.391609E-02   6.799330E-02
   5.000   7.237485E-02   6.671455E-02
   5.100   7.056747E-02   6.518769E-02
   5.200   6.841412E-02   6.333974E-02
   5.300   6.608645E-02   6.132466E-02
   5.400   6.332190E-02   5.890252E-02
   5.500   6.050435E-02   5.642189E-02
   5.600   5.742496E-02   5.369091E-02
   5.700   5.403078E-02   5.065837E-02
   5.800   5.056073E-02   4.754231E-02
   5.900   4.675947E-02   4.410897E-02
   6.000   4.307625E-02   4.076918E-02
   6.100   3.931339E-02   3.734082E-02
   6.200   3.546783E-02   3.382165E-02
   6.300   3.177432E-02   3.042708E-02
   6.400   2.805769E-02   2.699664E-02
   6.500   2.466430E-02   2.385030E-02
   6.600   2.144784E-02   2.085470E-02
   6.700   1.842340E-02   1.802544E-02
   6.800   1.571048E-02   1.547381E-02
   6.900   1.321348E-02   1.311468E-02
   7.000   1.106954E-02   1.107509E-02
   7.100   9.186501E-03   9.272428E-03
   7.200   7.552366E-03   7.698402E-03
   7.300   6.176161E-03   6.361908E-03
   7.400   5.007059E-03   5.218906E-03
   7.500   4.050689E-03   4.274002E-03
   7.600   3.260721E-03   3.486282E-03
   7.700   2.615243E-03   2.836749E-03
   7.800   2.093630E-03   2.305565E-03
   7.900   1.672588E-03   1.872552E-03
   8.000   1.335789E-03   1.521055E-03
   8.100   1.066038E-03   1.235975E-03
   8.200   8.510198E-04   1.005802E-03
   8.300   6.793026E-04   8.190994E-04
   8.400   5.423157E-04   6.681851E-04
   8.500   4.329286E-04   5.453272E-04
   8.600   3.455520E-04   4.455468E-04
   8.700   2.758208E-04   3.645742E-04
   8.800   2.200918E-04   2.984920E-04
   8.900   1.755654E-04   2.447496E-04
   9.000   1.400450E-04   2.007852E-04
   9.100   1.117091E-04   1.649201E-04
   9.200   8.920208E-05   1.357851E-04
   9.300   7.126927E-05   1.119400E-04
   9.400   5.706904E-05   9.260743E-05
   9.500   4.573671E-05   7.670935E-05
   9.600   3.672977E-05   6.373256E-05
   9.700   2.958775E-05   5.317554E-05
   9.800   2.386822E-05   4.446784E-05
   9.900   1.930225E-05   3.735882E-05
  10.000   1.561568E-05   3.142563E-05
  10.100   1.264393E-05   2.651347E-05
  10.200   1.023859E-05   2.244275E-05
  10.300   8.285257E-06   1.902463E-05
  10.400   6.690871E-06   1.616957E-05
  10.500   5.398916E-06   1.375183E-05
  10.600   4.347825E-06   1.171340E-05
  10.700   3.496220E-06   9.997360E-06
  10.800   2.809055E-06   8.539633E-06
  10.900   2.257581E-06   7.309707E-06
  11.000   1.815645E-06   6.260754E-06
  11.100   1.462823E-06   5.370176E-06
  11.200   1.199326E-06   4.622117E-06
  11.300   9.836605E-07   3.978554E-06
  11.400   8.067768E-07   3.424598E-06
  11.500   6.617006E-07   2.947773E-06
  11.600   5.427123E-07   2.537338E-06
  11.700   4.451207E-07   2.184051E-06
  11.800   3.650783E-07   1.879953E-06
  11.900   2.994292E-07   1.618197E-06
  12.000   2.424348E-07   1.389518E-06
  12.100   1.951694E-07   1.191876E-06
  12.200   1.571189E-07   1.022346E-06
  12.300   1.264868E-07   8.769294E-07
  12.400   1.018268E-07   7.521968E-07
  12.500   8.197448E-08   6.452059E-07
  12.600   6.599263E-08   5.534332E-07
  12.700   5.312662E-08   4.747140E-07
  12.800   4.276898E-08   4.071916E-07
  12.900   3.443069E-08   3.492736E-07
  13.000   2.824071E-08   3.023830E-07
  13.100   2.388047E-08   2.657762E-07
  13.200   2.019343E-08   2.336010E-07
  13.300   1.707566E-08   2.053210E-07
  13.400   1.443925E-08   1.804646E-07
  13.500   1.220990E-08   1.586173E-07
  13.600   1.032474E-08   1.394149E-07
  13.700   8.730648E-09   1.225372E-07
  13.800   7.382674E-09   1.077027E-07
  13.900   6.242822E-09   9.466404E-08
  14.000   5.278958E-09   8.320390E-08
  14.100   4.100962E-09   7.288790E-08
  14.200   3.166183E-09   6.383540E-08
  14.300   2.444479E-09   5.590721E-08
  14.400   1.887281E-09   4.896367E-08
  14.500   1.457092E-09   4.288251E-08
  14.600   1.124960E-09   3.755661E-08
  14.700   8.685353E-10   3.289217E-08
  14.800   6.705602E-10   2.880705E-08
  14.900   5.177118E-10   2.522929E-08
  15.000   3.997039E-10   2.209587E-08
  15.100   3.308597E-10   1.964618E-08
  15.200   3.117005E-10   1.796509E-08
  15.300   2.936508E-10   1.642785E-08
  15.400   2.766463E-10   1.502215E-08
  15.500   2.606265E-10   1.373673E-08
  15.600   2.455344E-10   1.256131E-08
  15.700   2.313162E-10   1.148646E-08
  15.800   2.179213E-10   1.050358E-08
  15.900   2.053021E-10   9.604811E-09
  16.000   1.934136E-10   8.782945E-09
  16.100   1.822136E-10   8.031404E-09
  16.200   1.599874E-10   7.391356E-09
  16.300   1.337081E-10   6.832907E-09
  16.400   1.117454E-10   6.316652E-09
  16.500   9.339030E-11   5.839402E-09
  16.600   7.805016E-11   5.398210E-09
  16.700   6.522976E-11   4.990352E-09
  16.800   5.451523E-11   4.613310E-09
  16.900   4.556064E-11   4.264755E-09
  17.000   3.807693E-11   3.942534E-09
  17.100   3.182247E-11   3.644659E-09
  17.200   2.659536E-11   3.369289E-09
  17.300   2.488785E-11   3.174864E-09
  17.400   2.525195E-11   3.032862E-09
  17.500   2.562139E-11   2.897210E-09
  17.600   2.599623E-11   2.767626E-09
  17.700   2.637655E-11   2.643838E-09
  17.800   2.676244E-11   2.525587E-09
  17.900   2.715397E-11   2.412625E-09
  18.000   2.755123E-11   2.304715E-09
  18.100   2.795431E-11   2.201632E-09
  18.200   2.836328E-11   2.103159E-09
  18.300   2.877823E-11   2.009091E-09
  18.400   3.000781E-11   1.891351E-09
  18.500   3.394712E-11   1.704437E-09
  18.600   3.840357E-11   1.535995E-09
  18.700   4.344505E-11   1.384200E-09
  18.800   4.914835E-11   1.247405E-09
  18.900   5.560036E-11   1.124130E-09
  19.000   6.289937E-11   1.013037E-09
  19.100   7.115656E-11   9.129232E-10
  19.200   8.049773E-11   8.227031E-10
  19.300   9.106517E-11   7.413990E-10
  19.400   1.030199E-10   6.681299E-10
  19.500   1.165439E-10   6.021016E-10
  19.600   1.248486E-10   5.551347E-10
  19.700   1.259853E-10   5.248115E-10
