 Z=  78 A= 162  Pt beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.725786E-02   7.153619E-02
   0.100   8.703463E-02   7.142609E-02
   0.200   8.681197E-02   7.131617E-02
   0.300   8.658988E-02   7.120641E-02
   0.400   8.617238E-02   7.100508E-02
   0.500   8.569691E-02   7.078054E-02
   0.600   8.512545E-02   7.051810E-02
   0.700   8.454512E-02   7.025430E-02
   0.800   8.389576E-02   6.997802E-02
   0.900   8.325506E-02   6.972526E-02
   1.000   8.262252E-02   6.949339E-02
   1.100   8.202436E-02   6.929117E-02
   1.200   8.149442E-02   6.915219E-02
   1.300   8.108681E-02   6.910213E-02
   1.400   8.073298E-02   6.909083E-02
   1.500   8.047888E-02   6.914503E-02
   1.600   8.033007E-02   6.926922E-02
   1.700   8.034675E-02   6.949200E-02
   1.800   8.038925E-02   6.973091E-02
   1.900   8.052560E-02   7.001873E-02
   2.000   8.071441E-02   7.033412E-02
   2.100   8.096983E-02   7.067179E-02
   2.200   8.122605E-02   7.101109E-02
   2.300   8.148269E-02   7.133320E-02
   2.400   8.172736E-02   7.164041E-02
   2.500   8.192247E-02   7.190043E-02
   2.600   8.211804E-02   7.216139E-02
   2.700   8.221530E-02   7.234291E-02
   2.800   8.226981E-02   7.249225E-02
   2.900   8.225308E-02   7.258761E-02
   3.000   8.221975E-02   7.267112E-02
   3.100   8.209805E-02   7.269089E-02
   3.200   8.193628E-02   7.268294E-02
   3.300   8.174050E-02   7.265129E-02
   3.400   8.153352E-02   7.261282E-02
   3.500   8.130315E-02   7.256032E-02
   3.600   8.107370E-02   7.251170E-02
   3.700   8.084501E-02   7.246468E-02
   3.800   8.062513E-02   7.242446E-02
   3.900   8.041413E-02   7.239113E-02
   4.000   8.019916E-02   7.235174E-02
   4.100   7.998412E-02   7.231151E-02
   4.200   7.973854E-02   7.224059E-02
   4.300   7.943811E-02   7.211778E-02
   4.400   7.906839E-02   7.193118E-02
   4.500   7.857707E-02   7.163376E-02
   4.600   7.797832E-02   7.123866E-02
   4.700   7.724021E-02   7.071633E-02
   4.800   7.625626E-02   6.997064E-02
   4.900   7.510299E-02   6.907017E-02
   5.000   7.367350E-02   6.791611E-02
   5.100   7.205687E-02   6.658825E-02
   5.200   7.020817E-02   6.504410E-02
   5.300   6.799607E-02   6.316034E-02
   5.400   6.558265E-02   6.108344E-02
   5.500   6.283854E-02   5.869261E-02
   5.600   5.992781E-02   5.613601E-02
   5.700   5.681250E-02   5.337697E-02
   5.800   5.336964E-02   5.029958E-02
   5.900   4.983100E-02   4.711725E-02
   6.000   4.608411E-02   4.372477E-02
   6.100   4.234254E-02   4.031910E-02
   6.200   3.858719E-02   3.688222E-02
   6.300   3.474470E-02   3.334641E-02
   6.400   3.104458E-02   2.992514E-02
   6.500   2.741528E-02   2.655287E-02
   6.600   2.403002E-02   2.339185E-02
   6.700   2.086755E-02   2.042407E-02
   6.800   1.789061E-02   1.761772E-02
   6.900   1.522062E-02   1.508647E-02
   7.000   1.280416E-02   1.278338E-02
   7.100   1.070149E-02   1.076717E-02
   7.200   8.873546E-03   9.003112E-03
   7.300   7.286580E-03   7.461963E-03
   7.400   5.951501E-03   6.155376E-03
   7.500   4.826492E-03   5.046183E-03
   7.600   3.901059E-03   4.125490E-03
   7.700   3.140777E-03   3.362104E-03
   7.800   2.519285E-03   2.732594E-03
   7.900   2.017446E-03   2.218747E-03
   8.000   1.612852E-03   1.800249E-03
   8.100   1.289079E-03   1.461152E-03
   8.200   1.030103E-03   1.186563E-03
   8.300   8.233545E-04   9.648757E-04
   8.400   6.581736E-04   7.852135E-04
   8.500   5.262651E-04   6.398156E-04
   8.600   4.208722E-04   5.217949E-04
   8.700   3.366590E-04   4.260049E-04
   8.800   2.692975E-04   3.482342E-04
   8.900   2.153783E-04   2.848275E-04
   9.000   1.722248E-04   2.331922E-04
   9.100   1.377490E-04   1.910850E-04
   9.200   1.102176E-04   1.567666E-04
   9.300   8.828917E-05   1.288837E-04
   9.400   7.079143E-05   1.061181E-04
   9.500   5.687136E-05   8.760745E-05
   9.600   4.576992E-05   7.248531E-05
   9.700   3.692023E-05   6.014387E-05
   9.800   2.988153E-05   5.011644E-05
   9.900   2.422745E-05   4.186594E-05
  10.000   1.969142E-05   3.510717E-05
  10.100   1.602273E-05   2.950779E-05
  10.200   1.305361E-05   2.487153E-05
  10.300   1.063817E-05   2.103089E-05
  10.400   8.665617E-06   1.781038E-05
  10.500   7.050228E-06   1.511369E-05
  10.600   5.730623E-06   1.283882E-05
  10.700   4.652794E-06   1.092072E-05
  10.800   3.772921E-06   9.303725E-06
  10.900   3.058349E-06   7.932078E-06
  11.000   2.479870E-06   6.771221E-06
  11.100   2.013871E-06   5.785756E-06
  11.200   1.644299E-06   4.951951E-06
  11.300   1.363453E-06   4.250595E-06
  11.400   1.130575E-06   3.648573E-06
