 Z=  95 A= 204  Am beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.826932E-02   6.614794E-02
   0.100   7.816842E-02   6.598228E-02
   0.200   7.806765E-02   6.581703E-02
   0.300   7.796701E-02   6.565220E-02
   0.400   7.781130E-02   6.539633E-02
   0.500   7.762245E-02   6.508615E-02
   0.600   7.738345E-02   6.469250E-02
   0.700   7.713352E-02   6.428170E-02
   0.800   7.687728E-02   6.385906E-02
   0.900   7.660816E-02   6.341134E-02
   1.000   7.635948E-02   6.298960E-02
   1.100   7.612885E-02   6.259077E-02
   1.200   7.590430E-02   6.220148E-02
   1.300   7.576941E-02   6.192979E-02
   1.400   7.567060E-02   6.170600E-02
   1.500   7.568111E-02   6.162507E-02
   1.600   7.569162E-02   6.154425E-02
   1.700   7.583067E-02   6.162553E-02
   1.800   7.600762E-02   6.175436E-02
   1.900   7.633040E-02   6.206008E-02
   2.000   7.666001E-02   6.237395E-02
   2.100   7.704329E-02   6.275045E-02
   2.200   7.748273E-02   6.319271E-02
   2.300   7.794882E-02   6.366677E-02
   2.400   7.842905E-02   6.415786E-02
   2.500   7.890617E-02   6.464681E-02
   2.600   7.936311E-02   6.511686E-02
   2.700   7.978656E-02   6.555654E-02
   2.800   8.015759E-02   6.594798E-02
   2.900   8.053035E-02   6.634177E-02
   3.000   8.078740E-02   6.663296E-02
   3.100   8.101923E-02   6.690360E-02
   3.200   8.112473E-02   6.707284E-02
   3.300   8.123036E-02   6.724250E-02
   3.400   8.124914E-02   6.735242E-02
   3.500   8.121986E-02   6.742924E-02
   3.600   8.110660E-02   6.746661E-02
   3.700   8.097682E-02   6.749613E-02
   3.800   8.082827E-02   6.752736E-02
   3.900   8.064649E-02   6.756161E-02
   4.000   8.046784E-02   6.762509E-02
   4.100   8.029179E-02   6.771244E-02
   4.200   8.011899E-02   6.780536E-02
   4.300   7.997976E-02   6.796207E-02
   4.400   7.984792E-02   6.812909E-02
   4.500   7.973579E-02   6.832381E-02
   4.600   7.962382E-02   6.851909E-02
   4.700   7.949669E-02   6.869689E-02
   4.800   7.933337E-02   6.883483E-02
   4.900   7.911308E-02   6.891090E-02
   5.000   7.879882E-02   6.888561E-02
   5.100   7.838363E-02   6.875553E-02
   5.200   7.784563E-02   6.849835E-02
   5.300   7.708258E-02   6.801423E-02
   5.400   7.615625E-02   6.736570E-02
   5.500   7.498193E-02   6.647147E-02
   5.600   7.360946E-02   6.538202E-02
