 Z= 105 A= 232  Db beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.913124E-02   6.440770E-02
   0.100   7.942519E-02   6.424898E-02
   0.200   7.972023E-02   6.409064E-02
   0.300   8.001636E-02   6.393269E-02
   0.400   8.040824E-02   6.371809E-02
   0.500   8.093796E-02   6.342318E-02
   0.600   8.152195E-02   6.308376E-02
   0.700   8.216363E-02   6.269853E-02
   0.800   8.281035E-02   6.231565E-02
   0.900   8.343711E-02   6.190537E-02
   1.000   8.406457E-02   6.149306E-02
   1.100   8.454662E-02   6.112890E-02
   1.200   8.502164E-02   6.076982E-02
   1.300   8.542705E-02   6.045076E-02
   1.400   8.567447E-02   6.021662E-02
   1.500   8.582807E-02   6.005458E-02
   1.600   8.583340E-02   6.000470E-02
   1.700   8.583873E-02   5.995486E-02
   1.800   8.569359E-02   6.005972E-02
   1.900   8.550183E-02   6.021325E-02
   2.000   8.522015E-02   6.051640E-02
   2.100   8.492211E-02   6.084990E-02
   2.200   8.462164E-02   6.121083E-02
   2.300   8.430934E-02   6.166967E-02
   2.400   8.401735E-02   6.214337E-02
   2.500   8.377336E-02   6.264901E-02
   2.600   8.353007E-02   6.315877E-02
   2.700   8.336047E-02   6.365233E-02
   2.800   8.322843E-02   6.413929E-02
   2.900   8.318218E-02   6.456455E-02
   3.000   8.316619E-02   6.496938E-02
   3.100   8.315980E-02   6.536354E-02
   3.200   8.322946E-02   6.565482E-02
   3.300   8.330367E-02   6.592456E-02
   3.400   8.339725E-02   6.609710E-02
   3.500   8.349093E-02   6.627009E-02
   3.600   8.356355E-02   6.638718E-02
   3.700   8.361971E-02   6.646051E-02
   3.800   8.361980E-02   6.650062E-02
   3.900   8.358821E-02   6.652193E-02
   4.000   8.355541E-02   6.654327E-02
   4.100   8.342271E-02   6.656563E-02
   4.200   8.328292E-02   6.659263E-02
   4.300   8.306889E-02   6.666721E-02
   4.400   8.285541E-02   6.674187E-02
   4.500   8.261840E-02   6.684691E-02
   4.600   8.235423E-02   6.698731E-02
   4.700   8.207040E-02   6.714385E-02
   4.800   8.177014E-02   6.731426E-02
   4.900   8.147098E-02   6.748512E-02
   5.000   8.112668E-02   6.762271E-02
   5.100   8.074242E-02   6.771215E-02
   5.200   8.030255E-02   6.772972E-02
   5.300   7.978828E-02   6.764913E-02
   5.400   7.918199E-02   6.745164E-02
   5.500   7.847664E-02   6.712873E-02
   5.600   7.758280E-02   6.658070E-02
   5.700   7.654438E-02   6.586573E-02
   5.800   7.531284E-02   6.493333E-02
   5.900   7.388748E-02   6.379162E-02
   6.000   7.226951E-02   6.244393E-02
   6.100   7.032127E-02   6.076222E-02
   6.200   6.816245E-02   5.887161E-02
   6.300   6.573663E-02   5.672028E-02
   6.400   6.308172E-02   5.435217E-02
   6.500   6.022358E-02   5.179421E-02
   6.600   5.701838E-02   4.891984E-02
   6.700   5.366570E-02   4.591678E-02
   6.800   5.012695E-02   4.275347E-02
   6.900   4.648958E-02   3.951220E-02
   7.000   4.280556E-02   3.624139E-02
   7.100   3.897720E-02   3.285703E-02
   7.200   3.522557E-02   2.955602E-02
   7.300   3.153444E-02   2.632525E-02
   7.400   2.799489E-02   2.324470E-02
   7.500   2.464583E-02   2.034770E-02
   7.600   2.143559E-02   1.758958E-02
   7.700   1.850037E-02   1.508454E-02
   7.800   1.581676E-02   1.281056E-02
   7.900   1.341866E-02   1.079423E-02
   8.000   1.129865E-02   9.025929E-03
   8.100   9.419399E-03   7.471676E-03
   8.200   7.808518E-03   6.150131E-03
   8.300   6.430167E-03   5.029262E-03
   8.400   5.270876E-03   4.094647E-03
   8.500   4.302262E-03   3.320335E-03
   8.600   3.495844E-03   2.681666E-03
   8.700   2.835189E-03   2.162659E-03
   8.800   2.295093E-03   1.741875E-03
   8.900   1.856854E-03   1.402933E-03
   9.000   1.501754E-03   1.130150E-03
   9.100   1.215107E-03   9.116070E-04
   9.200   9.838426E-04   7.362074E-04
   9.300   7.973328E-04   5.954336E-04
   9.400   6.466646E-04   4.821658E-04
   9.500   5.248038E-04   3.908718E-04
   9.600   4.261639E-04   3.172458E-04
   9.700   3.461133E-04   2.576355E-04
   9.800   2.810790E-04   2.093325E-04
   9.900   2.281976E-04   1.701457E-04
  10.000   1.852003E-04   1.383416E-04
  10.100   1.502362E-04   1.125850E-04
  10.200   1.218694E-04   9.173135E-05
  10.300   9.886510E-05   7.486861E-05
  10.400   8.026134E-05   6.125657E-05
  10.500   6.521689E-05   5.025544E-05
  10.600   5.311674E-05   4.145127E-05
  10.700   4.335421E-05   3.433302E-05
  10.800   3.548849E-05   2.859208E-05
  10.900   2.913243E-05   2.392832E-05
  11.000   2.398158E-05   2.012104E-05
  11.100   1.981660E-05   1.702769E-05
  11.200   1.640663E-05   1.445889E-05
  11.300   1.360994E-05   1.232177E-05
  11.400   1.129657E-05   1.051970E-05
  11.500   9.378122E-06   8.993824E-06
  11.600   7.774832E-06   7.692319E-06
  11.700   6.434885E-06   6.576181E-06
  11.800   5.312374E-06   5.616660E-06
  11.900   4.374216E-06   4.791593E-06
  12.000   3.594754E-06   4.087104E-06
  12.100   2.952771E-06   3.491258E-06
  12.200   2.425439E-06   2.982278E-06
  12.300   1.992283E-06   2.547501E-06
  12.400   1.636484E-06   2.176109E-06
  12.500   1.344226E-06   1.858861E-06
  12.600   1.104162E-06   1.587863E-06
  12.700   9.069714E-07   1.356374E-06
  12.800   7.449965E-07   1.158632E-06
  12.900   6.210709E-07   9.951032E-07
  13.000   5.264714E-07   8.598995E-07
  13.100   4.462811E-07   7.430658E-07
  13.200   3.783050E-07   6.421061E-07
  13.300   3.206829E-07   5.548638E-07
  13.400   2.718375E-07   4.794750E-07
  13.500   2.304321E-07   4.143292E-07
  13.600   1.953335E-07   3.580347E-07
  13.700   1.655809E-07   3.093889E-07
  13.800   1.403602E-07   2.673525E-07
  13.900   1.189810E-07   2.310276E-07
  14.000   9.909648E-08   2.009336E-07
  14.100   8.079052E-08   1.761356E-07
  14.200   6.586620E-08   1.543980E-07
  14.300   5.369883E-08   1.353431E-07
  14.400   4.377912E-08   1.186399E-07
  14.500   3.569186E-08   1.039981E-07
  14.600   2.909856E-08   9.116326E-08
  14.700   2.372322E-08   7.991244E-08
  14.800   1.934086E-08   7.005013E-08
  14.900   1.576805E-08   6.140496E-08
  15.000   1.285524E-08   5.382673E-08
  15.100   1.079511E-08   4.741935E-08
  15.200   9.745893E-09   4.228721E-08
  15.300   8.798651E-09   3.771051E-08
  15.400   7.943475E-09   3.362914E-08
  15.500   7.171417E-09   2.998949E-08
  15.600   6.474398E-09   2.674376E-08
  15.700   5.845126E-09   2.384931E-08
  15.800   5.277015E-09   2.126812E-08
  15.900   4.764121E-09   1.896630E-08
  16.000   4.301077E-09   1.691359E-08
  16.100   3.883038E-09   1.508305E-08
  16.200   3.505630E-09   1.345063E-08
  16.300   2.899088E-09   1.206960E-08
  16.400   2.394073E-09   1.083147E-08
  16.500   1.977030E-09   9.720345E-09
  16.600   1.632635E-09   8.723203E-09
  16.700   1.348233E-09   7.828351E-09
  16.800   1.113373E-09   7.025296E-09
  16.900   9.194255E-10   6.304620E-09
  17.000   7.592633E-10   5.657873E-09
  17.100   6.270010E-10   5.077472E-09
  17.200   5.177786E-10   4.556610E-09
  17.300   4.275825E-10   4.089179E-09
  17.400   3.937111E-10   3.738168E-09
  17.500   4.067628E-10   3.484756E-09
  17.600   4.202472E-10   3.248523E-09
  17.700   4.341786E-10   3.028305E-09
  17.800   4.485719E-10   2.823015E-09
  17.900   4.634423E-10   2.631642E-09
  18.000   4.788056E-10   2.453242E-09
  18.100   4.946783E-10   2.286936E-09
  18.200   5.110771E-10   2.131903E-09
  18.300   5.280196E-10   1.987381E-09
  18.400   5.455238E-10   1.852655E-09
  18.500   5.636082E-10   1.727063E-09
  18.600   5.588559E-10   1.567396E-09
  18.700   5.457032E-10   1.408312E-09
  18.800   5.328601E-10   1.265374E-09
  18.900   5.203192E-10   1.136944E-09
  19.000   5.080735E-10   1.021549E-09
  19.100   4.961159E-10   9.178660E-10
  19.200   4.844398E-10   8.247065E-10
  19.300   4.730385E-10   7.410023E-10
  19.400   4.619056E-10   6.657938E-10
  19.500   4.510346E-10   5.982185E-10
  19.600   4.404195E-10   5.375019E-10
  19.700   4.300542E-10   4.829477E-10
  19.800   4.542894E-10   4.852890E-10
  19.900   5.033815E-10   5.219439E-10
 Z= 105 A= 233  Db beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.895207E-02   6.408235E-02
   0.100   7.924485E-02   6.392519E-02
   0.200   7.953872E-02   6.376842E-02
   0.300   7.983368E-02   6.361203E-02
   0.400   8.022268E-02   6.340049E-02
   0.500   8.075155E-02   6.310809E-02
   0.600   8.133340E-02   6.277271E-02
   0.700   8.197392E-02   6.239100E-02
   0.800   8.261948E-02   6.201160E-02
   0.900   8.324696E-02   6.160692E-02
   1.000   8.387493E-02   6.119985E-02
   1.100   8.436330E-02   6.083972E-02
   1.200   8.484174E-02   6.048559E-02
   1.300   8.525769E-02   6.016834E-02
   1.400   8.551236E-02   5.993934E-02
   1.500   8.568186E-02   5.977716E-02
   1.600   8.569820E-02   5.973308E-02
   1.700   8.571454E-02   5.968902E-02
   1.800   8.558981E-02   5.979226E-02
   1.900   8.541243E-02   5.995117E-02
   2.000   8.515231E-02   6.025243E-02
   2.100   8.487228E-02   6.059093E-02
   2.200   8.459068E-02   6.095134E-02
   2.300   8.429770E-02   6.141372E-02
   2.400   8.402199E-02   6.188877E-02
   2.500   8.379824E-02   6.239663E-02
   2.600   8.357509E-02   6.290866E-02
   2.700   8.341904E-02   6.340526E-02
   2.800   8.330594E-02   6.389309E-02
   2.900   8.327052E-02   6.432277E-02
   3.000   8.327128E-02   6.472630E-02
   3.100   8.327612E-02   6.512642E-02
   3.200   8.335860E-02   6.541546E-02
   3.300   8.344360E-02   6.569068E-02
   3.400   8.354609E-02   6.585908E-02
