 Z= 106 A= 234  Sg beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.859730E-02   6.399143E-02
   0.100   7.889027E-02   6.383762E-02
   0.200   7.918433E-02   6.368419E-02
   0.300   7.947949E-02   6.353112E-02
   0.400   7.986685E-02   6.332533E-02
   0.500   8.039535E-02   6.303989E-02
   0.600   8.097598E-02   6.271370E-02
   0.700   8.161696E-02   6.234128E-02
   0.800   8.226301E-02   6.197108E-02
   0.900   8.289088E-02   6.157755E-02
   1.000   8.351870E-02   6.118128E-02
   1.100   8.401131E-02   6.083130E-02
   1.200   8.449086E-02   6.048826E-02
   1.300   8.491374E-02   6.017920E-02
   1.400   8.516992E-02   5.996205E-02
   1.500   8.534801E-02   5.980598E-02
   1.600   8.536621E-02   5.977260E-02
   1.700   8.538441E-02   5.973924E-02
   1.800   8.526926E-02   5.984579E-02
   1.900   8.509534E-02   6.001472E-02
   2.000   8.484270E-02   6.031941E-02
   2.100   8.456620E-02   6.066818E-02
   2.200   8.428890E-02   6.103395E-02
   2.300   8.400063E-02   6.150758E-02
   2.400   8.372641E-02   6.199227E-02
   2.500   8.350725E-02   6.251174E-02
   2.600   8.328865E-02   6.303555E-02
   2.700   8.313137E-02   6.354557E-02
   2.800   8.302263E-02   6.404515E-02
   2.900   8.298461E-02   6.449164E-02
   3.000   8.298878E-02   6.490697E-02
   3.100   8.299295E-02   6.532497E-02
   3.200   8.307640E-02   6.562576E-02
   3.300   8.316195E-02   6.591921E-02
   3.400   8.326458E-02   6.609550E-02
   3.500   8.336734E-02   6.627226E-02
   3.600   8.345223E-02   6.640609E-02
   3.700   8.351233E-02   6.648018E-02
   3.800   8.352702E-02   6.652673E-02
   3.900   8.349441E-02   6.654454E-02
   4.000   8.346182E-02   6.656236E-02
   4.100   8.334130E-02   6.657912E-02
   4.200   8.320570E-02   6.659569E-02
   4.300   8.299442E-02   6.665911E-02
   4.400   8.277719E-02   6.672662E-02
   4.500   8.254635E-02   6.681318E-02
   4.600   8.228053E-02   6.694777E-02
   4.700   8.200280E-02   6.709360E-02
   4.800   8.170271E-02   6.725989E-02
   4.900   8.140372E-02   6.742658E-02
   5.000   8.107111E-02   6.756883E-02
   5.100   8.070195E-02   6.767242E-02
   5.200   8.028789E-02   6.771922E-02
   5.300   7.977855E-02   6.764151E-02
   5.400   7.920903E-02   6.748648E-02
   5.500   7.853650E-02   6.720104E-02
   5.600   7.768286E-02   6.669848E-02
   5.700   7.671011E-02   6.605566E-02
   5.800   7.548213E-02   6.512953E-02
   5.900   7.413157E-02   6.406834E-02
   6.000   7.257057E-02   6.278101E-02
   6.100   7.068385E-02   6.116222E-02
   6.200   6.862259E-02   5.936684E-02
   6.300   6.618720E-02   5.720951E-02
   6.400   6.362760E-02   5.493241E-02
   6.500   6.082940E-02   5.242973E-02
   6.600   5.768034E-02   4.960699E-02
   6.700   5.441736E-02   4.668276E-02
   6.800   5.083688E-02   4.347754E-02
   6.900   4.726858E-02   4.029276E-02
   7.000   4.360693E-02   3.703509E-02
   7.100   3.978899E-02   3.365130E-02
   7.200   3.606633E-02   3.036735E-02
   7.300   3.229395E-02   2.705597E-02
   7.400   2.875620E-02   2.396732E-02
   7.500   2.537200E-02   2.102997E-02
   7.600   2.211836E-02   1.822379E-02
   7.700   1.914799E-02   1.567826E-02
   7.800   1.637416E-02   1.331939E-02
