 Z= 109 A= 248  Mt beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.532126E-02   5.985200E-02
   0.100   7.560427E-02   5.971894E-02
   0.200   7.588834E-02   5.958617E-02
   0.300   7.617348E-02   5.945369E-02
   0.400   7.652626E-02   5.928735E-02
   0.500   7.703770E-02   5.904169E-02
   0.600   7.758533E-02   5.877358E-02
   0.700   7.820868E-02   5.845594E-02
   0.800   7.883704E-02   5.814001E-02
   0.900   7.945878E-02   5.781330E-02
   1.000   8.007777E-02   5.748035E-02
   1.100   8.061599E-02   5.718239E-02
   1.200   8.110552E-02   5.690596E-02
   1.300   8.159801E-02   5.663087E-02
   1.400   8.190969E-02   5.646644E-02
   1.500   8.220499E-02   5.631289E-02
   1.600   8.231096E-02   5.632497E-02
   1.700   8.240252E-02   5.634970E-02
   1.800   8.245991E-02   5.641773E-02
   1.900   8.239588E-02   5.663977E-02
   2.000   8.231654E-02   5.690362E-02
   2.100   8.218758E-02   5.730204E-02
   2.200   8.205883E-02   5.770325E-02
   2.300   8.194057E-02   5.816871E-02
   2.400   8.183170E-02   5.869357E-02
   2.500   8.177078E-02   5.924216E-02
   2.600   8.175011E-02   5.981203E-02
   2.700   8.172945E-02   6.038738E-02
   2.800   8.180324E-02   6.093701E-02
   2.900   8.189607E-02   6.148533E-02
   3.000   8.207212E-02   6.195334E-02
   3.100   8.226326E-02   6.240978E-02
   3.200   8.246201E-02   6.285130E-02
   3.300   8.270533E-02   6.318301E-02
   3.400   8.294616E-02   6.349516E-02
   3.500   8.317046E-02   6.369399E-02
   3.600   8.339537E-02   6.389344E-02
   3.700   8.358461E-02   6.404296E-02
   3.800   8.372933E-02   6.413019E-02
   3.900   8.381813E-02   6.418881E-02
   4.000   8.384211E-02   6.421427E-02
   4.100   8.386610E-02   6.423973E-02
   4.200   8.380085E-02   6.426463E-02
   4.300   8.370657E-02   6.428934E-02
   4.400   8.355101E-02   6.435837E-02
   4.500   8.337755E-02   6.444064E-02
   4.600   8.320233E-02   6.452785E-02
   4.700   8.299484E-02   6.468955E-02
   4.800   8.278696E-02   6.485511E-02
   4.900   8.256880E-02   6.506197E-02
   5.000   8.235122E-02   6.526950E-02
   5.100   8.212345E-02   6.546852E-02
   5.200   8.187641E-02   6.565038E-02
   5.300   8.158081E-02   6.576701E-02
   5.400   8.121217E-02   6.578917E-02
   5.500   8.081322E-02   6.577060E-02
   5.600   8.026787E-02   6.557099E-02
   5.700   7.962355E-02   6.525445E-02
   5.800   7.878517E-02   6.472053E-02
   5.900   7.773595E-02   6.396089E-02
   6.000   7.660919E-02   6.311470E-02
   6.100   7.514907E-02   6.193003E-02
   6.200   7.351217E-02   6.056854E-02
   6.300   7.154560E-02   5.888743E-02
   6.400   6.927040E-02   5.691691E-02
   6.500   6.692132E-02   5.487678E-02
   6.600   6.414244E-02   5.244420E-02
   6.700   6.120341E-02   4.987040E-02
   6.800   5.793156E-02   4.700657E-02
   6.900   5.441128E-02   4.393323E-02
   7.000   5.093978E-02   4.091580E-02
   7.100   4.715753E-02   3.764322E-02
   7.200   4.339075E-02   3.440462E-02
   7.300   3.950386E-02   3.108525E-02
   7.400   3.561810E-02   2.779261E-02
   7.500   3.198552E-02   2.474061E-02
   7.600   2.834639E-02   2.171165E-02
   7.700   2.495117E-02   1.891337E-02
   7.800   2.171175E-02   1.627366E-02
   7.900   1.870929E-02   1.385539E-02
   8.000   1.605726E-02   1.174527E-02
   8.100   1.361343E-02   9.825710E-03
   8.200   1.147488E-02   8.168973E-03
   8.300   9.582911E-03   6.724530E-03
   8.400   7.947192E-03   5.494754E-03
   8.500   6.571984E-03   4.476426E-03
   8.600   5.394825E-03   3.618975E-03
   8.700   4.416060E-03   2.917471E-03
   8.800   3.600081E-03   2.342526E-03
   8.900   2.928864E-03   1.877497E-03
   9.000   2.380894E-03   1.503754E-03
   9.100   1.933869E-03   1.204213E-03
   9.200   1.571236E-03   9.648832E-04
   9.300   1.277356E-03   7.740294E-04
   9.400   1.039462E-03   6.218045E-04
   9.500   8.462249E-04   4.998116E-04
   9.600   6.900275E-04   4.025668E-04
   9.700   5.630709E-04   3.245325E-04
   9.800   4.597757E-04   2.618116E-04
   9.900   3.754823E-04   2.112476E-04
  10.000   3.066587E-04   1.704603E-04
  10.100   2.504435E-04   1.375645E-04
  10.200   2.045340E-04   1.110389E-04
  10.300   1.670033E-04   8.965235E-05
  10.400   1.363857E-04   7.247070E-05
  10.500   1.113939E-04   5.861394E-05
  10.600   9.111406E-05   4.757792E-05
  10.700   7.462929E-05   3.873025E-05
  10.800   6.128112E-05   3.169662E-05
  10.900   5.047302E-05   2.609365E-05
  11.000   4.162435E-05   2.153424E-05
  11.100   3.449588E-05   1.792993E-05
  11.200   2.866264E-05   1.499590E-05
  11.300   2.390235E-05   1.262295E-05
  11.400   1.998002E-05   1.066978E-05
  11.500   1.671709E-05   9.033779E-06
  11.600   1.401059E-05   7.672652E-06
  11.700   1.174441E-05   6.519184E-06
  11.800   9.835001E-06   5.534933E-06
  11.900   8.220958E-06   4.689565E-06
  12.000   6.866506E-06   3.969834E-06
  12.100   5.718731E-06   3.349132E-06
  12.200   4.770421E-06   2.827209E-06
  12.300   3.981786E-06   2.387178E-06
  12.400   3.323527E-06   2.015635E-06
  12.500   2.774089E-06   1.701918E-06
  12.600   2.315483E-06   1.437030E-06
  12.700   1.932693E-06   1.213368E-06
  12.800   1.613185E-06   1.024518E-06
  12.900   1.346497E-06   8.650606E-07
  13.000   1.123897E-06   7.304213E-07
  13.100   9.605535E-07   6.256963E-07
  13.200   8.257884E-07   5.379101E-07
  13.300   7.099308E-07   4.624405E-07
  13.400   6.103280E-07   3.975594E-07
  13.500   5.246993E-07   3.417812E-07
  13.600   4.510844E-07   2.938287E-07
  13.700   3.877975E-07   2.526041E-07
  13.800   3.333898E-07   2.171634E-07
  13.900   2.866154E-07   1.866950E-07
  14.000   2.464034E-07   1.605014E-07
  14.100   2.118332E-07   1.379828E-07
  14.200   1.805067E-07   1.192884E-07
  14.300   1.531094E-07   1.034254E-07
  14.400   1.298704E-07   8.967182E-08
  14.500   1.101586E-07   7.774723E-08
  14.600   9.343874E-08   6.740837E-08
  14.700   7.925659E-08   5.844438E-08
  14.800   6.722701E-08   5.067243E-08
  14.900   5.702328E-08   4.393399E-08
  15.000   4.836827E-08   3.809163E-08
  15.100   4.102692E-08   3.302619E-08
  15.200   3.479985E-08   2.863436E-08
  15.300   3.007896E-08   2.514409E-08
  15.400   2.683815E-08   2.255808E-08
  15.500   2.394651E-08   2.023803E-08
  15.600   2.136643E-08   1.815660E-08
  15.700   1.906434E-08   1.628923E-08
  15.800   1.701028E-08   1.461392E-08
  15.900   1.517753E-08   1.311092E-08
  16.000   1.354225E-08   1.176249E-08
  16.100   1.208316E-08   1.055275E-08
  16.200   1.078128E-08   9.467420E-09
  16.300   9.619666E-09   8.493719E-09
  16.400   8.583210E-09   7.620160E-09
  16.500   7.441513E-09   6.847792E-09
  16.600   6.439858E-09   6.154362E-09
  16.700   5.573029E-09   5.531151E-09
  16.800   4.822879E-09   4.971048E-09
  16.900   4.173701E-09   4.467663E-09
  17.000   3.611906E-09   4.015253E-09
  17.100   3.125730E-09   3.608655E-09
  17.200   2.704995E-09   3.243231E-09
  17.300   2.340893E-09   2.914811E-09
  17.400   2.025800E-09   2.619647E-09
  17.500   1.753120E-09   2.354373E-09
  17.600   1.563754E-09   2.159457E-09
  17.700   1.490171E-09   2.070713E-09
  17.800   1.420050E-09   1.985616E-09
  17.900   1.353229E-09   1.904016E-09
  18.000   1.289552E-09   1.825770E-09
  18.100   1.228872E-09   1.750739E-09
  18.200   1.171047E-09   1.678791E-09
  18.300   1.115943E-09   1.609800E-09
  18.400   1.063432E-09   1.543645E-09
  18.500   1.013391E-09   1.480208E-09
  18.600   9.657058E-10   1.419378E-09
  18.700   9.202642E-10   1.361048E-09
  18.800   8.764691E-10   1.281077E-09
  18.900   8.341250E-10   1.175856E-09
  19.000   7.938267E-10   1.079277E-09
  19.100   7.554752E-10   9.906308E-10
  19.200   7.189766E-10   9.092655E-10
  19.300   6.842414E-10   8.345831E-10
  19.400   6.511842E-10   7.660347E-10
  19.500   6.197242E-10   7.031165E-10
  19.600   5.897840E-10   6.453661E-10
  19.700   5.612903E-10   5.923590E-10
  19.800   5.341732E-10   5.437057E-10
  19.900   5.083661E-10   4.990485E-10
 Z= 109 A= 249  Mt beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.512369E-02   5.953777E-02
   0.100   7.540871E-02   5.940420E-02
   0.200   7.569482E-02   5.927093E-02
   0.300   7.598201E-02   5.913796E-02
   0.400   7.633592E-02   5.897174E-02
   0.500   7.685157E-02   5.872492E-02
   0.600   7.740268E-02   5.845630E-02
   0.700   7.803116E-02   5.813710E-02
   0.800   7.866475E-02   5.781965E-02
   0.900   7.929188E-02   5.749204E-02
   1.000   7.991590E-02   5.715805E-02
   1.100   8.046114E-02   5.685812E-02
   1.200   8.095465E-02   5.658079E-02
   1.300   8.145120E-02   5.630482E-02
   1.400   8.177148E-02   5.613749E-02
   1.500   8.207035E-02   5.598416E-02
   1.600   8.218454E-02   5.599189E-02
   1.700   8.227846E-02   5.601730E-02
   1.800   8.234348E-02   5.607951E-02
   1.900   8.228156E-02   5.630319E-02
   2.000   8.220687E-02   5.656229E-02
   2.100   8.208073E-02   5.696241E-02
   2.200   8.195479E-02   5.736537E-02
   2.300   8.183872E-02   5.782793E-02
   2.400   8.173308E-02   5.835505E-02
   2.500   8.167231E-02   5.890390E-02
   2.600   8.165683E-02   5.947522E-02
   2.700   8.164136E-02   6.005208E-02
   2.800   8.171557E-02   6.060402E-02
   2.900   8.181475E-02   6.115250E-02
   3.000   8.199295E-02   6.162627E-02
   3.100   8.219182E-02   6.208314E-02
   3.200   8.239536E-02   6.253277E-02
   3.300   8.264719E-02   6.286420E-02
   3.400   8.289784E-02   6.318469E-02
   3.500   8.313049E-02   6.338384E-02
   3.600   8.336379E-02   6.358362E-02
   3.700   8.356728E-02   6.374134E-02
   3.800   8.372125E-02   6.382940E-02
   3.900   8.382843E-02   6.389397E-02
   4.000   8.386269E-02   6.392197E-02
   4.100   8.389696E-02   6.394998E-02
   4.200   8.385203E-02   6.397877E-02
   4.300   8.376955E-02   6.400795E-02
   4.400   8.363421E-02   6.407869E-02
   4.500   8.347536E-02   6.416821E-02
   4.600   8.331680E-02   6.425785E-02
   4.700   8.312761E-02   6.442629E-02
   4.800   8.293808E-02   6.459712E-02
   4.900   8.273962E-02   6.481330E-02
   5.000   8.254152E-02   6.503071E-02
   5.100   8.233600E-02   6.524184E-02
   5.200   8.211011E-02   6.543504E-02
   5.300   8.183706E-02   6.556539E-02
   5.400   8.149686E-02   6.560866E-02
   5.500   8.112029E-02   6.560337E-02
   5.600   8.060054E-02   6.542362E-02
   5.700   7.998733E-02   6.513419E-02
   5.800   7.917178E-02   6.461762E-02
   5.900   7.816073E-02   6.389345E-02
   6.000   7.705108E-02   6.306181E-02
   6.100   7.561778E-02   6.190371E-02
   6.200   7.401585E-02   6.057646E-02
   6.300   7.206440E-02   5.891292E-02
   6.400   6.982906E-02   5.698423E-02
   6.500   6.748416E-02   5.495342E-02
   6.600   6.472348E-02   5.254506E-02
   6.700   6.180958E-02   5.000302E-02
   6.800   5.853684E-02   4.714787E-02
   6.900   5.504272E-02   4.410866E-02
   7.000   5.155378E-02   4.108756E-02
   7.100   4.776599E-02   3.782465E-02
   7.200   4.399829E-02   3.459857E-02
   7.300   4.008443E-02   3.127052E-02
   7.400   3.619296E-02   2.798924E-02
   7.500   3.251876E-02   2.491886E-02
   7.600   2.884725E-02   2.187957E-02
   7.700   2.542202E-02   1.907414E-02
   7.800   2.213821E-02   1.641488E-02
   7.900   1.910501E-02   1.398826E-02
   8.000   1.640598E-02   1.185644E-02
   8.100   1.392137E-02   9.921189E-03
   8.200   1.174615E-02   8.251139E-03
   8.300   9.815425E-03   6.790903E-03
   8.400   8.149124E-03   5.550631E-03
   8.500   6.741969E-03   4.519927E-03
   8.600   5.537328E-03   3.652632E-03
   8.700   4.534980E-03   2.943242E-03
   8.800   3.698354E-03   2.361618E-03
   8.900   3.010250E-03   1.891734E-03
   9.000   2.447691E-03   1.514022E-03
   9.100   1.988303E-03   1.211045E-03
   9.200   1.615500E-03   9.693349E-04
   9.300   1.313504E-03   7.768307E-04
   9.400   1.068973E-03   6.234011E-04
   9.500   8.704295E-04   5.006559E-04
   9.600   7.096814E-04   4.027500E-04
   9.700   5.791087E-04   3.242934E-04
   9.800   4.729241E-04   2.613521E-04
   9.900   3.862924E-04   2.106694E-04
  10.000   3.155657E-04   1.698324E-04
  10.100   2.577215E-04   1.368764E-04
  10.200   2.104948E-04   1.103407E-04
  10.300   1.718865E-04   8.897271E-05
  10.400   1.403907E-04   7.182010E-05
  10.500   1.146823E-04   5.801067E-05
  10.600   9.379212E-05   4.700457E-05
  10.700   7.680573E-05   3.819000E-05
  10.800   6.306242E-05   3.120187E-05
  10.900   5.192533E-05   2.563379E-05
  11.000   4.282286E-05   2.112419E-05
  11.100   3.547351E-05   1.755357E-05
  11.200   2.946168E-05   1.465208E-05
  11.300   2.456514E-05   1.231533E-05
  11.400   2.052944E-05   1.039252E-05
  11.500   1.717798E-05   8.788717E-06
  11.600   1.439459E-05   7.452605E-06
  11.700   1.206574E-05   6.323429E-06
  11.800   1.010485E-05   5.361187E-06
  11.900   8.449009E-06   4.536514E-06
  12.000   7.058112E-06   3.834464E-06
  12.100   5.878481E-06   3.229144E-06
  12.200   4.901614E-06   2.720495E-06
  12.300   4.090402E-06   2.292900E-06
  12.400   3.413444E-06   1.932513E-06
  12.500   2.848522E-06   1.628770E-06
  12.600   2.377095E-06   1.372767E-06
  12.700   1.983688E-06   1.157002E-06
  12.800   1.655389E-06   9.751501E-07
  12.900   1.381424E-06   8.218806E-07
  13.000   1.152800E-06   6.927013E-07
  13.100   9.820667E-07   5.913674E-07
  13.200   8.440857E-07   5.076555E-07
  13.300   7.254912E-07   4.357936E-07
  13.400   6.235592E-07   3.741042E-07
  13.500   5.359488E-07   3.211474E-07
  13.600   4.606476E-07   2.756869E-07
  13.700   3.959264E-07   2.366616E-07
  13.800   3.402985E-07   2.031606E-07
  13.900   2.924863E-07   1.744019E-07
  14.000   2.513918E-07   1.497142E-07
  14.100   2.160711E-07   1.285212E-07
