Institute,dEnergy
(1USAORL),1957548.0
(2ZZZGEL),477283.0
(1USALAS),269183.0
(2FR SAC),250919.0
(1USACOL),122224.0
(2GERKFK),119509.0
(1USARPI),112218.0
(2UK HAR),95149.0
(2JPNJAE),90836.0
(1USAANL),35040.0
(1USADKE),30012.0
(1USALRL),28158.0
(1USAMTS),25833.0
(1USAMTR),22895.0
(2GERUH),18621.0
(1USAALB),17649.0
(1USABNL),14282.0
(1USANBS),13313.0
(2JPNKTO),11564.0
(1USAKAP),10190.0
(2SPNSAU),8805.0
(2UK GLS),8739.0
(2FR BRC),8039.0
(2BLGUIA),7356.0
(4RUSKUR),7247.0
(4RUSNIR),6691.0
(4RUSFEI),6150.0
(1USAGA),6066.0
(4ZZZDUB),5790.0
(1USAOHO),4955.0
(4CCPKUR),4769.0
(3KORKNU),4729.0
(1USAINU),4428.0
(4UKRIJD),4282.0
(2ZZZCER),4028.0
(4RUSLEB),3819.0
(3EGYCAI),3564.0
(2BLGGHT),3552.0
(1USALTI),3378.0
(2GERBER),3264.0
(4RUSITE),3202.0
(2ITYBAU),3037.0
(4RUSRI),2956.0
(2GERKIL),2860.0
(4LATIFL),2782.0
(1USAWIS),2764.0
(2AUSIRK),2671.0
(4RUSJIA),2617.0
(2ITYPAD),2543.0
(3SAFPEL),2283.0
(1USAKTY),2160.0
(3ARGCAB),2116.0
(4RUSLIN),1911.0
(1USATNL),1714.0
(3CROZAG),1649.0
(2GERMUN),1345.0
(1CANCRC),1318.0
(1USAISU),1277.0
(2FR CAD),1247.0
(1USAMIT),1216.0
(3CPRAEP),1197.0
(3RUMBUC),1108.0
(3KORPUE),1014.0
(4CCPLEB),1005.0
(2SWDAE),1004.0
(3KORKGM),967.0
(1USARIC),947.0
(3BZLIPE),939.0
(2JPNTOK),911.0
(3KORDAU),876.0
(2GERFRK),875.0
(1USADAV),847.0
(4UKRIFU),792.0
(1USAGRT),770.0
(4CCPIJI),757.0
(2GERZFK),730.0
(2UK ALD),722.0
(2BLGMOL),721.0
(2FR ILL),686.0
(1CANMCM),677.0
(1USABET),614.0
(3ISLSOR),582.0
(3SAFSUN),575.0
(2UK NRP),566.0
(1USAHAN),543.0
(2GRCTUA),542.0
(2GRCATH),537.0
(1USAPPO),530.0
(1CANALA),524.0
(1USAOSU),515.0
(4RUSEPA),460.0
(2FR GRA),433.0
(3ARGCIN),426.0
(3CPRBHN),410.0
(2JPNTOH),374.0
(1USAPTN),366.0
(2JPNJNC),358.0
(4UKRIJI),349.0
(1USAMIN),348.0
(1USABAR),324.0
(1USABRK),316.0
(1USATEX),315.0
(3HUNKOS),312.0
(2GERFRB),306.0
(2PRTLFE),305.0
(1USANIS),289.0
(1USANRD),285.0
(2AUSATI),282.0
(3ARGCNE),277.0
(1USAIRT),275.0
(2UK MAN),246.0
(2AUSVIE),243.0
(2JPNNAG),240.0
(2GERJUL),236.0
(2GERHAM),234.0
(4CCPCCP),232.0
(4CCPIFU),228.0
(3INDTRM),225.0
(3BZLUSP),224.0
(4CCPITE),223.0
(1USAWAS),222.0
(3HUNDEB),221.0
(2JPNJPN),214.0
(1USAGGA),214.0
(3BANSAV),201.0
(2JPNKYU),197.0
(2SWDFOA),197.0
(2BLGLVN),193.0
(3CPRBJG),192.0
(3KORKOR),190.0
(3MORMOH),189.0
(1USALOK),189.0
(1USATNC),180.0
(3POLIBJ),177.0
(3INDMUA),166.0
(4KASKAZ),164.0
(2UK CAV),158.0
(2UK EDG),149.0
(2ITYTRI),143.0
(3HUNII),143.0
(1USADNS),142.0
(3CZRUJF),141.0
