Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.4952871382982949,100,42,100Mo
2,0.7044984749940735,100,42,100Mo
3,0.8657505541661812,100,42,100Mo
4,1.0020815460183812,100,42,100Mo
5,1.1224460333748505,100,42,100Mo
6,1.2314471706875096,100,42,100Mo
7,1.3318243236264933,100,42,100Mo
7,1.4253649376303283,100,42,100Mo
9,1.5133121054066954,100,42,100Mo
10,1.5965718825096558,100,42,100Mo
11,1.6758289139352758,100,42,100Mo
12,1.751615551265575,100,42,100Mo
12,1.8243554708164629,100,42,100Mo
13,1.8943924289626723,100,42,100Mo
15,1.9620099135920852,100,42,100Mo
16,2.027444985389087,100,42,100Mo
17,2.0908982804641165,100,42,100Mo
17,2.152541400756091,100,42,100Mo
18,2.212522480748494,100,42,100Mo
20,2.270970452233005,100,42,100Mo
21,2.32799836109858,100,42,100Mo
21,2.383705981695265,100,42,100Mo
22,2.438181902505082,100,42,100Mo
23,2.49150520823599,100,42,100Mo
25,2.5437468498932616,100,42,100Mo
26,2.5949707708000815,100,42,100Mo
27,2.6452348397005556,100,42,100Mo
28,2.6945916298774115,100,42,100Mo
29,2.743089074256986,100,42,100Mo
29,2.7907710198127633,100,42,100Mo
30,2.837677699569652,100,42,100Mo
32,2.8838461367045567,100,42,100Mo
33,2.929310492317642,100,42,100Mo
34,2.974102366186503,100,42,100Mo
35,3.0182510580486173,100,42,100Mo
36,3.0617837955665994,100,42,100Mo
37,3.1047259340275986,100,42,100Mo
37,3.147101131947129,100,42,100Mo
38,3.188931506039259,100,42,100Mo
39,3.2302377684420898,100,42,100Mo
40,3.27103934862113,100,42,100Mo
42,3.3113545019917154,100,42,100Mo
42,3.3512004069877044,100,42,100Mo
44,3.390593252044369,100,42,100Mo
45,3.4295483137477953,100,42,100Mo
46,3.468080027223457,100,42,100Mo
47,3.5062020496859083,100,42,100Mo
47,3.5439273179448296,100,42,100Mo
48,3.581268100555626,100,42,100Mo
49,3.6182360452119777,100,42,100Mo
50,3.654842221900589,100,42,100Mo
52,3.6910971622723974,100,42,100Mo
52,3.7270108956280823,100,42,100Mo
54,3.76259298186716,100,42,100Mo
55,3.797852541708147,100,42,100Mo
56,3.8327982844511648,100,42,100Mo
57,3.867438533522963,100,42,100Mo
58,3.9017812500171756,100,42,100Mo
59,3.9358340544188684,100,42,100Mo
60,3.969604246681719,100,42,100Mo
61,4.0030988248080375,100,42,100Mo
62,4.036324502065901,100,42,100Mo
63,4.069287722963661,100,42,100Mo
63,4.101994678089753,100,42,100Mo
64,4.134451317914823,100,42,100Mo
66,4.166663365643513,100,42,100Mo
67,4.198636329194733,100,42,100Mo
68,4.230375512381582,100,42,100Mo
68,4.261886025355315,100,42,100Mo
70,4.293172794371794,100,42,100Mo
70,4.32424057093333,100,42,100Mo
72,4.355093940354117,100,42,100Mo
73,4.385737329793053,100,42,100Mo
74,4.416175015793911,100,42,100Mo
75,4.446411131369269,100,42,100Mo
76,4.476449672661543,100,42,100Mo
77,4.506294505211571,100,42,100Mo
77,4.535949369862624,100,42,100Mo
78,4.5654178883254914,100,42,100Mo
79,4.594703568428089,100,42,100Mo
81,4.623809809071171,100,42,100Mo
82,4.652739904910081,100,42,100Mo
83,4.681497050780755,100,42,100Mo
83,4.710084345886907,100,42,100Mo
84,4.738504797763941,100,42,100Mo
85,4.76676132603398,100,42,100Mo
86,4.7948567659653225,100,42,100Mo
88,4.822793871848616,100,42,100Mo
89,4.850575320201186,100,42,100Mo
90,4.878203712810074,100,42,100Mo
91,4.905681579623593,100,42,100Mo
92,4.9330113815005605,100,42,100Mo
92,4.960195512825611,100,42,100Mo
93,4.987236303998569,100,42,100Mo
95,5.014136023805123,100,42,100Mo
96,5.040896881675729,100,42,100Mo
96,5.067521029839059,100,42,100Mo
98,5.094010565376006,100,42,100Mo
99,5.120367532179744,100,42,100Mo
100,5.146593922827093,100,42,100Mo
101,5.172691680366031,100,42,100Mo
101,5.198662700023881,100,42,100Mo
102,5.224508830840478,100,42,100Mo
103,5.2502318772302505,100,42,100Mo
105,5.275833600477021,100,42,100Mo
106,5.301315720164987,100,42,100Mo
107,5.326679915549213,100,42,100Mo
108,5.351927826868713,100,42,100Mo
109,5.377061056605056,100,42,100Mo
109,5.402081170689196,100,42,100Mo
111,5.426989699659162,100,42,100Mo
111,5.451788139770965,100,42,100Mo
112,5.476477954065095,100,42,100Mo
114,5.5010605733906734,100,42,100Mo
115,5.525537397389343,100,42,100Mo
116,5.549909795440844,100,42,100Mo
117,5.57417910757201,100,42,100Mo
118,5.5983466453309685,100,42,100Mo
118,5.622413692628099,100,42,100Mo
119,5.646381506545364,100,42,100Mo
121,5.6702513181153495,100,42,100Mo
122,5.694024333071481,100,42,100Mo
123,5.717701732570667,100,42,100Mo
124,5.741284673889604,100,42,100Mo
124,5.764774291095884,100,42,100Mo
126,5.78817169569508,100,42,100Mo
126,5.811477977254766,100,42,100Mo
127,5.83469420400652,100,42,100Mo
128,5.857821423426867,100,42,100Mo
130,5.88086066279799,100,42,100Mo
131,5.903812929749131,100,42,100Mo
132,5.926679212779455,100,42,100Mo
133,5.94946048176317,100,42,100Mo
134,5.972157688437573,100,42,100Mo
135,5.994771766874828,100,42,100Mo
135,6.017303633938027,100,42,100Mo
136,6.039754189722243,100,42,100Mo
138,6.062124317981123,100,42,100Mo
138,6.084414886539651,100,42,100Mo
140,6.106626747693576,100,42,100Mo
140,6.128760738596036,100,42,100Mo
141,6.1508176816319295,100,42,100Mo
143,6.172798384780421,100,42,100Mo
144,6.19470364196608,100,42,100Mo
144,6.21653423339914,100,42,100Mo
146,6.23829092590516,100,42,100Mo
146,6.259974473244614,100,42,100Mo
148,6.281585616422719,100,42,100Mo
149,6.30312508398985,100,42,100Mo
150,6.324593592332955,100,42,100Mo
150,6.345991845958225,100,42,100Mo
152,6.3673205377653845,100,42,100Mo
153,6.388580349313879,100,42,100Mo
154,6.409771951081276,100,42,100Mo
154,6.430896002714131,100,42,100Mo
156,6.451953153271593,100,42,100Mo
156,6.472944041461997,100,42,100Mo
158,6.493869295872741,100,42,100Mo
158,6.514729535193578,100,42,100Mo
159,6.535525368433657,100,42,100Mo
160,6.556257395132457,100,42,100Mo
161,6.576926205564849,100,42,100Mo
162,6.597532380940485,100,42,100Mo
164,6.618076493597705,100,42,100Mo
165,6.638559107192116,100,42,100Mo
165,6.658980776880084,100,42,100Mo
167,6.679342049497232,100,42,100Mo
