Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.022416669226944286,105,44,105Ru
2,0.04878137897838268,105,44,105Ru
3,0.07687514695620354,105,44,105Ru
4,0.1061541708512319,105,44,105Ru
5,0.13634735075352566,105,44,105Ru
6,0.16728960220289676,105,44,105Ru
7,0.1988689982631703,105,44,105Ru
7,0.23100429354623658,105,44,105Ru
9,0.2636336451105979,105,44,105Ru
10,0.29670829874277727,105,44,105Ru
11,0.3301887669095693,105,44,105Ru
12,0.3640423740737331,105,44,105Ru
12,0.3982416053177192,105,44,105Ru
13,0.4327629530111703,105,44,105Ru
15,0.46758608605722485,105,44,105Ru
16,0.5026932357804442,105,44,105Ru
17,0.5380687318246651,105,44,105Ru
17,0.5736986446735192,105,44,105Ru
18,0.6095705056891462,105,44,105Ru
20,0.6456730846349555,105,44,105Ru
21,0.6819962105761146,105,44,105Ru
21,0.7185306260245059,105,44,105Ru
22,0.7552678669179733,105,44,105Ru
23,0.7922001629276686,105,44,105Ru
25,0.8293203539426593,105,44,105Ru
26,0.8666218195615192,105,44,105Ru
27,0.9040984191405447,105,44,105Ru
28,0.9417444404839277,105,44,105Ru
29,0.9795545556647615,105,44,105Ru
29,1.0175237827732093,105,44,105Ru
30,1.0556474526248345,105,44,105Ru
32,1.0939211796461004,105,44,105Ru
33,1.1323408362983136,105,44,105Ru
34,1.1709025305154441,105,44,105Ru
35,1.2096025857221862,105,44,105Ru
36,1.2484375230716784,105,44,105Ru
37,1.287404045601336,105,44,105Ru
37,1.3264990240532724,105,44,105Ru
38,1.3657194841451172,105,44,105Ru
39,1.4050625951093891,105,44,105Ru
40,1.4445256593463718,105,44,105Ru
42,1.4841061030577265,105,44,105Ru
42,1.5238014677466842,105,44,105Ru
44,1.5636094024863265,105,44,105Ru
45,1.6035276568705974,105,44,105Ru
46,1.6435540745739319,105,44,105Ru
47,1.683686587454817,105,44,105Ru
47,1.7239232101467254,105,44,105Ru
48,1.7642620350868206,105,44,105Ru
49,1.8047012279387582,105,44,105Ru
50,1.8452390233710796,105,44,105Ru
52,1.8858737211571341,105,44,105Ru
52,1.9266036825663029,105,44,105Ru
54,1.967427327019692,105,44,105Ru
55,2.008343128986343,105,44,105Ru
56,2.0493496150986235,105,44,105Ru
57,2.0904453614676557,105,44,105Ru
58,2.131628991181651,105,44,105Ru
59,2.172899171971736,105,44,105Ru
60,2.2142546140314168,105,44,105Ru
61,2.2556940679771618,105,44,105Ru
62,2.297216322938802,105,44,105Ru
63,2.3388202047695343,105,44,105Ru
63,2.380504574366242,105,44,105Ru
64,2.4222683260917224,105,44,105Ru
