Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.0642562756190751,108,47,108Ag
2,0.09957551124501808,108,47,108Ag
3,0.12865718750062471,108,47,108Ag
4,0.15430839002382638,108,47,108Ag
5,0.17767739307737768,108,47,108Ag
6,0.1993751598157948,108,47,108Ag
7,0.21977501305178687,108,47,108Ag
7,0.23912585468082764,108,47,108Ag
9,0.2576039730920396,108,47,108Ag
10,0.2753399116569679,108,47,108Ag
11,0.29243370454288586,108,47,108Ag
12,0.30896411715342925,108,47,108Ag
12,0.3249945533393295,108,47,108Ag
13,0.3405769953622345,108,47,108Ag
15,0.3557547252083861,108,47,108Ag
16,0.3705642601028182,108,47,108Ag
17,0.38503676392096053,108,47,108Ag
17,0.39919909880013277,108,47,108Ag
18,0.4130746234983122,108,47,108Ag
20,0.4266838095618114,108,47,108Ag
21,0.44004472387693266,108,47,108Ag
21,0.4531734115397143,108,47,108Ag
22,0.4660842032134079,108,47,108Ag
23,0.4787899644900273,108,47,108Ag
25,0.49130230015076287,108,47,108Ag
26,0.5036317229535041,108,47,108Ag
27,0.5157877942301673,108,47,108Ag
28,0.5277792418678435,108,47,108Ag
29,0.5396140599865709,108,47,108Ag
29,0.5512995936841983,108,47,108Ag
30,0.5628426115068617,108,47,108Ag
32,0.5742493677600592,108,47,108Ag
33,0.5855256563563949,108,47,108Ag
34,0.5966768575702405,108,47,108Ag
35,0.6077079788140732,108,47,108Ag
36,0.6186236903492958,108,47,108Ag
37,0.6294283566835694,108,47,108Ag
37,0.6401260642777955,108,47,108Ag
38,0.6507206460818795,108,47,108Ag
39,0.6612157033339877,108,47,108Ag
40,0.6716146249890619,108,47,108Ag
42,0.6819206050857808,108,47,108Ag
42,0.6921366583144319,108,47,108Ag
44,0.7022656340094545,108,47,108Ag
45,0.7123102287581254,108,47,108Ag
46,0.7222729977898777,108,47,108Ag
47,0.7321563652880386,108,47,108Ag
47,0.7419626337466331,108,47,108Ag
48,0.7516939924786811,108,47,108Ag
49,0.7613525253686297,108,47,108Ag
50,0.7709402179498094,108,47,108Ag
52,0.780458963877719,108,47,108Ag
52,0.7899105708613162,108,47,108Ag
54,0.799296766107036,108,47,108Ag
55,0.8086192013238246,108,47,108Ag
56,0.8178794573319073,108,47,108Ag
57,0.8270790483131536,108,47,108Ag
58,0.8362194257367086,108,47,108Ag
59,0.8453019819898421,108,47,108Ag
60,0.854328053740768,108,47,108Ag
61,0.8632989250573507,108,47,108Ag
62,0.8722158303031066,108,47,108Ag
63,0.8810799568297489,108,47,108Ag
63,0.88989244748355,108,47,108Ag
64,0.898654402941102,108,47,108Ag
66,0.9073668838885315,108,47,108Ag
67,0.9160309130568607,108,47,108Ag
68,0.9246474771250172,108,47,108Ag
68,0.933217528500912,108,47,108Ag
70,0.9417419869900485,108,47,108Ag
70,0.9502217413602634,108,47,108Ag
72,0.9586576508104432,108,47,108Ag
73,0.9670505463503453,108,47,108Ag
74,0.9754012320980546,108,47,108Ag
75,0.9837104865010341,108,47,108Ag
76,0.9919790634862239,108,47,108Ag
