Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.27395410905841894,110,46,110Pd
2,0.4706801920989019,110,46,110Pd
3,0.6459817494032112,110,46,110Pd
4,0.8086750149347723,110,46,110Pd
5,0.9625928096986955,110,46,110Pd
6,1.1098603884661986,110,46,110Pd
7,1.251818219756063,110,46,110Pd
7,1.389383472594363,110,46,110Pd
9,1.5232201553620364,110,46,110Pd
10,1.653829432014063,110,46,110Pd
11,1.781601866144405,110,46,110Pd
12,1.9068496641342076,110,46,110Pd
12,2.029827610121814,110,46,110Pd
13,2.1507472261423346,110,46,110Pd
15,2.269786678175056,110,46,110Pd
16,2.387097904927947,110,46,110Pd
17,2.502811873042392,110,46,110Pd
17,2.6170425324112867,110,46,110Pd
18,2.729889847490933,110,46,110Pd
20,2.8414421577199382,110,46,110Pd
21,2.9517780416295762,110,46,110Pd
21,3.060967807647638,110,46,110Pd
22,3.1690746999090953,110,46,110Pd
23,3.2761558835645195,110,46,110Pd
25,3.3822632574057905,110,46,110Pd
26,3.487444129761375,110,46,110Pd
27,3.591741785034419,110,46,110Pd
28,3.6951959619666983,110,46,110Pd
29,3.7978432600398047,110,46,110Pd
29,3.899717486913643,110,46,110Pd
30,4.000849957134301,110,46,110Pd
32,4.1012697502952244,110,46,110Pd
33,4.201003935248769,110,46,110Pd
34,4.300077765724622,110,46,110Pd
35,4.398514851733985,110,46,110Pd
36,4.49633731036197,110,46,110Pd
37,4.593565898929675,110,46,110Pd
37,4.690220133007302,110,46,110Pd
38,4.786318391354434,110,46,110Pd
39,4.881878009533136,110,46,110Pd
40,4.976915363668774,110,46,110Pd
42,5.071445945610039,110,46,110Pd
42,5.1654844305548515,110,46,110Pd
44,5.259044738054711,110,46,110Pd
45,5.3521400871813904,110,46,110Pd
46,5.444783046531724,110,46,110Pd
47,5.536985579655051,110,46,110Pd
47,5.6287590864106,110,46,110Pd
48,5.720114440696619,110,46,110Pd
49,5.81106202493695,110,46,110Pd
50,5.901611761662921,110,46,110Pd
52,5.9917731424873,110,46,110Pd
52,6.081555254731591,110,46,110Pd
