Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.1745092668521975,114,49,114In
2,0.24944054259053589,114,49,114In
3,0.3074136344602818,114,49,114In
4,0.35654601850203943,114,49,114In
5,0.4000020966889392,114,49,114In
6,0.4394117582560674,114,49,114In
7,0.47574642717303917,114,49,114In
7,0.5096407423966209,114,49,114In
9,0.5415365290149332,114,49,114In
10,0.5717561126421324,114,49,114In
11,0.6005432479767878,114,49,114In
12,0.6280876046135003,114,49,114In
12,0.654540230850485,114,49,114In
13,0.6800237550138867,114,49,114In
15,0.7046393612955084,114,49,114In
16,0.7284717058454356,114,49,114In
17,0.7515924712989625,114,49,114In
17,0.7740629942849331,114,49,114In
18,0.7959362454476581,114,49,114In
20,0.8172583470177656,114,49,114In
21,0.8380697535256196,114,49,114In
21,0.8584061828148486,114,49,114In
22,0.8782993590456081,114,49,114In
23,0.8977776121303358,114,49,114In
25,0.9168663661343704,114,49,114In
26,0.9355885408020306,114,49,114In
27,0.9539648843891188,114,49,114In
28,0.9720142516487891,114,49,114In
29,0.9897538376340919,114,49,114In
29,1.0071993756129112,114,49,114In
30,1.0243653056101485,114,49,114In
32,1.0412649187383285,114,49,114In
33,1.0579104814387217,114,49,114In
34,1.0743133429502123,114,49,114In
35,1.0904840286943824,114,49,114In
36,1.1064323217701788,114,49,114In
37,1.122167334358783,114,49,114In
37,1.1376975705255377,114,49,114In
38,1.153030981653486,114,49,114In
39,1.168175015538946,114,49,114In
40,1.1831366600133777,114,49,114In
42,1.197922481819852,114,49,114In
42,1.2125386613605456,114,49,114In
44,1.2269910238392037,114,49,114In
45,1.2412850672456774,114,49,114In
46,1.2554259875655283,114,49,114In
47,1.2694187015439549,114,49,114In
47,1.2832678672880844,114,49,114In
48,1.2969779029534771,114,49,114In
49,1.3105530037282966,114,49,114In
50,1.3239971573010456,114,49,114In
52,1.3373141579742271,114,49,114In
52,1.3505076195661307,114,49,114In
54,1.363580987225626,114,49,114In
55,1.3765375482698938,114,49,114In
56,1.3893804421421443,114,49,114In
57,1.402112669575143,114,49,114In
58,1.414737101036673,114,49,114In
59,1.4272564845245683,114,49,114In
60,1.439673452771542,114,49,114In
61,1.4519905299135603,114,49,114In
62,1.4642101376698204,114,49,114In
63,1.47633460107737,114,49,114In
63,1.4883661538190012,114,49,114In
64,1.5003069431791574,114,49,114In
66,1.51215903465912,114,49,114In
67,1.5239244162796977,114,49,114In
68,1.5356050025969092,114,49,114In
68,1.5472026384537318,114,49,114In
70,1.5587191024888258,114,49,114In
70,1.570156110421206,114,49,114In
72,1.5815153181281298,114,49,114In
73,1.5927983245318793,114,49,114In
74,1.604006674309774,114,49,114In
75,1.615141860440456,114,49,114In
76,1.6262053265983965,114,49,114In
77,1.6371984694075368,114,49,114In
77,1.648122640564071,114,49,114In
78,1.6589791488375403,114,49,114In
79,1.6697692619586697,114,49,114In
81,1.680494208401682,114,49,114In
82,1.6911551790682167,114,49,114In
83,1.7017533288794173,114,49,114In
83,1.7122897782822382,114,49,114In
84,1.722765614675554,114,49,114In
85,1.7331818937612358,114,49,114In
86,1.7435396408249615,114,49,114In
88,1.7538398519511866,114,49,114In
89,1.7640834951763535,114,49,114In
90,1.774271511584158,114,49,114In
91,1.7844048163463668,114,49,114In
92,1.794484299712485,114,49,114In
92,1.8045108279512991,114,49,114In
93,1.8144852442471326,114,49,114In
95,1.8244083695534494,114,49,114In
96,1.83428100340626,114,49,114In
96,1.844103924699623,114,49,114In
98,1.853877892425383,114,49,114In
99,1.8636036463791295,114,49,114In
100,1.873281907834262,114,49,114In
101,1.8829133801858897,114,49,114In
101,1.892498749566211,114,49,114In
102,1.9020386854328974,114,49,114In
103,1.911533841131923,114,49,114In
105,1.9209848544361643,114,49,114In
106,1.9303923480610663,114,49,114In
107,1.9397569301585291,114,49,114In
108,1.9490791947901396,114,49,114In
109,1.9583597223808042,114,49,114In
109,1.9675990801537453,114,49,114In
111,1.9767978225478162,114,49,114In
111,1.9859564916179748,114,49,114In
112,1.9950756174197712,114,49,114In
114,2.0041557183785987,114,49,114In
115,2.013197301644447,114,49,114In
116,2.0222008634328623,114,49,114In
117,2.031166889352737,114,49,114In
118,2.040095854721574,114,49,114In
118,2.0489882248687796,114,49,114In
119,2.0578444554275626,114,49,114In
121,2.0666649926159386,114,49,114In
122,2.0754502735073377,114,49,114In
123,2.084200726291294,114,49,114In
124,2.0929167705246376,114,49,114In
124,2.101598817373625,114,49,114In
126,2.110247269847402,114,49,114In
126,2.1188625230231595,114,49,114In
127,2.127444964263373,114,49,114In
128,2.1359949734254253,114,49,114In
130,2.1445129230639752,114,49,114In
131,2.152999178626335,114,49,114In
132,2.161454098641193,114,49,114In
133,2.1698780349009206,114,49,114In
134,2.1782713326377525,114,49,114In
135,2.1866343306940768,114,49,114In
135,2.194967361687078,114,49,114In
136,2.20327075216796,114,49,114In
138,2.2115448227759704,114,49,114In
138,2.21978988838742,114,49,114In
140,2.2280062582599163,114,49,114In
140,2.2361942361719622,114,49,114In
141,2.2443541205581488,114,49,114In
143,2.2524862046400655,114,49,114In
144,2.2605907765531192,114,49,114In
144,2.2686681194694116,114,49,114In
146,2.2767185117168194,114,49,114In
146,2.2847422268944237,114,49,114In
148,2.292739533984425,114,49,114In
149,2.300710697460668,114,49,114In
150,2.308655977393911,114,49,114In
150,2.3165756295539515,114,49,114In
152,2.3244699055087206,114,49,114In
153,2.332339052720458,114,49,114In
154,2.340183314639078,114,49,114In
154,2.348002930792816,114,49,114In
156,2.355798136876258,114,49,114In
156,2.3635691648358406,114,49,114In
158,2.3713162429529193,114,49,114In
158,2.3790395959244726,114,49,114In
159,2.3867394449415413,114,49,114In
160,2.394416007765473,114,49,114In
161,2.4020694988020344,114,49,114In
162,2.409700129173495,114,49,114In
164,2.417308106788708,114,49,114In
165,2.4248936364112916,114,49,114In
165,2.432456919725963,114,49,114In
167,2.439998155403069,114,49,114In
168,2.4475175391613964,114,49,114In
168,2.4550152638293046,114,49,114In
170,2.4624915194042436,114,49,114In
170,2.4699464931106894,114,49,114In
171,2.477380369456586,114,49,114In
173,2.484793330288295,114,49,114In
174,2.492185554844133,114,49,114In
175,2.4995572198065275,114,49,114In
176,2.5069084993528534,114,49,114In
177,2.514239565204945,114,49,114In
178,2.521550586677383,114,49,114In
179,2.5288417307245603,114,49,114In
179,2.536113161986557,114,49,114In
181,2.5433650428338916,114,49,114In
181,2.5505975334111497,114,49,114In
182,2.5578107916795547,114,49,114In
183,2.5650049734584823,114,49,114In
184,2.5721802324659677,114,49,114In
186,2.579336720358247,114,49,114In
187,2.5864745867683174,114,49,114In
188,2.593593979343605,114,49,114In
189,2.600695043782712,114,49,114In
189,2.607777923871306,114,49,114In
191,2.61484276151716,114,49,114In
192,2.6218896967843657,114,49,114In
193,2.628918867926755,114,49,114In
193,2.6359304114205453,114,49,114In
194,2.6429244619962273,114,49,114In
195,2.649901152669724,114,49,114In
197,2.6568606147728335,114,49,114In
197,2.6638029779829853,114,49,114In
199,2.670728370352321,114,49,114In
200,2.677636918336113,114,49,114In
201,2.6845287468205647,114,49,114In
202,2.6914039791499698,114,49,114In
203,2.6982627371532852,114,49,114In
204,2.705105141170111,114,49,114In
204,2.711931310076099,114,49,114In
205,2.7187413613078126,114,49,114In
207,2.725535410887034,114,49,114In
207,2.73231357344456,114,49,114In
209,2.739075962243477,114,49,114In
209,2.7458226892019297,114,49,114In
210,2.752553864915433,114,49,114In
211,2.759269598678664,114,49,114In
212,2.7659699985068404,114,49,114In
214,2.7726551711566185,114,49,114In
215,2.7793252221465647,114,49,114In
215,2.7859802557772007,114,49,114In
217,2.7926203751506375,114,49,114In
217,2.7992456821897846,114,49,114In
219,2.805856277657192,114,49,114In
219,2.8124522611734823,114,49,114In
220,2.8190337312354283,114,49,114In
222,2.8256007852336458,114,49,114In
223,2.8321535194699408,114,49,114In
223,2.8386920291743043,114,49,114In
225,2.8452164085215723,114,49,114In
225,2.8517267506477375,114,49,114In
226,2.858223147665969,114,49,114In
228,2.8647056906822805,114,49,114In
228,2.871174469810908,114,49,114In
230,2.8776295741894007,114,49,114In
231,2.8840710919933805,114,49,114In
232,2.8904991104510587,114,49,114In
232,2.8969137158574334,114,49,114In
234,2.9033149935882485,114,49,114In
235,2.9097030281136536,114,49,114In
236,2.916077903011627,114,49,114In
237,2.9224397009811343,114,49,114In
237,2.9287885038550394,114,49,114In
238,2.9351243926127704,114,49,114In
239,2.9414474473927523,114,49,114In
240,2.947757747504606,114,49,114In
241,2.954055371441117,114,49,114In
242,2.9603403968899893,114,49,114In
243,2.966612900745374,114,49,114In
245,2.9728729591192,114,49,114In
246,2.9791206473522736,114,49,114In
247,2.985356040025208,114,49,114In
248,2.991579210969126,114,49,114In
249,2.997790233276183,114,49,114In
249,3.003989179309904,114,49,114In
250,3.0101761207153186,114,49,114In
252,3.0163511284289397,114,49,114In
253,3.0225142726885417,114,49,114In
254,3.0286656230427753,114,49,114In
254,3.0348052483606223,114,49,114In
256,3.040933216840665,114,49,114In
257,3.047049596020201,114,49,114In
257,3.0531544527842147,114,49,114In
259,3.0592478533741643,114,49,114In
259,3.065329863396637,114,49,114In
260,3.0714005478318605,114,49,114In
261,3.077459971042038,114,49,114In
263,3.083508196779576,114,49,114In
264,3.0895452881951497,114,49,114In
265,3.0955713078456393,114,49,114In
266,3.1015863177019334,114,49,114In
267,3.107590379156595,114,49,114In
268,3.113583553031405,114,49,114In
269,3.119565899584775,114,49,114In
270,3.125537478519042,114,49,114In
271,3.131498348987632,114,49,114In
272,3.1374485696021206,114,49,114In
273,3.143388198439163,114,49,114In
274,3.149317293047315,114,49,114In
275,3.1552359104537477,114,49,114In
276,3.161144107170845,114,49,114In
277,3.167041939202697,114,49,114In
277,3.172929462051493,114,49,114In
278,3.1788067307238,114,49,114In
280,3.1846737997367547,114,49,114In
280,3.1905307231241453,114,49,114In
281,3.1963775544423996,114,49,114In
283,3.2022143467764836,114,49,114In
283,3.208041152745694,114,49,114In
285,3.213858024509375,114,49,114In
286,3.2196650137725307,114,49,114In
287,3.2254621717913605,114,49,114In
288,3.2312495493787026,114,49,114In
288,3.2370271969093904,114,49,114In
290,3.2427951643255364,114,49,114In
291,3.2485535011417217,114,49,114In
292,3.2543022564501105,114,49,114In
293,3.2600414789254937,114,49,114In
294,3.2657712168302426,114,49,114In
295,3.271491518019192,114,49,114In
296,3.2772024299444573,114,49,114In
296,3.282903999660163,114,49,114In
298,3.28859627382712,114,49,114In
298,3.2942792987174028,114,49,114In
300,3.299953120218898,114,49,114In
301,3.3056177838397427,114,49,114In
301,3.311273334712731,114,49,114In
302,3.316919817599643,114,49,114In
304,3.3225572768954983,114,49,114In
305,3.3281857566327524,114,49,114In
306,3.3338053004854595,114,49,114In
307,3.339415951773324,114,49,114In
308,3.3450177534657364,114,49,114In
309,3.3506107481857255,114,49,114In
309,3.356194978213864,114,49,114In
311,3.3617704854921184,114,49,114In
312,3.367337311627629,114,49,114In
312,3.3728954978964603,114,49,114In
313,3.3784450852472747,114,49,114In
314,3.3839861143049683,114,49,114In
316,3.389518625374242,114,49,114In
317,3.395042658443141,114,49,114In
317,3.4005582531865235,114,49,114In
318,3.4060654489694957,114,49,114In
319,3.411564284850788,114,49,114In
320,3.417054799586095,114,49,114In
321,3.4225370316313564,114,49,114In
323,3.4280110191460023,114,49,114In
323,3.4334767999961446,114,49,114In
325,3.43893441175774,114,49,114In
325,3.444383891719684,114,49,114In
326,3.4498252768868944,114,49,114In
328,3.455258603983318,114,49,114In
329,3.4606839094549224,114,49,114In
330,3.4661012294726365,114,49,114In
331,3.471510599935257,114,49,114In
331,3.476912056472302,114,49,114In
332,3.4823056344468446,114,49,114In
334,3.487691368958292,114,49,114In
334,3.493069294845134,114,49,114In
336,3.4984394466876645,114,49,114In
336,3.5038018588106485,114,49,114In
337,3.509156565285967,114,49,114In
338,3.514503599935211,114,49,114In
339,3.519842996332274,114,49,114In
340,3.5251747878058692,114,49,114In
341,3.5304990074420415,114,49,114In
342,3.5358156880866374,114,49,114In
343,3.5411248623477407,114,49,114In
344,3.5464265625980884,114,49,114In
346,3.5517208209774354,114,49,114In
346,3.5570076693948964,114,49,114In
347,3.562287139531282,114,49,114In
348,3.567559262841358,114,49,114In
350,3.5728240705561163,114,49,114In
350,3.5780815936849897,114,49,114In
352,3.5833318630180666,114,49,114In
352,3.58857490912824,114,49,114In
353,3.593810762373372,114,49,114In
355,3.59903945289839,114,49,114In
356,3.604261010637385,114,49,114In
357,3.6094754653156738,114,49,114In
358,3.614682846451837,114,49,114In
359,3.619883183359716,114,49,114In
360,3.625076505150423,114,49,114In
360,3.630262840734278,114,49,114In
362,3.6354422188227677,114,49,114In
362,3.6406146679304356,114,49,114In
363,3.64578021637679,114,49,114In
364,3.6509388922881616,114,49,114In
365,3.6560907235995415,114,49,114In
367,3.6612357380564178,114,49,114In
368,3.666373963216556,114,49,114In
368,3.6715054264517826,114,49,114In
370,3.6766301549497493,114,49,114In
371,3.6817481757156454,114,49,114In
371,3.6868595155739268,114,49,114In
373,3.6919642011700127,114,49,114In
374,3.697062258971933,114,49,114In
375,3.702153715272003,114,49,114In
375,3.707238596188446,114,49,114In
377,3.712316927667009,114,49,114In
378,3.717388735482549,114,49,114In
378,3.7224540452406116,114,49,114In
379,3.727512882378994,114,49,114In
381,3.7325652721692695,114,49,114In
382,3.7376112397183134,114,49,114In
383,3.7426508099698035,114,49,114In
384,3.7476840077057045,114,49,114In
384,3.7527108575477355,114,49,114In
386,3.757731383958822,114,49,114In
387,3.762745611244511,114,49,114In
388,3.7677535635544155,114,49,114In
389,3.7727552648835907,114,49,114In
389,3.7777507390739333,114,49,114In
390,3.7827400098155346,114,49,114In
391,3.7877231006480434,114,49,114In
392,3.7927000349620035,114,49,114In
394,3.7976708360001625,114,49,114In
394,3.802635526858794,114,49,114In
395,3.8075941304889733,114,49,114In
397,3.812546669697873,114,49,114In
397,3.817493167150003,114,49,114In
399,3.8224336453684797,114,49,114In
400,3.827368126736244,114,49,114In
400,3.8322966334972928,114,49,114In
401,3.8372191877578827,114,49,114In
403,3.8421358114877178,114,49,114In
404,3.847046526521132,114,49,114In
405,3.8519513545582664,114,49,114In
406,3.856850317166206,114,49,114In
406,3.8617434357801326,114,49,114In
408,3.8666307317044564,114,49,114In
409,3.8715122261139143,114,49,114In
409,3.876387940054695,114,49,114In
411,3.88125789444552,114,49,114In
411,3.8861221100787238,114,49,114In
413,3.890980607621326,114,49,114In
414,3.8958334076160828,114,49,114In
414,3.900680530482539,114,49,114In
416,3.905521996518058,114,49,114In
417,3.9103578258988456,114,49,114In
417,3.9151880386809563,114,49,114In
418,3.920012654801305,114,49,114In
419,3.9248316940786534,114,49,114In
421,3.9296451762145788,114,49,114In
422,3.934453120794463,114,49,114In
422,3.939255547288434,114,49,114In
423,3.9440524750523247,114,49,114In
425,3.9488439233286083,114,49,114In
425,3.953629911247328,114,49,114In
427,3.9584104578270183,114,49,114In
428,3.963185581975602,114,49,114In
429,3.9679553024913146,114,49,114In
430,3.9727196380635683,114,49,114In
430,3.9774786072738517,114,49,114In
431,3.9822322285965996,114,49,114In
433,3.9869805204000413,114,49,114In
434,3.9917235009470753,114,49,114In
435,3.9964611883960957,114,49,114In
435,4.001193600801847,114,49,114In
437,4.005920756116243,114,49,114In
438,4.010642672189177,114,49,114In
438,4.0153593667693475,114,49,114In
