Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.8188069182256535,116,48,116Cd
2,1.0186233315058721,116,48,116Cd
3,1.1574089895170865,116,48,116Cd
4,1.2672016667086505,116,48,116Cd
5,1.359486370394926,116,48,116Cd
6,1.4398556907305358,116,48,116Cd
7,1.51150264361187,116,48,116Cd
7,1.5764414719769502,116,48,116Cd
9,1.6360335253613314,116,48,116Cd
10,1.6912467456300482,116,48,116Cd
11,1.7427966803802881,116,48,116Cd
12,1.7912288818441933,116,48,116Cd
12,1.8369698658834799,116,48,116Cd
13,1.8803600997317733,116,48,116Cd
15,1.9216761744401991,116,48,116Cd
16,1.9611461852190193,116,48,116Cd
17,1.9989606904317383,116,48,116Cd
17,2.0352807028916526,116,48,116Cd
18,2.0702436356640153,116,48,116Cd
20,2.10396780496837,116,48,116Cd
21,2.136555894259186,116,48,116Cd
21,2.1680976567141124,116,48,116Cd
22,2.1986720502439403,116,48,116Cd
23,2.228348943445096,116,48,116Cd
25,2.2571904928387854,116,48,116Cd
26,2.2852522652311666,116,48,116Cd
27,2.3125841602655983,116,48,116Cd
28,2.339231174756192,116,48,116Cd
29,2.365234040570781,116,48,116Cd
29,2.390629760585732,116,48,116Cd
30,2.4154520618267523,116,48,116Cd
32,2.439731780829062,116,48,116Cd
33,2.463497193140209,116,48,116Cd
34,2.4867742964962423,116,48,116Cd
35,2.5095870553452495,116,48,116Cd
36,2.531957612939664,116,48,116Cd
37,2.5539064760735646,116,48,116Cd
37,2.5754526766318167,116,48,116Cd
38,2.5966139133909976,116,48,116Cd
39,2.617406676927162,116,48,116Cd
40,2.6378463600121624,116,48,116Cd
42,2.657947355494894,116,48,116Cd
42,2.6777231433485005,116,48,116Cd
44,2.6971863683051764,116,48,116Cd
45,2.7163489092857636,116,48,116Cd
46,2.735221941653302,116,48,116Cd
47,2.753815993171157,116,48,116Cd
47,2.772140994421948,116,48,116Cd
48,2.7902063243389104,116,48,116Cd
49,2.8080208514129636,116,48,116Cd
50,2.825592971063993,116,48,116Cd
52,2.8429306396011604,116,48,116Cd
52,2.8600414051428444,116,48,116Cd
54,2.8769324358203137,116,48,116Cd
55,2.89361054554936,116,48,116Cd
56,2.9100822176198045,116,48,116Cd
57,2.926353626323081,116,48,116Cd
58,2.94243065681247,116,48,116Cd
59,2.9583189233682194,116,48,116Cd
60,2.9740237862204104,116,48,116Cd
61,2.9895503670654633,116,48,116Cd
62,3.0049035633973817,116,48,116Cd
63,3.0200880617618404,116,48,116Cd
63,3.0351083500298057,116,48,116Cd
64,3.0499687287773374,116,48,116Cd
66,3.064673321849352,116,48,116Cd
67,3.079226086177278,116,48,116Cd
68,3.093630820913613,116,48,116Cd
68,3.107891175940203,116,48,116Cd
70,3.122010659801603,116,48,116Cd
70,3.1359926471099855,116,48,116Cd
72,3.149840385463724,116,48,116Cd
73,3.163557001917852,116,48,116Cd
74,3.177145509041171,116,48,116Cd
75,3.1906088105915837,116,48,116Cd
76,3.2039497068384986,116,48,116Cd
77,3.217170899558558,116,48,116Cd
77,3.230274996728734,116,48,116Cd
78,3.243264516938735,116,48,116Cd
79,3.256141893542843,116,48,116Cd
81,3.268909478569629,116,48,116Cd
82,3.2815695464064576,116,48,116Cd
83,3.29412429727434,116,48,116Cd
83,3.3065758605074356,116,48,116Cd
84,3.318926297650372,116,48,116Cd
85,3.3311776053855153,116,48,116Cd
86,3.3433317183013935,116,48,116Cd
88,3.355390511512615,116,48,116Cd
89,3.367355803140829,116,48,116Cd
90,3.379229356665587,116,48,116Cd
91,3.3910128831532758,116,48,116Cd
92,3.4027080433717267,116,48,116Cd
92,3.4143164497975245,116,48,116Cd
93,3.4258396685225647,116,48,116Cd
95,3.4372792210659284,116,48,116Cd
96,3.4486365860967108,116,48,116Cd
96,3.459913201073071,116,48,116Cd
98,3.4711104638023915,116,48,116Cd
99,3.4822297339271024,116,48,116Cd
100,3.493272334340438,116,48,116Cd
101,3.5042395525360805,116,48,116Cd
101,3.5151326418954087,116,48,116Cd
102,3.5259528229158215,116,48,116Cd
103,3.5367012843833647,116,48,116Cd
105,3.547379184492708,116,48,116Cd
106,3.5579876519173084,116,48,116Cd
107,3.5685277868324303,116,48,116Cd
108,3.5790006618935006,116,48,116Cd
109,3.589407323172169,116,48,116Cd
109,3.5997487910522477,116,48,116Cd
111,3.610026061087619,116,48,116Cd
111,3.6202401048240302,116,48,116Cd
112,3.6303918705866325,116,48,116Cd
114,3.6404822842349502,116,48,116Cd
115,3.6505122498869187,116,48,116Cd
116,3.6604826506135217,116,48,116Cd
117,3.6703943491054445,116,48,116Cd
118,3.6802481883131075,116,48,116Cd
118,3.6900449920613756,116,48,116Cd
119,3.699785565640118,116,48,116Cd
121,3.709470696371787,116,48,116Cd
122,3.719101154157074,116,48,116Cd
123,3.728677691999682,116,48,116Cd
124,3.73820104651115,116,48,116Cd
124,3.747671938396664,116,48,116Cd
126,3.7570910729227096,116,48,116Cd
126,3.766459140367376,116,48,116Cd
127,3.7757768164541,116,48,116Cd
128,3.7850447627695742,116,48,116Cd
130,3.794263627166512,116,48,116Cd
131,3.8034340441519414,116,48,116Cd
132,3.812556635261646,116,48,116Cd
133,3.821632009421351,116,48,116Cd
134,3.8306607632952177,116,48,116Cd
135,3.8396434816221796,116,48,116Cd
135,3.8485807375406473,116,48,116Cd
136,3.857473092902043,116,48,116Cd
138,3.8663210985736485,116,48,116Cd
138,3.8751252947311885,116,48,116Cd
140,3.88388621114159,116,48,116Cd
140,3.89260436743628,116,48,116Cd
141,3.9012802733754564,116,48,116Cd
143,3.909914429103621,116,48,116Cd
144,3.9185073253967966,116,48,116Cd
144,3.9270594439016944,116,48,116Cd
146,3.935571257367193,116,48,116Cd
146,3.944043229868381,116,48,116Cd
148,3.9524758170235046,116,48,116Cd
149,3.960869466204036,116,48,116Cd
150,3.969224616738177,116,48,116Cd
150,3.977541700107997,116,48,116Cd
152,3.9858211401404877,116,48,116Cd
153,3.9940633531927294,116,48,116Cd
154,4.002268748331405,116,48,116Cd
154,4.0104377275068686,116,48,116Cd
156,4.0185706857219525,116,48,116Cd
156,4.0266680111957305,116,48,116Cd
158,4.034730085522392,116,48,116Cd
158,4.042757283825423,116,48,116Cd
159,4.0507499749072515,116,48,116Cd
160,4.058708521394519,116,48,116Cd
161,4.066633279879138,116,48,116Cd
162,4.0745246010552725,116,48,116Cd
164,4.082382829852392,116,48,116Cd
165,4.090208305564536,116,48,116Cd
165,4.098001361975912,116,48,116Cd
167,4.105762327482956,116,48,116Cd
168,4.113491525212975,116,48,116Cd
168,4.1211892731394935,116,48,116Cd
170,4.128855884194399,116,48,116Cd
170,4.136491666377012,116,48,116Cd
171,4.144096922860166,116,48,116Cd
173,4.151671952093418,116,48,116Cd
174,4.159217047903443,116,48,116Cd
175,4.1667324995917605,116,48,116Cd
176,4.174218592029831,116,48,116Cd
177,4.181675605751632,116,48,116Cd
178,4.189103817043785,116,48,116Cd
179,4.19650349803332,116,48,116Cd
179,4.203874916773145,116,48,116Cd
181,4.211218337325294,116,48,116Cd
181,4.2185340198420205,116,48,116Cd
182,4.225822220644819,116,48,116Cd
183,4.233083192301418,116,48,116Cd
184,4.240317183700814,116,48,116Cd
186,4.247524440126417,116,48,116Cd
187,4.254705203327353,116,48,116Cd
188,4.261859711587982,116,48,116Cd
189,4.268988199795689,116,48,116Cd
189,4.276090899506994,116,48,116Cd
191,4.283168039012048,116,48,116Cd
192,4.29021984339752,116,48,116Cd
193,4.29724653460799,116,48,116Cd
193,4.3042483315058275,116,48,116Cd
194,4.311225449929634,116,48,116Cd
195,4.3181781027512915,116,48,116Cd
197,4.32510649993163,116,48,116Cd
197,4.332010848574801,116,48,116Cd
199,4.338891352981344,116,48,116Cd
200,4.345748214700011,116,48,116Cd
201,4.352581632578392,116,48,116Cd
202,4.3593918028123415,116,48,116Cd
203,4.366178918994278,116,48,116Cd
204,4.372943172160362,116,48,116Cd
204,4.379684750836595,116,48,116Cd
205,4.386403841083865,116,48,116Cd
207,4.3931006265419725,116,48,116Cd
207,4.399775288472655,116,48,116Cd
209,4.406428005801655,116,48,116Cd
209,4.413058955159832,116,48,116Cd
210,4.41966831092338,116,48,116Cd
211,4.426256245253125,116,48,116Cd
212,4.432822928132979,116,48,116Cd
214,4.439368527407541,116,48,116Cd
215,4.445893208818876,116,48,116Cd
215,4.452397136042491,116,48,116Cd
217,4.458880470722545,116,48,116Cd
217,4.4653433725062746,116,48,116Cd
219,4.471785999077711,116,48,116Cd
219,4.478208506190653,116,48,116Cd
220,4.484611047700955,116,48,116Cd
222,4.490993775598123,116,48,116Cd
223,4.497356840036239,116,48,116Cd
223,4.503700389364255,116,48,116Cd
225,4.510024570155642,116,48,116Cd
225,4.516329527237415,116,48,116Cd
226,4.522615403718581,116,48,116Cd
228,4.528882341017977,116,48,116Cd
228,4.535130478891539,116,48,116Cd
230,4.541359955459043,116,48,116Cd
231,4.547570907230258,116,48,116Cd
232,4.553763469130605,116,48,116Cd
232,4.559937774526277,116,48,116Cd
234,4.566093955248872,116,48,116Cd
235,4.572232141619514,116,48,116Cd
236,4.57835246247251,116,48,116Cd
237,4.584455045178532,116,48,116Cd
237,4.590540015667341,116,48,116Cd
238,4.596607498450062,116,48,116Cd
239,4.602657616641032,116,48,116Cd
240,4.608690491979211,116,48,116Cd
241,4.614706244849182,116,48,116Cd
242,4.620704994301749,116,48,116Cd
243,4.626686858074133,116,48,116Cd
245,4.632651952609783,116,48,116Cd
246,4.638600393077805,116,48,116Cd
247,4.64453229339203,116,48,116Cd
248,4.650447766229713,116,48,116Cd
249,4.656346923049879,116,48,116Cd
249,4.662229874111336,116,48,116Cd
250,4.66809672849033,116,48,116Cd
252,4.673947594097892,116,48,116Cd
253,4.679782577696848,116,48,116Cd
254,4.685601784918526,116,48,116Cd
254,4.691405320279145,116,48,116Cd
256,4.697193287195912,116,48,116Cd
257,4.702965788002813,116,48,116Cd
257,4.708722923966133,116,48,116Cd
259,4.71446479529968,116,48,116Cd
259,4.720191501179742,116,48,116Cd
260,4.725903139759775,116,48,116Cd
261,4.731599808184814,116,48,116Cd
263,4.737281602605659,116,48,116Cd
264,4.742948618192761,116,48,116Cd
265,4.748600949149909,116,48,116Cd
266,4.754238688727648,116,48,116Cd
267,4.759861929236466,116,48,116Cd
268,4.765470762059752,116,48,116Cd
269,4.771065277666528,116,48,116Cd
270,4.776645565623963,116,48,116Cd
271,4.782211714609658,116,48,116Cd
272,4.787763812423731,116,48,116Cd
273,4.793301946000693,116,48,116Cd
274,4.798826201421113,116,48,116Cd
275,4.804336663923088,116,48,116Cd
276,4.809833417913523,116,48,116Cd
