Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.024538127684104974,121,50,121Sn
2,0.0687278501832531,121,50,121Sn
3,0.12553979599454718,121,50,121Sn
4,0.19249705811382778,121,50,121Sn
5,0.26817589875103254,121,50,121Sn
6,0.35161934122375565,121,50,121Sn
7,0.4421269206773176,121,50,121Sn
7,0.5391572307830982,121,50,121Sn
9,0.6422755876586912,121,50,121Sn
10,0.7511230371524772,121,50,121Sn
11,0.8653966648612402,121,50,121Sn
12,0.9848364030159656,121,50,121Sn
12,1.109215813061802,121,50,121Sn
13,1.2383354246696283,121,50,121Sn
15,1.3720177860867202,121,50,121Sn
16,1.5101036990072199,121,50,121Sn
17,1.6524492967544353,121,50,121Sn
17,1.79892373750917,121,50,121Sn
18,1.9494073555695866,121,50,121Sn
20,2.103790159998446,121,50,121Sn
21,2.2619706010203013,121,50,121Sn
21,2.4238545457646055,121,50,121Sn
22,2.5893544198017016,121,50,121Sn
23,2.7583884815034097,121,50,121Sn
25,2.93088020393302,121,50,121Sn
26,3.1067577446175227,121,50,121Sn
27,3.285953487770803,121,50,121Sn
28,3.468403646723205,121,50,121Sn
29,3.654047916750312,121,50,121Sn
29,3.8428291703775135,121,50,121Sn
30,4.03469318870787,121,50,121Sn
32,4.2295884234791865,121,50,121Sn
33,4.427465785477035,121,50,121Sn
34,4.628278455667479,121,50,121Sn
35,4.831981716008047,121,50,121Sn
36,5.038532797378649,121,50,121Sn
37,5.247890742469053,121,50,121Sn
37,5.460016281784419,121,50,121Sn
38,5.674871721199276,121,50,121Sn
39,5.892420839713672,121,50,121Sn
40,6.112628796252301,121,50,121Sn
42,6.335462044504255,121,50,121Sn
42,6.560888254933597,121,50,121Sn
44,6.788876243203188,121,50,121Sn
45,7.019395904349731,121,50,121Sn
46,7.252418152129552,121,50,121Sn
47,7.487914863024913,121,50,121Sn
47,7.725858824460356,121,50,121Sn
48,7.966223686831267,121,50,121Sn
49,8.208983918991207,121,50,121Sn
50,8.454114766884315,121,50,121Sn
52,8.701592215042815,121,50,121Sn
52,8.951392950699624,121,50,121Sn
54,9.203494330292346,121,50,121Sn
55,9.457874348157475,121,50,121Sn
56,9.714511607234549,121,50,121Sn
57,9.97338529161713,121,50,121Sn
58,10.234475140803868,121,50,121Sn
59,10.49776142551662,121,50,121Sn
60,10.763224924965336,121,50,121Sn
61,11.030846905450174,121,50,121Sn
62,11.30060910020163,121,50,121Sn
63,11.57249369036811,121,50,121Sn
63,11.846483287068358,121,50,121Sn
64,12.122560914433345,121,50,121Sn
66,12.400709993568674,121,50,121Sn
67,12.680914327374067,121,50,121Sn
68,12.96315808616247,121,50,121Sn
68,13.24742579402474,121,50,121Sn
70,13.533702315891766,121,50,121Sn
70,13.821972845248153,121,50,121Sn
72,14.112222892456506,121,50,121Sn
73,14.404438273653346,121,50,121Sn
74,14.698605100181652,121,50,121Sn
75,14.994709768526848,121,50,121Sn
76,15.292738950726086,121,50,121Sn
77,15.592679585222259,121,50,121Sn
77,15.894518868137085,121,50,121Sn
78,16.198244244938433,121,50,121Sn
79,16.503843402479674,121,50,121Sn
81,16.811304261389644,121,50,121Sn
82,17.120614968794037,121,50,121Sn
83,17.431763891349483,121,50,121Sn
83,17.74473960857362,121,50,121Sn
84,18.059530906454974,121,50,121Sn
85,18.37612677132778,121,50,121Sn
86,18.694516383997946,121,50,121Sn
88,19.014689114106854,121,50,121Sn
89,19.336634514720988,121,50,121Sn
90,19.660342317135708,121,50,121Sn
91,19.98580242588258,121,50,121Sn
92,20.313004913929962,121,50,121Sn
92,20.64194001806743,121,50,121Sn
93,20.97259813446524,121,50,121Sn
95,21.304969814399932,121,50,121Sn
96,21.63904576013876,121,50,121Sn
96,21.974816820975104,121,50,121Sn
98,22.312273989407743,121,50,121Sn
99,22.651408397457683,121,50,121Sn
100,22.99221131311593,121,50,121Sn
101,23.33467413691645,121,50,121Sn
101,23.67878839862863,121,50,121Sn
102,24.02454575406412,121,50,121Sn
103,24.371937981992655,121,50,121Sn
105,24.720956981162537,121,50,121Sn
106,25.071594767420905,121,50,121Sn
107,25.423843470929903,121,50,121Sn
108,25.777695333474394,121,50,121Sn
109,26.133142705857335,121,50,121Sn
109,26.490178045379597,121,50,121Sn
111,26.848793913400335,121,50,121Sn
111,27.208982972974592,121,50,121Sn
112,27.570737986565657,121,50,121Sn
114,27.934051813828273,121,50,121Sn
115,28.298917409460383,121,50,121Sn
116,28.665327821121082,121,50,121Sn
117,29.03327618741127,121,50,121Sn
118,29.40275573591531,121,50,121Sn
118,29.773759781301155,121,50,121Sn
119,30.14628172347674,121,50,121Sn
121,30.52031504580029,121,50,121Sn
122,30.89585331334269,121,50,121Sn
123,31.27289017120048,121,50,121Sn
124,31.651419342856563,121,50,121Sn
124,32.031434628587675,121,50,121Sn
126,32.41292990391707,121,50,121Sn
126,32.795899118109546,121,50,121Sn
127,33.18033629270941,121,50,121Sn
128,33.566235520117544,121,50,121Sn
130,33.95359096220812,121,50,121Sn
131,34.34239684898213,121,50,121Sn
132,34.73264747725776,121,50,121Sn
133,35.12433720939502,121,50,121Sn
134,35.51746047205483,121,50,121Sn
135,35.912011754990054,121,50,121Sn
135,36.3079856098685,121,50,121Sn
136,36.70537664912622,121,50,121Sn
138,37.1041795448504,121,50,121Sn
138,37.504389027690365,121,50,121Sn
140,37.90599988579698,121,50,121Sn
140,38.309006963787475,121,50,121Sn
