Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.03418086390068463,122,51,122Sb
2,0.0601365379845925,122,51,122Sb
3,0.08368779465677384,122,51,122Sb
4,0.10580198356835276,122,51,122Sb
5,0.12690554611239618,122,51,122Sb
6,0.14723718677347575,122,51,122Sb
7,0.16694856467043076,122,51,122Sb
7,0.186144066521854,122,51,122Sb
9,0.20489964779310513,122,51,122Sb
10,0.2232728879064613,122,51,122Sb
11,0.24130883341911613,122,51,122Sb
12,0.2590436187006472,122,51,122Sb
12,0.27650682518849634,122,51,122Sb
13,0.2937230823055782,122,51,122Sb
15,0.3107131907115792,122,51,122Sb
16,0.32749493282332676,122,51,122Sb
17,0.34408367180896576,122,51,122Sb
17,0.3604928034686942,122,51,122Sb
18,0.37673410330493634,122,51,122Sb
20,0.3928179973311805,122,51,122Sb
21,0.40875377635210364,122,51,122Sb
21,0.4245497676445713,122,51,122Sb
22,0.44021347405917055,122,51,122Sb
23,0.45575168787193054,122,51,122Sb
25,0.47117058483015517,122,51,122Sb
26,0.4864758024917573,122,51,122Sb
27,0.5016725059840047,122,51,122Sb
28,0.5167654435927583,122,51,122Sb
29,0.5317589940616262,122,51,122Sb
29,0.5466572070803206,122,51,122Sb
30,0.5614638381370576,122,51,122Sb
32,0.5761823786758382,122,51,122Sb
33,0.5908160823179237,122,51,122Sb
34,0.605367987764741,122,51,122Sb
35,0.6198409388873684,122,51,122Sb
36,0.63423760241862,122,51,122Sb
37,0.6485604835924124,122,51,122Sb
37,0.6628119400175523,122,51,122Sb
38,0.6769941940264372,122,51,122Sb
39,0.6911093437010797,122,51,122Sb
40,0.7051593727476146,122,51,122Sb
42,0.7191461593646719,122,51,122Sb
42,0.7330714842296198,122,51,122Sb
44,0.7469370377088779,122,51,122Sb
45,0.7607444263835829,122,51,122Sb
46,0.7744951789693792,122,51,122Sb
47,0.7881907516985145,122,51,122Sb
47,0.8018325332234669,122,51,122Sb
48,0.8154218490937188,122,51,122Sb
49,0.8289599658507684,122,51,122Sb
50,0.8424480947809136,122,51,122Sb
52,0.8558873953605578,122,51,122Sb
52,0.8692789784246371,122,51,122Sb
54,0.8826239090852398,122,51,122Sb
55,0.8959232094243467,122,51,122Sb
56,0.9091778609819828,122,51,122Sb
57,0.9223888070586723,122,51,122Sb
58,0.9355569548490895,122,51,122Sb
59,0.9486831774219582,122,51,122Sb
60,0.961768315559704,122,51,122Sb
61,0.9748131794699638,122,51,122Sb
62,0.9878185503798219,122,51,122Sb
63,1.0007851820225802,122,51,122Sb
63,1.0137138020258871,122,51,122Sb
64,1.0266051132092116,122,51,122Sb
66,1.0394597947978812,122,51,122Sb
67,1.0522785035602356,122,51,122Sb
68,1.0650618748738385,122,51,122Sb
68,1.0778105237261422,122,51,122Sb
70,1.0905250456545394,122,51,122Sb
70,1.1032060176302716,122,51,122Sb
72,1.1158539988903053,122,51,122Sb
73,1.1284695317209,122,51,122Sb
74,1.1410531421963157,122,51,122Sb
75,1.1536053408757838,122,51,122Sb
76,1.1661266234616328,122,51,122Sb
77,1.1786174714212123,122,51,122Sb
77,1.1910783525750497,122,51,122Sb
78,1.2035097216534874,122,51,122Sb
79,1.21591202082386,122,51,122Sb
81,1.2282856801901256,122,51,122Sb
82,1.2406311182667036,122,51,122Sb
83,1.2529487424281613,122,51,122Sb
83,1.265238949336245,122,51,122Sb
84,1.277502125345658,122,51,122Sb
85,1.28973864688988,122,51,122Sb
86,1.3019488808482291,122,51,122Sb
88,1.3141331848952842,122,51,122Sb
89,1.3262919078337077,122,51,122Sb
90,1.3384253899114305,122,51,122Sb
91,1.3505339631241027,122,51,122Sb
92,1.362617951503647,122,51,122Sb
92,1.3746776713937015,122,51,122Sb
93,1.386713431712673,122,51,122Sb
95,1.3987255342050975,122,51,122Sb
96,1.4107142736819251,122,51,122Sb
96,1.4226799382503563,122,51,122Sb
98,1.4346228095337556,122,51,122Sb
99,1.4465431628821885,122,51,122Sb
100,1.4584412675740694,122,51,122Sb
101,1.4703173870093704,122,51,122Sb
101,1.482171778894836,122,51,122Sb
102,1.494004695421605,122,51,122Sb
103,1.505816383435621,122,51,122Sb
105,1.5176070846011878,122,51,122Sb
106,1.5293770355580136,122,51,122Sb
107,1.5411264680720658,122,51,122Sb
108,1.552855609180519,122,51,122Sb
109,1.5645646813311007,122,51,122Sb
109,1.576253902516083,122,51,122Sb
111,1.5879234864011917,122,51,122Sb
111,1.5995736424496407,122,51,122Sb
112,1.6112045760415596,122,51,122Sb
114,1.6228164885889789,122,51,122Sb
115,1.6344095776466097,122,51,122Sb
116,1.6459840370185934,122,51,122Sb
117,1.6575400568614005,122,51,122Sb
118,1.6690778237830552,122,51,122Sb
118,1.6805975209388377,122,51,122Sb
119,1.6920993281236298,122,51,122Sb
121,1.703583421861038,122,51,122Sb
122,1.7150499754894346,122,51,122Sb
123,1.7264991592450603,122,51,122Sb
124,1.7379311403422846,122,51,122Sb
124,1.749346083051174,122,51,122Sb
126,1.7607441487724587,122,51,122Sb
126,1.772125496110006,122,51,122Sb
127,1.7834902809409219,122,51,122Sb
128,1.7948386564833443,122,51,122Sb
130,1.806170773362054,122,51,122Sb
131,1.8174867796719603,122,51,122Sb
132,1.828786821039578,122,51,122Sb
133,1.8400710406825365,122,51,122Sb
134,1.8513395794672358,122,51,122Sb
135,1.8625925759646846,122,51,122Sb
135,1.873830166504628,122,51,122Sb
136,1.8850524852279962,122,51,122Sb
138,1.89625966413776,122,51,122Sb
138,1.9074518331482355,122,51,122Sb
140,1.9186291201329215,122,51,122Sb
140,1.9297916509708892,122,51,122Sb
141,1.9409395495918123,122,51,122Sb
143,1.952072938019658,122,51,122Sb
144,1.9631919364151071,122,51,122Sb
144,1.9742966631167398,122,51,122Sb
146,1.985387234681039,122,51,122Sb
146,1.9964637659212332,122,51,122Sb
148,2.0075263699450545,122,51,122Sb
149,2.0185751581914086,122,51,122Sb
150,2.0296102404660354,122,51,122Sb
150,2.040631724976157,122,51,122Sb
152,2.051639718364184,122,51,122Sb
153,2.062634325740472,122,51,122Sb
154,2.0736156507152077,122,51,122Sb
154,2.0845837954294115,122,51,122Sb
156,2.0955388605851084,122,51,122Sb
156,2.106480945474691,122,51,122Sb
158,2.1174101480095024,122,51,122Sb
158,2.1283265647476526,122,51,122Sb
159,2.1392302909211174,122,51,122Sb
160,2.15012142046212,122,51,122Sb
161,2.1610000460288252,122,51,122Sb
162,2.1718662590303803,122,51,122Sb
164,2.182720149651301,122,51,122Sb
165,2.193561806875242,122,51,122Sb
165,2.20439131850817,122,51,122Sb
167,2.2152087712009445,122,51,122Sb
168,2.226014250471329,122,51,122Sb
168,2.2368078407254735,122,51,122Sb
170,2.2475896252788417,122,51,122Sb
170,2.2583596863766386,122,51,122Sb
171,2.2691181052137392,122,51,122Sb
173,2.2798649619541185,122,51,122Sb
174,2.290600335749825,122,51,122Sb
175,2.3013243047594916,122,51,122Sb
176,2.3120369461664163,122,51,122Sb
177,2.3227383361961884,122,51,122Sb
178,2.333428550133921,122,51,122Sb
179,2.3441076623410737,122,51,122Sb
179,2.354775746271867,122,51,122Sb
181,2.365432874489343,122,51,122Sb
181,2.3760791186810253,122,51,122Sb
182,2.3867145496742435,122,51,122Sb
183,2.397339237451088,122,51,122Sb
184,2.4079532511630384,122,51,122Sb
186,2.418556659145257,122,51,122Sb
187,2.429149528930557,122,51,122Sb
188,2.439731927263065,122,51,122Sb
189,2.4503039201115735,122,51,122Sb
189,2.4608655726825988,122,51,122Sb
191,2.4714169494331615,122,51,122Sb
192,2.4819581140832634,122,51,122Sb
193,2.492489129628124,122,51,122Sb
193,2.5030100583501236,122,51,122Sb
194,2.513520961830508,122,51,122Sb
195,2.524021900960831,122,51,122Sb
197,2.534512935954159,122,51,122Sb
197,2.544994126356032,122,51,122Sb
199,2.5554655310552015,122,51,122Sb
200,2.5659272082941285,122,51,122Sb
201,2.5763792156792866,122,51,122Sb
202,2.5868216101912154,122,51,122Sb
203,2.5972544481944033,122,51,122Sb
204,2.6076777854469344,122,51,122Sb
204,2.618091677109963,122,51,122Sb
205,2.6284961777569746,122,51,122Sb
207,2.6388913413828794,122,51,122Sb
207,2.6492772214128903,122,51,122Sb
209,2.6596538707112707,122,51,122Sb
209,2.6700213415898477,122,51,122Sb
210,2.680379685816419,122,51,122Sb
211,2.6907289546229336,122,51,122Sb
212,2.7010691987135576,122,51,122Sb
214,2.7114004682725517,122,51,122Sb
215,2.7217228129720086,122,51,122Sb
215,2.7320362819794424,122,51,122Sb
217,2.7423409239652186,122,51,122Sb
217,2.7526367871098474,122,51,122Sb
219,2.7629239191111497,122,51,122Sb
219,2.773202367191251,122,51,122Sb
220,2.783472178103491,122,51,122Sb
222,2.7937333981391603,122,51,122Sb
223,2.8039860731341273,122,51,122Sb
223,2.8142302484753494,122,51,122Sb
225,2.8244659691072487,122,51,122Sb
225,2.834693279537964,122,51,122Sb
226,2.844912223845515,122,51,122Sb
228,2.8551228456838245,122,51,122Sb
228,2.8653251882886295,122,51,122Sb
230,2.8755192944833223,122,51,122Sb
231,2.8857052066846327,122,51,122Sb
232,2.8958829669082458,122,51,122Sb
232,2.906052616774299,122,51,122Sb
234,2.916214197512799,122,51,122Sb
235,2.92636774996891,122,51,122Sb
236,2.936513314608186,122,51,122Sb
237,2.946650931521679,122,51,122Sb
237,2.9567806404309787,122,51,122Sb
238,2.9669024806931503,122,51,122Sb
239,2.9770164913055917,122,51,122Sb
240,2.9871227109108043,122,51,122Sb
241,2.997221177801078,122,51,122Sb
242,3.0073119299231075,122,51,122Sb
243,3.0173950048825118,122,51,122Sb
245,3.027470439948291,122,51,122Sb
246,3.0375382720571906,122,51,122Sb
247,3.047598537818013,122,51,122Sb
248,3.05765127351584,122,51,122Sb
249,3.0676965151161877,122,51,122Sb
249,3.0777342982690947,122,51,122Sb
250,3.0877646583131373,122,51,122Sb
252,3.097787630279383,122,51,122Sb
253,3.1078032488952716,122,51,122Sb
254,3.1178115485884406,122,51,122Sb
254,3.1278125634904796,122,51,122Sb
256,3.137806327440632,122,51,122Sb
257,3.1477928739894243,122,51,122Sb
257,3.157772236402243,122,51,122Sb
259,3.1677444476628644,122,51,122Sb
259,3.177709540476896,122,51,122Sb
260,3.1876675472752076,122,51,122Sb
261,3.1976185002172604,122,51,122Sb
263,3.2075624311944213,122,51,122Sb
264,3.217499371833196,122,51,122Sb
265,3.2274293534984313,122,51,122Sb
266,3.2373524072964606,122,51,122Sb
267,3.2472685640781878,122,51,122Sb
268,3.2571778544421455,122,51,122Sb
269,3.2670803087374813,122,51,122Sb
270,3.2769759570669232,122,51,122Sb
271,3.2868648292896707,122,51,122Sb
272,3.2967469550242643,122,51,122Sb
273,3.306622363651406,122,51,122Sb
274,3.3164910843167243,122,51,122Sb
275,3.32635314593351,122,51,122Sb
276,3.3362085771854044,122,51,122Sb
277,3.3460574065290554,122,51,122Sb
277,3.355899662196716,122,51,122Sb
278,3.365735372198822,122,51,122Sb
280,3.3755645643265257,122,51,122Sb
280,3.3853872661541695,122,51,122Sb
281,3.395203505041776,122,51,122Sb
283,3.4050133081374403,122,51,122Sb
283,3.41481670237972,122,51,122Sb
285,3.4246137144999964,122,51,122Sb
286,3.4344043710247756,122,51,122Sb
287,3.4441886982779746,122,51,122Sb
288,3.453966722383167,122,51,122Sb
288,3.4637384692658015,122,51,122Sb
290,3.4735039646553814,122,51,122Sb
291,3.4832632340876213,122,51,122Sb
292,3.4930163029065517,122,51,122Sb
293,3.5027631962666304,122,51,122Sb
294,3.5125039391347883,122,51,122Sb
295,3.5222385562924696,122,51,122Sb
296,3.531967072337624,122,51,122Sb
296,3.541689511686682,122,51,122Sb
298,3.551405898576516,122,51,122Sb
298,3.561116257066331,122,51,122Sb
300,3.5708206110395895,122,51,122Sb
301,3.5805189842058422,122,51,122Sb
301,3.5902114001025964,122,51,122Sb
302,3.5998978820971153,122,51,122Sb
304,3.609578453388217,122,51,122Sb
305,3.6192531370080196,122,51,122Sb
306,3.6289219558237042,122,51,122Sb
307,3.638584932539209,122,51,122Sb
308,3.648242089696948,122,51,122Sb
309,3.657893449679454,122,51,122Sb
309,3.667539034711054,122,51,122Sb
311,3.6771788668594656,122,51,122Sb
312,3.686812968037416,122,51,122Sb
312,3.6964413600042287,122,51,122Sb
313,3.706064064367367,122,51,122Sb
314,3.7156811025839933,122,51,122Sb
316,3.725292495962474,122,51,122Sb
317,3.734898265663884,122,51,122Sb
317,3.744498432703478,122,51,122Sb
318,3.7540930179521754,122,51,122Sb
319,3.763682042137967,122,51,122Sb
320,3.7732655258473655,122,51,122Sb
321,3.782843489526792,122,51,122Sb
323,3.7924159534839723,122,51,122Sb
323,3.80198293788928,122,51,122Sb
325,3.8115444627771344,122,51,122Sb
325,3.8211005480472733,122,51,122Sb
326,3.8306512134661204,122,51,122Sb
328,3.8401964786680494,122,51,122Sb
329,3.849736363156676,122,51,122Sb
330,3.85927088630613,122,51,122Sb
331,3.8688000673623013,122,51,122Sb
331,3.878323925444064,122,51,122Sb
332,3.8878424795445112,122,51,122Sb
334,3.897355748532146,122,51,122Sb
334,3.906863751152058,122,51,122Sb
336,3.9163665060271375,122,51,122Sb
336,3.9258640316591773,122,51,122Sb
337,3.935356346430069,122,51,122Sb
338,3.9448434686028997,122,51,122Sb
339,3.9543254163230706,122,51,122Sb
340,3.963802207619422,122,51,122Sb
341,3.9732738604052957,122,51,122Sb
342,3.982740392479616,122,51,122Sb
343,3.9922018215279658,122,51,122Sb
344,4.0016581651236205,122,51,122Sb
346,4.011109440728594,122,51,122Sb
346,4.020555665694659,122,51,122Sb
347,4.0299968572643525,122,51,122Sb
348,4.039433032571981,122,51,122Sb
350,4.048864208644625,122,51,122Sb
350,4.0582904024030695,122,51,122Sb
352,4.067711630662824,122,51,122Sb
352,4.077127910135024,122,51,122Sb
353,4.08653925742741,122,51,122Sb
355,4.095945689045245,122,51,122Sb
356,4.105347221392219,122,51,122Sb
357,4.114743870771375,122,51,122Sb
358,4.124135653386011,122,51,122Sb
359,4.133522585340547,122,51,122Sb
360,4.142904682641417,122,51,122Sb
360,4.152281961197934,122,51,122Sb
362,4.161654436823143,122,51,122Sb
362,4.171022125234667,122,51,122Sb
363,4.180385042055553,122,51,122Sb
364,4.189743202815078,122,51,122Sb
365,4.199096622949602,122,51,122Sb
367,4.208445317803336,122,51,122Sb
368,4.217789302629175,122,51,122Sb
368,4.2271285925894695,122,51,122Sb
370,4.236463202756811,122,51,122Sb
371,4.245793148114808,122,51,122Sb
371,4.255118443558841,122,51,122Sb
373,4.264439103896839,122,51,122Sb
374,4.2737551438499946,122,51,122Sb
375,4.283066578053519,122,51,122Sb
375,4.29237342105738,122,51,122Sb
377,4.301675687327019,122,51,122Sb
378,4.310973391244047,122,51,122Sb
378,4.3202665471069714,122,51,122Sb
379,4.3295551691319,122,51,122Sb
381,4.338839271453207,122,51,122Sb
382,4.348118868124225,122,51,122Sb
383,4.357393973117937,122,51,122Sb
384,4.366664600327618,122,51,122Sb
384,4.375930763567524,122,51,122Sb
386,4.38519247657352,122,51,122Sb
387,4.39444975300374,122,51,122Sb
388,4.403702606439227,122,51,122Sb
389,4.412951050384562,122,51,122Sb
389,4.422195098268486,122,51,122Sb
390,4.4314347634445355,122,51,122Sb
391,4.440670059191634,122,51,122Sb
392,4.44990099871471,122,51,122Sb
394,4.459127595145291,122,51,122Sb
394,4.468349861542105,122,51,122Sb
395,4.47756781089166,122,51,122Sb
397,4.486781456108832,122,51,122Sb
397,4.495990810037418,122,51,122Sb
399,4.505195885450746,122,51,122Sb
400,4.514396695052188,122,51,122Sb
400,4.523593251475753,122,51,122Sb
401,4.532785567286633,122,51,122Sb
403,4.54197365498173,122,51,122Sb
404,4.55115752699021,122,51,122Sb
405,4.560337195674034,122,51,122Sb
406,4.569512673328487,122,51,122Sb
406,4.578683972182694,122,51,122Sb
408,4.5878511044001655,122,51,122Sb
409,4.597014082079252,122,51,122Sb
409,4.606172917253715,122,51,122Sb
411,4.615327621893197,122,51,122Sb
411,4.624478207903706,122,51,122Sb
413,4.6336246871281475,122,51,122Sb
414,4.642767071346761,122,51,122Sb
414,4.651905372277642,122,51,122Sb
416,4.661039601577211,122,51,122Sb
417,4.670169770840667,122,51,122Sb
417,4.679295891602469,122,51,122Sb
418,4.688417975336799,122,51,122Sb
419,4.697536033458023,122,51,122Sb
421,4.70665007732113,122,51,122Sb
422,4.71576011822219,122,51,122Sb
422,4.724866167398814,122,51,122Sb
423,4.733968236030568,122,51,122Sb
425,4.743066335239419,122,51,122Sb
425,4.75216047609017,122,51,122Sb
427,4.7612506695908845,122,51,122Sb
428,4.77033692669331,122,51,122Sb
429,4.7794192582932995,122,51,122Sb
430,4.7884976752312225,122,51,122Sb
430,4.797572188292374,122,51,122Sb
431,4.806642808207394,122,51,122Sb
433,4.815709545652658,122,51,122Sb
434,4.824772411250664,122,51,122Sb
435,4.833831415570457,122,51,122Sb
435,4.842886569128011,122,51,122Sb
437,4.851937882386603,122,51,122Sb
438,4.8609853657572115,122,51,122Sb
438,4.870029029598873,122,51,122Sb
440,4.879068884219108,122,51,122Sb
441,4.888104939874238,122,51,122Sb
441,4.8971372067697905,122,51,122Sb
442,4.9061656950608485,122,51,122Sb
443,4.915190414852418,122,51,122Sb
444,4.924211376199807,122,51,122Sb
446,4.9332285891089285,122,51,122Sb
447,4.94224206353672,122,51,122Sb
448,4.951251809391435,122,51,122Sb
449,4.960257836533022,122,51,122Sb
449,4.969260154773465,122,51,122Sb
450,4.9782587738771085,122,51,122Sb
451,4.987253703560999,122,51,122Sb
453,4.996244953495232,122,51,122Sb
453,5.005232533303253,122,51,122Sb
455,5.014216452562221,122,51,122Sb
455,5.023196720803304,122,51,122Sb
457,5.032173347512014,122,51,122Sb
458,5.0411463421285125,122,51,122Sb
458,5.050115714047948,122,51,122Sb
459,5.059081472620746,122,51,122Sb
460,5.068043627152932,122,51,122Sb
462,5.077002186906428,122,51,122Sb
463,5.085957161099363,122,51,122Sb
463,5.094908558906376,122,51,122Sb
465,5.103856389458916,122,51,122Sb
465,5.112800661845525,122,51,122Sb
467,5.121741385112143,122,51,122Sb
468,5.130678568262395,122,51,122Sb
469,5.139612220257882,122,51,122Sb
470,5.148542350018456,122,51,122Sb
471,5.1574689664225195,122,51,122Sb
472,5.166392078307293,122,51,122Sb
473,5.175311694469094,122,51,122Sb
474,5.18422782366361,122,51,122Sb
474,5.193140474606187,122,51,122Sb
475,5.20204965597209,122,51,122Sb
477,5.2109553763967575,122,51,122Sb
477,5.21985764447609,122,51,122Sb
479,5.2287564687666945,122,51,122Sb
479,5.237651857786168,122,51,122Sb
481,5.246543820013335,122,51,122Sb
482,5.255432363888511,122,51,122Sb
483,5.264317497813763,122,51,122Sb
483,5.273199230153142,122,51,122Sb
484,5.2820775692329756,122,51,122Sb
486,5.290952523342068,122,51,122Sb
487,5.299824100731968,122,51,122Sb
487,5.308692309617209,122,51,122Sb
489,5.317557158175558,122,51,122Sb
490,5.32641865454825,122,51,122Sb
491,5.3352768068402145,122,51,122Sb
491,5.344131623120324,122,51,122Sb
493,5.352983111421641,122,51,122Sb
494,5.361831279741608,122,51,122Sb
495,5.370676136042311,122,51,122Sb
496,5.379517688250705,122,51,122Sb
496,5.388355944258822,122,51,122Sb
498,5.397190911924014,122,51,122Sb
498,5.4060225990691535,122,51,122Sb
499,5.414851013482883,122,51,122Sb
501,5.423676162919798,122,51,122Sb
501,5.432498055100679,122,51,122Sb
502,5.441316697712736,122,51,122Sb
504,5.450132098409768,122,51,122Sb
505,5.4589442648123985,122,51,122Sb
506,5.467753204508301,122,51,122Sb
507,5.476558925052377,122,51,122Sb
508,5.485361433966989,122,51,122Sb
509,5.494160738742136,122,51,122Sb
509,5.502956846835673,122,51,122Sb
511,5.511749765673532,122,51,122Sb
512,5.520539502649865,122,51,122Sb
512,5.529326065127303,122,51,122Sb
514,5.538109460437103,122,51,122Sb
515,5.546889695879381,122,51,122Sb
516,5.555666778723274,122,51,122Sb
516,5.564440716207152,122,51,122Sb
518,5.573211515538797,122,51,122Sb
518,5.581979183895586,122,51,122Sb
519,5.5907437284247,122,51,122Sb
521,5.599505156243294,122,51,122Sb
521,5.608263474438657,122,51,122Sb
522,5.617018690068441,122,51,122Sb
523,5.6257708101608115,122,51,122Sb
525,5.634519841714638,122,51,122Sb
526,5.643265791699657,122,51,122Sb
527,5.6520086670566645,122,51,122Sb
527,5.660748474697674,122,51,122Sb
528,5.669485221506135,122,51,122Sb
530,5.678218914337033,122,51,122Sb
530,5.686949560017103,122,51,122Sb
532,5.695677165345026,122,51,122Sb
533,5.70440173709153,122,51,122Sb
533,5.7131232819996,122,51,122Sb
535,5.721841806784656,122,51,122Sb
536,5.730557318134677,122,51,122Sb
536,5.739269822710375,122,51,122Sb
538,5.747979327145403,122,51,122Sb
539,5.756685838046436,122,51,122Sb
540,5.7653893619934005,122,51,122Sb
540,5.774089905539582,122,51,122Sb
542,5.782787475211833,122,51,122Sb
543,5.7914820775106675,122,51,122Sb
544,5.800173718910465,122,51,122Sb
545,5.808862405859595,122,51,122Sb
546,5.817548144780596,122,51,122Sb
547,5.826230942070289,122,51,122Sb
548,5.8349108040999615,122,51,122Sb
549,5.843587737215499,122,51,122Sb
549,5.852261747737527,122,51,122Sb
550,5.860932841961585,122,51,122Sb
552,5.869601026158233,122,51,122Sb
553,5.878266306573224,122,51,122Sb
554,5.886928689427635,122,51,122Sb
555,5.895588180918009,122,51,122Sb
556,5.904244787216503,122,51,122Sb
557,5.912898514471027,122,51,122Sb
557,5.921549368805361,122,51,122Sb
558,5.930197356319338,122,51,122Sb
559,5.938842483088925,122,51,122Sb
561,5.947484755166403,122,51,122Sb
562,5.95612417858047,122,51,122Sb
563,5.964760759336406,122,51,122Sb
563,5.973394503416191,122,51,122Sb
565,5.982025416778614,122,51,122Sb
566,5.990653505359432,122,51,122Sb
566,5.999278775071509,122,51,122Sb
567,6.007901231804906,122,51,122Sb
569,6.016520881427035,122,51,122Sb
570,6.025137729782789,122,51,122Sb
571,6.033751782694656,122,51,122Sb
572,6.042363045962837,122,51,122Sb
572,6.050971525365394,122,51,122Sb
574,6.059577226658366,122,51,122Sb
575,6.068180155575863,122,51,122Sb
575,6.076780317830213,122,51,122Sb
576,6.0853777191121114,122,51,122Sb
578,6.0939723650906625,122,51,122Sb
578,6.102564261413571,122,51,122Sb
580,6.1111534137072265,122,51,122Sb
580,6.119739827576829,122,51,122Sb
582,6.128323508606496,122,51,122Sb
583,6.136904462359382,122,51,122Sb
584,6.145482694377814,122,51,122Sb
585,6.154058210183358,122,51,122Sb
586,6.162631015276994,122,51,122Sb
587,6.171201115139162,122,51,122Sb
588,6.179768515229925,122,51,122Sb
588,6.18833322098906,122,51,122Sb
590,6.196895237836157,122,51,122Sb
591,6.205454571170748,122,51,122Sb
592,6.214011226372404,122,51,122Sb
593,6.22256520880084,122,51,122Sb
594,6.231116523796024,122,51,122Sb
595,6.239665176678308,122,51,122Sb
596,6.248211172748468,122,51,122Sb
596,6.256754517287886,122,51,122Sb
598,6.265295215558607,122,51,122Sb
599,6.273833272803448,122,51,122Sb
599,6.282368694246103,122,51,122Sb
601,6.290901485091265,122,51,122Sb
601,6.299431650524673,122,51,122Sb
602,6.30795919571329,122,51,122Sb
603,6.316484125805328,122,51,122Sb
605,6.325006445930388,122,51,122Sb
605,6.333526161199546,122,51,122Sb
606,6.342043276705467,122,51,122Sb
608,6.350557797522479,122,51,122Sb
608,6.359069728706648,122,51,122Sb
610,6.367579075295955,122,51,122Sb
610,6.376085842310304,122,51,122Sb
612,6.384590034751662,122,51,122Sb
613,6.393091657604122,122,51,122Sb
614,6.401590715834054,122,51,122Sb
615,6.410087214390113,122,51,122Sb
616,6.4185811582034145,122,51,122Sb
616,6.427072552187551,122,51,122Sb
618,6.43556140123874,122,51,122Sb
619,6.444047710235892,122,51,122Sb
620,6.452531484040678,122,51,122Sb
620,6.461012727497658,122,51,122Sb
622,6.469491445434352,122,51,122Sb
623,6.477967642661301,122,51,122Sb
624,6.486441323972198,122,51,122Sb
625,6.494912494143949,122,51,122Sb
625,6.503381157936756,122,51,122Sb
626,6.511847320094219,122,51,122Sb
627,6.520310985343394,122,51,122Sb
629,6.528772158394926,122,51,122Sb
630,6.53723084394305,122,51,122Sb
631,6.545687046665763,122,51,122Sb
632,6.554140771224849,122,51,122Sb
633,6.562592022265992,122,51,122Sb
634,6.571040804418817,122,51,122Sb
