Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.0877645929870941,125,53,125I
2,0.15950646523077497,125,53,125I
3,0.22623096385175412,125,53,125I
4,0.28989267293882115,125,53,125I
5,0.35136974496991114,125,53,125I
6,0.4111601289491643,125,53,125I
7,0.4695833580847953,125,53,125I
7,0.526861163289074,125,53,125I
9,0.5831560001972529,125,53,125I
10,0.6385917612291667,125,53,125I
11,0.6932658870968408,125,53,125I
12,0.7472569128435981,125,53,125I
12,0.8006294089551452,125,53,125I
13,0.8534373490493747,125,53,125I
15,0.9057264822566574,125,53,125I
16,0.9575360514230631,125,53,125I
17,1.0089000672495767,125,53,125I
17,1.0598482725631646,125,53,125I
18,1.110406885138279,125,53,125I
20,1.1605991789210262,125,53,125I
21,1.2104459451420062,125,53,125I
21,1.2599658626817263,125,53,125I
22,1.3091757988635817,125,53,125I
23,1.3580910562015711,125,53,125I
25,1.40672557666137,125,53,125I
26,1.4550921121575653,125,53,125I
27,1.5032023679521695,125,53,125I
28,1.5510671241055816,125,53,125I
29,1.5986963390029192,125,53,125I
29,1.6460992381279314,125,53,125I
30,1.6932843906082469,125,53,125I
32,1.7402597755564828,125,53,125I
33,1.787032839843773,125,53,125I
34,1.8336105486381682,125,53,125I
35,1.879999429800034,125,53,125I
36,1.9262056130352343,125,53,125I
37,1.9722348645534644,125,53,125I
37,2.0180926178552134,125,53,125I
38,2.06378400117024,125,53,125I
39,2.10931386198823,125,53,125I
40,2.1546867890547374,125,53,125I
42,2.1999071321497254,125,53,125I
42,2.2449790199196737,125,53,125I
44,2.2899063759956078,125,53,125I
45,2.3346929335969633,125,53,125I
46,2.3793422487940394,125,53,125I
47,2.4238577125786893,125,53,125I
47,2.4682425618734114,125,53,125I
48,2.5124998895923683,125,53,125I
49,2.556632653853637,125,53,125I
50,2.6006436864298434,125,53,125I
52,2.644535700513825,125,53,125I
52,2.688311297866934,125,53,125I
54,2.731972975409799,125,53,125I
55,2.7755231313085074,125,53,125I
56,2.818964070603351,125,53,125I
57,2.8622980104220095,125,53,125I
58,2.905527084814657,125,53,125I
59,2.9486533492444047,125,53,125I
60,2.9916787847631037,125,53,125I
61,3.034605301899411,125,53,125I
62,3.0774347442833285,125,53,125I
63,3.120168892029069,125,53,125I
63,3.162809464895885,125,53,125I
64,3.2053581252447443,125,53,125I
66,3.2478164808068994,125,53,125I
67,3.290186087279044,125,53,125I
