Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.13532323625375495,125,54,125Xe
2,0.19854749795878343,125,54,125Xe
3,0.24845973661691825,125,54,125Xe
4,0.29131071674765124,125,54,125Xe
5,0.32957550638753896,125,54,125Xe
6,0.3645424127773813,125,54,125Xe
7,0.3969854890105413,125,54,125Xe
7,0.42741376529281094,125,54,125Xe
9,0.4561835973534473,125,54,125Xe
10,0.48355621690158307,125,54,125Xe
11,0.5097300225710618,125,54,125Xe
12,0.5348599838469997,125,54,125Xe
12,0.5590699437995184,125,54,125Xe
13,0.5824607639532414,125,54,125Xe
15,0.6051159119405349,125,54,125Xe
16,0.6271054110241586,125,54,125Xe
17,0.648488703624262,125,54,125Xe
17,0.6693167734661739,125,54,125Xe
18,0.6896337486102865,125,54,125Xe
20,0.7094781328477138,125,54,125Xe
21,0.7288837657956961,125,54,125Xe
21,0.7478805814707247,125,54,125Xe
22,0.7664952148282114,125,54,125Xe
23,0.7847514919903521,125,54,125Xe
25,0.8026708303585133,125,54,125Xe
26,0.8202725680991239,125,54,125Xe
27,0.8375742376930535,125,54,125Xe
28,0.8545917947544556,125,54,125Xe
29,0.8713398107618262,125,54,125Xe
29,0.8878316364349211,125,54,125Xe
30,0.9040795410531265,125,54,125Xe
32,0.9200948319162465,125,54,125Xe
33,0.9358879573073141,125,54,125Xe
34,0.9514685956644756,125,54,125Xe
35,0.9668457331585839,125,54,125Xe
36,0.9820277314707452,125,54,125Xe
37,0.9970223872444716,125,54,125Xe
37,1.0118369844314865,125,54,125Xe
38,1.0264783405444844,125,54,125Xe
39,1.040952847663471,125,54,125Xe
40,1.05526650890653,125,54,125Xe
42,1.069424970964628,125,54,125Xe
42,1.0834335532084567,125,54,125Xe
44,1.097297273799511,125,54,125Xe
45,1.1110208731745412,125,54,125Xe
46,1.1246088352198915,125,54,125Xe
47,1.1380654064080562,125,54,125Xe
47,1.151394613131588,125,54,125Xe
48,1.164600277438056,125,54,125Xe
49,1.1776860313430446,125,54,125Xe
50,1.1906553298754707,125,54,125Xe
52,1.2035114629900654,125,54,125Xe
52,1.2162575664652042,125,54,125Xe
54,1.2288966318899772,125,54,125Xe
55,1.2414315158319889,125,54,125Xe
56,1.2538649482667477,125,54,125Xe
57,1.2661995403401776,125,54,125Xe
58,1.2784377915277647,125,54,125Xe
59,1.2905820962467884,125,54,125Xe
60,1.3026347499719548,125,54,125Xe
61,1.3145979548993616,125,54,125Xe
62,1.3264738251989792,125,54,125Xe
63,1.3382643918916848,125,54,125Xe
63,1.3499716073832,125,54,125Xe
64,1.3615973496840348,125,54,125Xe
66,1.373143426341667,125,54,125Xe
67,1.384611578108632,125,54,125Xe
68,1.3960034823679228,125,54,125Xe
68,1.407320756335083,125,54,125Xe
70,1.4185649600545653,125,54,125Xe
70,1.4297375992063122,125,54,125Xe
72,1.4408401277370886,125,54,125Xe
73,1.4518739503297649,125,54,125Xe
74,1.4628404247226252,125,54,125Xe
75,1.473740863889703,125,54,125Xe
76,1.4845765380921976,125,54,125Xe
77,1.4953486768102056,125,54,125Xe
77,1.50605847056319,125,54,125Xe
78,1.5167070726269563,125,54,125Xe
79,1.527295600654229,125,54,125Xe
81,1.537825138205396,125,54,125Xe
82,1.5482967361954292,125,54,125Xe
83,1.5587114142625529,125,54,125Xe
83,1.5690701620637575,125,54,125Xe
84,1.579373940501917,125,54,125Xe
85,1.5896236828888621,125,54,125Xe
86,1.599820296048465,125,54,125Xe
88,1.609964661363482,125,54,125Xe
89,1.6200576357696186,125,54,125Xe
90,1.6301000527000558,125,54,125Xe
91,1.6400927229834061,125,54,125Xe
92,1.6500364356979043,125,54,125Xe
92,1.6599319589843986,125,54,125Xe
93,1.669780040820562,125,54,125Xe
95,1.6795814097585562,125,54,125Xe
96,1.6893367756282498,125,54,125Xe
96,1.69904683020793,125,54,125Xe
98,1.708712247864342,125,54,125Xe
99,1.7183336861637364,125,54,125Xe
100,1.7279117864555404,125,54,125Xe
101,1.7374471744301279,125,54,125Xe
