Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.0616259686953244,130,52,130Te
2,1.2886917466736991,130,52,130Te
3,1.443410087373441,130,52,130Te
4,1.5643234688256955,130,52,130Te
5,1.6650438196722954,130,52,130Te
6,1.752133728369213,130,52,130Te
7,1.8293116109460075,130,52,130Te
7,1.8989086578968157,130,52,130Te
9,1.962492197597446,130,52,130Te
10,2.021171572223983,130,52,130Te
11,2.0757635713282703,130,52,130Te
12,2.1268886984678055,130,52,130Te
12,2.1750304863503453,130,52,130Te
13,2.2205737657469107,130,52,130Te
15,2.2638303094519814,130,52,130Te
16,2.3050565710315163,130,52,130Te
17,2.344466291602385,130,52,130Te
17,2.3822396705907716,130,52,130Te
18,2.4185301737510985,130,52,130Te
20,2.453469678155606,130,52,130Te
21,2.487172422349257,130,52,130Te
21,2.519738082240117,130,52,130Te
22,2.5512541967583795,130,52,130Te
23,2.5817981027512307,130,52,130Te
25,2.6114384945160936,130,52,130Te
26,2.640236692747846,130,52,130Te
27,2.6682476860329856,130,52,130Te
28,2.6955209924969714,130,52,130Te
29,2.7221013779167884,130,52,130Te
29,2.748029458290118,130,52,130Te
30,2.7733422086502193,130,52,130Te
32,2.7980733952418952,130,52,130Te
33,2.8222539446163606,130,52,130Te
34,2.8459122604693627,130,52,130Te
35,2.869074496928171,130,52,130Te
36,2.891764795337301,130,52,130Te
37,2.914005490288926,130,52,130Te
37,2.93581728960967,130,52,130Te
38,2.9572194321895324,130,52,130Te
39,2.9782298268748355,130,52,130Te
40,2.9988651751103212,130,52,130Te
42,3.019141079579015,130,52,130Te
42,3.0390721407315318,130,52,130Te
44,3.0586720428031993,130,52,130Te
45,3.077953630675086,130,52,130Te
46,3.0969289787340526,130,52,130Te
47,3.1156094527194145,130,52,130Te
47,3.1340057654035975,130,52,130Te
48,3.152128026836402,130,52,130Te
49,3.169985789783084,130,52,130Te
50,3.187588090902349,130,52,130Te
52,3.2049434881388814,130,52,130Te
52,3.2220600947440725,130,52,130Te
54,3.2389456102865273,130,52,130Te
55,3.2556073489691846,130,52,130Te
56,3.272052265531439,130,52,130Te
57,3.2882869789814246,130,52,130Te
58,3.3043177943749167,130,52,130Te
59,3.32015072283235,130,52,130Te
60,3.3357914999637743,130,52,130Te
61,3.3512456028526807,130,52,130Te
62,3.3665182657330432,130,52,130Te
63,3.3816144944795044,130,52,130Te
63,3.396539080017859,130,52,130Te
64,3.4112966107518115,130,52,130Te
66,3.4258914840921526,130,52,130Te
67,3.440327917165695,130,52,130Te
68,3.4546099567736674,130,52,130Te
68,3.468741488662388,130,52,130Te
70,3.4827262461629087,130,52,130Te
70,3.496567818250974,130,52,130Te
72,3.510269657073763,130,52,130Te
73,3.523835084985569,130,52,130Te
74,3.537267301130709,130,52,130Te
75,3.5505693876085034,130,52,130Te
76,3.5637443152520665,130,52,130Te
77,3.5767949490498174,130,52,130Te
77,3.589724053236149,130,52,130Te
78,3.6025342960754143,130,52,130Te
79,3.6152282543613175,130,52,130Te
81,3.627808417651997,130,52,130Te
82,3.6402771922593686,130,52,130Te
83,3.6526369050098024,130,52,130Te
83,3.66488980679183,130,52,130Te
84,3.6770380759053194,130,52,130Te
85,3.68908382122543,130,52,130Te
86,3.7010290851936096,130,52,130Te
88,3.7128758466469725,130,52,130Te
89,3.7246260234965085,130,52,130Te
90,3.736281475263801,130,52,130Te
91,3.747844005485235,130,52,130Te
92,3.759315363991961,130,52,130Te
92,3.7706972490733253,130,52,130Te
93,3.7819913095309263,130,52,130Te
95,3.7931991466298847,130,52,130Te
96,3.8043223159535278,130,52,130Te
96,3.815362329167227,130,52,130Te
98,3.826320655696686,130,52,130Te
99,3.837198724325705,130,52,130Te
100,3.8479979247180216,130,52,130Te
101,3.8587196088675686,130,52,130Te
101,3.8693650924812024,130,52,130Te
102,3.879935656297636,130,52,130Te
103,3.890432547346166,130,52,130Te
105,3.900856980148438,130,52,130Te
106,3.911210137866374,130,52,130Te
107,3.921493173399162,130,52,130Te
108,3.9317072104319917,130,52,130Te
109,3.941853344439118,130,52,130Te
109,3.9519326436436164,130,52,130Te
111,3.9619461499361033,130,52,130Te
111,3.9718948797544753,130,52,130Te
112,3.9817798249267344,130,52,130Te
114,3.99160195347868,130,52,130Te
115,4.001362210408272,130,52,130Te
116,4.0110615184283125,130,52,130Te
117,4.020700778678993,130,52,130Te
118,4.030280871411779,130,52,130Te
118,4.039802656646015,130,52,130Te
119,4.0492669747995835,130,52,130Te
121,4.058674647294798,130,52,130Te
122,4.068026477140748,130,52,130Te
123,4.0773232494931735,130,52,130Te
124,4.086565732192921,130,52,130Te
124,4.095754676283942,130,52,130Te
126,4.1048908165118085,130,52,130Te
126,4.113974871803593,130,52,130Te
127,4.123007545729953,130,52,130Te
128,4.131989526950246,130,52,130Te
130,4.140921489641385,130,52,130Te
131,4.149804093911161,130,52,130Te
132,4.158637986196721,130,52,130Te
133,4.16742379964884,130,52,130Te
134,4.176162154502571,130,52,130Te
135,4.184853658434902,130,52,130Te
135,4.193498906909903,130,52,130Te
136,4.20209848351196,130,52,130Te
138,4.210652960267537,130,52,130Te
138,4.219162897955969,130,52,130Te
140,4.2276288464097185,130,52,130Te
140,4.236051344804537,130,52,130Te
141,4.244430921939951,130,52,130Te
143,4.252768096510431,130,52,130Te
144,4.261063377367623,130,52,130Te
144,4.26931726377404,130,52,130Te
146,4.277530245648479,130,52,130Te
146,4.2857028038035425,130,52,130Te
148,4.293835410175541,130,52,130Te
149,4.3019285280470925,130,52,130Te
150,4.309982612262676,130,52,130Te
150,4.3179981094374185,130,52,130Te
152,4.3259754581593794,130,52,130Te
153,4.333915089185557,130,52,130Te
154,4.341817425631867,130,52,130Te
154,4.34968288315732,130,52,130Te
156,4.357511870142573,130,52,130Te
156,4.365304787863133,130,52,130Te
158,4.37306203065733,130,52,130Te
158,4.380783986089302,130,52,130Te
159,4.388471035107141,130,52,130Te
160,4.3961235521964,130,52,130Te
161,4.403741905529077,130,52,130Te
162,4.411326457108309,130,52,130Te
164,4.418877562908861,130,52,130Te
165,4.42639557301357,130,52,130Te
165,4.433880831745923,130,52,130Te
167,4.441333677798849,130,52,130Te
168,4.44875444435989,130,52,130Te
168,4.4561434592328615,130,52,130Te
170,4.463501044956111,130,52,130Te
170,4.4708275189175195,130,52,130Te
171,4.4781231934663195,130,52,130Te
173,4.485388376021857,130,52,130Te
174,4.492623369179383,130,52,130Te
175,4.499828470813,130,52,130Te
176,4.507003974175815,130,52,130Te
177,4.514150167997433,130,52,130Te
178,4.52126733657883,130,52,130Te
179,4.528355759884748,130,52,130Te
179,4.535415713633625,130,52,130Te
181,4.5424474693851975,130,52,130Te
181,4.549451294625807,130,52,130Te
182,4.556427452851502,130,52,130Te
183,4.56337620364901,130,52,130Te
184,4.570297802774613,130,52,130Te
186,4.577192502231053,130,52,130Te
187,4.584060550342438,130,52,130Te
188,4.590902191827316,130,52,130Te
189,4.597717667869868,130,52,130Te
189,4.604507216189369,130,52,130Te
191,4.611271071107888,130,52,130Te
192,4.6180094636163505,130,52,130Te
193,4.624722621438958,130,52,130Te
193,4.631410769096045,130,52,130Te
194,4.638074127965406,130,52,130Te
195,4.6447129163421454,130,52,130Te
197,4.6513273494970795,130,52,130Te
197,4.657917639733751,130,52,130Te
199,4.664483996444082,130,52,130Te
200,4.671026626162706,130,52,130Te
201,4.677545732620032,130,52,130Te
202,4.68404151679405,130,52,130Te
203,4.690514176960936,130,52,130Te
204,4.696963908744483,130,52,130Te
204,4.703390905164382,130,52,130Te
205,4.709795356683409,130,52,130Te
207,4.716177451253514,130,52,130Te
207,4.722537374360876,130,52,130Te
209,4.7288753090699265,130,52,130Te
209,4.735191436066383,130,52,130Te
210,4.741485933699336,130,52,130Te
211,4.747758978022346,130,52,130Te
212,4.754010742833693,130,52,130Te
214,4.760241399715687,130,52,130Te
215,4.766451118073122,130,52,130Te
215,4.772640065170906,130,52,130Te
217,4.778808406170853,130,52,130Te
217,4.784956304167674,130,52,130Te
219,4.791083920224208,130,52,130Te
219,4.797191413405871,130,52,130Te
220,4.803278940814387,130,52,130Te
222,4.809346657620791,130,52,130Te
223,4.815394717097722,130,52,130Te
223,4.821423270651065,130,52,130Te
225,4.827432467850882,130,52,130Te
225,4.83342245646174,130,52,130Te
226,4.839393382472367,130,52,130Te
228,4.845345390124729,130,52,130Te
228,4.851278621942468,130,52,130Te
230,4.857193218758797,130,52,130Te
231,4.863089319743781,130,52,130Te
232,4.868967062431096,130,52,130Te
232,4.8748265827442205,130,52,130Te
234,4.88066801502211,130,52,130Te
235,4.886491492044348,130,52,130Te
236,4.8922971450558075,130,52,130Te
237,4.898085103790787,130,52,130Te
237,4.9038554964967025,130,52,130Te
238,4.909608449957297,130,52,130Te
239,4.9153440895153775,130,52,130Te
240,4.921062539095134,130,52,130Te
241,4.926763921223989,130,52,130Te
242,4.932448357054055,130,52,130Te
243,4.938115966383152,130,52,130Te
245,4.94376686767543,130,52,130Te
246,4.949401178081583,130,52,130Te
247,4.955019013458693,130,52,130Te
248,4.960620488389691,130,52,130Te
249,4.966205716202423,130,52,130Te
249,4.971774808988402,130,52,130Te
250,4.977327877621157,130,52,130Te
252,4.98286503177428,130,52,130Te
253,4.988386379939099,130,52,130Te
254,4.993892029442052,130,52,130Te
254,4.999382086461712,130,52,130Te
256,5.004856656045524,130,52,130Te
257,5.010315842126217,130,52,130Te
257,5.0157597475379045,130,52,130Te
259,5.021188474031931,130,52,130Te
259,5.026602122292371,130,52,130Te
260,5.0320007919513134,130,52,130Te
261,5.0373845816038125,130,52,130Te
263,5.042753588822603,130,52,130Te
264,5.048107910172535,130,52,130Te
265,5.0534476412247695,130,52,130Te
266,5.058772876570704,130,52,130Te
267,5.064083709835654,130,52,130Te
268,5.069380233692299,130,52,130Te
269,5.074662539873897,130,52,130Te
270,5.079930719187243,130,52,130Te
271,5.085184861525437,130,52,130Te
272,5.09042505588039,130,52,130Te
273,5.095651390355158,130,52,130Te
274,5.100863952176021,130,52,130Te
275,5.1060628277043785,130,52,130Te
276,5.111248102448431,130,52,130Te
277,5.11641986107468,130,52,130Te
277,5.121578187419193,130,52,130Te
278,5.1267231644987294,130,52,130Te
280,5.131854874521636,130,52,130Te
280,5.136973398898573,130,52,130Te
281,5.142078818253076,130,52,130Te
283,5.147171212431908,130,52,130Te
283,5.152250660515276,130,52,130Te
285,5.157317240826852,130,52,130Te
286,5.1623710309436275,130,52,130Te
287,5.167412107705634,130,52,130Te
288,5.17244054722547,130,52,130Te
288,5.177456424897688,130,52,130Te
290,5.182459815408033,130,52,130Te
291,5.187450792742515,130,52,130Te
292,5.192429430196353,130,52,130Te
