Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.45367194516333914,137,55,137Cs
2,0.6681992818259714,137,55,137Cs
3,0.8380611062579728,137,55,137Cs
4,0.9841699161538201,137,55,137Cs
5,1.114825329844541,137,55,137Cs
6,1.2343541082890594,137,55,137Cs
7,1.3453589864494522,137,55,137Cs
7,1.4495532249232215,137,55,137Cs
9,1.5481372064333092,137,55,137Cs
10,1.6419915154668037,137,55,137Cs
11,1.7317853538980175,137,55,137Cs
12,1.8180417314117354,137,55,137Cs
12,1.901178822388191,137,55,137Cs
13,1.9815373600410273,137,55,137Cs
15,2.0593994386792973,137,55,137Cs
16,2.135001809542109,137,55,137Cs
17,2.208545524603033,137,55,137Cs
17,2.280203086250697,137,55,137Cs
18,2.350123849927593,137,55,137Cs
20,2.418438175638635,137,55,137Cs
21,2.4852606658143537,137,55,137Cs
21,2.5506927243093305,137,55,137Cs
22,2.6148246030997813,137,55,137Cs
23,2.677737056942297,137,55,137Cs
25,2.7395026942111698,137,55,137Cs
26,2.80018708956128,137,55,137Cs
27,2.859849707910639,137,55,137Cs
28,2.918544677507077,137,55,137Cs
29,2.976321441211993,137,55,137Cs
29,3.033225308703782,137,55,137Cs
30,3.0892979274588512,137,55,137Cs
32,3.144577686679642,137,55,137Cs
33,3.1991000655034756,137,55,137Cs
34,3.252897934626273,137,55,137Cs
35,3.3060018187543605,137,55,137Cs
36,3.3584401259405947,137,55,137Cs
37,3.41023934878318,137,55,137Cs
37,3.461424241603299,137,55,137Cs
38,3.5120179770235245,137,55,137Cs
39,3.56204228480654,137,55,137Cs
40,3.6115175753554993,137,55,137Cs
42,3.660463049901818,137,55,137Cs
42,3.7088967990969985,137,55,137Cs
44,3.756835891469081,137,55,137Cs
45,3.8042964529914447,137,55,137Cs
46,3.8512937388338786,137,55,137Cs
47,3.8978421982166593,137,55,137Cs
47,3.943955533162693,137,55,137Cs
48,3.989646751836576,137,55,137Cs
49,4.034928217069176,137,55,137Cs
50,4.079811690589595,137,55,137Cs
52,4.124308373420675,137,55,137Cs
52,4.1684289428379175,137,55,137Cs
54,4.212183586243335,137,55,137Cs
55,4.255582032263861,137,55,137Cs
56,4.298633579347969,137,55,137Cs
57,4.341347122102631,137,55,137Cs
58,4.383731175585607,137,55,137Cs
59,4.425793897744185,137,55,137Cs
60,4.467543110170728,137,55,137Cs
61,4.508986317327167,137,55,137Cs
62,4.55013072437453,137,55,137Cs
63,4.590983253729555,137,55,137Cs
63,4.631550560457949,137,55,137Cs
64,4.671839046602884,137,55,137Cs
66,4.7118548745376145,137,55,137Cs
67,4.751603979422358,137,55,137Cs
68,4.791092080838036,137,55,137Cs
68,4.83032469366248,137,55,137Cs
70,4.869307138248699,137,55,137Cs
70,4.9080445499592695,137,55,137Cs
72,4.9465418881061,137,55,137Cs
73,4.984803944340324,137,55,137Cs
74,5.0228353505332235,137,55,137Cs
75,5.060640586185484,137,55,137Cs
76,5.09822398539895,137,55,137Cs
77,5.135589743442037,137,55,137Cs
77,5.1727419229375275,137,55,137Cs
78,5.209684459698971,137,55,137Cs
79,5.246421168239809,137,55,137Cs
81,5.282955746977515,137,55,137Cs
82,5.319291783153066,137,55,137Cs
83,5.355432757484684,137,55,137Cs
83,5.391382048573172,137,55,137Cs
84,5.427142937074928,137,55,137Cs
85,5.46271860965743,137,55,137Cs
86,5.4981121627509735,137,55,137Cs
