Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.063299447736538,138,57,138La
2,0.11340755006644342,138,57,138La
3,0.1595067513564529,138,57,138La
4,0.2031814316232813,138,57,138La
5,0.24513749619997613,138,57,138La
6,0.28577294964219874,138,57,138La
7,0.3253420730322623,138,57,138La
7,0.3640206858564475,138,57,138La
9,0.4019372149056413,138,57,138La
10,0.4391893431546364,138,57,138La
11,0.4758537184934458,138,57,138La
12,0.5119919881303435,138,57,138La
12,0.5476547413968212,138,57,138La
13,0.5828841918130881,138,57,138La
15,0.617716063136249,138,57,138La
16,0.6521809531152788,138,57,138La
17,0.6863053432662746,138,57,138La
17,0.7201123620019649,138,57,138La
18,0.7536223717344959,138,57,138La
20,0.786853427691246,138,57,138La
21,0.8198216414927004,138,57,138La
21,0.852541472857093,138,57,138La
22,0.8850259662619331,138,57,138La
23,0.9172869448905786,138,57,138La
25,0.9493351710319343,138,57,138La
26,0.9811804798453989,138,57,138La
27,1.0128318917678714,138,57,138La
28,1.0442977076374178,138,57,138La
29,1.0755855897131332,138,57,138La
29,1.1067026310963177,138,57,138La
30,1.1376554155444907,138,57,138La
32,1.1684500692746,138,57,138La
33,1.1990923060449568,138,57,138La
34,1.2295874665650675,138,57,138La
35,1.2599405530927377,138,57,138La
36,1.2901562599267817,138,57,138La
37,1.3202390003826767,138,57,138La
37,1.350192930740821,138,57,138La
38,1.3800219715778346,138,57,138La
39,1.4097298268265754,138,57,138La
40,1.4393200008574076,138,57,138La
42,1.4687958138293578,138,57,138La
42,1.4981604155233847,138,57,138La
44,1.5274167978396345,138,57,138La
45,1.5565678061151036,138,57,138La
46,1.5856161493967882,138,57,138La
47,1.6145644097872933,138,57,138La
47,1.6434150509645933,138,57,138La
48,1.6721704259645873,138,57,138La
49,1.7008327843039714,138,57,138La
50,1.7294042785114183,138,57,138La
52,1.757886970126824,138,57,138La
52,1.7862828352213562,138,57,138La
54,1.8145937694848768,138,57,138La
55,1.8428215929220262,138,57,138La
56,1.8709680541936402,138,57,138La
57,1.8990348346361263,138,57,138La
58,1.9270235519879197,138,57,138La
59,1.9549357638490448,138,57,138La
60,1.982772970897086,138,57,138La
61,2.0105366198805057,138,57,138La
62,2.0382281064080994,138,57,138La
63,2.0658487775515497,138,57,138La
63,2.093399934276358,138,57,138La
64,2.120882833714982,138,57,138La
66,2.1482986912946784,138,57,138La
67,2.175648682731409,138,57,138La
68,2.202933945900106,138,57,138La
68,2.2301555825906703,138,57,138La
70,2.257314660158232,138,57,138La
70,2.2844122130754623,138,57,138La
72,2.311449244394057,138,57,138La
73,2.338426727121872,138,57,138La
74,2.365345605521683,138,57,138La
75,2.392206796337023,138,57,138La
76,2.41901118995011,138,57,138La
77,2.4457596514764686,138,57,138La
77,2.4724530218004843,138,57,138La
78,2.4990921185557893,138,57,138La
