Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.78467280822473,139,56,139Ba
2,0.9643057793816007,139,56,139Ba
3,1.0878880843573648,139,56,139Ba
4,1.185061628747606,139,56,139Ba
5,1.2663738225053343,139,56,139Ba
6,1.3369352882758947,139,56,139Ba
7,1.3996528331463443,139,56,139Ba
7,1.456354502853376,139,56,139Ba
9,1.5082725840396178,139,56,139Ba
10,1.556281271759987,139,56,139Ba
11,1.601025520165083,139,56,139Ba
12,1.6429961783184681,139,56,139Ba
12,1.6825763717113638,139,56,139Ba
13,1.7200714769056953,139,56,139Ba
15,1.7557292382318372,139,56,139Ba
16,1.7897537027021804,139,56,139Ba
17,1.8223151363076218,139,56,139Ba
17,1.8535572463161927,139,56,139Ba
18,1.883602548893158,139,56,139Ba
20,1.912556429853619,139,56,139Ba
21,1.9405102654976212,139,56,139Ba
21,1.9675438550311746,139,56,139Ba
22,1.9937273405069156,139,56,139Ba
23,2.0191227396280875,139,56,139Ba
25,2.0437851822023023,139,56,139Ba
26,2.0677639169923983,139,56,139Ba
27,2.0911031387105985,139,56,139Ba
28,2.11384267269596,139,56,139Ba
29,2.136018545929667,139,56,139Ba
29,2.1576634664920413,139,56,139Ba
30,2.1788072286788522,139,56,139Ba
32,2.1994770573100366,139,56,139Ba
33,2.2196979019576437,139,56,139Ba
34,2.2394926896622214,139,56,139Ba
35,2.2588825430335517,139,56,139Ba
36,2.277886969323194,139,56,139Ba
37,2.2965240250253487,139,56,139Ba
37,2.3148104597443613,139,56,139Ba
38,2.3327618424134298,139,56,139Ba
39,2.3503926724233852,139,56,139Ba
40,2.367716477795148,139,56,139Ba
42,2.3847459021834188,139,56,139Ba
42,2.401492782216141,139,56,139Ba
44,2.4179682164415284,139,56,139Ba
45,2.4341826269621607,139,56,139Ba
46,2.450145814676053,139,56,139Ba
47,2.465867008911507,139,56,139Ba
47,2.481354912131148,139,56,139Ba
48,2.496617740286883,139,56,139Ba
49,2.511663259328481,139,56,139Ba
50,2.5264988183015364,139,56,139Ba
52,2.54113137941367,139,56,139Ba
52,2.555567545399313,139,56,139Ba
54,2.569813584471913,139,56,139Ba
55,2.5838754531167245,139,56,139Ba
56,2.5977588169467563,139,56,139Ba
57,2.61146906981789,139,56,139Ba
58,2.625011351376333,139,56,139Ba
59,2.6383905631916234,139,56,139Ba
60,2.6516113836111397,139,56,139Ba
61,2.6646782814569288,139,56,139Ba
62,2.6775955286724935,139,56,139Ba
63,2.6903672120155875,139,56,139Ba
63,2.702997243882905,139,56,139Ba
64,2.715489372343617,139,56,139Ba
66,2.7278471904508,139,56,139Ba
67,2.740074144892818,139,56,139Ba
68,2.752173544040575,139,56,139Ba
68,2.76414856544103,139,56,139Ba
70,2.7760022628025243,139,56,139Ba
70,2.7877375725131115,139,56,139Ba
72,2.7993573197292383,139,56,139Ba
73,2.810864224068616,139,56,139Ba
74,2.8222609049380907,139,56,139Ba
75,2.833549886524483,139,56,139Ba
76,2.844733602473926,139,56,139Ba
77,2.8558144002829646,139,56,139Ba
77,2.866794545422665,139,56,139Ba
78,2.8776762252151693,139,56,139Ba
79,2.888461552480498,139,56,139Ba
81,2.8991525689698934,139,56,139Ba
82,2.9097512486006782,139,56,139Ba
83,2.9202595005063783,139,56,139Ba
83,2.9306791719147336,139,56,139Ba
84,2.9410120508652553,139,56,139Ba
85,2.9512598687770355,139,56,139Ba
86,2.9614243028767073,139,56,139Ba
