Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.6139983274120128,146,60,146Nd
2,0.7899246551965001,146,60,146Nd
3,0.9153588349395357,146,60,146Nd
4,1.0162584049982244,146,60,146Nd
5,1.1021203809689826,146,60,146Nd
6,1.1776327064576566,146,60,146Nd
7,1.2454999080661946,146,60,146Nd
7,1.3074426009308726,146,60,146Nd
9,1.3646320507639078,146,60,146Nd
10,1.4179062434770502,146,60,146Nd
11,1.4678880724751753,146,60,146Nd
12,1.515054794233118,146,60,146Nd
12,1.5597812010041734,146,60,146Nd
13,1.6023676962987317,146,60,146Nd
15,1.6430592443779148,146,60,146Nd
16,1.68205856534281,146,60,146Nd
17,1.7195355704164184,146,60,146Nd
17,1.7556342648575802,146,60,146Nd
18,1.7904778998200856,146,60,146Nd
20,1.8241728852919028,146,60,146Nd
21,1.8568118085438052,146,60,146Nd
21,1.8884757950471285,146,60,146Nd
22,1.9192363782121604,146,60,146Nd
23,1.949156996864785,146,60,146Nd
25,1.9782942068702618,146,60,146Nd
26,2.0066986706275163,146,60,146Nd
27,2.034415972065336,146,60,146Nd
28,2.0614872931851274,146,60,146Nd
29,2.0879499797372323,146,60,146Nd
29,2.113838017365995,146,60,146Nd
30,2.1391824348836326,146,60,146Nd
32,2.1640116477990636,146,60,146Nd
33,2.188351752529919,146,60,146Nd
34,2.2122267796469757,146,60,146Nd
35,2.235658912884346,146,60,146Nd
36,2.2586686793825494,146,60,146Nd
37,2.2812751156318396,146,60,146Nd
37,2.303495912788155,146,60,146Nd
38,2.3253475443976206,146,60,146Nd
39,2.346845379052768,146,60,146Nd
40,2.368003780088094,146,60,146Nd
42,2.3888361940838387,146,60,146Nd
42,2.4093552296693472,146,60,146Nd
44,2.4295727278887593,146,60,146Nd
45,2.4494998252025804,146,60,146Nd
46,2.4691470100414468,146,60,146Nd
47,2.488524173696984,146,60,146Nd
47,2.5076406562245914,146,60,146Nd
48,2.526505287940217,146,60,146Nd
49,2.5451264270148424,146,60,146Nd
50,2.5635119936039548,146,60,146Nd
52,2.5816695008926875,146,60,146Nd
52,2.5996060833890193,146,60,146Nd
54,2.6173285227560408,146,60,146Nd
55,2.634843271438713,146,60,146Nd
56,2.6521564743099146,146,60,146Nd
57,2.669273988534053,146,60,146Nd
58,2.6862014018235647,146,60,146Nd
59,2.7029440492436736,146,60,146Nd
60,2.719507028703379,146,60,146Nd
61,2.7358952152554745,146,60,146Nd
62,2.7521132743150902,146,60,146Nd
63,2.7681656738945972,146,60,146Nd
63,2.78405669594246,146,60,146Nd
64,2.799790446864568,146,60,146Nd
66,2.815370867298608,146,60,146Nd
67,2.83080174120498,146,60,146Nd
68,2.846086704331488,146,60,146Nd
68,2.861229252103474,146,60,146Nd
70,2.8762327469861404,146,60,146Nd
70,2.8911004253613495,146,60,146Nd
72,2.9058354039573033,146,60,146Nd
73,2.9204406858659424,146,60,146Nd
74,2.9349191661797684,146,60,146Nd
75,2.949273637276959,146,60,146Nd
76,2.963506793781098,146,60,146Nd
77,2.9776212372195534,146,60,146Nd
77,2.9916194804024823,146,60,146Nd
78,3.005503951542558,146,60,146Nd
79,3.0192769981338676,146,60,146Nd
81,3.0329408906068545,146,60,146Nd
82,3.0464978257748583,146,60,146Nd
83,3.0599499300865083,146,60,146Nd
83,3.0732992626971067,146,60,146Nd
84,3.0865478183711117,146,60,146Nd
85,3.099697530226868,146,60,146Nd
86,3.112750272333898,146,60,146Nd
88,3.1257078621722645,146,60,146Nd
89,3.1385720629628127,146,60,146Nd
90,3.1513445858764393,146,60,146Nd
91,3.1640270921299383,146,60,146Nd
92,3.1766211949754233,146,60,146Nd
92,3.18912846158983,146,60,146Nd
93,3.2015504148705363,146,60,146Nd
95,3.2138885351426922,146,60,146Nd
96,3.2261442617835074,146,60,146Nd
96,3.238318994768342,146,60,146Nd
98,3.2504140961431287,146,60,146Nd
99,3.2624308914273557,146,60,146Nd
100,3.274370670951547,146,60,146Nd
101,3.286234691132926,146,60,146Nd
101,3.2980241756926945,146,60,146Nd
102,3.3097403168181554,146,60,146Nd
103,3.3213842762726684,146,60,146Nd
105,3.332957186456281,146,60,146Nd
106,3.344460151419656,146,60,146Nd
107,3.355894247833788,146,60,146Nd
108,3.3672605259178114,146,60,146Nd
109,3.3785600103271,146,60,146Nd
109,3.3897937010036916,146,60,146Nd
111,3.4009625739909803,146,60,146Nd
111,3.4120675822144526,146,60,146Nd
112,3.4231096562302183,146,60,146Nd
114,3.4340897049428927,146,60,146Nd
115,3.445008616294372,146,60,146Nd
116,3.4558672579249117,146,60,146Nd
117,3.466666477807855,146,60,146Nd
118,3.477407104859269,146,60,146Nd
118,3.488089949523694,146,60,146Nd
119,3.498715804337134,146,60,146Nd
121,3.5092854444683446,146,60,146Nd
122,3.519799628239433,146,60,146Nd
123,3.530259097626731,146,60,146Nd
124,3.5406645787428337,146,60,146Nd
124,3.5510167823006458,146,60,146Nd
126,3.5613164040602823,146,60,146Nd
126,3.57156412525954,146,60,146Nd
127,3.5817606130287127,146,60,146Nd
