Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.7349407560130256,148,62,148Sm
2,0.9182508170812144,148,62,148Sm
3,1.0460018606982109,148,62,148Sm
4,1.1472823573487791,148,62,148Sm
5,1.2325474757736123,148,62,148Sm
6,1.3068972640259724,148,62,148Sm
7,1.3732474321453663,148,62,148Sm
7,1.4334392989354192,148,62,148Sm
9,1.4887184900720463,148,62,148Sm
10,1.5399713751899327,148,62,148Sm
11,1.5878536636828862,148,62,148Sm
12,1.6328656027231994,148,62,148Sm
12,1.6753985132896985,148,62,148Sm
13,1.7157649324863586,148,62,148Sm
15,1.7542188843249182,148,62,148Sm
16,1.7909699478694354,148,62,148Sm
17,1.8261932858159962,148,62,148Sm
17,1.8600369604326858,148,62,148Sm
18,1.8926273790319539,148,62,148Sm
20,1.924073419497197,148,62,148Sm
21,1.9544696051631616,148,62,148Sm
21,1.9838985825088309,148,62,148Sm
22,2.012433079192493,148,62,148Sm
23,2.0401374690639873,148,62,148Sm
25,2.0670690359822403,148,62,148Sm
26,2.093279004025804,148,62,148Sm
27,2.118813384522103,148,62,148Sm
28,2.143713677986543,148,62,148Sm
29,2.1680174600749322,148,62,148Sm
29,2.191758874020185,148,62,148Sm
30,2.2149690470725445,148,62,148Sm
32,2.2376764447253787,148,62,148Sm
33,2.2599071736597685,148,62,148Sm
34,2.281685242149023,148,62,148Sm
35,2.3030327849628303,148,62,148Sm
36,2.3239702584793123,148,62,148Sm
37,2.3445166106634137,148,62,148Sm
37,2.3646894297362486,148,62,148Sm
38,2.384505074693369,148,62,148Sm
39,2.4039787902934506,148,62,148Sm
40,2.4231248087046255,148,62,148Sm
42,2.4419564396421416,148,62,148Sm
42,2.4604861505416085,148,62,148Sm
44,2.478725638074031,148,62,148Sm
45,2.4966858921119397,148,62,148Sm
46,2.5143772530925195,148,62,148Sm
47,2.531809463587167,148,62,148Sm
47,2.548991714772728,148,62,148Sm
48,2.5659326884035534,148,62,148Sm
49,2.5826405948023514,148,62,148Sm
50,2.5991232073191175,148,62,148Sm
52,2.6153878936489114,148,62,148Sm
52,2.6314416443493958,148,62,148Sm
54,2.6472910988563436,148,62,148Sm
55,2.6629425692586532,148,62,148Sm
56,2.6784020620628515,148,62,148Sm
57,2.6936752981497674,148,62,148Sm
58,2.708767731102482,148,62,148Sm
59,2.72368456406411,148,62,148Sm
60,2.738430765266157,148,62,148Sm
61,2.753011082352577,148,62,148Sm
62,2.7674300556110616,148,62,148Sm
63,2.7816920302111146,148,62,148Sm
63,2.795801167537985,148,62,148Sm
64,2.809761455702263,148,62,148Sm
66,2.823576719296816,148,62,148Sm
67,2.8372506284654757,148,62,148Sm
68,2.8507867073415594,148,62,148Sm
68,2.864188341908569,148,62,148Sm
70,2.877458787330422,148,62,148Sm
70,2.890601174794022,148,62,148Sm
72,2.9036185179030247,148,62,148Sm
73,2.916513718658001,148,62,148Sm
74,2.9292895730550605,148,62,148Sm
75,2.9419487763320613,148,62,148Sm
76,2.954493927888982,148,62,148Sm
77,2.9669275359067036,148,62,148Sm
77,2.9792520216863334,148,62,148Sm
78,2.9914697237293497,148,62,148Sm
79,3.0035829015770994,148,62,148Sm
81,3.015593739426683,148,62,148Sm
82,3.0275043495388205,148,62,148Sm
83,3.0393167754520616,148,62,148Sm
83,3.051032995016523,148,62,148Sm
84,3.062654923259328,148,62,148Sm
85,3.074184415092911,148,62,148Sm
86,3.0856232678765694,148,62,148Sm
88,3.096973223840771,148,62,148Sm
89,3.108235972383049,148,62,148Sm
90,3.119413152243659,148,62,148Sm
91,3.1305063535685407,148,62,148Sm
92,3.1415171198666063,148,62,148Sm
92,3.152446949867837,148,62,148Sm
93,3.163297299288248,148,62,148Sm
95,3.174069582507299,148,62,148Sm
96,3.184765174162991,148,62,148Sm
96,3.19538541066949,148,62,148Sm
98,3.205931591661792,148,62,148Sm
99,3.2164049813716655,148,62,148Sm
100,3.2268068099387612,148,62,148Sm
101,3.2371382746606114,148,62,148Sm
101,3.2474005411848834,148,62,148Sm
102,3.2575947446471485,148,62,148Sm
103,3.267721990757123,148,62,148Sm
105,3.277783356836192,148,62,148Sm
106,3.28777989280886,148,62,148Sm
107,3.297712622150571,148,62,148Sm
