Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.03316969300396856,153,64,153Gd
2,0.05595640415280844,153,64,153Gd
3,0.07598006564302935,153,64,153Gd
4,0.09439698960547566,153,64,153Gd
5,0.11170450843894554,153,64,153Gd
6,0.12817638258423403,153,64,153Gd
7,0.14398431537229398,153,64,153Gd
7,0.15924525139682416,153,64,153Gd
9,0.1740435274582838,153,64,153Gd
10,0.18844258278641868,153,64,153Gd
11,0.20249170906379765,153,64,153Gd
12,0.21623020345320274,153,64,153Gd
12,0.22969005768695144,153,64,153Gd
13,0.24289777242356617,153,64,153Gd
15,0.2558756236543386,153,64,153Gd
16,0.2686425721670126,153,64,153Gd
17,0.28121493269657893,153,64,153Gd
17,0.2936068766590919,153,64,153Gd
18,0.3058308167964685,153,64,153Gd
20,0.3178977062203835,153,64,153Gd
21,0.32981727422815266,153,64,153Gd
21,0.3415982146295749,153,64,153Gd
22,0.3532483378690147,153,64,153Gd
23,0.3647746951719985,153,64,153Gd
25,0.37618368081047804,153,64,153Gd
26,0.3874811170629525,153,64,153Gd
27,0.3986723253496083,153,64,153Gd
28,0.40976218621992644,153,64,153Gd
29,0.4207551902747082,153,64,153Gd
29,0.4316554816573379,153,64,153Gd
30,0.442466895409711,153,64,153Gd
32,0.45319298972796773,153,64,153Gd
33,0.4638370739516876,153,64,153Gd
34,0.4744022329628406,153,64,153Gd
35,0.48489134854687643,153,64,153Gd
36,0.4953071181700196,153,64,153Gd
37,0.5056520715482631,153,64,153Gd
37,0.5159285853203168,153,64,153Gd
38,0.5261388960855846,153,64,153Gd
39,0.5362851120265195,153,64,153Gd
40,0.5463692233005497,153,64,153Gd
42,0.5563931113586152,153,64,153Gd
42,0.5663585573240615,153,64,153Gd
44,0.5762672495462454,153,64,153Gd
45,0.5861207904270218,153,64,153Gd
46,0.5959207026046781,153,64,153Gd
47,0.6056684345684257,153,64,153Gd
47,0.6153653657668687,153,64,153Gd
48,0.6250128112656276,153,64,153Gd
49,0.6346120260022814,153,64,153Gd
50,0.6441642086807898,153,64,153Gd
52,0.6536705053423958,153,64,153Gd
52,0.6631320126455812,153,64,153Gd
54,0.6725497808838198,153,64,153Gd
55,0.6819248167665352,153,64,153Gd
56,0.6912580859858205,153,64,153Gd
57,0.7005505155889379,153,64,153Gd
58,0.7098029961744442,153,64,153Gd
59,0.7190163839278629,153,64,153Gd
60,0.7281915025111422,153,64,153Gd
61,0.7373291448186623,153,64,153Gd
62,0.7464300746112413,153,64,153Gd
63,0.7554950280384508,153,64,153Gd
63,0.7645247150585224,153,64,153Gd
64,0.7735198207642193,153,64,153Gd
66,0.7824810066222626,153,64,153Gd
67,0.791408911633151,153,64,153Gd
68,0.8003041534176227,153,64,153Gd
68,0.809167329235381,153,64,153Gd
70,0.8179990169412493,153,64,153Gd
70,0.8267997758834202,153,64,153Gd
72,0.8355701477480804,153,64,153Gd
73,0.8443106573543053,153,64,153Gd
74,0.8530218134027996,153,64,153Gd
75,0.8617041091817395,153,64,153Gd
76,0.8703580232327235,153,64,153Gd
77,0.8789840199795738,153,64,153Gd
77,0.8875825503225201,153,64,153Gd
78,0.8961540522000859,153,64,153Gd
79,0.9046989511208239,153,64,153Gd
81,0.9132176606668692,153,64,153Gd
82,0.9217105829711397,153,64,153Gd
83,0.9301781091698604,153,64,153Gd
83,0.9386206198319728,153,64,153Gd
84,0.9470384853668713,153,64,153Gd
85,0.9554320664118,153,64,153Gd
86,0.9638017142001497,153,64,153Gd
88,0.9721477709118078,153,64,153Gd
89,0.980470570006625,153,64,153Gd
90,0.9887704365419959,153,64,153Gd
91,0.9970476874754786,153,64,153Gd
92,1.0053026319533114,153,64,153Gd
92,1.0135355715856327,153,64,153Gd
93,1.0217468007091526,153,64,153Gd
95,1.0299366066379743,153,64,153Gd
96,1.038105269903219,153,64,153Gd
96,1.0462530644820707,153,64,153Gd
98,1.0543802580168007,153,64,153Gd
99,1.062487112024321,153,64,153Gd
100,1.0705738820967565,153,64,153Gd
101,1.0786408180935174,153,64,153Gd
101,1.0866881643252997,153,64,153Gd
102,1.0947161597304413,153,64,153Gd
103,1.102725038044018,153,64,153Gd
105,1.1107150279600342,153,64,153Gd
106,1.1186863532870763,153,64,153Gd
107,1.1266392330977306,153,64,153Gd
108,1.1345738818720799,153,64,153Gd
109,1.1424905096355653,153,64,153Gd
109,1.1503893220914854,153,64,153Gd
111,1.158270520748387,153,64,153Gd
111,1.1661343030425846,153,64,153Gd
112,1.1739808624560466,153,64,153Gd
114,1.1818103886298517,153,64,153Gd
115,1.1896230674734236,153,64,153Gd
116,1.197419081269746,153,64,153Gd
117,1.2051986087767177,153,64,153Gd
118,1.2129618253248426,153,64,153Gd
118,1.2207089029114069,153,64,153Gd
119,1.2284400102912967,153,64,153Gd
121,1.2361553130646072,153,64,153Gd
122,1.24385497376118,153,64,153Gd
123,1.2515391519222054,153,64,153Gd
124,1.2592080041790055,153,64,153Gd
124,1.2668616843291247,153,64,153Gd
126,1.2745003434098405,153,64,153Gd
126,1.28212412976919,153,64,153Gd
127,1.2897331891346417,153,64,153Gd
128,1.2973276646794722,153,64,153Gd
130,1.3049076970869775,153,64,153Gd
131,1.3124734246125709,153,64,153Gd
132,1.3200249831438928,153,64,153Gd
133,1.327562506258966,153,64,153Gd
134,1.3350861252825135,153,64,153Gd
135,1.3425959693404814,153,64,153Gd
135,1.35009216541286,153,64,153Gd
136,1.3575748383848447,153,64,153Gd
138,1.3650441110964253,153,64,153Gd
138,1.3725001043904415,153,64,153Gd
140,1.3799429371591767,153,64,153Gd
140,1.387372726389536,153,64,153Gd
141,1.3947895872068756,153,64,153Gd
143,1.402193632917506,153,64,153Gd
144,1.4095849750499476,153,64,153Gd
144,1.4169637233949661,153,64,153Gd
146,1.4243299860444398,153,64,153Gd
146,1.4316838694290883,153,64,153Gd
148,1.4390254783551286,153,64,153Gd
149,1.4463549160398608,153,64,153Gd
150,1.4536722841462602,153,64,153Gd
150,1.4609776828165733,153,64,153Gd
152,1.4682712107049887,153,64,153Gd
153,1.4755529650093737,153,64,153Gd
154,1.4828230415021508,153,64,153Gd
154,1.4900815345603173,153,64,153Gd
156,1.4973285371946352,153,64,153Gd
156,1.5045641410780397,153,64,153Gd
158,1.5117884365732719,153,64,153Gd
158,1.5190015127597705,153,64,153Gd
159,1.5262034574598526,153,64,153Gd
160,1.5333943572641897,153,64,153Gd
161,1.5405742975566201,153,64,153Gd
162,1.5477433625383097,153,64,153Gd
164,1.554901635251284,153,64,153Gd
165,1.562049197601346,153,64,153Gd
165,1.5691861303804189,153,64,153Gd
167,1.5763125132883,153,64,153Gd
168,1.5834284249538735,153,64,153Gd
168,1.5905339429557865,153,64,153Gd
170,1.597629143842602,153,64,153Gd
170,1.6047141031524506,153,64,153Gd
171,1.611788895432198,153,64,153Gd
173,1.6188535942561333,153,64,153Gd
174,1.6259082722442038,153,64,153Gd
175,1.6329530010798032,153,64,153Gd
176,1.6399878515271331,153,64,153Gd
177,1.6470128934481345,153,64,153Gd
178,1.6540281958190282,153,64,153Gd
179,1.6610338267464515,153,64,153Gd
179,1.6680298534832105,153,64,153Gd
181,1.6750163424436728,153,64,153Gd
181,1.681993359218785,153,64,153Gd
182,1.6889609685907516,153,64,153Gd
183,1.695919234547367,153,64,153Gd
184,1.7028682202960177,153,64,153Gd
186,1.709807988277369,153,64,153Gd
187,1.7167386001787268,153,64,153Gd
188,1.723660116947116,153,64,153Gd
189,1.7305725988020428,153,64,153Gd
189,1.737476105247983,153,64,153Gd
191,1.7443706950865923,153,64,153Gd
192,1.7512564264286334,153,64,153Gd
193,1.7581333567056556,153,64,153Gd
193,1.7650015426814043,153,64,153Gd
194,1.7718610404629895,153,64,153Gd
195,1.778711905511806,153,64,153Gd
197,1.7855541926542204,153,64,153Gd
197,1.7923879560920242,153,64,153Gd
199,1.7992132494126738,153,64,153Gd
200,1.8060301255992899,153,64,153Gd
201,1.8128386370404712,153,64,153Gd
202,1.8196388355398847,153,64,153Gd
203,1.8264307723256539,153,64,153Gd
204,1.8332144980595613,153,64,153Gd
204,1.8399900628460513,153,64,153Gd
205,1.8467575162410468,153,64,153Gd
207,1.8535169072605884,153,64,153Gd
207,1.8602682843892928,153,64,153Gd
209,1.867011695588644,153,64,153Gd
209,1.8737471883051038,153,64,153Gd
210,1.8804748094780803,153,64,153Gd
211,1.887194605547709,153,64,153Gd
212,1.893906622462502,153,64,153Gd
214,1.9006109056868303,153,64,153Gd
215,1.9073075002082587,153,64,153Gd
215,1.9139964505447495,153,64,153Gd
217,1.9206778007517076,153,64,153Gd
217,1.9273515944288941,153,64,153Gd
219,1.9340178747272136,153,64,153Gd
219,1.9406766843553476,153,64,153Gd
220,1.947328065586295,153,64,153Gd
222,1.9539720602637538,153,64,153Gd
223,1.96060870980839,153,64,153Gd
223,1.9672380552240067,153,64,153Gd
225,1.9738601371035702,153,64,153Gd
225,1.9804749956351273,153,64,153Gd
226,1.987082670607637,153,64,153Gd
228,1.9936832014166526,153,64,153Gd
228,2.0002766270699275,153,64,153Gd
230,2.006862986192916,153,64,153Gd
231,2.0134423170341478,153,64,153Gd
232,2.020014657470539,153,64,153Gd
232,2.026580045012575,153,64,153Gd
234,2.033138516809421,153,64,153Gd
235,2.039690109653924,153,64,153Gd
236,2.046234859987536,153,64,153Gd
237,2.0527728039051416,153,64,153Gd
237,2.059303977159802,153,64,153Gd
238,2.0658284151674167,153,64,153Gd
239,2.072346153011296,153,64,153Gd
240,2.0788572254466597,153,64,153Gd
241,2.0853616669050474,153,64,153Gd
242,2.0918595114986664,153,64,153Gd
243,2.098350793024646,153,64,153Gd
245,2.1048355449692346,153,64,153Gd
246,2.111313800511906,153,64,153Gd
247,2.117785592529415,153,64,153Gd
248,2.124250953599768,153,64,153Gd
249,2.130709916006128,153,64,153Gd
249,2.1371625117406636,153,64,153Gd
250,2.143608772508319,153,64,153Gd
252,2.150048729730528,153,64,153Gd
253,2.1564824145488624,153,64,153Gd
254,2.162909857828621,153,64,153Gd
254,2.1693310901623613,153,64,153Gd
256,2.1757461418733657,153,64,153Gd
257,2.182155043019052,153,64,153Gd
257,2.188557823394335,153,64,153Gd
259,2.194954512534923,153,64,153Gd
259,2.201345139720565,153,64,153Gd
260,2.2077297339782453,153,64,153Gd
261,2.2141083240853243,153,64,153Gd
263,2.2204809385726345,153,64,153Gd
264,2.2268476057275075,153,64,153Gd
265,2.23320835359678,153,64,153Gd
266,2.2395632099897376,153,64,153Gd
267,2.245912202481003,153,64,153Gd
268,2.252255358413391,153,64,153Gd
269,2.258592704900718,153,64,153Gd
270,2.2649242688305584,153,64,153Gd
271,2.2712500768669712,153,64,153Gd
272,2.277570155453161,153,64,153Gd
273,2.2838845308141296,153,64,153Gd
274,2.2901932289592564,153,64,153Gd
275,2.2964962756848557,153,64,153Gd
276,2.302793696576691,153,64,153Gd
277,2.3090855170124485,153,64,153Gd
277,2.3153717621641725,153,64,153Gd
278,2.321652457000672,153,64,153Gd
280,2.3279276262898754,153,64,153Gd
280,2.3341972946011595,153,64,153Gd
281,2.340461486307646,153,64,153Gd
283,2.346720225588461,153,64,153Gd
283,2.352973536430948,153,64,153Gd
285,2.359221442632871,153,64,153Gd
286,2.365463967804563,153,64,153Gd
287,2.3717011353710573,153,64,153Gd
288,2.377932968574184,153,64,153Gd
288,2.384159490474625,153,64,153Gd
290,2.3903807239539616,153,64,153Gd
291,2.3965966917166615,153,64,153Gd
292,2.402807416292065,153,64,153Gd
293,2.4090129200363277,153,64,153Gd
294,2.415213225134336,153,64,153Gd
295,2.4214083536016,153,64,153Gd
296,2.427598327286116,153,64,153Gd
296,2.4337831678701973,153,64,153Gd
298,2.439962896872294,153,64,153Gd
298,2.446137535648764,153,64,153Gd
300,2.452307105395645,153,64,153Gd
301,2.458471627150379,153,64,153Gd
301,2.4646311217935226,153,64,153Gd
302,2.47078561005044,153,64,153Gd
304,2.4769351124929577,153,64,153Gd
305,2.4830796495409984,153,64,153Gd
306,2.4892192414642094,153,64,153Gd
307,2.495353908383548,153,64,153Gd
308,2.5014836702728522,153,64,153Gd
309,2.5076085469603946,153,64,153Gd
309,2.5137285581304063,153,64,153Gd
311,2.519843723324589,153,64,153Gd
312,2.5259540619435974,153,64,153Gd
312,2.532059593248506,153,64,153Gd
313,2.538160336362264,153,64,153Gd
314,2.5442563102711104,153,64,153Gd
316,2.5503475338259896,153,64,153Gd
317,2.5564340257439384,153,64,153Gd
317,2.5625158046094554,153,64,153Gd
318,2.5685928888758585,153,64,153Gd
319,2.574665296866612,153,64,153Gd
320,2.5807330467766456,153,64,153Gd
321,2.586796156673656,153,64,153Gd
323,2.5928546444993863,153,64,153Gd
323,2.598908528070889,153,64,153Gd
325,2.604957825081783,153,64,153Gd
325,2.6110025531034755,153,64,153Gd
326,2.6170427295863834,153,64,153Gd
328,2.6230783718611366,153,64,153Gd
329,2.6291094971397535,153,64,153Gd
330,2.635136122516822,153,64,153Gd
331,2.6411582649706475,153,64,153Gd
331,2.647175941364389,153,64,153Gd
332,2.6531891684471978,153,64,153Gd
334,2.659197962855313,153,64,153Gd
334,2.6652023411131665,153,64,153Gd
336,2.6712023196344634,153,64,153Gd
336,2.6771979147232545,153,64,153Gd
337,2.683189142574987,153,64,153Gd
338,2.6891760192775513,153,64,153Gd
339,2.6951585608123056,153,64,153Gd
340,2.7011367830551016,153,64,153Gd
341,2.7071107017772738,153,64,153Gd
342,2.713080332646645,153,64,153Gd
343,2.7190456912284993,153,64,153Gd
344,2.7250067929865445,153,64,153Gd
346,2.730963653283882,153,64,153Gd
346,2.736916287383929,153,64,153Gd
347,2.7428647104513715,153,64,153Gd
348,2.7488089375530733,153,64,153Gd
350,2.754748983658985,153,64,153Gd
350,2.760684863643043,153,64,153Gd
352,2.7666165922840698,153,64,153Gd
352,2.772544184266624,153,64,153Gd
353,2.7784676541818967,153,64,153Gd
355,2.784387016528546,153,64,153Gd
356,2.790302285713548,153,64,153Gd
357,2.796213476053037,153,64,153Gd
358,2.802120601773132,153,64,153Gd
359,2.8080236770107407,153,64,153Gd
360,2.8139227158143774,153,64,153Gd
360,2.819817732144957,153,64,153Gd
362,2.825708739876583,153,64,153Gd
362,2.831595752797318,153,64,153Gd
363,2.837478784609961,153,64,153Gd
364,2.8433578489328077,153,64,153Gd
365,2.8492329593003944,153,64,153Gd
367,2.8551041291642485,153,64,153Gd
368,2.8609713718936156,153,64,153Gd
368,2.8668347007761925,153,64,153Gd
370,2.872694129018836,153,64,153Gd
371,2.8785496697482773,153,64,153Gd
371,2.8844013360118175,153,64,153Gd
373,2.890249140778034,153,64,153Gd
374,2.8960930969374417,153,64,153Gd
375,2.901933217303192,153,64,153Gd
375,2.907769514611732,153,64,153Gd
377,2.9136020015234734,153,64,153Gd
378,2.919430690623431,153,64,153Gd
378,2.9252555944218863,153,64,153Gd
379,2.9310767253550254,153,64,153Gd
381,2.9368940957855636,153,64,153Gd
382,2.942707718003372,153,64,153Gd
383,2.948517604226106,153,64,153Gd
384,2.9543237665998063,153,64,153Gd
384,2.9601262171995106,153,64,153Gd
386,2.965924968029851,153,64,153Gd
387,2.971720031025637,153,64,153Gd
388,2.9775114180524564,153,64,153Gd
389,2.983299140907241,153,64,153Gd
389,2.989083211318849,153,64,153Gd
390,2.994863640948623,153,64,153Gd
391,3.000640441390953,153,64,153Gd
392,3.0064136241738346,153,64,153Gd
394,3.012183200759413,153,64,153Gd
394,3.017949182544524,153,64,153Gd
395,3.0237115808612347,153,64,153Gd
397,3.029470406977374,153,64,153Gd
397,3.0352256720970487,153,64,153Gd
399,3.0409773873611816,153,64,153Gd
400,3.0467255638480024,153,64,153Gd
400,3.052470212573571,153,64,153Gd
401,3.0582113444922827,153,64,153Gd
403,3.063948970497358,153,64,153Gd
404,3.0696831014213273,153,64,153Gd
405,3.0754137480365413,153,64,153Gd
406,3.081140921055635,153,64,153Gd
406,3.0868646311320105,153,64,153Gd
408,3.0925848888603102,153,64,153Gd
409,3.0983017047768793,153,64,153Gd
409,3.1040150893602365,153,64,153Gd
411,3.1097250530315224,153,64,153Gd
411,3.1154316061549596,153,64,153Gd
413,3.1211347590383003,153,64,153Gd
414,3.1268345219332616,153,64,153Gd
414,3.1325309050359733,153,64,153Gd
416,3.1382239184874177,153,64,153Gd
417,3.14391357237384,153,64,153Gd
417,3.1495998767271947,153,64,153Gd
418,3.155282841525556,153,64,153Gd
419,3.1609624766935416,153,64,153Gd
421,3.1666387921027126,153,64,153Gd
422,3.172311797572002,153,64,153Gd
422,3.1779815028681004,153,64,153Gd
423,3.1836479177058723,153,64,153Gd
425,3.1893110517487426,153,64,153Gd
425,3.194970914609091,153,64,153Gd
427,3.200627515848645,153,64,153Gd
428,3.2062808649788597,153,64,153Gd
429,3.2119309714613036,153,64,153Gd
430,3.217577844708027,153,64,153Gd
430,3.2232214940819532,153,64,153Gd
431,3.2288619288972287,153,64,153Gd
433,3.2344991584196032,153,64,153Gd
434,3.240133191866781,153,64,153Gd
435,3.2457640384087902,153,64,153Gd
435,3.251391707168337,153,64,153Gd
437,3.2570162072211537,153,64,153Gd
438,3.262637547596344,153,64,153Gd
438,3.2682557372767387,153,64,153Gd
440,3.273870785199235,153,64,153Gd
441,3.2794827002551274,153,64,153Gd
441,3.2850914912904483,153,64,153Gd
442,3.2906971671063063,153,64,153Gd
443,3.296299736459205,153,64,153Gd
444,3.301899208061375,153,64,153Gd
446,3.307495590581094,153,64,153Gd
447,3.31308889264301,153,64,153Gd
448,3.3186791228284513,153,64,153Gd
449,3.324266289675754,153,64,153Gd
449,3.3298504016805484,153,64,153Gd
450,3.3354314672960976,153,64,153Gd
451,3.341009494933576,153,64,153Gd
453,3.3465844929623865,153,64,153Gd
453,3.3521564697104576,153,64,153Gd
455,3.3577254334645317,153,64,153Gd
455,3.3632913924704613,153,64,153Gd
457,3.3688543549335206,153,64,153Gd
458,3.374414329018655,153,64,153Gd
458,3.3799713228508055,153,64,153Gd
459,3.3855253445151603,153,64,153Gd
460,3.3910764020574575,153,64,153Gd
462,3.396624503484254,153,64,153Gd
463,3.4021696567631956,153,64,153Gd
463,3.4077118698232933,153,64,153Gd
465,3.4132511505552086,153,64,153Gd
465,3.418787506811495,153,64,153Gd
467,3.424320946406882,153,64,153Gd
468,3.4298514771185222,153,64,153Gd
469,3.435379106686278,153,64,153Gd
470,3.4409038428129466,153,64,153Gd
471,3.4464256931645436,153,64,153Gd
472,3.451944665370545,153,64,153Gd
473,3.4574607670241293,153,64,153Gd
474,3.462974005682444,153,64,153Gd
474,3.468484388866834,153,64,153Gd
475,3.473991924063119,153,64,153Gd
477,3.4794966187217864,153,64,153Gd
477,3.4849984802582687,153,64,153Gd
479,3.490497516053177,153,64,153Gd
479,3.4959937334525173,153,64,153Gd
481,3.5014871397679572,153,64,153Gd
482,3.5069777422770145,153,64,153Gd
483,3.5124655482233282,153,64,153Gd
483,3.517950564816862,153,64,153Gd
484,3.5234327992341425,153,64,153Gd
486,3.5289122586184676,153,64,153Gd
487,3.534388950080144,153,64,153Gd
487,3.539862880696697,153,64,153Gd
489,3.545334057513101,153,64,153Gd
490,3.550802487541979,153,64,153Gd
491,3.5562681777638248,153,64,153Gd
491,3.5617311351272147,153,64,153Gd
493,3.5671913665490282,153,64,153Gd
494,3.572648878914635,153,64,153Gd
495,3.5781036790781164,153,64,153Gd
496,3.5835557738624764,153,64,153Gd
496,3.5890051700598242,153,64,153Gd
498,3.5944518744315967,153,64,153Gd
498,3.599895893708747,153,64,153Gd
499,3.605337234591946,153,64,153Gd
501,3.6107759037517755,153,64,153Gd
501,3.6162119078289314,153,64,153Gd
502,3.6216452534344064,153,64,153Gd
504,3.627075947149693,153,64,153Gd
505,3.6325039955269576,153,64,153Gd
506,3.6379294050892494,153,64,153Gd
507,3.64335218233066,153,64,153Gd
