Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.061518495668046645,155,63,155Eu
2,0.10549903599599872,155,63,155Eu
3,0.14463444589895058,155,63,155Eu
4,0.18092195648187961,155,63,155Eu
5,0.2152289112706332,155,63,155Eu
6,0.24803588658102207,155,63,155Eu
7,0.27964582533218096,155,63,155Eu
7,0.31026590933468434,155,63,155Eu
9,0.34004607416566063,155,63,155Eu
10,0.36909944579990944,155,63,155Eu
11,0.39751415810006635,155,63,155Eu
12,0.42536064386084144,155,63,155Eu
12,0.45269636744930525,155,63,155Eu
13,0.4795690250952344,155,63,155Eu
15,0.506018783213378,155,63,155Eu
16,0.5320798888493119,155,63,155Eu
17,0.5577818566379522,155,63,155Eu
17,0.5831503620029949,155,63,155Eu
18,0.6082079255787678,155,63,155Eu
20,0.6329744460701026,155,63,155Eu
21,0.6574676210082134,155,63,155Eu
21,0.6817032831981412,155,63,155Eu
22,0.7056956728116288,155,63,155Eu
23,0.7294576596947691,155,63,155Eu
25,0.7530009266920844,155,63,155Eu
26,0.7763361221070735,155,63,155Eu
27,0.7994729874808955,155,63,155Eu
28,0.822420465449828,155,63,155Eu
29,0.8451867913868425,155,63,155Eu
29,0.8677795717395622,155,63,155Eu
30,0.8902058513743143,155,63,155Eu
32,0.9124721717734903,155,63,155Eu
33,0.9345846215751018,155,63,155Eu
34,0.9565488806633367,155,63,155Eu
35,0.9783702587982037,155,63,155Eu
36,1.0000537295971093,155,63,155Eu
37,1.021603960541004,155,63,155Eu
37,1.0430253395648992,155,63,155Eu
38,1.0643219987010615,155,63,155Eu
39,1.0854978351686577,155,63,155Eu
40,1.1065565302424898,155,63,155Eu
42,1.1275015661830727,155,63,155Eu
42,1.148336241468599,155,63,155Eu
44,1.1690636845345797,155,63,155Eu
45,1.1896868661979103,155,63,155Eu
46,1.2102086109177213,155,63,155Eu
47,1.2306316070248102,155,63,155Eu
47,1.2509584160340215,155,63,155Eu
48,1.2711914811391511,155,63,155Eu
49,1.29133313497734,155,63,155Eu
50,1.3113856067391012,155,63,155Eu
52,1.3313510286908612,155,63,155Eu
52,1.3512314421689138,155,63,155Eu
54,1.371028803096767,155,63,155Eu
55,1.3907449870718893,155,63,155Eu
56,1.4103817940626902,155,63,155Eu
57,1.4299409527519815,155,63,155Eu
58,1.4494241245592934,155,63,155Eu
59,1.4688329073708812,155,63,155Eu
60,1.4881688390032666,155,63,155Eu
61,1.5074334004234662,155,63,155Eu
62,1.5266280187466992,155,63,155Eu
63,1.5457540700302952,155,63,155Eu
63,1.5648128818806533,155,63,155Eu
64,1.583805735888506,155,63,155Eu
66,1.602733869906238,155,63,155Eu
67,1.6215984801797516,155,63,155Eu
68,1.640400723346198,155,63,155Eu
68,1.6591417183078518,155,63,155Eu
70,1.6778225479915039,155,63,155Eu
70,1.6964442610018786,155,63,155Eu
72,1.7150078731768872,155,63,155Eu
73,1.733514369051798,155,63,155Eu
74,1.7519647032388574,155,63,155Eu
75,1.7703598017282933,155,63,155Eu
76,1.788700563116193,155,63,155Eu
77,1.8069878597642532,155,63,155Eu
77,1.8252225388960306,155,63,155Eu
78,1.8434054236339268,155,63,155Eu
79,1.861537313980831,155,63,155Eu
81,1.8796189877500222,155,63,155Eu
82,1.8976512014466607,155,63,155Eu
83,1.9156346911039586,155,63,155Eu
83,1.9335701730768582,155,63,155Eu
84,1.951458344795881,155,63,155Eu
85,1.969299885483567,155,63,155Eu
86,1.987095456835793,155,63,155Eu
88,2.0048457036700604,155,63,155Eu
89,2.0225512545427233,155,63,155Eu
90,2.0402127223369657,155,63,155Eu
91,2.05783070482323,155,63,155Eu
92,2.0754057851936785,155,63,155Eu
92,2.0929385325721457,155,63,155Eu
93,2.1104295025009767,155,63,155Eu
95,2.127879237406018,155,63,155Eu
96,2.1452882670409634,155,63,155Eu
96,2.1626571089121898,155,63,155Eu
98,2.179986268685113,155,63,155Eu
99,2.1972762405730544,155,63,155Eu
100,2.2145275077095534,155,63,155Eu
101,2.231740542504964,155,63,155Eu
101,2.2489158069881645,155,63,155Eu
102,2.2660537531341496,155,63,155Eu
103,2.283154823178186,155,63,155Eu
105,2.3002194499172526,155,63,155Eu
106,2.317248056999343,155,63,155Eu
107,2.334241059201293,155,63,155Eu
108,2.351198862695622,155,63,155Eu
109,2.368121865306976,155,63,155Eu
109,2.3850104567586343,155,63,155Eu
111,2.4018650189095756,155,63,155Eu
111,2.4186859259825186,155,63,155Eu
112,2.435473544783396,155,63,155Eu
114,2.4522282349126256,155,63,155Eu
115,2.468950348968548,155,63,155Eu
116,2.4856402327434415,155,63,155Eu
117,2.5022982254123685,155,63,155Eu
118,2.5189246597152426,155,63,155Eu
118,2.53551986213237,155,63,155Eu
119,2.5520841530537757,155,63,155Eu
121,2.568617846942582,155,63,155Eu
122,2.5851212524926765,155,63,155Eu
123,2.6015946727809474,155,63,155Eu
124,2.6180384054142825,155,63,155Eu
124,2.634452742671579,155,63,155Eu
126,2.6508379716409545,155,63,155Eu
126,2.667194374352358,155,63,155Eu
127,2.6835222279057955,155,63,155Eu
128,2.6998218045953064,155,63,155Eu
130,2.7160933720289115,155,63,155Eu
131,2.732337193244636,155,63,155Eu
132,2.7485535268228296,155,63,155Eu
133,2.7647426269948774,155,63,155Eu
134,2.7809047437484677,155,63,155Eu
135,2.797040122929542,155,63,155Eu
135,2.81314900634107,155,63,155Eu
136,2.8292316318387467,155,63,155Eu
138,2.845288233423752,155,63,155Eu
138,2.861319041332676,155,63,155Eu
140,2.8773242821247034,155,63,155Eu
140,2.893304178766179,155,63,155Eu
141,2.909258950712657,155,63,155Eu
143,2.9251888139884814,155,63,155Eu
144,2.941093981264035,155,63,155Eu
144,2.9569746619307398,155,63,155Eu
146,2.972831062173853,155,63,155Eu
146,2.9886633850431625,155,63,155Eu
148,3.004471830521668,155,63,155Eu
149,3.020256595592289,155,63,155Eu
150,3.036017874302693,155,63,155Eu
150,3.05175585782829,155,63,155Eu
152,3.067470734533492,155,63,155Eu
153,3.0831626900312257,155,63,155Eu
154,3.098831907240862,155,63,155Eu
154,3.1144785664445096,155,63,155Eu
156,3.130102845341809,155,63,155Eu
156,3.1457049191032165,155,63,155Eu
158,3.1612849604218884,155,63,155Eu
158,3.1768431395641477,155,63,155Eu
159,3.192379624418639,155,63,155Eu
160,3.207894580544166,155,63,155Eu
161,3.2233881712162895,155,63,155Eu
162,3.238860557472706,155,63,155Eu
164,3.254311898157446,155,63,155Eu
165,3.2697423499639497,155,63,155Eu
165,3.2851520674770334,155,63,155Eu
167,3.300541203213782,155,63,155Eu
168,3.3159099076634173,155,63,155Eu
168,3.3312583293261717,155,63,155Eu
170,3.3465866147511707,155,63,155Eu
170,3.3618949085733907,155,63,155Eu
171,3.377183353549708,155,63,155Eu
173,3.392452090594053,155,63,155Eu
174,3.4077012588117057,155,63,155Eu
