Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.053181341628341275,159,65,159Tb
2,0.10071124825656595,159,65,159Tb
3,0.14631842341770507,159,65,159Tb
4,0.19072018897677456,159,65,159Tb
5,0.23424662686322395,159,65,159Tb
6,0.2770879901509818,159,65,159Tb
7,0.3193679108641941,159,65,159Tb
7,0.36117306768626173,159,65,159Tb
9,0.4025675241715516,159,65,159Tb
10,0.44360050854213706,159,65,159Tb
11,0.4843109991277709,159,65,159Tb
12,0.52473060119523,159,65,159Tb
12,0.5648854423600673,159,65,159Tb
13,0.6047974716584423,159,65,159Tb
15,0.644485379347347,159,65,159Tb
16,0.683965266193137,159,65,159Tb
17,0.7232511419359181,159,65,159Tb
17,0.7623553040502107,159,65,159Tb
18,0.8012886306223324,159,65,159Tb
20,0.8400608103259598,159,65,159Tb
21,0.8786805254824961,159,65,159Tb
21,0.9171555995599228,159,65,159Tb
22,0.9554931173237031,159,65,159Tb
23,0.9936995236808234,159,65,159Tb
25,1.031780705726997,159,65,159Tb
26,1.0697420614098792,159,65,159Tb
27,1.1075885574229263,159,65,159Tb
28,1.1453247783556635,159,65,159Tb
29,1.1829549686862766,159,65,159Tb
29,1.2204830688699222,159,65,159Tb
30,1.2579127465221962,159,65,159Tb
32,1.2952474235011828,159,65,159Tb
33,1.3324902995388987,159,65,159Tb
34,1.369644372953081,159,65,159Tb
35,1.4067124588753177,159,65,159Tb
36,1.4436972053558417,159,65,159Tb
37,1.4806011076444394,159,65,159Tb
37,1.517426520897767,159,65,159Tb
38,1.5541756715233113,159,65,159Tb
39,1.5908506673374883,159,65,159Tb
40,1.6274535066883868,159,65,159Tb
42,1.6639860866713825,159,65,159Tb
42,1.7004502105472503,159,65,159Tb
44,1.7368475944569721,159,65,159Tb
45,1.773179873514345,159,65,159Tb
46,1.8094486073466316,159,65,159Tb
47,1.8456552851441386,159,65,159Tb
47,1.8818013302717826,159,65,159Tb
48,1.9178881044889704,159,65,159Tb
49,1.9539169118183708,159,65,159Tb
50,1.9898890020992321,159,65,159Tb
52,2.02580557425665,159,65,159Tb
52,2.0616677793145075,159,65,159Tb
54,2.097476723176666,159,65,159Tb
55,2.1332334691981445,159,65,159Tb
56,2.1689390405657445,159,65,159Tb
57,2.2045944225053273,159,65,159Tb
58,2.240200564331225,159,65,159Tb
59,2.2757583813515905,159,65,159Tb
60,2.3112687566420824,159,65,159Tb
61,2.3467325426990273,159,65,159Tb
62,2.382150562982082,159,65,159Tb
63,2.4175236133554723,159,65,159Tb
