Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.023845142923859208,161,66,161Dy
2,0.04561326269966658,161,66,161Dy
3,0.0666607095359294,161,66,161Dy
4,0.0872533975054097,161,66,161Dy
5,0.10751440622218315,161,66,161Dy
6,0.12751496040588253,161,66,161Dy
7,0.1473014867444882,161,66,161Dy
7,0.16690661719080857,161,66,161Dy
9,0.1863545213389045,161,66,161Dy
10,0.20566380627998382,161,66,161Dy
11,0.22484922910174934,161,66,161Dy
12,0.24392277310744492,161,66,161Dy
12,0.26289435796082594,161,66,161Dy
13,0.28177232706812294,161,66,161Dy
15,0.3005637930957276,161,66,161Dy
16,0.31927488967236983,161,66,161Dy
17,0.3379109590473088,161,66,161Dy
17,0.35647669482395183,161,66,161Dy
18,0.37497625243068894,161,66,161Dy
20,0.39341333594086836,161,66,161Dy
21,0.4117912672379022,161,66,161Dy
21,0.43011304178736753,161,66,161Dy
22,0.44838137410166345,161,66,161Dy
23,0.466598735168342,161,66,161Dy
25,0.4847673835388274,161,66,161Dy
26,0.5028893913623306,161,66,161Dy
27,0.5209666663499013,161,66,161Dy
28,0.5390009704322021,161,66,161Dy
29,0.5569939357091356,161,66,161Dy
29,0.5749470781643279,161,66,161Dy
30,0.592861809521823,161,66,161Dy
32,0.6107394475485031,161,66,161Dy
33,0.6285812250482216,161,66,161Dy
34,0.6463882977484215,161,66,161Dy
35,0.664161751244194,161,66,161Dy
36,0.6819026071361531,161,66,161Dy
37,0.6996118284755295,161,66,161Dy
37,0.7172903246112871,161,66,161Dy
38,0.734938955518954,161,66,161Dy
39,0.7525585356784567,161,66,161Dy
40,0.7701498375580438,161,66,161Dy
42,0.7877135947529518,161,66,161Dy
42,0.805250504820433,161,66,161Dy
44,0.8227612318469034,161,66,161Dy
45,0.8402464087780266,161,66,161Dy
46,0.8577066395384215,161,66,161Dy
47,0.8751425009641374,161,66,161Dy
47,0.892554544568072,161,66,161Dy
48,0.9099432981559572,161,66,161Dy
49,0.9273092673083413,161,66,161Dy
50,0.9446529367421537,161,66,161Dy
52,0.9619747715637916,161,66,161Dy
52,0.9792752184242998,161,66,161Dy
54,0.9965547065859942,161,66,161Dy
55,1.0138136489088272,161,66,161Dy
56,1.0310524427638954,161,66,161Dy
57,1.0482714708806617,161,66,161Dy
58,1.0654711021337893,161,66,161Dy
59,1.082651692274857,161,66,161Dy
60,1.099813584613685,161,66,161Dy
61,1.1169571106535205,161,66,161Dy
62,1.134082590683921,161,66,161Dy
63,1.1511903343347794,161,66,161Dy
63,1.1682806410946214,161,66,161Dy
64,1.1853538007959958,161,66,161Dy
66,1.20241009407053,161,66,161Dy
67,1.2194497927759604,161,66,161Dy
68,1.2364731603972814,161,66,161Dy
68,1.253480452423912,161,66,161Dy
70,1.2704719167046623,161,66,161Dy
70,1.2874477937820898,161,66,161Dy
72,1.304408317207726,161,66,161Dy
73,1.321353713839511,161,66,161Dy
74,1.3382842041226777,161,66,161Dy
75,1.3552000023552075,161,66,161Dy
76,1.37210131693891,161,66,161Dy
77,1.3889883506170793,161,66,161Dy
77,1.405861300699603,161,66,161Dy
78,1.4227203592763547,161,66,161Dy
79,1.4395657134196067,161,66,161Dy
81,1.456397545376158,161,66,161Dy
82,1.473216032749833,161,66,161Dy
83,1.4900213486749307,161,66,161Dy
83,1.5068136619811867,161,66,161Dy
84,1.5235931373507565,161,66,161Dy
85,1.5403599354676871,161,66,161Dy
86,1.5571142131603373,161,66,161Dy
88,1.5738561235371389,161,66,161Dy
89,1.5905858161160922,161,66,161Dy
90,1.6073034369483519,161,66,161Dy
91,1.6240091287362246,161,66,161Dy
92,1.6407030309459123,161,66,161Dy
92,1.6573852799152589,161,66,161Dy
93,1.674056008956807,161,66,161Dy
95,1.690715348456388,161,66,161Dy
96,1.707363425967492,161,66,161Dy
96,1.7240003663016619,161,66,161Dy
98,1.7406262916150839,161,66,161Dy
99,1.757241321491589,161,66,161Dy
100,1.7738455730222595,161,66,161Dy
101,1.7904391608817878,161,66,161Dy
101,1.8070221974017715,161,66,161Dy
102,1.8235947926410856,161,66,161Dy
103,1.8401570544534789,161,66,161Dy
105,1.8567090885525295,161,66,161Dy
106,1.8732509985740826,161,66,161Dy
107,1.8897828861363084,161,66,161Dy
108,1.9063048508974623,161,66,161Dy
109,1.9228169906114791,161,66,161Dy
109,1.9393194011814971,161,66,161Dy
111,1.95581217671141,161,66,161Dy
111,1.9722954095555074,161,66,161Dy
112,1.988769190366349,161,66,161Dy
114,2.0052336081408955,161,66,161Dy
115,2.021688750264987,161,66,161Dy
116,2.038134702556283,161,66,161Dy
117,2.054571549305662,161,66,161Dy
118,2.0709993733172074,161,66,161Dy
118,2.087418255946803,161,66,161Dy
119,2.1038282771394203,161,66,161Dy
121,2.120229515465138,161,66,161Dy
122,2.1366220481539444,161,66,161Dy
123,2.1530059511294004,161,66,161Dy
124,2.1693812990411736,161,66,161Dy
124,2.1857481652965096,161,66,161Dy
126,2.2021066220906897,161,66,161Dy
126,2.218456740436484,161,66,161Dy
127,2.2347985901926943,161,66,161Dy
128,2.251132240091761,161,66,161Dy
130,2.2674577577665227,161,66,161Dy
131,2.283775209776116,161,66,161Dy
132,2.300084661631099,161,66,161Dy
133,2.3163861778177823,161,66,161Dy
134,2.3326798218218254,161,66,161Dy
135,2.348965656151105,161,66,161Dy
135,2.3652437423579165,161,66,161Dy
136,2.3815141410604928,161,66,161Dy
138,2.3977769119638923,161,66,161Dy
138,2.4140321138802783,161,66,161Dy
140,2.4302798047485874,161,66,161Dy
140,2.446520041653645,161,66,161Dy
141,2.4627528808447314,161,66,161Dy
143,2.478978377753594,161,66,161Dy
144,2.4951965870119674,161,66,161Dy
144,2.511407562468597,161,66,161Dy
146,2.5276113572057857,161,66,161Dy
146,2.5438080235554645,161,66,161Dy
148,2.559997613114845,161,66,161Dy
149,2.5761801767616195,161,66,161Dy
150,2.5923557646687576,161,66,161Dy
150,2.608524426318901,161,66,161Dy
152,2.6246862105183713,161,66,161Dy
153,2.6408411654107993,161,66,161Dy
154,2.656989338490388,161,66,161Dy
154,2.673130776614849,161,66,161Dy
156,2.6892655260179716,161,66,161Dy
156,2.705393632321874,161,66,161Dy
158,2.7215151405489455,161,66,161Dy
158,2.737630095133478,161,66,161Dy
159,2.7537385399329875,161,66,161Dy
160,2.769840518239265,161,66,161Dy
161,2.7859360727891485,161,66,161Dy
162,2.802025245774998,161,66,161Dy
164,2.818108078854955,161,66,161Dy
165,2.834184613162901,161,66,161Dy
165,2.8502548893182036,161,66,161Dy
167,2.8663189474352118,161,66,161Dy
168,2.8823768271325076,161,66,161Dy
168,2.8984285675419734,161,66,161Dy
170,2.9144742073175944,161,66,161Dy
170,2.930513784644064,161,66,161Dy
171,2.946547337245221,161,66,161Dy
173,2.9625749023922356,161,66,161Dy
174,2.978596516911634,161,66,161Dy
175,2.9946122171931173,161,66,161Dy
176,3.010622039197232,161,66,161Dy
177,3.026626018462812,161,66,161Dy
178,3.0426241901143025,161,66,161Dy
179,3.058616588868878,161,66,161Dy
179,3.0746032490434168,161,66,161Dy
181,3.090584204561317,161,66,161Dy
181,3.1065594889591543,161,66,161Dy
182,3.122529135393195,161,66,161Dy
183,3.1384931766457598,161,66,161Dy
184,3.1544516451314557,161,66,161Dy
186,3.170404572903267,161,66,161Dy
187,3.1863519916584924,161,66,161Dy
188,3.2022939327446043,161,66,161Dy
189,3.2182304271649276,161,66,161Dy
189,3.234161505584226,161,66,161Dy
191,3.250087198334153,161,66,161Dy
192,3.266007535418611,161,66,161Dy
193,3.2819225465189663,161,66,161Dy
193,3.297832260999178,161,66,161Dy
194,3.3137367079108033,161,66,161Dy
195,3.329635915997918,161,66,161Dy
197,3.345529913701911,161,66,161Dy
197,3.361418729166195,161,66,161Dy
199,3.37730239024082,161,66,161Dy
200,3.393180924486989,161,66,161Dy
201,3.4090543591814795,161,66,161Dy
202,3.4249227213209816,161,66,161Dy
203,3.4407860376263515,161,66,161Dy
204,3.456644334546763,161,66,161Dy
204,3.4724976382638015,161,66,161Dy
205,3.488345974695445,161,66,161Dy
207,3.5041893695000073,161,66,161Dy
207,3.520027848079961,161,66,161Dy
209,3.535861435585718,161,66,161Dy
209,3.5516901569193142,161,66,161Dy
210,3.5675140367380522,161,66,161Dy
211,3.583333099458037,161,66,161Dy
212,3.5991473692576683,161,66,161Dy
214,3.6149568700810586,161,66,161Dy
215,3.63076162564138,161,66,161Dy
215,3.6465616594241723,161,66,161Dy
217,3.662356994690568,161,66,161Dy
217,3.6781476544804432,161,66,161Dy
219,3.6939336616155436,161,66,161Dy
219,3.7097150387025315,161,66,161Dy
220,3.7254918081359847,161,66,161Dy
222,3.7412639921013313,161,66,161Dy
223,3.7570316125777325,161,66,161Dy
223,3.772794691340934,161,66,161Dy
225,3.7885532499660335,161,66,161Dy
225,3.8043073098302016,161,66,161Dy
226,3.8200568921154074,161,66,161Dy
228,3.835802017811004,161,66,161Dy
228,3.8515427077163378,161,66,161Dy
230,3.8672789824433083,161,66,161Dy
231,3.883010862418831,161,66,161Dy
232,3.898738367887314,161,66,161Dy
232,3.9144615189130607,161,66,161Dy
234,3.9301803353826488,161,66,161Dy
235,3.945894837007233,161,66,161Dy
236,3.961605043324858,161,66,161Dy
237,3.9773109737026884,161,66,161Dy
237,3.9930126473392304,161,66,161Dy
238,4.008710083266497,161,66,161Dy
239,4.024403300352135,161,66,161Dy
240,4.040092317301538,161,66,161Dy
241,4.0557771526599,161,66,161Dy
242,4.071457824814244,161,66,161Dy
243,4.0871343519954175,161,66,161Dy
245,4.102806752280061,161,66,161Dy
246,4.118475043592517,161,66,161Dy
247,4.134139243706746,161,66,161Dy
248,4.149799370248189,161,66,161Dy
249,4.165455440695592,161,66,161Dy
249,4.181107472382817,161,66,161Dy
250,4.196755482500627,161,66,161Dy
252,4.212399488098414,161,66,161Dy
253,4.2280395060859295,161,66,161Dy
254,4.243675553234979,161,66,161Dy
254,4.259307646181076,161,66,161Dy
256,4.274935801425093,161,66,161Dy
257,4.290560035334846,161,66,161Dy
257,4.30618036414671,161,66,161Dy
259,4.3217968039671835,161,66,161Dy
259,4.337409370774378,161,66,161Dy
260,4.353018080419595,161,66,161Dy
261,4.36862294862876,161,66,161Dy
263,4.384223991003931,161,66,161Dy
264,4.399821223024701,161,66,161Dy
265,4.415414660049656,161,66,161Dy
266,4.4310043173177585,161,66,161Dy
267,4.446590209949713,161,66,161Dy
268,4.4621723529493496,161,66,161Dy
269,4.477750761204938,161,66,161Dy
270,4.493325449490506,161,66,161Dy
271,4.50889643246716,161,66,161Dy
272,4.5244637246843284,161,66,161Dy
273,4.540027340581034,161,66,161Dy
274,4.555587294487146,161,66,161Dy
275,4.571143600624577,161,66,161Dy
276,4.586696273108495,161,66,161Dy
277,4.602245325948521,161,66,161Dy
277,4.617790773049875,161,66,161Dy
278,4.6333326282145455,161,66,161Dy
280,4.64887090514242,161,66,161Dy
280,4.664405617432372,161,66,161Dy
281,4.679936778583421,161,66,161Dy
283,4.695464401995762,161,66,161Dy
283,4.710988500971867,161,66,161Dy
285,4.726509088717522,161,66,161Dy
286,4.742026178342885,161,66,161Dy
287,4.757539782863487,161,66,161Dy
288,4.773049915201269,161,66,161Dy
288,4.788556588185547,161,66,161Dy
290,4.804059814554031,161,66,161Dy
291,4.819559606953754,161,66,161Dy
292,4.83505597794206,161,66,161Dy
293,4.850548939987518,161,66,161Dy
294,4.866038505470866,161,66,161Dy
295,4.881524686685929,161,66,161Dy
296,4.89700749584051,161,66,161Dy
296,4.912486945057286,161,66,161Dy
298,4.927963046374695,161,66,161Dy
298,4.943435811747777,161,66,161Dy
300,4.958905253049061,161,66,161Dy
301,4.974371382069382,161,66,161Dy
301,4.989834210518722,161,66,161Dy
302,5.005293750027041,161,66,161Dy
304,5.020750012145067,161,66,161Dy
305,5.036203008345095,161,66,161Dy
306,5.051652750021808,161,66,161Dy
307,5.067099248493005,161,66,161Dy
308,5.0825425150004016,161,66,161Dy
309,5.097982560710384,161,66,161Dy
309,5.113419396714738,161,66,161Dy
