Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,4.6083374225849285,16,8,16O
2,5.844886842773512,16,8,16O
3,6.716806870605274,16,8,16O
4,7.413238023196711,16,8,16O
5,8.002785438137069,16,8,16O
6,8.519119262198075,16,8,16O
7,8.98157863004029,16,8,16O
7,9.402422915426662,16,8,16O
9,9.789972044126888,16,8,16O
10,10.150162851284742,16,8,16O
11,10.487398039520233,16,8,16O
12,10.80504388493967,16,8,16O
12,11.105738940172419,16,8,16O
13,11.391594396881596,16,8,16O
15,11.66432908133438,16,8,16O
16,11.925363303311082,16,8,16O
17,12.175885863010597,16,8,16O
17,12.41690300527971,16,8,16O
18,12.649274907955407,16,8,16O
20,12.873743361484362,16,8,16O
21,13.090953096333157,16,8,16O
21,13.301468446235686,16,8,16O
22,13.505786531015625,16,8,16O
23,13.70434780429978,16,8,16O
25,13.89754457974012,16,8,16O
26,14.085727987834847,16,8,16O
27,14.269213700966395,16,8,16O
28,14.448286681923976,16,8,16O
29,14.623205151118412,16,8,16O
29,14.794203923338108,16,8,16O
30,14.961497231748968,16,8,16O
32,15.125281131805503,16,8,16O
33,15.285735558640855,16,8,16O
34,15.443026096796425,16,8,16O
35,15.597305509727981,16,8,16O
36,15.748715067579615,16,8,16O
37,15.897385704658818,16,8,16O
37,16.043439032435813,16,8,16O
38,16.186988229402793,16,8,16O
39,16.328138825515015,16,8,16O
40,16.466989396008387,16,8,16O
42,16.603632177004013,16,8,16O
42,16.738153613357365,16,8,16O
44,16.870634847602073,16,8,16O
45,17.001152157508663,16,8,16O
46,17.129777348673766,16,8,16O
47,17.2565781076329,16,8,16O
47,17.381618320217022,16,8,16O
48,17.50495835922261,16,8,16O
49,17.62665534491564,16,8,16O
50,17.746763381423804,16,8,16O
52,17.865333771675495,16,8,16O
52,17.982415213205016,16,8,16O
54,18.098053976854814,16,8,16O
55,18.212294070155625,16,8,16O
56,18.325177386951836,16,8,16O
57,18.436743844653655,16,8,16O
58,18.547031510337426,16,8,16O
59,18.65607671677589,16,8,16O
60,18.76391416935868,16,8,16O
61,18.87057704475776,16,8,16O
62,18.976097082099088,16,8,16O
63,19.08050466732104,16,8,16O
63,19.183828911328195,16,8,16O
64,19.28609772248632,16,8,16O
66,19.38733787394854,16,8,16O
67,19.487575066253747,16,8,16O
68,19.5868339855945,16,8,16O
68,19.685138358112948,16,8,16O
70,19.782511000548975,16,8,16O
70,19.878973867534143,16,8,16O
72,19.97454809579727,16,8,16O
73,20.069254045523426,16,8,16O
74,20.1631113390859,16,8,16O
75,20.256138897351157,16,8,16O
76,20.348354973738896,16,8,16O
77,20.439777186203944,16,8,16O
77,20.53042254729178,16,8,16O
78,20.62030749240673,16,8,16O
79,20.709447906420802,16,8,16O
81,20.797859148739377,16,8,16O
82,20.885556076931678,16,8,16O
83,20.972553069024297,16,8,16O
83,21.058864044548628,16,8,16O
84,21.14450248442597,16,8,16O
85,21.22948144976713,16,8,16O
86,21.31381359965778,16,8,16O
88,21.39751120799541,16,8,16O
89,21.48058617943823,16,8,16O
90,21.56305006452283,16,8,16O
91,21.64491407400206,16,8,16O
92,21.726189092451996,16,8,16O
92,21.806885691192296,16,8,16O
93,21.88701414056191,16,8,16O
95,21.96658442158867,16,8,16O
96,22.04560623708868,16,8,16O
96,22.124089022229185,16,8,16O
98,22.202041954585816,16,8,16O
99,22.279473963723646,16,8,16O
100,22.35639374032883,16,8,16O
101,22.432809744916536,16,8,16O
101,22.50873021613841,16,8,16O
102,22.584163178712153,16,8,16O
103,22.659116450993547,16,8,16O
105,22.733597652210474,16,8,16O
106,22.8076142093771,16,8,16O
107,22.88117336390526,16,8,16O
108,22.9542821779288,16,8,16O
109,23.02694754035617,16,8,16O
109,23.099176172665093,16,8,16O
111,23.17097463445268,16,8,16O
111,23.24234932875328,16,8,16O
112,23.31330650713595,16,8,16O
114,23.383852274592368,16,8,16O
115,23.45399259422561,16,8,16O
116,23.52373329174968,16,8,16O
117,23.593080059808848,16,8,16O
118,23.66203846212546,16,8,16O
118,23.730613937484577,16,8,16O
119,23.798811803563154,16,8,16O
121,23.86663726061085,16,8,16O
122,23.934095394989672,16,8,16O
123,24.001191182578804,16,8,16O
124,24.06792949205094,16,8,16O
124,24.134315088025716,16,8,16O
126,24.200352634106203,16,8,16O
126,24.266046695803162,16,8,16O
127,24.331401743352664,16,8,16O
128,24.396422154431182,16,8,16O
130,24.461112216773028,16,8,16O
131,24.525476130694244,16,8,16O
132,24.589518011527076,16,8,16O
133,24.653241891968552,16,8,16O
134,24.71665172434724,16,8,16O
135,24.779751382811284,16,8,16O
135,24.842544665441224,16,8,16O
136,24.90503529629058,16,8,16O
138,24.967226927357245,16,8,16O
138,25.029123140488526,16,8,16O
140,25.090727449222513,16,8,16O
140,25.152043300568245,16,8,16O
141,25.213074076727384,16,8,16O
143,25.27382309675942,16,8,16O
144,25.334293618192753,16,8,16O
144,25.394488838583886,16,8,16O
146,25.454411897026645,16,8,16O
146,25.514065875613237,16,8,16O
148,25.573453800849304,16,8,16O
149,25.63257864502433,16,8,16O
150,25.691443327539588,16,8,16O
150,25.75005071619464,16,8,16O
152,25.808403628434508,16,8,16O
153,25.866504832558558,16,8,16O
154,25.924357048892713,16,8,16O
154,25.981962950926274,16,8,16O
156,26.039325166414695,16,8,16O
156,26.096446278449456,16,8,16O
158,26.153328826496328,16,8,16O
158,26.209975307403006,16,8,16O
159,26.266388176377422,16,8,16O
160,26.32256984793746,16,8,16O
161,26.378522696833457,16,8,16O
162,26.434249058944037,16,8,16O
164,26.489751232146595,16,8,16O
165,26.545031477162972,16,8,16O
165,26.600092018381336,16,8,16O
167,26.654935044655094,16,8,16O
168,26.709562710079545,16,8,16O
168,26.763977134747012,16,8,16O
170,26.818180405481275,16,8,16O
170,26.87217457655183,16,8,16O
171,26.925961670368856,16,8,16O
173,26.97954367815927,16,8,16O
174,27.032922560624645,16,8,16O
175,27.08610024858172,16,8,16O
176,27.139078643585634,16,8,16O
177,27.191859618536867,16,8,16O
178,27.244445018272152,16,8,16O
179,27.296836660140123,16,8,16O
179,27.349036334561777,16,8,16O
181,27.401045805576626,16,8,16O
181,27.4528668113747,16,8,16O
182,27.504501064815226,16,8,16O
183,27.55595025393168,16,8,16O
184,27.60721604242455,16,8,16O
186,27.658300070141372,16,8,16O
187,27.709203953544954,16,8,16O
188,27.759929286169914,16,8,16O
189,27.8104776390679,16,8,16O
189,27.860850561241865,16,8,16O
191,27.911049580069754,16,8,16O
192,27.961076201717873,16,8,16O
193,28.010931911544137,16,8,16O
193,28.060618174491772,16,8,16O
194,28.11013643547353,16,8,16O
195,28.159488119746634,16,8,16O
197,28.208674633278967,16,8,16O
197,28.257697363106526,16,8,16O
199,28.30655767768262,16,8,16O
200,28.355256927218612,16,8,16O
201,28.403796444017203,16,8,16O
202,28.452177542797465,16,8,16O
203,28.500401521012915,16,8,16O
204,28.548469659161864,16,8,16O
204,28.596383221091006,16,8,16O
205,28.64414345429195,16,8,16O
207,28.691751590191142,16,8,16O
207,28.73920884443314,16,8,16O
209,28.786516417157866,16,8,16O
209,28.83367549327122,16,8,16O
210,28.88068724271022,16,8,16O
211,28.927552820701813,16,8,16O
212,28.974273368016426,16,8,16O
214,29.0208500112157,16,8,16O
215,29.067283862894936,16,8,16O
215,29.11357602192029,16,8,16O
217,29.159727573660977,16,8,16O
217,29.205739590216233,16,8,16O
219,29.25161313063771,16,8,16O
219,29.29734924114695,16,8,16O
220,29.34294895534846,16,8,16O
222,29.38841329443805,16,8,16O
223,29.433743267407056,16,8,16O
223,29.47893987124209,16,8,16O
225,29.524004091120904,16,8,16O
225,29.568936900603834,16,8,16O
226,29.613739261821735,16,8,16O
228,29.658412125659748,16,8,16O
228,29.702956431937313,16,8,16O
230,29.747373109584885,16,8,16O
231,29.79166307681662,16,8,16O
232,29.835827241299853,16,8,16O
232,29.879866500321146,16,8,16O
234,29.923781740949003,16,8,16O
235,29.967573840193193,16,8,16O
236,30.01124366516133,16,8,16O
237,30.054792073211832,16,8,16O
237,30.098219912104355,16,8,16O
238,30.141528020146943,16,8,16O
239,30.18471722634057,16,8,16O
240,30.2277883505207,16,8,16O
241,30.270742203496177,16,8,16O
242,30.313579587185476,16,8,16O
243,30.3563012947503,16,8,16O
245,30.398908110726715,16,8,16O
246,30.441400811153624,16,8,16O
247,30.483780163699006,16,8,16O
