Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.1260949248656013,177,72,177Hf
2,0.18733675732619837,177,72,177Hf
3,0.23615269464447067,177,72,177Hf
4,0.2783225469454947,177,72,177Hf
5,0.3161520510970211,177,72,177Hf
6,0.35084742780641226,177,72,177Hf
7,0.3831362118701547,177,72,177Hf
7,0.4134983504777153,177,72,177Hf
9,0.442270735696026,177,72,177Hf
10,0.46970090301151846,177,72,177Hf
11,0.4959772339989124,177,72,177Hf
12,0.5212471438604345,177,72,177Hf
12,0.5456286346935604,177,72,177Hf
13,0.5692179572056547,177,72,177Hf
15,0.5920948750595211,177,72,177Hf
16,0.6143263911754717,177,72,177Hf
17,0.6359694529788534,177,72,177Hf
17,0.657072959707739,177,72,177Hf
18,0.6776792804349997,177,72,177Hf
20,0.6978254214208217,177,72,177Hf
21,0.7175439372000804,177,72,177Hf
21,0.7368636511263785,177,72,177Hf
22,0.7558102320301485,177,72,177Hf
23,0.7744066606997504,177,72,177Hf
25,0.7926736109275428,177,72,177Hf
26,0.8106297635432994,177,72,177Hf
27,0.8282920673320547,177,72,177Hf
28,0.8456759574456139,177,72,177Hf
29,0.8627955394962016,177,72,177Hf
29,0.8796637457164664,177,72,177Hf
30,0.8962924682100153,177,72,177Hf
32,0.912692673280731,177,72,177Hf
33,0.9288745000323674,177,72,177Hf
34,0.944847345811585,177,72,177Hf
35,0.960619940583638,177,72,177Hf
36,0.9762004119481869,177,72,177Hf
37,0.9915963421993429,177,72,177Hf
37,1.0068148185913026,177,72,177Hf
38,1.0218624777754124,177,72,177Hf
39,1.0367455452160492,177,72,177Hf
40,1.0514698702635474,177,72,177Hf
42,1.0660409574565424,177,72,177Hf
42,1.0804639945388819,177,72,177Hf
44,1.0947438776040435,177,72,177Hf
45,1.1088852337199124,177,72,177Hf
46,1.1228924413365955,177,72,177Hf
47,1.1367696487378027,177,72,177Hf
47,1.150520790760844,177,72,177Hf
48,1.164149603980273,177,72,177Hf
49,1.177659640524711,177,72,177Hf
50,1.191054280674677,177,72,177Hf
52,1.2043367443706872,177,72,177Hf
52,1.2175101017449559,177,72,177Hf
54,1.2305772827763553,177,72,177Hf
55,1.24354108615643,177,72,177Hf
56,1.2564041874440905,177,72,177Hf
57,1.2691691465776738,177,72,177Hf
58,1.2818384148053839,177,72,177Hf
59,1.294414341088353,177,72,177Hf
60,1.306899178024698,177,72,177Hf
61,1.3192950873377554,177,72,177Hf
62,1.3316041449671738,177,72,177Hf
63,1.3438283457975058,177,72,177Hf
63,1.3559696080554555,177,72,177Hf
64,1.3680297774037913,177,72,177Hf
66,1.3800106307571784,177,72,177Hf
67,1.3919138798427468,177,72,177Hf
68,1.4037411745260053,177,72,177Hf
68,1.4154941059207795,177,72,177Hf
70,1.4271742093001318,177,72,177Hf
70,1.438782966823633,177,72,177Hf
72,1.450321810095004,177,72,177Hf
73,1.4617921225628754,177,72,177Hf
74,1.4731952417763028,177,72,177Hf
75,1.484532461505657,177,72,177Hf
76,1.4958050337386182,177,72,177Hf
77,1.5070141705601658,177,72,177Hf
77,1.51816104592472,177,72,177Hf
78,1.529246797327926,177,72,177Hf
79,1.5402725273849593,177,72,177Hf
81,1.5512393053216742,177,72,177Hf
82,1.5621481683844303,177,72,177Hf
83,1.5730001231739623,177,72,177Hf
83,1.5837961469082482,177,72,177Hf
84,1.59453718861896,177,72,177Hf
85,1.6052241702857237,177,72,177Hf
86,1.6158579879120991,177,72,177Hf
88,1.6264395125469284,177,72,177Hf
89,1.6369695912543882,177,72,177Hf
90,1.6474490480358903,177,72,177Hf
91,1.657878684706715,177,72,177Hf
92,1.6682592817300783,177,72,177Hf
92,1.6785915990111355,177,72,177Hf
93,1.6888763766532573,177,72,177Hf
95,1.699114335678754,177,72,177Hf
96,1.7093061787160635,177,72,177Hf
96,1.7194525906553206,177,72,177Hf
98,1.729554239274041,177,72,177Hf
99,1.739611775834599,177,72,177Hf
100,1.7496258356550294,177,72,177Hf
101,1.7595970386546014,177,72,177Hf
101,1.769525989875515,177,72,177Hf
102,1.7794132799819975,177,72,177Hf
103,1.7892594857379813,177,72,177Hf
105,1.7990651704644696,177,72,177Hf
106,1.8088308844776626,177,72,177Hf
107,1.8185571655088097,177,72,177Hf
108,1.8282445391067124,177,72,177Hf
109,1.8378935190237533,177,72,177Hf
109,1.847504607586281,177,72,177Hf
111,1.8570782960500944,177,72,177Hf
111,1.866615064941778,177,72,177Hf
112,1.8761153843865708,177,72,177Hf
114,1.885579714423396,177,72,177Hf
115,1.8950085053076766,177,72,177Hf
116,1.9044021978025218,177,72,177Hf
117,1.9137612234588042,177,72,177Hf
118,1.9230860048846545,177,72,177Hf
118,1.9323769560048614,177,72,177Hf
119,1.9416344823106408,177,72,177Hf
121,1.9508589811001895,177,72,177Hf
122,1.9600508417104587,177,72,177Hf
123,1.969210445740525,177,72,177Hf
124,1.978338167266933,177,72,177Hf
124,1.98743437305136,177,72,177Hf
126,1.9964994227409307,177,72,177Hf
126,2.005533669061506,177,72,177Hf
127,2.01453745800425,177,72,177Hf
128,2.0235111290057306,177,72,177Hf
130,2.0324550151218745,177,72,177Hf
131,2.04136944319598,177,72,177Hf
132,2.05025473402108,177,72,177Hf
133,2.0591112024968483,177,72,177Hf
134,2.0679391577813013,177,72,177Hf
135,2.076738903437485,177,72,177Hf
135,2.085510737575369,177,72,177Hf
136,2.0942549529891092,177,72,177Hf
138,2.1029718372898976,177,72,177Hf
138,2.1116616730345443,177,72,177Hf
140,2.120324737849972,177,72,177Hf
140,2.1289613045537714,177,72,177Hf
141,2.1375716412709984,177,72,177Hf
143,2.1461560115472977,177,72,177Hf
144,2.1547146744585586,177,72,177Hf
144,2.163247884717189,177,72,177Hf
146,2.171755892775154,177,72,177Hf
146,2.1802389449238833,177,72,177Hf
148,2.1886972833911877,177,72,177Hf
149,2.197131146435265,177,72,177Hf
150,2.2055407684359314,177,72,177Hf
150,2.213926379983138,177,72,177Hf
152,2.222288207962931,177,72,177Hf
153,2.2306264756408716,177,72,177Hf
154,2.2389414027430736,177,72,177Hf
154,2.247233205534902,177,72,177Hf
156,2.255502096897423,177,72,177Hf
156,2.2637482864016927,177,72,177Hf
158,2.2719719803809535,177,72,177Hf
158,2.2801733820008017,177,72,177Hf
159,2.2883526913274106,177,72,177Hf
160,2.2965101053938657,177,72,177Hf
161,2.3046458182646794,177,72,177Hf
162,2.312760021098534,177,72,177Hf
164,2.32085290220934,177,72,177Hf
165,2.3289246471256257,177,72,177Hf
165,2.3369754386483605,177,72,177Hf
167,2.3450054569072147,177,72,177Hf
168,2.3530148794153347,177,72,177Hf
168,2.3610038811226906,177,72,177Hf
170,2.3689726344680064,177,72,177Hf
170,2.3769213094293513,177,72,177Hf
171,2.3848500735734235,177,72,177Hf
173,2.3927590921035593,177,72,177Hf
174,2.400648527906514,177,72,177Hf
175,2.408518541598065,177,72,177Hf
176,2.4163692915674537,177,72,177Hf
177,2.424200934020708,177,72,177Hf
178,2.432013623022885,177,72,177Hf
179,2.4398075105392714,177,72,177Hf
179,2.4475827464755464,177,72,177Hf
181,2.4553394787169864,177,72,177Hf
181,2.463077853166678,177,72,177Hf
182,2.470798013782832,177,72,177Hf
183,2.4785001026151754,177,72,177Hf
184,2.486184259840478,177,72,177Hf
186,2.493850623797229,177,72,177Hf
187,2.501499331019479,177,72,177Hf
188,2.509130516269901,177,72,177Hf
189,2.5167443125720546,177,72,177Hf
189,2.524340851241899,177,72,177Hf
191,2.5319202619185885,177,72,177Hf
192,2.539482672594522,177,72,177Hf
193,2.5470282096447385,177,72,177Hf
193,2.5545569978556077,177,72,177Hf
194,2.562069160452884,177,72,177Hf
195,2.5695648191291176,177,72,177Hf
197,2.577044094070449,177,72,177Hf
197,2.5845071039827943,177,72,177Hf
199,2.5919539661174626,177,72,177Hf
200,2.5993847962961807,177,72,177Hf
201,2.606799708935591,177,72,177Hf
202,2.614198817071181,177,72,177Hf
203,2.6215822323807116,177,72,177Hf
204,2.6289500652071265,177,72,177Hf
204,2.6363024245809634,177,72,177Hf
205,2.6436394182422807,177,72,177Hf
207,2.650961152662121,177,72,177Hf
207,2.6582677330635027,177,72,177Hf
209,2.665559263441984,177,72,177Hf
209,2.6728358465857647,177,72,177Hf
210,2.6800975840953987,177,72,177Hf
211,2.6873445764030555,177,72,177Hf
212,2.6945769227914167,177,72,177Hf
214,2.7017947214121483,177,72,177Hf
215,2.7089980693040094,177,72,177Hf
215,2.7161870624105875,177,72,177Hf
217,2.723361795597663,177,72,177Hf
217,2.73052236267022,177,72,177Hf
219,2.7376688563891256,177,72,177Hf
219,2.7448013684874484,177,72,177Hf
220,2.751919989686474,177,72,177Hf
222,2.7590248097113808,177,72,177Hf
223,2.7661159173066108,177,72,177Hf
223,2.7731934002509417,177,72,177Hf
225,2.7802573453722492,177,72,177Hf
225,2.787307838561981,177,72,177Hf
226,2.7943449647893606,177,72,177Hf
228,2.8013688081153023,177,72,177Hf
228,2.8083794517060463,177,72,177Hf
230,2.8153769778465634,177,72,177Hf
