Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.03925191145698924,181,73,181Ta
2,0.07980689476003587,181,73,181Ta
3,0.12086872027205578,181,73,181Ta
4,0.16226319215609422,181,73,181Ta
5,0.20390678998285908,181,73,181Ta
6,0.2457499999484628,181,73,181Ta
7,0.28775994010518696,181,73,181Ta
7,0.32991314356801965,181,73,181Ta
9,0.3721920028331036,181,73,181Ta
10,0.4145828094728658,181,73,181Ta
11,0.45707458283095587,181,73,181Ta
12,0.49965832631250284,181,73,181Ta
12,0.5423265321309073,181,73,181Ta
13,0.5850728385875756,181,73,181Ta
15,0.6278917852705627,181,73,181Ta
16,0.6707786334822511,181,73,181Ta
17,0.7137292314967968,181,73,181Ta
17,0.7567399114607813,181,73,181Ta
18,0.799807409151091,181,73,181Ta
20,0.8429288005802217,181,73,181Ta
21,0.886101451242426,181,73,181Ta
21,0.9293229749957086,181,73,181Ta
22,0.9725912003937448,181,73,181Ta
23,1.0159041428515492,181,73,181Ta
25,1.059259981432328,181,73,181Ta
26,1.1026570393335533,181,73,181Ta
27,1.1460937673627682,181,73,181Ta
28,1.1895687298509872,181,73,181Ta
29,1.233080592569695,181,73,181Ta
29,1.2766281123070289,181,73,181Ta
30,1.32021012782749,181,73,181Ta
32,1.3638255519927447,181,73,181Ta
33,1.4074733648626996,181,73,181Ta
34,1.4511526076288366,181,73,181Ta
35,1.4948623772578218,181,73,181Ta
36,1.5386018217442967,181,73,181Ta
37,1.5823701358885363,181,73,181Ta
37,1.626166557528307,181,73,181Ta
38,1.6699903641653797,181,73,181Ta
39,1.7138408699362981,181,73,181Ta
40,1.7577174228845214,181,73,181Ta
42,1.8016194024973375,181,73,181Ta
42,1.8455462174761461,181,73,181Ta
44,1.889497303713087,181,73,181Ta
45,1.9334721224506344,181,73,181Ta
46,1.9774701586039458,181,73,181Ta
47,2.0214909192283144,181,73,181Ta
47,2.0655339321163564,181,73,181Ta
48,2.109598744511493,181,73,181Ta
49,2.153684921925877,181,73,181Ta
50,2.1977920470523933,181,73,181Ta
52,2.2419197187615265,181,73,181Ta
52,2.2860675511749733,181,73,181Ta
54,2.3302351728088113,181,73,181Ta
55,2.3744222257797643,181,73,181Ta
56,2.4186283650689053,181,73,181Ta
57,2.4628532578376503,181,73,181Ta
58,2.507096582791502,181,73,181Ta
59,2.5513580295874165,181,73,181Ta
60,2.595637298281146,181,73,181Ta
61,2.639934098811214,181,73,181Ta
62,2.6842481505165314,181,73,181Ta
63,2.7285791816849922,181,73,181Ta
63,2.772926929130533,181,73,181Ta
64,2.817291137796512,181,73,181Ta
66,2.8616715603833387,181,73,181Ta
67,2.906067956998557,181,73,181Ta
68,2.9504800948277023,181,73,181Ta
68,2.994907747824402,181,73,181Ta
70,3.039350696418359,181,73,181Ta
70,3.083808727239903,181,73,181Ta
72,3.128281632860003,181,73,181Ta
73,3.1727692115446144,181,73,181Ta
74,3.2172712670224315,181,73,181Ta
75,3.261787608265116,181,73,181Ta
76,3.3063180492791715,181,73,181Ta
77,3.35086240890873,181,73,181Ta
77,3.3954205106485085,181,73,181Ta
