Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.03166727964829109,188,75,188Re
2,0.054558905829537784,188,75,188Re
3,0.0750008017673814,188,75,188Re
4,0.09399841850567695,188,75,188Re
5,0.1119895849192596,188,75,188Re
6,0.12921734124981002,188,75,188Re
7,0.14583511180817388,188,75,188Re
7,0.1619479450188095,188,75,188Re
9,0.17763193833587154,188,75,188Re
10,0.19294455619046627,188,75,188Re
11,0.20793060167959088,188,75,188Re
12,0.2226259038064257,188,75,188Re
12,0.23705971254846478,188,75,188Re
13,0.25125631946132904,188,75,188Re
15,0.2652361917988109,188,75,188Re
16,0.2790167889285433,188,75,188Re
17,0.2926131643541487,188,75,188Re
17,0.30603841894919664,188,75,188Re
18,0.3193040483991167,188,75,188Re
20,0.33242021381163034,188,75,188Re
21,0.3453959554760493,188,75,188Re
21,0.35823936385164445,188,75,188Re
22,0.3709577178966091,188,75,188Re
23,0.3835575981230828,188,75,188Re
25,0.39604497985556714,188,75,188Re
26,0.4084253108115319,188,75,188Re
27,0.42070357614072373,188,75,188Re
28,0.4328843533393522,188,75,188Re
29,0.44497185892024316,188,75,188Re
29,0.4569699883178146,188,75,188Re
30,0.46888235020104163,188,75,188Re
32,0.4807122961328921,188,75,188Re
33,0.49246294633283777,188,75,188Re
34,0.5041372121568577,188,75,188Re
35,0.5157378157972767,188,75,188Re
36,0.527267307615762,188,75,188Re
37,0.5387280814515926,188,75,188Re
37,0.5501223881899717,188,75,188Re
38,0.5614523478286616,188,75,188Re
39,0.5727199602433256,188,75,188Re
40,0.583927114820894,188,75,188Re
42,0.5950755991046405,188,75,188Re
42,0.6061671065734474,188,75,188Re
44,0.6172032436600576,188,75,188Re
45,0.6281855360983394,188,75,188Re
46,0.6391154346771788,188,75,188Re
47,0.6499943204681501,188,75,188Re
47,0.6608235095852404,188,75,188Re
48,0.671604257527384,188,75,188Re
49,0.6823377631481248,188,75,188Re
50,0.6930251722912367,188,75,188Re
52,0.7036675811263938,188,75,188Re
52,0.7142660392149262,188,75,188Re
54,0.724821552332178,188,75,188Re
55,0.7353350850699266,188,75,188Re
56,0.7458075632396985,188,75,188Re
57,0.7562398760954785,188,75,188Re
58,0.7666328783923195,188,75,188Re
59,0.7769873922955861,188,75,188Re
60,0.7873042091540079,188,75,188Re
61,0.7975840911483675,188,75,188Re
62,0.8078277728264383,188,75,188Re
63,0.8180359625337261,188,75,188Re
63,0.8282093437486248,188,75,188Re
64,0.8383485763297708,188,75,188Re
66,0.8484542976826224,188,75,188Re
67,0.8585271238516411,188,75,188Re
68,0.8685676505438639,188,75,188Re
68,0.8785764540891083,188,75,188Re
70,0.8885540923416073,188,75,188Re
70,0.8985011055274175,188,75,188Re
72,0.9084180170415962,188,75,188Re
73,0.9183053341987601,188,75,188Re
74,0.9281635489403697,188,75,188Re
75,0.9379931385017752,188,75,188Re
76,0.9477945660418228,188,75,188Re
77,0.957568281237583,188,75,188Re
77,0.9673147208465661,188,75,188Re
78,0.9770343092385916,188,75,188Re
79,0.9867274588993138,188,75,188Re
81,0.9963945709072493,188,75,188Re
82,1.00603603538601,188,75,188Re
83,1.0156522319333168,188,75,188Re
83,1.0252435300282539,188,75,188Re
