Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.11199818855014806,188,74,188W
2,0.2304545518200557,188,74,188W
3,0.35147747681696473,188,74,188W
4,0.4741978521447483,188,74,188W
5,0.598196091834979,188,74,188W
6,0.7232222721033513,188,74,188W
7,0.8491098123662533,188,74,188W
7,0.9757394731533499,188,74,188W
9,1.103021560516629,188,74,188W
10,1.2308860886853759,188,74,188W
11,1.3592768886156759,188,74,188W
12,1.4881478597239324,188,74,188W
12,1.6174604693460266,188,74,188W
13,1.7471820195311345,188,74,188W
15,1.8772844072007968,188,74,188W
16,2.0077432134360653,188,74,188W
17,2.1385370192620723,188,74,188W
17,2.2696468815020148,188,74,188W
18,2.4010559243879017,188,74,188W
20,2.5327490165835784,188,74,188W
21,2.664712512358063,188,74,188W
21,2.7969340417057236,188,74,188W
22,2.9294023383435346,188,74,188W
23,3.0621070973937683,188,74,188W
25,3.1950388566009504,188,74,188W
26,3.328188896402493,188,74,188W
27,3.461549155248219,188,74,188W
28,3.595112157361542,188,74,188W
29,3.72887095073411,188,74,188W
29,3.8628190536003677,188,74,188W
30,3.996950407987653,188,74,188W
32,4.1312593392079044,188,74,188W
33,4.2657405203686265,188,74,188W
34,4.400388941147631,188,74,188W
35,4.53519988020872,188,74,188W
36,4.670168880741621,188,74,188W
37,4.805291728695284,188,74,188W
37,4.94056443334299,188,74,188W
38,5.075983209874632,188,74,188W
39,5.211544463758058,188,74,188W
40,5.347244776649896,188,74,188W
42,5.4830808936682605,188,74,188W
42,5.619049711866315,188,74,188W
44,5.755148269768132,188,74,188W
45,5.891373737846897,188,74,188W
46,6.027723409841616,188,74,188W
47,6.16419469482177,188,74,188W
47,6.300785109920957,188,74,188W
48,6.4374922736703555,188,74,188W
49,6.5743138998712105,188,74,188W
50,6.711247791952899,188,74,188W
52,6.848291837769269,188,74,188W
52,6.9854440047914315,188,74,188W
54,7.12270233565993,188,74,188W
55,7.260064944063169,188,74,188W
56,7.397530010912776,188,74,188W
57,7.535095780789477,188,74,188W
58,7.6727605586360035,188,74,188W
59,7.810522706675893,188,74,188W
60,7.948380641539116,188,74,188W
61,8.086332831577542,188,74,188W
62,8.224377794354655,188,74,188W
63,8.362514094295756,188,74,188W
63,8.500740340485786,188,74,188W
64,8.639055184603562,188,74,188W
66,8.777457318981822,188,74,188W
67,8.915945474783713,188,74,188W
68,9.054518420287133,188,74,188W
68,9.193174959268934,188,74,188W
70,9.331913929481937,188,74,188W
70,9.470734201218066,188,74,188W
72,9.60963467595172,188,74,188W
73,9.74861428505769,188,74,188W
74,9.887671988598683,188,74,188W
75,10.02680677417775,188,74,188W
76,10.16601765585129,188,74,188W
77,10.30530367309869,188,74,188W
77,10.444663889845032,188,74,188W
78,10.584097393533327,188,74,188W
79,10.723603294243357,188,74,188W
81,10.863180723854043,188,74,188W
82,11.002828835246888,188,74,188W
83,11.142546801547743,188,74,188W
83,11.2823338154049,188,74,188W
84,11.422189088301153,188,74,188W
85,11.562111849897892,188,74,188W
86,11.702101347409416,188,74,188W
88,11.842156845005787,188,74,188W
89,11.982277623242448,188,74,188W
90,12.122462978515369,188,74,188W
91,12.26271222253998,188,74,188W
92,12.403024681852969,188,74,188W
92,12.543399697335387,188,74,188W
93,12.683836623756157,188,74,188W
95,12.824334829334772,188,74,188W
96,12.96489369532215,188,74,188W
96,13.105512615598931,188,74,188W
98,13.246190996290121,188,74,188W
99,13.386928255395146,188,74,188W
100,13.527723822433021,188,74,188W
101,13.668577138101245,188,74,188W
101,13.809487653948311,188,74,188W
102,13.950454832058774,188,74,188W
103,14.091478144750555,188,74,188W
105,14.232557074283644,188,74,188W
106,14.373691112579856,188,74,188W
107,14.514879760953123,188,74,188W
108,14.656122529849657,188,74,188W
109,14.797418938597602,188,74,188W
109,14.938768515165984,188,74,188W
111,15.080170795932194,188,74,188W
111,15.221625325457666,188,74,188W
112,15.363131656271754,188,74,188W
114,15.50468934866302,188,74,188W
115,15.64629797047762,188,74,188W
116,15.787957096925062,188,74,188W
117,15.929666310390129,188,74,188W
118,16.07142520025145,188,74,188W
118,16.213233362706063,188,74,188W
119,16.355090400599895,188,74,188W
121,16.49699592326371,188,74,188W
122,16.638949546354432,188,74,188W
123,16.780950891701863,188,74,188W
124,16.922999587159993,188,74,188W
124,17.065095266463217,188,74,188W
126,17.207237569087287,188,74,188W
126,17.349426140114158,188,74,188W
127,17.4916606301016,188,74,188W
128,17.633940694956483,188,74,188W
130,17.776265995812057,188,74,188W
131,17.91863619890895,188,74,188W
132,18.061050975479812,188,74,188W
133,18.203510001637422,188,74,188W
