Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.2765039494414755,190,76,190Os
2,0.40634440438597313,190,76,190Os
3,0.5089743385684765,190,76,190Os
4,0.5971552135487289,190,76,190Os
5,0.675944960464137,190,76,190Os
6,0.7479780121445508,190,76,190Os
7,0.8148380019206397,190,76,190Os
7,0.8775667764080023,190,76,190Os
9,0.9368939497771964,190,76,190Os
10,0.9933545358477257,190,76,190Os
11,1.0473549708035357,190,76,190Os
12,1.0992127976928323,190,76,190Os
12,1.149181833840024,190,76,190Os
13,1.1974688362691182,190,76,190Os
15,1.24424493702846,190,76,190Os
16,1.2896537275099733,190,76,190Os
17,1.3338171208290002,190,76,190Os
17,1.3768396970966792,190,76,190Os
18,1.418811986241379,190,76,190Os
20,1.4598129901163808,190,76,190Os
21,1.4999121491962568,190,76,190Os
21,1.5391708966599413,190,76,190Os
22,1.5776439011502172,190,76,190Os
23,1.6153800713304902,190,76,190Os
25,1.6524233758678049,190,76,190Os
26,1.6888135187441216,190,76,190Os
27,1.7245864999754248,190,76,190Os
28,1.759775084686554,190,76,190Os
29,1.7944091982422816,190,76,190Os
29,1.8285162612265153,190,76,190Os
30,1.8621214751170432,190,76,190Os
32,1.8952480672617253,190,76,190Os
33,1.9279175020390298,190,76,190Os
34,1.9601496637493436,190,76,190Os
35,1.9919630157380517,190,76,190Os
36,2.0233747394271155,190,76,190Os
37,2.0544008562772214,190,76,190Os
37,2.085056335178892,190,76,190Os
38,2.1153551873494494,190,76,190Os
39,2.14531055047118,190,76,190Os
40,2.174934763527868,190,76,190Os
42,2.204239433568886,190,76,190Os
42,2.2332354954423166,190,76,190Os
44,2.2619332653832007,190,76,190Os
45,2.2903424892138022,190,76,190Os
46,2.3184723858048746,190,76,190Os
47,2.3463316863563697,190,76,190Os
47,2.3739286699797826,190,76,190Os
48,2.4012711959998736,190,76,190Os
49,2.4283667333387617,190,76,190Os
50,2.4552223872988144,190,76,190Os
52,2.4818449240209075,190,76,190Os
52,2.5082407928605006,190,76,190Os
54,2.5344161468946016,190,76,190Os
55,2.5603768617473506,190,76,190Os
56,2.5861285529000564,190,76,190Os
57,2.61167659163248,190,76,190Os
58,2.637026119725651,190,76,190Os
59,2.6621820630420396,190,76,190Os
60,2.6871491440863453,190,76,190Os
61,2.7119318936390564,190,76,190Os
62,2.736534661545292,190,76,190Os
63,2.7609616267328247,190,76,190Os
63,2.7852168065257095,190,76,190Os
64,2.8093040653132246,190,76,190Os
66,2.8332271226279744,190,76,190Os
67,2.8569895606817157,190,76,190Os
