Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.4287518355959332,194,80,194Hg
2,0.6699929298170029,194,80,194Hg
3,0.869908397085693,194,80,194Hg
4,1.0469705053993457,194,80,194Hg
5,1.2087731053124795,194,80,194Hg
6,1.3593702166330375,194,80,194Hg
7,1.5012453851272138,194,80,194Hg
7,1.6360579200075365,194,80,194Hg
9,1.7649851417391287,194,80,194Hg
10,1.8889002147049616,194,80,194Hg
11,2.008473150306294,194,80,194Hg
12,2.124232151407684,194,80,194Hg
12,2.236602877855708,194,80,194Hg
13,2.345934665346952,194,80,194Hg
15,2.452518653409699,194,80,194Hg
16,2.556600691056163,194,80,194Hg
17,2.658390756094832,194,80,194Hg
17,2.7580699789976437,194,80,194Hg
18,2.85579597933883,194,80,194Hg
20,2.9517069873837927,194,80,194Hg
21,3.0459250741005937,194,80,194Hg
21,3.138558715584571,194,80,194Hg
22,3.229704852962733,194,80,194Hg
23,3.3194505645787804,194,80,194Hg
25,3.407874436492871,194,80,194Hg
26,3.4950476955716616,194,80,194Hg
27,3.5810351538117433,194,80,194Hg
28,3.6658960011458506,194,80,194Hg
29,3.749684475566976,194,80,194Hg
29,3.832450433115767,194,80,194Hg
30,3.9142398355222348,194,80,194Hg
32,3.9950951696616848,194,80,194Hg
33,4.075055810184787,194,80,194Hg
34,4.1541583345032524,194,80,194Hg
35,4.232436797603447,194,80,194Hg
36,4.309922972809026,194,80,194Hg
37,4.386646563537277,194,80,194Hg
37,4.462635390230825,194,80,194Hg
38,4.537915555949544,194,80,194Hg
39,4.612511593541838,194,80,194Hg
40,4.686446596852299,194,80,194Hg
42,4.759742338043264,194,80,194Hg
42,4.832419372794522,194,80,194Hg
44,4.904497134885598,194,80,194Hg
45,4.975994021448406,194,80,194Hg
46,5.046927469996864,194,80,194Hg
47,5.117314028187651,194,80,194Hg
47,5.187169417137619,194,80,194Hg
48,5.256508589014501,194,80,194Hg
49,5.325345779524826,194,80,194Hg
50,5.3936945558439335,194,80,194Hg
52,5.461567860465231,194,80,194Hg
52,5.5289780513877504,194,80,194Hg
54,5.595936939010899,194,80,194Hg
55,5.662455820062043,194,80,194Hg
