Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.06558689718735486,195,78,195Pt
2,0.10852159360422543,195,78,195Pt
3,0.14569576280867355,195,78,195Pt
4,0.1795623330794074,195,78,195Pt
5,0.21116435822459861,195,78,195Pt
6,0.24107157129593373,195,78,195Pt
7,0.26963919127122804,195,78,195Pt
7,0.29710797998882893,195,78,195Pt
9,0.32365085422113665,195,78,195Pt
10,0.34939742005915697,195,78,195Pt
11,0.3744480623308145,195,78,195Pt
12,0.39888258496170026,195,78,195Pt
12,0.4227657893397033,195,78,195Pt
13,0.4461512282143736,195,78,195Pt
15,0.4690838196179912,195,78,195Pt
16,0.49160171991085455,195,78,195Pt
17,0.5137376990953453,195,78,195Pt
17,0.5355201721330753,195,78,195Pt
18,0.556973986613385,195,78,195Pt
20,0.5781210341100737,195,78,195Pt
21,0.59898073151949,195,78,195Pt
21,0.6195704048946665,195,78,195Pt
22,0.6399055990523365,195,78,195Pt
23,0.6600003299037348,195,78,195Pt
25,0.679867292045089,195,78,195Pt
26,0.6995180310090711,195,78,195Pt
27,0.718963087317976,195,78,195Pt
28,0.738212117825892,195,78,195Pt
29,0.7572739986118482,195,78,195Pt
29,0.7761569127669609,195,78,195Pt
30,0.7948684257218245,195,78,195Pt
32,0.8134155502265438,195,78,195Pt
33,0.831804802682998,195,78,195Pt
34,0.8500422522067994,195,78,195Pt
35,0.8681335635430293,195,78,195Pt
36,0.8860840347589293,195,78,195Pt
37,0.9038986304763333,195,78,195Pt
37,0.9215820112776523,195,78,195Pt
38,0.9391385598148804,195,78,195Pt
39,0.9565724040661575,195,78,195Pt
40,0.9738874381148929,195,78,195Pt
42,0.9910873407692199,195,78,195Pt
42,1.0081755922922233,195,78,195Pt
44,1.0251554894740111,195,78,195Pt
45,1.042030159243851,195,78,195Pt
46,1.0588025709930182,195,78,195Pt
47,1.0754755477557945,195,78,195Pt
47,1.0920517763764097,195,78,195Pt
48,1.1085338167730772,195,78,195Pt
49,1.1249241103960503,195,78,195Pt
50,1.1412249879645182,195,78,195Pt
52,1.1574386765567313,195,78,195Pt
52,1.1735673061187983,195,78,195Pt
54,1.189612915449878,195,78,195Pt
55,1.2055774577147655,195,78,195Pt
56,1.2214628055291146,195,78,195Pt
57,1.237270755657436,195,78,195Pt
58,1.253003033359629,195,78,195Pt
59,1.2686612964179351,195,78,195Pt
60,1.2842471388728214,195,78,195Pt
61,1.299762094493319,195,78,195Pt
62,1.3152076400047366,195,78,195Pt
63,1.3305851980943355,195,78,195Pt
63,1.3458961402135272,195,78,195Pt
64,1.3611417891933169,195,78,195Pt
66,1.3763234216881206,195,78,195Pt
67,1.3914422704616496,195,78,195Pt
68,1.4064995265272613,195,78,195Pt
68,1.4214963411540436,195,78,195Pt
70,1.4364338277488837,195,78,195Pt
70,1.4513130636238356,195,78,195Pt
72,1.4661350916573068,195,78,195Pt
73,1.480900921856807,195,78,195Pt
74,1.4956115328303836,195,78,195Pt
75,1.5102678731732113,195,78,195Pt
76,1.524870862775321,195,78,195Pt
77,1.5394213940559058,195,78,195Pt
77,1.5539203331292448,195,78,195Pt
78,1.5683685209068405,195,78,195Pt
79,1.5827667741400453,195,78,195Pt
81,1.5971158864070674,195,78,195Pt
82,1.6114166290479928,195,78,195Pt
83,1.6256697520511527,195,78,195Pt
83,1.639875984893919,195,78,195Pt
84,1.6540360373407947,195,78,195Pt
85,1.6681506002014366,195,78,195Pt
86,1.682220346051063,195,78,195Pt
88,1.6962459299155366,195,78,195Pt
89,1.7102279899232118,195,78,195Pt
90,1.7241671479255438,195,78,195Pt
91,1.7380640100882532,195,78,195Pt
92,1.7519191674547858,195,78,195Pt
92,1.7657331964836203,195,78,195Pt
93,1.7795066595609301,195,78,195Pt
95,1.793240105489965,195,78,195Pt
96,1.8069340699584449,195,78,195Pt
96,1.8205890759851893,195,78,195Pt
98,1.8342056343470776,195,78,195Pt
99,1.8477842439874261,195,78,195Pt
100,1.8613253924067583,195,78,195Pt
101,1.8748295560368966,195,78,195Pt
101,1.888297200599242,195,78,195Pt
102,1.9017287814480706,195,78,195Pt
103,1.9151247438995949,195,78,195Pt
105,1.9284855235475253,195,78,195Pt
106,1.941811546565804,195,78,195Pt
107,1.9551032299991464,195,78,195Pt
108,1.9683609820419992,195,78,195Pt
109,1.9815852023064622,195,78,195Pt
109,1.9947762820797261,195,78,195Pt
111,2.0079346045715267,195,78,195Pt
111,2.0210605451520602,195,78,195Pt
112,2.0341544715808646,195,78,195Pt
114,2.047216744227024,195,78,195Pt
115,2.0602477162811432,195,78,195Pt
116,2.073247733959457,195,78,195Pt
117,2.0862171367004176,195,78,195Pt
118,2.0991562573541143,195,78,195Pt
118,2.1120654223648465,195,78,195Pt
119,2.1249449519471355,195,78,195Pt
121,2.137795160255489,195,78,195Pt
122,2.150616355548158,195,78,195Pt
123,2.1634088403451845,195,78,195Pt
124,2.1761729115809496,195,78,195Pt
124,2.1889088607514733,195,78,195Pt
126,2.201616974056688,195,78,195Pt
126,2.2142975325378784,195,78,195Pt
127,2.2269508122105246,195,78,195Pt
128,2.2395770841926863,195,78,195Pt
130,2.252176614829167,195,78,195Pt
131,2.2647496658115696,195,78,195Pt
132,2.2772964942944722,195,78,195Pt
133,2.28981735300782,195,78,195Pt
134,2.302312490365727,195,78,195Pt
135,2.314782150571794,195,78,195Pt
135,2.3272265737211146,195,78,195Pt
136,2.33964599589907,195,78,195Pt
138,2.3520406492770385,195,78,195Pt
138,2.3644107622051567,195,78,195Pt
140,2.3767565593022257,195,78,195Pt
140,2.389078261542865,195,78,195Pt
141,2.4013760863420597,195,78,195Pt
143,2.4136502476371184,195,78,195Pt
144,2.4259009559672218,195,78,195Pt
144,2.4381284185506025,195,78,195Pt
146,2.4503328393594446,195,78,195Pt
146,2.4625144191925985,195,78,195Pt
148,2.474673355746186,195,78,195Pt
149,2.4868098436821593,195,78,195Pt
150,2.4989240746949126,195,78,195Pt
150,2.511016237575975,195,78,195Pt
152,2.5230865182768967,195,78,195Pt
153,2.5351350999703484,195,78,195Pt
154,2.5471621631095314,195,78,195Pt
154,2.5591678854859303,195,78,195Pt
156,2.5711524422854857,195,78,195Pt
156,2.583116006143209,195,78,195Pt
158,2.5950587471963416,195,78,195Pt
158,2.6069808331360433,195,78,195Pt
159,2.6188824292577295,195,78,195Pt
160,2.6307636985100284,195,78,195Pt
161,2.6426248015424685,195,78,195Pt
162,2.654465896751894,195,78,195Pt
164,2.666287140327668,195,78,195Pt
165,2.6780886862956965,195,78,195Pt
165,2.689870686561321,195,78,195Pt
167,2.701633290951104,195,78,195Pt
168,2.7133766472535283,195,78,195Pt
168,2.7251009012587,195,78,195Pt
170,2.736806196797011,195,78,195Pt
170,2.748492675776848,195,78,195Pt
171,2.7601604782213656,195,78,195Pt
173,2.771809742304328,195,78,195Pt
174,2.7834406043850786,195,78,195Pt
175,2.7950531990426506,195,78,195Pt
176,2.8066476591090477,195,78,195Pt
177,2.8182241157017054,195,78,195Pt
178,2.8297826982551815,195,78,195Pt
179,2.84132353455208,195,78,195Pt
179,2.852846750753241,195,78,195Pt
181,2.864352471427213,195,78,195Pt
181,2.8758408195790235,195,78,195Pt
182,2.887311916678287,195,78,195Pt
183,2.898765882686649,195,78,195Pt
184,2.9102028360845895,195,78,195Pt
186,2.9216228938976214,195,78,195Pt
187,2.9330261717218673,195,78,195Pt
188,2.944412783749078,195,78,195Pt
189,2.955782842791053,195,78,195Pt
189,2.9671364603035384,195,78,195Pt
191,2.9784737464095654,195,78,195Pt
192,2.9897948099222744,195,78,195Pt
193,3.001099758367241,195,78,195Pt
193,3.0123886980042878,195,78,195Pt
194,3.0236617338488396,195,78,195Pt
195,3.034918969692791,195,78,195Pt
197,3.0461605081249283,195,78,195Pt
197,3.0573864505509087,195,78,195Pt
199,3.068596897212814,195,78,195Pt
200,3.079791947208261,195,78,195Pt
201,3.090971698509142,195,78,195Pt
202,3.1021362479799306,195,78,195Pt
203,3.1132856913956246,195,78,195Pt
204,3.1244201234592968,195,78,195Pt
204,3.135539637819292,195,78,195Pt
205,3.1466443270860527,195,78,195Pt
207,3.1577342828486,195,78,195Pt
207,3.1688095956906794,195,78,195Pt
209,3.1798703552065755,195,78,195Pt
209,3.190916650016582,195,78,195Pt
210,3.201948567782205,195,78,195Pt
211,3.212966195220999,195,78,195Pt
212,3.223969618121153,195,78,195Pt
214,3.234958921355748,195,78,195Pt
215,3.2459341888967614,195,78,195Pt
215,3.256895503828769,195,78,195Pt
217,3.267842948362395,195,78,195Pt
217,3.278776603847469,195,78,195Pt
219,3.2896965507859717,195,78,195Pt
219,3.3006028688446687,195,78,195Pt
220,3.3114956368675568,195,78,195Pt
222,3.322374932888031,195,78,195Pt
223,3.333240834140826,195,78,195Pt
223,3.344093417073749,195,78,195Pt
225,3.3549327573591596,195,78,195Pt
225,3.3657589299052404,195,78,195Pt
226,3.376572008867079,195,78,195Pt
228,3.3873720676575076,195,78,195Pt
228,3.398159178957746,195,78,195Pt
230,3.4089334147278767,195,78,195Pt
231,3.4196948462170798,195,78,195Pt
232,3.430443543973718,195,78,195Pt
232,3.4411795778552072,195,78,195Pt
234,3.451903017037728,195,78,195Pt
235,3.46261393002574,195,78,195Pt
236,3.4733123846613463,195,78,195Pt
237,3.4839984481334625,195,78,195Pt
237,3.494672186986842,195,78,195Pt
238,3.50533366713093,195,78,195Pt
239,3.515982953848556,195,78,195Pt
240,3.526620111804479,195,78,195Pt
241,3.5372452050537766,195,78,195Pt
242,3.5478582970500945,195,78,195Pt
243,3.5584594506537295,195,78,195Pt
245,3.569048728139602,195,78,195Pt
246,3.5796261912050564,195,78,195Pt
247,3.5901919009775582,195,78,195Pt
248,3.600745918022232,195,78,195Pt
249,3.611288302349285,195,78,195Pt
249,3.621819113421299,195,78,195Pt
250,3.632338410160392,195,78,195Pt
252,3.642846250955271,195,78,195Pt
253,3.6533426936681423,195,78,195Pt
254,3.6638277956415415,195,78,195Pt
254,3.6743016137050124,195,78,195Pt
256,3.684764204181695,195,78,195Pt
257,3.6952156228947883,195,78,195Pt
257,3.7056559251739296,195,78,195Pt
259,3.7160851658614438,195,78,195Pt
259,3.7265033993184984,195,78,195Pt
260,3.7369106794311673,195,78,195Pt
261,3.747307059616375,195,78,195Pt
263,3.7576925928277687,195,78,195Pt
264,3.768067331561459,195,78,195Pt
265,3.7784313278617176,195,78,195Pt
266,3.788784633326543,195,78,195Pt
267,3.799127299113143,195,78,195Pt
268,3.809459375943351,195,78,195Pt
269,3.819780914108928,195,78,195Pt
270,3.8300919634768023,195,78,195Pt
271,3.840392573494213,195,78,195Pt
272,3.85068279319378,195,78,195Pt
273,3.860962671198486,195,78,195Pt
274,3.871232255726597,195,78,195Pt
275,3.8814915945964845,195,78,195Pt
276,3.8917407352313806,195,78,195Pt
277,3.9019797246640793,195,78,195Pt
277,3.9122086095415307,195,78,195Pt
278,3.922427436129394,195,78,195Pt
280,3.932636250316504,195,78,195Pt
280,3.942835097619261,195,78,195Pt
281,3.9530240231860025,195,78,195Pt
283,3.9632030718012414,195,78,195Pt
283,3.973372287889877,195,78,195Pt
285,3.9835317155213574,195,78,195Pt
286,3.993681398413738,195,78,195Pt
287,4.003821379937711,195,78,195Pt
288,4.01395170312057,195,78,195Pt
288,4.024072410650104,195,78,195Pt
290,4.034183544878444,195,78,195Pt
291,4.0442851478258515,195,78,195Pt
292,4.054377261184444,195,78,195Pt
293,4.064459926321881,195,78,195Pt
294,4.074533184284976,195,78,195Pt
295,4.084597075803289,195,78,195Pt
296,4.094651641292612,195,78,195Pt
296,4.104696920858464,195,78,195Pt
298,4.114732954299506,195,78,195Pt
298,4.124759781110896,195,78,195Pt
300,4.134777440487628,195,78,195Pt
301,4.1447859713277895,195,78,195Pt
301,4.154785412235799,195,78,195Pt
302,4.164775801525589,195,78,195Pt
304,4.174757177223744,195,78,195Pt
305,4.1847295770725745,195,78,195Pt
306,4.19469303853319,195,78,195Pt
307,4.204647598788501,195,78,195Pt
308,4.214593294746171,195,78,195Pt
309,4.224530163041555,195,78,195Pt
309,4.234458240040579,195,78,195Pt
311,4.2443775618425805,195,78,195Pt
312,4.254288164283112,195,78,195Pt
312,4.264190082936715,195,78,195Pt
313,4.274083353119647,195,78,195Pt
314,4.283968009892565,195,78,195Pt
316,4.293844088063187,195,78,195Pt
317,4.303711622188911,195,78,195Pt
317,4.313570646579397,195,78,195Pt
318,4.3234211952991215,195,78,195Pt
319,4.333263302169883,195,78,195Pt
320,4.343097000773289,195,78,195Pt
321,4.352922324453209,195,78,195Pt
323,4.362739306318179,195,78,195Pt
323,4.372547979243789,195,78,195Pt
325,4.382348375875054,195,78,195Pt
325,4.3921405286286985,195,78,195Pt
326,4.401924469695487,195,78,195Pt
328,4.4117002310424605,195,78,195Pt
329,4.421467844415173,195,78,195Pt
330,4.431227341339896,195,78,195Pt
331,4.440978753125799,195,78,195Pt
331,4.450722110867088,195,78,195Pt
332,4.460457445445122,195,78,195Pt
334,4.470184787530518,195,78,195Pt
334,4.479904167585191,195,78,195Pt
336,4.4896156158644285,195,78,195Pt
336,4.499319162418861,195,78,195Pt
337,4.5090148370964895,195,78,195Pt
338,4.518702669544612,195,78,195Pt
339,4.528382689211785,195,78,195Pt
340,4.538054925349729,195,78,195Pt
341,4.547719407015213,195,78,195Pt
342,4.557376163071925,195,78,195Pt
343,4.56702522219231,195,78,195Pt
344,4.576666612859396,195,78,195Pt
346,4.586300363368577,195,78,195Pt
346,4.595926501829402,195,78,195Pt
347,4.605545056167327,195,78,195Pt
348,4.615156054125428,195,78,195Pt
350,4.624759523266142,195,78,195Pt
350,4.634355490972913,195,78,195Pt
352,4.643943984451913,195,78,195Pt
352,4.653525030733635,195,78,195Pt
353,4.663098656674575,195,78,195Pt
355,4.672664888958797,195,78,195Pt
356,4.682223754099541,195,78,195Pt
357,4.691775278440796,195,78,195Pt
358,4.701319488158848,195,78,195Pt
359,4.710856409263811,195,78,195Pt
360,4.720386067601138,195,78,195Pt
360,4.72990848885313,195,78,195Pt
362,4.739423698540406,195,78,195Pt
362,4.748931722023356,195,78,195Pt
363,4.758432584503607,195,78,195Pt
364,4.767926311025433,195,78,195Pt
365,4.7774129264771705,195,78,195Pt
367,4.786892455592615,195,78,195Pt
368,4.7963649229524,195,78,195Pt
368,4.80583035298535,195,78,195Pt
370,4.815288769969836,195,78,195Pt
371,4.824740198035105,195,78,195Pt
371,4.834184661162587,195,78,195Pt
373,4.843622183187214,195,78,195Pt
374,4.853052787798675,195,78,195Pt
375,4.86247649854272,195,78,195Pt
375,4.871893338822393,195,78,195Pt
377,4.88130333189929,195,78,195Pt
378,4.8907065008947646,195,78,195Pt
378,4.900102868791161,195,78,195Pt
379,4.90949245843302,195,78,195Pt
381,4.918875292528243,195,78,195Pt
382,4.92825139364928,195,78,195Pt
383,4.937620784234288,195,78,195Pt
384,4.946983486588278,195,78,195Pt
384,4.956339522884244,195,78,195Pt
386,4.965688915164303,195,78,195Pt
387,4.975031685340779,195,78,195Pt
388,4.98436785519732,195,78,195Pt
389,4.993697446389977,195,78,195Pt
389,5.00302048044827,195,78,195Pt
390,5.012336978776268,195,78,195Pt
391,5.021646962653618,195,78,195Pt
392,5.030950453236596,195,78,195Pt
394,5.040247471559135,195,78,195Pt
394,5.049538038533833,195,78,195Pt
395,5.058822174952964,195,78,195Pt
397,5.0680999014894805,195,78,195Pt
397,5.077371238697964,195,78,195Pt
399,5.08663620701565,195,78,195Pt
400,5.095894826763344,195,78,195Pt
400,5.105147118146397,195,78,195Pt
401,5.114393101255652,195,78,195Pt
403,5.123632796068352,195,78,195Pt
404,5.132866222449086,195,78,195Pt
405,5.142093400150692,195,78,195Pt
406,5.151314348815163,195,78,195Pt
406,5.160529087974532,195,78,195Pt
408,5.169737637051775,195,78,195Pt
409,5.178940015361663,195,78,195Pt
409,5.188136242111635,195,78,195Pt
411,5.197326336402673,195,78,195Pt
411,5.206510317230117,195,78,195Pt
413,5.215688203484535,195,78,195Pt
414,5.224860013952529,195,78,195Pt
414,5.234025767317576,195,78,195Pt
416,5.243185482160827,195,78,195Pt
417,5.2523391769619225,195,78,195Pt
417,5.261486870099777,195,78,195Pt
418,5.2706285798533825,195,78,195Pt
419,5.279764324402577,195,78,195Pt
421,5.288894121828823,195,78,195Pt
422,5.298017990115966,195,78,195Pt
422,5.3071359471509965,195,78,195Pt
423,5.316248010724809,195,78,195Pt
425,5.325354198532922,195,78,195Pt
425,5.334454528176224,195,78,195Pt
427,5.343549017161709,195,78,195Pt
428,5.352637682903175,195,78,195Pt
429,5.3617205427219625,195,78,195Pt
430,5.370797613847632,195,78,195Pt
430,5.379868913418685,195,78,195Pt
431,5.388934458483249,195,78,195Pt
433,5.397994265999756,195,78,195Pt
434,5.407048352837624,195,78,195Pt
435,5.416096735777925,195,78,195Pt
435,5.42513943151406,195,78,195Pt
437,5.434176456652415,195,78,195Pt
438,5.443207827712994,195,78,195Pt
438,5.452233561130086,195,78,195Pt
440,5.4612536732528945,195,78,195Pt
441,5.470268180346176,195,78,195Pt
441,5.479277098590858,195,78,195Pt
442,5.4882804440846655,195,78,195Pt
443,5.497278232842735,195,78,195Pt
444,5.506270480798229,195,78,195Pt
446,5.515257203802916,195,78,195Pt
447,5.524238417627802,195,78,195Pt
448,5.53321413796369,195,78,195Pt
449,5.542184380421794,195,78,195Pt
449,5.55114916053429,195,78,195Pt
450,5.560108493754924,195,78,195Pt
451,5.569062395459541,195,78,195Pt
453,5.578010880946689,195,78,195Pt
453,5.586953965438146,195,78,195Pt
455,5.595891664079502,195,78,195Pt
455,5.6048239919406715,195,78,195Pt
457,5.613750964016477,195,78,195Pt
458,5.622672595227151,195,78,195Pt
458,5.631588900418892,195,78,195Pt
459,5.640499894364385,195,78,195Pt
460,5.6494055917633235,195,78,195Pt
462,5.658306007242928,195,78,195Pt
463,5.667201155358451,195,78,195Pt
463,5.6760910505937066,195,78,195Pt
465,5.6849757073615645,195,78,195Pt
465,5.693855140004434,195,78,195Pt
467,5.702729362794779,195,78,195Pt
468,5.711598389935603,195,78,195Pt
469,5.720462235560926,195,78,195Pt
470,5.729320913736277,195,78,195Pt
471,5.738174438459169,195,78,195Pt
472,5.7470228236595675,195,78,195Pt
473,5.75586608320035,195,78,195Pt
474,5.7647042308778,195,78,195Pt
474,5.7735372804220235,195,78,195Pt
475,5.782365245497458,195,78,195Pt
477,5.79118813970327,195,78,195Pt
477,5.8000059765738365,195,78,195Pt
479,5.808818769579182,195,78,195Pt
479,5.81762653212541,195,78,195Pt
481,5.826429277555151,195,78,195Pt
482,5.835227019147979,195,78,195Pt
483,5.84401977012086,195,78,195Pt
483,5.852807543628555,195,78,195Pt
484,5.8615903527640585,195,78,195Pt
486,5.870368210559003,195,78,195Pt
487,5.879141129984075,195,78,195Pt
487,5.887909123949421,195,78,195Pt
489,5.896672205305076,195,78,195Pt
490,5.90543038684133,195,78,195Pt
491,5.914183681289152,195,78,195Pt
491,5.922932101320576,195,78,195Pt
493,5.931675659549108,195,78,195Pt
494,5.940414368530083,195,78,195Pt
495,5.949148240761081,195,78,195Pt
496,5.957877288682296,195,78,195Pt
496,5.966601524676912,195,78,195Pt
498,5.975320961071491,195,78,195Pt
498,5.984035610136324,195,78,195Pt
