Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.04924288968436237,205,82,205Pb
2,0.10875677981635251,205,82,205Pb
3,0.17288186133582714,205,82,205Pb
4,0.2401978688057924,205,82,205Pb
5,0.309990747235233,205,82,205Pb
6,0.3818231352396151,205,82,205Pb
7,0.45539716259838264,205,82,205Pb
7,0.5304958116291131,205,82,205Pb
9,0.6069533727715308,205,82,205Pb
10,0.6846388515837839,205,82,205Pb
11,0.7634458954989146,205,82,205Pb
12,0.8432863082206813,205,82,205Pb
12,0.9240856768690329,205,82,205Pb
13,1.0057803118209776,205,82,205Pb
15,1.0883150384232967,205,82,205Pb
16,1.1716415618307299,205,82,205Pb
17,1.2557172293435077,205,82,205Pb
17,1.3405040757035056,205,82,205Pb
18,1.4259680744009988,205,82,205Pb
20,1.5120785419516791,205,82,205Pb
21,1.5988076577493033,205,82,205Pb
21,1.6861300725988988,205,82,205Pb
22,1.77402258624031,205,82,205Pb
23,1.8624638792151527,205,82,205Pb
25,1.9514342880242042,205,82,205Pb
26,2.04091561512495,205,82,205Pb
27,2.130890967231812,205,82,205Pb
28,2.2213446168061295,205,82,205Pb
29,2.3122618826971646,205,82,205Pb
29,2.4036290267143827,205,82,205Pb
30,2.49543316354232,205,82,205Pb
32,2.5876621819002827,205,82,205Pb
33,2.6803046752344293,205,82,205Pb
34,2.773349880534747,205,82,205Pb
35,2.8667876241127104,205,82,205Pb
36,2.9606082733708106,205,82,205Pb
37,3.0548026937532677,205,82,205Pb
37,3.1493622101959255,205,82,205Pb
38,3.2442785724987395,205,82,205Pb
39,3.339543924131093,205,82,205Pb
40,3.4351507740520932,205,82,205Pb
42,3.5310919711878155,205,82,205Pb
42,3.627360681257527,205,82,205Pb
44,3.723950365683003,205,82,205Pb
45,3.820854762350407,205,82,205Pb
46,3.918067868024468,205,82,205Pb
47,4.015583922240034,205,82,205Pb
47,4.11339739251809,205,82,205Pb
48,4.211502960771932,205,82,205Pb
49,4.309895510785295,205,82,205Pb
50,4.408570116658139,205,82,205Pb
52,4.507522032127755,205,82,205Pb
52,4.606746680683262,205,82,205Pb
54,4.706239646400751,205,82,205Pb
55,4.805996665434004,205,82,205Pb
56,4.906013618102972,205,82,205Pb
57,5.006286521527928,205,82,205Pb
58,5.106811522762822,205,82,205Pb
59,5.207584892385949,205,82,205Pb
60,5.308603018510178,205,82,205Pb
61,5.409862401178834,205,82,205Pb
62,5.511359647116339,205,82,205Pb
63,5.613091464805913,205,82,205Pb
63,5.715054659869023,205,82,205Pb
64,5.817246130723628,205,82,205Pb
66,5.919662864500429,205,82,205Pb
67,6.0223019331980145,205,82,205Pb
68,6.125160490059708,205,82,205Pb
68,6.228235766156056,205,82,205Pb
70,6.331525067158689,205,82,205Pb
70,6.435025770292078,205,82,205Pb
72,6.538735321451112,205,82,205Pb
73,6.642651232473229,205,82,205Pb
74,6.74677107855488,205,82,205Pb
75,6.851092495802772,205,82,205Pb
76,6.955613178911168,205,82,205Pb
77,7.060330878957206,205,82,205Pb
77,7.165243401306797,205,82,205Pb
78,7.270348603624099,205,82,205Pb
79,7.375644393978384,205,82,205Pb
81,7.481128729042153,205,82,205Pb
82,7.586799612375229,205,82,205Pb
83,7.6926550927895985,205,82,205Pb
83,7.798693262790305,205,82,205Pb
84,7.904912257088036,205,82,205Pb
85,8.011310251179216,205,82,205Pb
86,8.117885459989859,205,82,205Pb
88,8.22463613657964,205,82,205Pb
89,8.331560570902772,205,82,205Pb
90,8.438657088622598,205,82,205Pb
91,8.54592404997714,205,82,205Pb
92,8.653359848692649,205,82,205Pb
92,8.760962910942823,205,82,205Pb
93,8.868731694351197,205,82,205Pb
95,8.976664687034518,205,82,205Pb
96,9.084760406684923,205,82,205Pb
96,9.193017399689134,205,82,205Pb
98,9.30143424028266,205,82,205Pb
99,9.410009529737202,205,82,205Pb
100,9.518741895579963,205,82,205Pb
101,9.627629990842884,205,82,205Pb
101,9.736672493340683,205,82,205Pb
102,9.8458681049762,205,82,205Pb
103,9.955215551071763,205,82,205Pb
105,10.064713579725344,205,82,205Pb
106,10.174360961190413,205,82,205Pb
107,10.284156487278402,205,82,205Pb
108,10.394098970782665,205,82,205Pb
109,10.504187244923044,205,82,205Pb
109,10.614420162810115,205,82,205Pb
111,10.724796596928265,205,82,205Pb
111,10.835315438636622,205,82,205Pb
112,10.945975597687346,205,82,205Pb
