Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.1215247206637535,21,10,21Ne
2,1.5919198035048736,21,10,21Ne
3,1.9538948899282216,21,10,21Ne
4,2.2596101664983106,21,10,21Ne
5,2.5293140365273414,21,10,21Ne
6,2.773406516980609,21,10,21Ne
7,2.998072716141841,21,10,21Ne
7,3.2073463080873674,21,10,21Ne
9,3.4040312893220754,21,10,21Ne
10,3.590170622050788,21,10,21Ne
11,3.7673075056066154,21,10,21Ne
12,3.9366414990281693,21,10,21Ne
12,4.099127015071685,21,10,21Ne
13,4.255538234011653,21,10,21Ne
15,4.406513454353157,21,10,21Ne
16,4.552586323305231,21,10,21Ne
17,4.694208401007369,21,10,21Ne
17,4.831765828589974,21,10,21Ne
18,4.965591880741227,21,10,21Ne
20,5.095976580722704,21,10,21Ne
21,5.223174176879373,21,10,21Ne
21,5.34740903483461,21,10,21Ne
22,5.468880337410222,21,10,21Ne
23,5.587765874561512,21,10,21Ne
25,5.7042251298643105,21,10,21Ne
26,5.8184018168698515,21,10,21Ne
27,5.930425980646989,21,10,21Ne
28,6.040415752303669,21,10,21Ne
29,6.148478824067253,21,10,21Ne
29,6.254713697477725,21,10,21Ne
30,6.359210745950403,21,10,21Ne
32,6.462053124380378,21,10,21Ne
33,6.563317551874002,21,10,21Ne
34,6.663074988592261,21,10,21Ne
35,6.76139122370777,21,10,21Ne
36,6.858327388341717,21,10,21Ne
37,6.9539404048606706,21,10,21Ne
37,7.048283381927282,21,10,21Ne
38,7.141405963102761,21,10,21Ne
39,7.233354635507595,21,10,21Ne
40,7.324173003996486,21,10,21Ne
42,7.413902035443799,21,10,21Ne
42,7.502580277028888,21,10,21Ne
44,7.590244051826202,21,10,21Ne
45,7.67692763451973,21,10,21Ne
46,7.7626634096565015,21,10,21Ne
47,7.847482014514494,21,10,21Ne
47,7.931412468374927,21,10,21Ne
48,8.014482289747903,21,10,21Ne
49,8.09671760289593,21,10,21Ne
50,8.17814323482603,21,10,21Ne
52,8.258782803772759,21,10,21Ne
52,8.33865880006724,21,10,21Ne
54,8.417792660178202,21,10,21Ne
55,8.496204834616782,21,10,21Ne
56,8.57391485031559,21,10,21Ne
57,8.650941368021975,21,10,21Ne
58,8.727302235184117,21,10,21Ne
59,8.803014534755311,21,10,21Ne
60,8.878094630295012,21,10,21Ne
61,8.952558207704511,21,10,21Ne
62,9.026420313899214,21,10,21Ne
63,9.099695392687998,21,10,21Ne
63,9.172397318102318,21,10,21Ne
64,9.24453942539326,21,10,21Ne
66,9.316134539892918,21,10,21Ne
67,9.38719500391728,21,10,21Ne
68,9.457732701870743,21,10,21Ne
68,9.52775908369695,21,10,21Ne
70,9.597285186807314,21,10,21Ne
70,9.66632165660622,21,10,21Ne
72,9.734878765721259,21,10,21Ne
73,9.80296643203687,21,10,21Ne
74,9.870594235621269,21,10,21Ne
75,9.937771434628559,21,10,21Ne
76,10.004506980250795,21,10,21Ne
77,10.070809530788619,21,10,21Ne
77,10.136687464902975,21,10,21Ne
