Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.11216057107090215,222,86,222Rn
2,0.2359568071086417,222,86,222Rn
3,0.36456157656635024,222,86,222Rn
4,0.49639204124334824,222,86,222Rn
5,0.630674258428544,222,86,222Rn
6,0.7669431849335957,222,86,222Rn
7,0.9048867564171872,222,86,222Rn
7,1.044280356346259,222,86,222Rn
9,1.1849542298115356,222,86,222Rn
10,1.3267753803637317,222,86,222Rn
11,1.4696366820707503,222,86,222Rn
12,1.6134499265010585,222,86,222Rn
12,1.7581411687919495,222,86,222Rn
13,1.9036474921665827,222,86,222Rn
15,2.049914687106759,222,86,222Rn
16,2.1968955423200667,222,86,222Rn
17,2.344548557757346,222,86,222Rn
17,2.492836956575961,222,86,222Rn
18,2.6417279137472076,222,86,222Rn
20,2.7911919448330758,222,86,222Rn
21,2.941202415284807,222,86,222Rn
21,3.091735141861407,222,86,222Rn
22,3.2427680654530397,222,86,222Rn
23,3.3942809799550715,222,86,222Rn
25,3.5462553056453032,222,86,222Rn
26,3.6986738982646585,222,86,222Rn
27,3.8515208870145434,222,86,222Rn
28,4.00478153617863,222,86,222Rn
29,4.158442126200595,222,86,222Rn
29,4.312489850903633,222,86,222Rn
30,4.466912728194197,222,86,222Rn
32,4.6216995221017765,222,86,222Rn
33,4.776839674405405,222,86,222Rn
34,4.9323232444125304,222,86,222Rn
35,5.088140855706413,222,86,222Rn
36,5.244283648879217,222,86,222Rn
37,5.400743239430018,222,86,222Rn
37,5.55751168013869,222,86,222Rn
38,5.7145814273344095,222,86,222Rn
39,5.871945310565856,222,86,222Rn
40,6.029596505253475,222,86,222Rn
42,6.187528507964882,222,86,222Rn
42,6.345735114005228,222,86,222Rn
44,6.504210397056899,222,86,222Rn
45,6.662948690638702,222,86,222Rn
46,6.821944571185141,222,86,222Rn
47,6.981192842571953,222,86,222Rn
47,7.140688521936109,222,86,222Rn
48,7.30042682665731,222,86,222Rn
49,7.460403162383928,222,86,222Rn
50,7.620613112000496,222,86,222Rn
52,7.781052425445557,222,86,222Rn
52,7.94171701029926,222,86,222Rn
54,8.102602923069137,222,86,222Rn
55,8.263706361110104,222,86,222Rn
56,8.425023655122072,222,86,222Rn
57,8.586551262174057,222,86,222Rn
58,8.748285759209368,222,86,222Rn
59,8.910223836990962,222,86,222Rn
60,9.072362294450102,222,86,222Rn
61,9.234698033405243,222,86,222Rn
62,9.397228053621188,222,86,222Rn
63,9.559949448181444,222,86,222Rn
63,9.722859399149264,222,86,222Rn
64,9.885955173495153,222,86,222Rn
66,10.049234119270581,222,86,222Rn
67,10.212693662009569,222,86,222Rn
68,10.376331301341295,222,86,222Rn
68,10.540144607798535,222,86,222Rn
70,10.70413121980782,222,86,222Rn
70,10.86828884084855,222,86,222Rn
72,11.032615236769448,222,86,222Rn
73,11.197108233251358,222,86,222Rn
74,11.361765713406687,222,86,222Rn
75,11.52658561550632,222,86,222Rn
76,11.691565930825645,222,86,222Rn
77,11.856704701601876,222,86,222Rn
77,12.022000019095717,222,86,222Rn
78,12.187450021750585,222,86,222Rn
79,12.353052893443484,222,86,222Rn
81,12.518806861821693,222,86,222Rn
82,12.684710196720214,222,86,222Rn
83,12.850761208655019,222,86,222Rn
83,13.016958247387674,222,86,222Rn
84,13.183299700556995,222,86,222Rn
85,13.349783992374087,222,86,222Rn
86,13.516409582376962,222,86,222Rn
88,13.68317496424131,222,86,222Rn
89,13.850078664644528,222,86,222Rn
90,14.017119242179758,222,86,222Rn
91,14.184295286317433,222,86,222Rn
92,14.351605416411601,222,86,222Rn
92,14.51904828074869,222,86,222Rn
93,14.686622555636472,222,86,222Rn
95,14.854326944531174,222,86,222Rn
96,15.022160177200485,222,86,222Rn
96,15.190121008921095,222,86,222Rn
98,15.35820821970852,222,86,222Rn
99,15.52642061357791,222,86,222Rn
100,15.694757017834126,222,86,222Rn
101,15.863216282389784,222,86,222Rn
101,16.031797279109774,222,86,222Rn
102,16.200498901181014,222,86,222Rn
103,16.36932006250633,222,86,222Rn
105,16.53825969712111,222,86,222Rn
106,16.707316758631844,222,86,222Rn
107,16.87649021967557,222,86,222Rn
108,17.045779071398968,222,86,222Rn
109,17.215182322956533,222,86,222Rn
109,17.384699001026828,222,86,222Rn
111,17.55432814934605,222,86,222Rn
111,17.7240688282579,222,86,222Rn
112,17.893920114279563,222,86,222Rn
114,18.06388109968251,222,86,222Rn
115,18.23395089208787,222,86,222Rn
116,18.404128614075525,222,86,222Rn
117,18.57441340280669,222,86,222Rn
118,18.744804409658826,222,86,222Rn
118,18.915300799872913,222,86,222Rn
119,19.085901752212393,222,86,222Rn
121,19.256606458633208,222,86,222Rn
122,19.427414123964375,222,86,222Rn
123,19.598323965599285,222,86,222Rn
124,19.769335213196467,222,86,222Rn
124,19.940447108389975,222,86,222Rn
126,20.111658904508914,222,86,222Rn
126,20.2829698663056,222,86,222Rn
127,20.45437926969225,222,86,222Rn
128,20.625886401485726,222,86,222Rn
130,20.797490559159932,222,86,222Rn
131,20.96919105060587,222,86,222Rn
132,21.14098719389872,222,86,222Rn
133,21.312878317072077,222,86,222Rn
134,21.484863757898637,222,86,222Rn
135,21.65694286367729,222,86,222Rn
135,21.82911499102671,222,86,222Rn
136,22.00137950568462,222,86,222Rn
138,22.17373578231287,222,86,222Rn
138,22.346183204308083,222,86,222Rn
140,22.518721163617787,222,86,222Rn
140,22.691349060561436,222,86,222Rn
141,22.86406630365666,222,86,222Rn
143,23.036872309450224,222,86,222Rn
144,23.20976650235356,222,86,222Rn
144,23.382748314482896,222,86,222Rn
146,23.555817185503752,222,86,222Rn
146,23.72897256247946,222,86,222Rn
148,23.902213899723836,222,86,222Rn
149,24.07554065865771,222,86,222Rn
150,24.24895230766939,222,86,222Rn
150,24.42244832197854,222,86,222Rn
152,24.596028183503833,222,86,222Rn
153,24.769691380733768,222,86,222Rn
154,24.943437408601067,222,86,222Rn
154,25.117265768360166,222,86,222Rn
156,25.291175967467716,222,86,222Rn
156,25.46516751946622,222,86,222Rn
158,25.63923994387062,222,86,222Rn
158,25.813392766057447,222,86,222Rn
159,25.987625517157106,222,86,222Rn
160,26.161937733948402,222,86,222Rn
161,26.336328958755892,222,86,222Rn
162,26.51079873934972,222,86,222Rn
164,26.685346628847707,222,86,222Rn
165,26.859972185619892,222,86,222Rn
165,27.03467497319545,222,86,222Rn
167,27.209454560171576,222,86,222Rn
168,27.384310520124668,222,86,222Rn
168,27.559242431523572,222,86,222Rn
170,27.734249877644817,222,86,222Rn
170,27.90933244648982,222,86,222Rn
171,28.084489730703982,222,86,222Rn
173,28.259721327497676,222,86,222Rn
174,28.435026838568902,222,86,222Rn
175,28.61040587002786,222,86,222Rn
176,28.78585803232317,222,86,222Rn
177,28.96138294016956,222,86,222Rn
178,29.136980212477418,222,86,222Rn
179,29.312649472283773,222,86,222Rn
179,29.488390346684746,222,86,222Rn
181,29.6642024667696,222,86,222Rn
181,29.840085467556083,222,86,222Rn
182,30.016038987927278,222,86,222Rn
183,30.192062670569747,222,86,222Rn
184,30.368156161912978,222,86,222Rn
186,30.54431911207029,222,86,222Rn
187,30.720551174780606,222,86,222Rn
188,30.89685200735196,222,86,222Rn
189,31.073221270605675,222,86,222Rn
189,31.249658628822157,222,86,222Rn
191,31.426163749687465,222,86,222Rn
192,31.602736304241105,222,86,222Rn
193,31.779375966824922,222,86,222Rn
193,31.956082415033052,222,86,222Rn
194,32.13285532966278,222,86,222Rn
195,32.30969439466648,222,86,222Rn
197,32.4865992971045,222,86,222Rn
197,32.663569727098846,222,86,222Rn
199,32.84060537778822,222,86,222Rn
200,33.017705945283225,222,86,222Rn
201,33.19487112862321,222,86,222Rn
202,33.372100629733396,222,86,222Rn
203,33.5493941533832,222,86,222Rn
204,33.726751407145144,222,86,222Rn
204,33.904172101354526,222,86,222Rn
205,34.08165594907027,222,86,222Rn
207,34.259202666035804,222,86,222Rn
207,34.43681197064146,222,86,222Rn
209,34.61448358388699,222,86,222Rn
209,34.792217229345084,222,86,222Rn
210,34.970012633125585,222,86,222Rn
211,35.147869523840136,222,86,222Rn
212,35.32578763256778,222,86,222Rn
214,35.503766692820896,222,86,222Rn
215,35.681806440512005,222,86,222Rn
215,35.859906613921034,222,86,222Rn
217,36.038066953663396,222,86,222Rn
217,36.2162872026582,222,86,222Rn
219,36.39456710609758,222,86,222Rn
219,36.57290641141606,222,86,222Rn
220,36.751304868260995,222,86,222Rn
222,36.92976222846303,222,86,222Rn
223,37.10827824600733,222,86,222Rn
223,37.28685267700555,222,86,222Rn
225,37.46548527966763,222,86,222Rn
225,37.644175814274824,222,86,222Rn
226,37.82292404315274,222,86,222Rn
228,38.00172973064502,222,86,222Rn
228,38.180592643087294,222,86,222Rn
230,38.359512548781964,222,86,222Rn
231,38.538489217972824,222,86,222Rn
232,38.71752242282091,222,86,222Rn
232,38.896611937379845,222,86,222Rn
234,39.075757537572386,222,86,222Rn
235,39.25495900116685,222,86,222Rn
236,39.434216107754246,222,86,222Rn
237,39.61352863872554,222,86,222Rn
237,39.792896377249605,222,86,222Rn
238,39.972319108251156,222,86,222Rn
239,40.15179661838935,222,86,222Rn
240,40.331328696036664,222,86,222Rn
241,40.51091513125788,222,86,222Rn
242,40.69055571578989,222,86,222Rn
243,40.87025024302141,222,86,222Rn
245,41.04999850797313,222,86,222Rn
246,41.22980030727821,222,86,222Rn
247,41.40965543916319,222,86,222Rn
248,41.58956370342915,222,86,222Rn
249,41.7695249014328,222,86,222Rn
249,41.94953883606863,222,86,222Rn
250,42.12960531175055,222,86,222Rn
252,42.30972413439439,222,86,222Rn
253,42.489895111400266,222,86,222Rn
254,42.67011805163563,222,86,222Rn
254,42.850392765418086,222,86,222Rn
256,43.03071906449914,222,86,222Rn
257,43.2110967620472,222,86,222Rn
257,43.39152567263206,222,86,222Rn
259,43.5720056122087,222,86,222Rn
259,43.75253639810147,222,86,222Rn
260,43.93311784898917,222,86,222Rn
261,44.1137497848892,222,86,222Rn
263,44.29443202714324,222,86,222Rn
264,44.47516439840201,222,86,222Rn
265,44.65594672261107,222,86,222Rn
266,44.83677882499644,222,86,222Rn
267,45.01766053205036,222,86,222Rn
268,45.1985916715176,222,86,222Rn
269,45.3795720723817,222,86,222Rn
270,45.56060156485146,222,86,222Rn
271,45.74167998034775,222,86,222Rn
272,45.92280715149024,222,86,222Rn
273,46.103982912084696,222,86,222Rn
274,46.28520709711022,222,86,222Rn
275,46.46647954270653,222,86,222Rn
276,46.647800086161794,222,86,222Rn
277,46.8291685659005,222,86,222Rn
277,47.01058482147117,222,86,222Rn
278,47.192048693534886,222,86,222Rn
280,47.37356002385338,222,86,222Rn
280,47.55511865527732,222,86,222Rn
281,47.73672443173561,222,86,222Rn
283,47.918377198223595,222,86,222Rn
283,48.10007680079224,222,86,222Rn
285,48.281823086537344,222,86,222Rn
286,48.46361590358863,222,86,222Rn
287,48.64545510109927,222,86,222Rn
288,48.82734052923544,222,86,222Rn
288,49.00927203916596,222,86,222Rn
290,49.191249483052225,222,86,222Rn
291,49.37327271403819,222,86,222Rn
292,49.55534158624034,222,86,222Rn
293,49.73745595473805,222,86,222Rn
294,49.919615675564,222,86,222Rn
295,50.10182060569466,222,86,222Rn
296,50.28407060304092,222,86,222Rn
296,50.4663655264386,222,86,222Rn
298,50.648705235639866,222,86,222Rn
298,50.831089591303716,222,86,222Rn
300,51.013518454987455,222,86,222Rn
301,51.195991689137685,222,86,222Rn
301,51.378509157081716,222,86,222Rn
302,51.56107072301924,222,86,222Rn
304,51.74367625201365,222,86,222Rn
305,51.926325609983664,222,86,222Rn
306,52.10901866369548,222,86,222Rn
307,52.291755280754245,222,86,222Rn
308,52.47453532959637,222,86,222Rn
