Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.016248491827920833,223,88,223Ra
2,0.03338179713254747,223,88,223Ra
3,0.050865759330726096,223,88,223Ra
4,0.06858140383735212,223,88,223Ra
5,0.08647134414163209,223,88,223Ra
6,0.10450141939041477,223,88,223Ra
7,0.12264887134215142,223,88,223Ra
7,0.14089741584691748,223,88,223Ra
9,0.15923480774045626,223,88,223Ra
10,0.17765149519627918,223,88,223Ra
11,0.19613981407716358,223,88,223Ra
12,0.21469347549904105,223,88,223Ra
12,0.2333072240550293,223,88,223Ra
13,0.25197660096946456,223,88,223Ra
15,0.2706977747038985,223,88,223Ra
16,0.2894674165524586,223,88,223Ra
17,0.30828260719239814,223,88,223Ra
17,0.3271407651076926,223,88,223Ra
18,0.34603959082812896,223,88,223Ra
20,0.364977022836388,223,88,223Ra
21,0.38395120223741785,223,88,223Ra
21,0.40296044411263215,223,88,223Ra
22,0.42200321404649077,223,88,223Ra
23,0.4410781087063888,223,88,223Ra
25,0.46018383963561793,223,88,223Ra
26,0.47931921962011237,223,88,223Ra
27,0.49848315113667513,223,88,223Ra
28,0.5176746164993374,223,88,223Ra
29,0.5368926694023376,223,88,223Ra
29,0.556136427620303,223,88,223Ra
30,0.5754050666739062,223,88,223Ra
32,0.5946978143062074,223,88,223Ra
33,0.6140139456437788,223,88,223Ra
34,0.6333527789395024,223,88,223Ra
35,0.6527136718120277,223,88,223Ra
36,0.6720960179113902,223,88,223Ra
37,0.6914992439519794,223,88,223Ra
37,0.7109228070635321,223,88,223Ra
38,0.730366192418577,223,88,223Ra
39,0.7498289111011273,223,88,223Ra
40,0.7693104981866493,223,88,223Ra
42,0.7888105110077324,223,88,223Ra
42,0.8083285275834806,223,88,223Ra
44,0.8278641451937381,223,88,223Ra
45,0.8474169790817772,223,88,223Ra
46,0.8669866612712929,223,88,223Ra
47,0.8865728394853558,223,88,223Ra
47,0.9061751761565484,223,88,223Ra
48,0.9257933475188566,223,88,223Ra
49,0.9454270427730306,223,88,223Ra
50,0.9650759633181192,223,88,223Ra
52,0.9847398220427332,223,88,223Ra
52,1.0044183426703361,223,88,223Ra
54,1.024111259153508,223,88,223Ra
55,1.0438183151126597,223,88,223Ra
56,1.0635392633152136,223,88,223Ra
57,1.0832738651916383,223,88,223Ra
58,1.1030218903851388,223,88,223Ra
59,1.122783116332124,223,88,223Ra
60,1.1425573278708534,223,88,223Ra
61,1.162344316875938,223,88,223Ra
62,1.182143881916588,223,88,223Ra
63,1.2019558279367093,223,88,223Ra
63,1.2217799659551218,223,88,223Ra
64,1.2416161127843468,223,88,223Ra
66,1.2614640907665364,223,88,223Ra
67,1.2813237275252596,223,88,223Ra
68,1.3011948557319772,223,88,223Ra
68,1.3210773128861173,223,88,223Ra
70,1.3409709411077932,223,88,223Ra
70,1.360875586942242,223,88,223Ra
72,1.380791101175199,223,88,223Ra
73,1.4007173386584104,223,88,223Ra
74,1.4206541581446404,223,88,223Ra
75,1.440601422131499,223,88,223Ra
76,1.4605589967135282,223,88,223Ra
77,1.4805267514420013,223,88,223Ra
77,1.5005045591919335,223,88,223Ra
78,1.5204922960358531,223,88,223Ra
79,1.5404898411239039,223,88,223Ra
81,1.5604970765698813,223,88,223Ra
82,1.580513887342855,223,88,223Ra
83,1.6005401611640167,223,88,223Ra
83,1.6205757884084593,223,88,223Ra
84,1.6406206620115933,223,88,223Ra
85,1.6606746773799113,223,88,223Ra
86,1.6807377323058867,223,88,223Ra
88,1.7008097268867242,223,88,223Ra
89,1.7208905634467873,223,88,223Ra
90,1.74098014646347,223,88,223Ra
91,1.7610783824963387,223,88,223Ra
92,1.7811851801193497,223,88,223Ra
92,1.801300449855998,223,88,223Ra
93,1.8214241041172219,223,88,223Ra
95,1.8415560571419256,223,88,223Ra
96,1.8616962249399833,223,88,223Ra
96,1.8818445252375946,223,88,223Ra
98,1.9020008774248853,223,88,223Ra
99,1.9221652025055969,223,88,223Ra
100,1.9423374230488224,223,88,223Ra
101,1.9625174631426359,223,88,223Ra
101,1.982705248349542,223,88,223Ra
102,2.002900705663667,223,88,223Ra
103,2.023103763469584,223,88,223Ra
105,2.043314351502711,223,88,223Ra
106,2.0635324008112064,223,88,223Ra
107,2.083757843719291,223,88,223Ra
108,2.103990613791921,223,88,223Ra
109,2.1242306458007563,223,88,223Ra
109,2.144477875691374,223,88,223Ra
111,2.1647322405516634,223,88,223Ra
111,2.1849936785813315,223,88,223Ra
112,2.2052621290625156,223,88,223Ra
114,2.2255375323314,223,88,223Ra
115,2.2458198297508307,223,88,223Ra
116,2.266108963683883,223,88,223Ra
117,2.286404877468309,223,88,223Ra
118,2.3067075153918735,223,88,223Ra
118,2.327016822668501,223,88,223Ra
119,2.3473327454152297,223,88,223Ra
121,2.3676552306299214,223,88,223Ra
122,2.387984226169688,223,88,223Ra
123,2.4083196807300498,223,88,223Ra
124,2.428661543824728,223,88,223Ra
124,2.4490097657661205,223,88,223Ra
126,2.469364297646361,223,88,223Ra
126,2.489725091318998,223,88,223Ra
127,2.510092099381234,223,88,223Ra
128,2.5304652751567267,223,88,223Ra
130,2.550844572678897,223,88,223Ra
131,2.5712299466747672,223,88,223Ra
132,2.5916213525492724,223,88,223Ra
133,2.612018746370058,223,88,223Ra
134,2.6324220848527213,223,88,223Ra
135,2.6528313253464773,223,88,223Ra
135,2.673246425820269,223,88,223Ra
136,2.693667344849276,223,88,223Ra
138,2.7140940416017916,223,88,223Ra
138,2.7345264758265033,223,88,223Ra
140,2.7549646078401397,223,88,223Ra
140,2.7754083985154137,223,88,223Ra
141,2.795857809269394,223,88,223Ra
143,2.8163128020521135,223,88,223Ra
144,2.836773339335548,223,88,223Ra
144,2.85723938410287,223,88,223Ra
146,2.877710899838026,223,88,223Ra
146,2.8981878505155527,223,88,223Ra
148,2.918670200590723,223,88,223Ra
149,2.9391579149898877,223,88,223Ra
150,2.9596509591011495,223,88,223Ra
150,2.9801492987652196,223,88,223Ra
152,3.0006529002665565,223,88,223Ra
153,3.0211617303247027,223,88,223Ra
154,3.0416757560858847,223,88,223Ra
154,3.0621949451147854,223,88,223Ra
156,3.082719265386565,223,88,223Ra
156,3.1032486852790515,223,88,223Ra
158,3.123783173565163,223,88,223Ra
158,3.144322699405491,223,88,223Ra
159,3.164867232341077,223,88,223Ra
160,3.1854167422863795,223,88,223Ra
161,3.205971199522394,223,88,223Ra
162,3.226530574689963,223,88,223Ra
164,3.2470948387832284,223,88,223Ra
165,3.267663963143254,223,88,223Ra
165,3.2882379194518037,223,88,223Ra
167,3.3088166797252563,223,88,223Ra
168,3.329400216308677,223,88,223Ra
168,3.3499885018700115,223,88,223Ra
170,3.3705815093944484,223,88,223Ra
170,3.3911792121788618,223,88,223Ra
171,3.4117815838264542,223,88,223Ra
173,3.4323885982414395,223,88,223Ra
174,3.4530002296239197,223,88,223Ra
175,3.473616452464828,223,88,223Ra
176,3.494237241541034,223,88,223Ra
177,3.514862571910496,223,88,223Ra
178,3.535492418907584,223,88,223Ra
179,3.5561267581384843,223,88,223Ra
179,3.57676556547667,223,88,223Ra
181,3.597408817058547,223,88,223Ra
181,3.6180564892791116,223,88,223Ra
182,3.638708558787768,223,88,223Ra
183,3.659365002484206,223,88,223Ra
184,3.680025797514363,223,88,223Ra
186,3.700690921266494,223,88,223Ra
187,3.721360351367305,223,88,223Ra
188,3.742034065678176,223,88,223Ra
189,3.7627120422914717,223,88,223Ra
189,3.7833942595269185,223,88,223Ra
191,3.8040806959280666,223,88,223Ra
192,3.8247713302587965,223,88,223Ra
193,3.84546614149995,223,88,223Ra
193,3.866165108845977,223,88,223Ra
194,3.8868682117016933,223,88,223Ra
195,3.9075754296790803,223,88,223Ra
197,3.928286742594142,223,88,223Ra
197,3.94900213046385,223,88,223Ra
199,3.969721573503146,223,88,223Ra
200,3.990445052121964,223,88,223Ra
201,4.011172546922384,223,88,223Ra
202,4.031904038695769,223,88,223Ra
203,4.052639508420004,223,88,223Ra
204,4.073378937256777,223,88,223Ra
204,4.094122306548897,223,88,223Ra
205,4.114869597817696,223,88,223Ra
207,4.135620792760449,223,88,223Ra
207,4.156375873247849,223,88,223Ra
209,4.177134821321565,223,88,223Ra
209,4.1978976191917985,223,88,223Ra
210,4.218664249234912,223,88,223Ra
211,4.2394346939910905,223,88,223Ra
212,4.26020893616207,223,88,223Ra
214,4.280986958608875,223,88,223Ra
215,4.3017687443496095,223,88,223Ra
215,4.322554276557323,223,88,223Ra
217,4.3433435385578525,223,88,223Ra
217,4.364136513827746,223,88,223Ra
219,4.3849331859922485,223,88,223Ra
219,4.405733538823216,223,88,223Ra
220,4.4265375562372355,223,88,223Ra
222,4.447345222293618,223,88,223Ra
223,4.468156521192499,223,88,223Ra
223,4.488971437273019,223,88,223Ra
225,4.509789955011424,223,88,223Ra
225,4.530612059019298,223,88,223Ra
226,4.551437734041778,223,88,223Ra
228,4.572266964955826,223,88,223Ra
228,4.593099736768474,223,88,223Ra
230,4.613936034615202,223,88,223Ra
231,4.634775843758235,223,88,223Ra
232,4.6556191495849495,223,88,223Ra
232,4.676465937606248,223,88,223Ra
234,4.697316193455026,223,88,223Ra
235,4.718169902884578,223,88,223Ra
236,4.739027051767144,223,88,223Ra
237,4.759887626092342,223,88,223Ra
237,4.780751611965763,223,88,223Ra
238,4.801618995607515,223,88,223Ra
239,4.822489763350775,223,88,223Ra
240,4.8433639016404175,223,88,223Ra
241,4.864241397031645,223,88,223Ra
242,4.885122236188626,223,88,223Ra
243,4.906006405883164,223,88,223Ra
245,4.926893892993421,223,88,223Ra
246,4.947784684502581,223,88,223Ra
247,4.968678767497629,223,88,223Ra
248,4.989576129168095,223,88,223Ra
249,5.010476756804822,223,88,223Ra
249,5.031380637798756,223,88,223Ra
250,5.052287759639793,223,88,223Ra
252,5.0731981099155625,223,88,223Ra
253,5.0941116763103125,223,88,223Ra
254,5.115028446603771,223,88,223Ra
254,5.135948408670042,223,88,223Ra
256,5.156871550476484,223,88,223Ra
257,5.177797860082655,223,88,223Ra
257,5.198727325639234,223,88,223Ra
259,5.219659935386993,223,88,223Ra
259,5.240595677655746,223,88,223Ra
260,5.261534540863362,223,88,223Ra
261,5.2824765135147285,223,88,223Ra
263,5.3034215842008114,223,88,223Ra
264,5.324369741597636,223,88,223Ra
265,5.34532097446537,223,88,223Ra
266,5.366275271647392,223,88,223Ra
267,5.3872326220693205,223,88,223Ra
268,5.408193014738143,223,88,223Ra
269,5.429156438741287,223,88,223Ra
270,5.450122883245762,223,88,223Ra
271,5.471092337497273,223,88,223Ra
272,5.492064790819345,223,88,223Ra
273,5.513040232612509,223,88,223Ra
274,5.534018652353436,223,88,223Ra
275,5.555000039594145,223,88,223Ra
276,5.575984383961143,223,88,223Ra
277,5.5969716751546885,223,88,223Ra
277,5.617961902947951,223,88,223Ra
278,5.6389550571862594,223,88,223Ra
280,5.659951127786343,223,88,223Ra
280,5.680950104735537,223,88,223Ra
281,5.701951978091087,223,88,223Ra
283,5.722956737979385,223,88,223Ra
283,5.743964374595264,223,88,223Ra
285,5.764974878201262,223,88,223Ra
286,5.785988239126933,223,88,223Ra
287,5.807004447768156,223,88,223Ra
288,5.828023494586445,223,88,223Ra
288,5.849045370108271,223,88,223Ra
290,5.8700700649244055,223,88,223Ra
291,5.89109756968925,223,88,223Ra
292,5.912127875120202,223,88,223Ra
293,5.933160971997016,223,88,223Ra
294,5.954196851161158,223,88,223Ra
295,5.975235503515202,223,88,223Ra
296,5.996276920022204,223,88,223Ra
296,6.017321091705103,223,88,223Ra
298,6.038368009646128,223,88,223Ra
298,6.059417664986185,223,88,223Ra
300,6.080470048924318,223,88,223Ra
301,6.101525152717094,223,88,223Ra
301,6.122582967678052,223,88,223Ra
302,6.143643485177175,223,88,223Ra
304,6.16470669664028,223,88,223Ra
305,6.185772593548502,223,88,223Ra
306,6.20684116743778,223,88,223Ra
307,6.227912409898294,223,88,223Ra
308,6.248986312573952,223,88,223Ra
309,6.270062867161875,223,88,223Ra
309,6.2911420654118935,223,88,223Ra
