Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.4139107473654956,22,11,22Na
2,0.7018327238566425,22,11,22Na
3,0.9558313199826343,22,11,22Na
4,1.1900371648022972,22,11,22Na
5,1.4105461505719166,22,11,22Na
6,1.6207206580662572,22,11,22Na
7,1.822672892879458,22,11,22Na
7,2.0178432915304794,22,11,22Na
9,2.2072717803894006,22,11,22Na
10,2.391741343471855,22,11,22Na
11,2.571860859569397,22,11,22Na
12,2.748116112715834,22,11,22Na
12,2.920902846910022,22,11,22Na
13,3.0905490839542624,22,11,22Na
15,3.257330710978226,22,11,22Na
16,3.42148268104803,22,11,22Na
17,3.5832072586046104,22,11,22Na
17,3.7426802173722264,22,11,22Na
18,3.900055584637212,22,11,22Na
20,4.055469331331814,22,11,22Na
21,4.209042283116058,22,11,22Na
21,4.360882446132747,22,11,22Na
22,4.511086886348823,22,11,22Na
23,4.659743263826308,22,11,22Na
25,4.80693109699889,22,11,22Na
26,4.952722813349141,22,11,22Na
27,5.097184629388281,22,11,22Na
28,5.240377292955229,22,11,22Na
29,5.382356713515962,22,11,22Na
29,5.5231745006346635,22,11,22Na
30,5.662878426604842,22,11,22Na
32,5.801512826019569,22,11,22Na
33,5.939118942575239,22,11,22Na
34,6.075735231462142,22,11,22Na
35,6.211397624166207,22,11,22Na
36,6.3461397612931165,22,11,22Na
37,6.479993198055767,22,11,22Na
37,6.6129875862856675,22,11,22Na
38,6.745150836196379,22,11,22Na
39,6.876509260612046,22,11,22Na
40,7.007087703951905,22,11,22Na
42,7.136909657913798,22,11,22Na
42,7.265997365511847,22,11,22Na
44,7.394371914883749,22,11,22Na
45,7.522053324082963,22,11,22Na
46,7.649060617902914,22,11,22Na
47,7.775411897638633,22,11,22Na
47,7.901124404571295,22,11,22Na
48,8.026214577859283,22,11,22Na
49,8.15069810743253,22,11,22Na
50,8.2745899824125,22,11,22Na
52,8.3979045355166,22,11,22Na
52,8.5206554838506,22,11,22Na
