Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.015341763333661726,234,90,234Th
2,0.06464559261333216,234,90,234Th
3,0.14994905296980843,234,90,234Th
4,0.272397152363806,234,90,234Th
5,0.4328120458838517,234,90,234Th
6,0.6318403680346419,234,90,234Th
7,0.8700171813036748,234,90,234Th
7,1.147799960002345,234,90,234Th
9,1.4655889285691275,234,90,234Th
10,1.8237402434021426,234,90,234Th
11,2.222575043391733,234,90,234Th
12,2.662385942234216,234,90,234Th
12,3.1434418491106135,234,90,234Th
13,3.6659916494574842,234,90,234Th
15,4.230267080956121,234,90,234Th
16,4.836485024710693,234,90,234Th
17,5.484849360978065,234,90,234Th
17,6.175552493826444,234,90,234Th
18,6.9087766194880835,234,90,234Th
20,7.684694793122904,234,90,234Th
21,8.503471834799239,234,90,234Th
21,9.365265105635535,234,90,234Th
22,10.270225177919516,234,90,234Th
23,11.218496417781498,234,90,234Th
25,12.210217495087306,234,90,234Th
26,13.24552183225491,234,90,234Th
27,14.324538001429614,234,90,234Th
28,15.447390077692068,234,90,234Th
29,16.61419795459438,234,90,234Th
29,17.825077627227916,234,90,234Th
30,19.080141447154848,234,90,234Th
32,20.379498352834084,234,90,234Th
33,21.72325407860249,234,90,234Th
34,23.111511344808076,234,90,234Th
35,24.54437003130791,234,90,234Th
36,26.021927336227957,234,90,234Th
37,27.544277921617525,234,90,234Th
37,29.111514047410505,234,90,234Th
38,30.723725694919718,234,90,234Th
39,32.38100068093331,234,90,234Th
40,34.083424763348766,234,90,234Th
42,35.8310817391662,234,90,234Th
42,37.62405353556424,234,90,234Th
44,39.46242029469959,234,90,234Th
45,41.346260452795526,234,90,234Th
46,43.275650814025965,234,90,234Th
47,45.25066661964297,234,90,234Th
47,47.271381612750645,234,90,234Th
48,49.33786809908568,234,90,234Th
49,51.45019700412746,234,90,234Th
50,53.60843792682991,234,90,234Th
52,55.81265919023782,234,90,234Th
52,58.06292788922435,234,90,234Th
54,60.35930993556761,234,90,234Th
55,62.70187010055833,234,90,234Th
56,65.09067205532016,234,90,234Th
57,67.52577840900194,234,90,234Th
58,70.00725074499096,234,90,234Th
59,72.53514965528267,234,90,234Th
60,75.10953477313006,234,90,234Th
61,77.7304648040868,234,90,234Th
62,80.39799755554775,234,90,234Th
63,83.11218996488398,234,90,234Th
63,85.87309812625958,234,90,234Th
64,88.68077731621204,234,90,234Th
66,91.53528201807201,234,90,234Th
67,94.43666594529137,234,90,234Th
68,97.38498206374496,234,90,234Th
68,100.3802826130644,234,90,234Th
70,103.42261912706128,234,90,234Th
70,106.51204245328869,234,90,234Th
72,109.64860277179245,234,90,234Th
73,112.83234961309316,234,90,234Th
74,116.0633318754432,234,90,234Th
75,119.34159784139577,234,90,234Th
76,122.66719519372374,234,90,234Th
77,126.04017103072078,234,90,234Th
77,129.4605718809179,234,90,234Th
78,132.92844371724263,234,90,234Th
79,136.44383197065164,234,90,234Th
81,140.006781543262,234,90,234Th
82,143.61733682100237,234,90,234Th
83,147.275541685814,234,90,234Th
83,150.98143952741364,234,90,234Th
84,154.7350732546504,234,90,234Th
85,158.53648530646242,234,90,234Th
86,162.38571766246523,234,90,234Th
88,166.2828118531768,234,90,234Th
89,170.22780896990284,234,90,234Th
90,174.22074967429455,234,90,234Th
91,178.26167420759472,234,90,234Th
92,182.3506223995847,234,90,234Th
92,186.48763367724266,234,90,234Th
93,190.67274707313288,234,90,234Th
95,194.90600123352772,234,90,234Th
96,199.18743442627922,234,90,234Th
96,203.51708454845334,234,90,234Th
98,207.8949891337267,234,90,234Th
99,212.32118535956505,234,90,234Th
100,216.7957100541885,234,90,234Th
101,221.31859970332954,234,90,234Th
101,225.88989045679705,234,90,234Th
102,230.50961813484957,234,90,234Th
103,235.1778182343855,234,90,234Th
105,239.89452593496256,234,90,234Th
106,244.65977610464208,234,90,234Th
107,249.47360330567736,234,90,234Th
108,254.33604180004338,234,90,234Th
109,259.2471255548133,234,90,234Th
109,264.2068882473959,234,90,234Th
111,269.2153632706287,234,90,234Th
111,274.2725837377337,234,90,234Th
112,279.37858248715213,234,90,234Th
114,284.53339208724447,234,90,234Th
115,289.73704484087193,234,90,234Th
116,294.9895727898649,234,90,234Th
117,300.2910077193718,234,90,234Th
118,305.64138116210376,234,90,234Th
118,311.04072440246995,234,90,234Th
119,316.48906848061597,234,90,234Th
121,321.98644419635554,234,90,234Th
122,327.5328821130117,234,90,234Th
123,333.1284125611686,234,90,234Th
124,338.77306564232583,234,90,234Th
124,344.46687123247324,234,90,234Th
126,350.20985898557717,234,90,234Th
126,356.00205833698493,234,90,234Th
127,361.843498506759,234,90,234Th
128,367.7342085029212,234,90,234Th
130,373.67421712463494,234,90,234Th
131,379.66355296530855,234,90,234Th
132,385.702244415631,234,90,234Th
133,391.7903196665413,234,90,234Th
134,397.92780671213393,234,90,234Th
135,404.1147333524916,234,90,234Th
135,410.35112719646673,234,90,234Th
136,416.63701566440164,234,90,234Th
138,422.97242599078083,234,90,234Th
138,429.35738522684096,234,90,234Th
140,435.7919202431125,234,90,234Th
140,442.2760577319171,234,90,234Th
141,448.8098242098108,234,90,234Th
143,455.39324601997293,234,90,234Th
144,462.0263493345497,234,90,234Th
144,468.7091601569516,234,90,234Th
146,475.441704324098,234,90,234Th
146,482.224007508624,234,90,234Th
148,489.0560952210361,234,90,234Th
149,495.93799281183135,234,90,234Th
150,502.86972547357243,234,90,234Th
150,509.8513182429172,234,90,234Th
152,516.8827960026208,234,90,234Th
153,523.9641834834833,234,90,234Th
154,531.0955052662761,234,90,234Th
154,538.2767857836155,234,90,234Th
156,545.5080493218206,234,90,234Th
156,552.7893200227094,234,90,234Th
158,560.1206218853927,234,90,234Th
158,567.5019787680056,234,90,234Th
159,574.9334143894295,234,90,234Th
160,582.4149523309671,234,90,234Th
161,589.9466160379939,234,90,234Th
162,597.5284288215815,234,90,234Th
164,605.1604138600876,234,90,234Th
165,612.8425942007158,234,90,234Th
165,620.5749927610553,234,90,234Th
167,628.3576323305876,234,90,234Th
168,636.1905355721643,234,90,234Th
168,644.0737250234675,234,90,234Th
170,652.0072230984393,234,90,234Th
170,659.9910520886831,234,90,234Th
171,668.0252341648504,234,90,234Th
173,676.1097913779976,234,90,234Th
174,684.2447456609153,234,90,234Th
175,692.4301188294487,234,90,234Th
176,700.6659325837875,234,90,234Th
177,708.9522085097235,234,90,234Th
178,717.2889680799132,234,90,234Th
179,725.6762326550966,234,90,234Th
179,734.1140234853056,234,90,234Th
181,742.6023617110548,234,90,234Th
181,751.141268364504,234,90,234Th
182,759.7307643706101,234,90,234Th
183,768.3708705482635,234,90,234Th
184,777.0616076113914,234,90,234Th
186,785.8029961700615,234,90,234Th
187,794.5950567315504,234,90,234Th
188,803.4378097014176,234,90,234Th
189,812.331275384539,234,90,234Th
189,821.2754739861404,234,90,234Th
191,830.2704256128129,234,90,234Th
192,839.3161502734976,234,90,234Th
193,848.4126678804839,234,90,234Th
193,857.5599982503603,234,90,234Th
194,866.7581611049818,234,90,234Th
195,876.0071760723945,234,90,234Th
197,885.3070626877665,234,90,234Th
197,894.6578403942981,234,90,234Th
199,904.0595285441161,234,90,234Th
200,913.512146399153,234,90,234Th
201,923.0157131320299,234,90,234Th
202,932.5702478269009,234,90,234Th
203,942.1757694803065,234,90,234Th
204,951.8322970020018,234,90,234Th
204,961.5398492157829,234,90,234Th
205,971.2984448602897,234,90,234Th
207,981.1081025898093,234,90,234Th
207,990.9688409750576,234,90,234Th
209,1000.880678503961,234,90,234Th
209,1010.8436335824118,234,90,234Th
210,1020.8577245350348,234,90,234Th
211,1030.922969605917,234,90,234Th
212,1041.0393869593522,234,90,234Th
214,1051.2069946805534,234,90,234Th
215,1061.4258107763742,234,90,234Th
215,1071.6958531760074,234,90,234Th
217,1082.0171397316853,234,90,234Th
217,1092.3896882193508,234,90,234Th
219,1102.8135163393556,234,90,234Th
219,1113.2886417170932,234,90,234Th
220,1123.81508190369,234,90,234Th
222,1134.392854376635,234,90,234Th
223,1145.0219765404158,234,90,234Th
223,1155.7024657271713,234,90,234Th
225,1166.4343391972966,234,90,234Th
225,1177.2176141400585,234,90,234Th
226,1188.052307674212,234,90,234Th
228,1198.9384368485971,234,90,234Th
228,1209.8760186427266,234,90,234Th
230,1220.8650699673703,234,90,234Th
231,1231.9056076651395,234,90,234Th
232,1242.9976485110453,234,90,234Th
232,1254.141209213067,234,90,234Th
