Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.024767291715129577,237,93,237Np
2,0.04669010797800244,237,93,237Np
3,0.06765379653585078,237,93,237Np
4,0.08801794754433533,237,93,237Np
5,0.10794759374984525,237,93,237Np
6,0.12753768565866608,237,93,237Np
7,0.14684983920809563,237,93,237Np
7,0.16592720439985614,237,93,237Np
9,0.18480164235794605,237,93,237Np
10,0.20349761556960952,237,93,237Np
11,0.22203447880441057,237,93,237Np
12,0.24042791529887292,237,93,237Np
12,0.25869088234767745,237,93,237Np
13,0.27683425899126035,237,93,237Np
15,0.29486730434985314,237,93,237Np
16,0.31279799095614735,237,93,237Np
17,0.33063325289211043,237,93,237Np
17,0.3483791742531889,237,93,237Np
18,0.3660411348180058,237,93,237Np
20,0.38362392438762405,237,93,237Np
21,0.40113183376598055,237,93,237Np
21,0.41856872804080747,237,93,237Np
22,0.4359381062576976,237,93,237Np
23,0.4532431504964677,237,93,237Np
25,0.470486766595613,237,93,237Np
26,0.48767161822378513,237,93,237Np
27,0.5048001555994972,237,93,237Np
28,0.5218746398669216,237,93,237Np
29,0.5388971639165974,237,93,237Np
29,0.5558696702743269,237,93,237Np
30,0.5727939665551106,237,93,237Np
32,0.5896717388814563,237,93,237Np
33,0.6065045635894502,237,93,237Np
34,0.6232939174863694,237,93,237Np
35,0.6400411868764015,237,93,237Np
36,0.6567476755333892,237,93,237Np
37,0.6734146117692943,237,93,237Np
37,0.6900431547226127,237,93,237Np
38,0.7066343999710882,237,93,237Np
39,0.7231893845567964,237,93,237Np
40,0.7397090914982757,237,93,237Np
42,0.7561944538532994,237,93,237Np
42,0.7726463583866723,237,93,237Np
44,0.7890656488897495,237,93,237Np
45,0.8054531291919006,237,93,237Np
46,0.821809565898728,237,93,237Np
47,0.8381356908872256,237,93,237Np
47,0.8544322035841686,237,93,237Np
48,0.8706997730506895,237,93,237Np
49,0.8869390398931413,237,93,237Np
50,0.903150618017918,237,93,237Np
52,0.9193350962457699,237,93,237Np
52,0.9354930397993623,237,93,237Np
54,0.9516249916762306,237,93,237Np
55,0.9677314739179075,237,93,237Np
56,0.9838129887848424,237,93,237Np
57,0.9998700198456376,237,93,237Np
58,1.0159030329882628,237,93,237Np
59,1.0319124773600727,237,93,237Np
60,1.047898786242771,237,93,237Np
61,1.0638623778678244,237,93,237Np
62,1.0798036561772906,237,93,237Np
63,1.095723011534545,237,93,237Np
63,1.1116208213889325,237,93,237Np
64,1.1274974508980138,237,93,237Np
66,1.1433532535107265,237,93,237Np
67,1.1591885715144559,237,93,237Np
68,1.1750037365487735,237,93,237Np
68,1.1907990700883166,237,93,237Np
70,1.206574883897098,237,93,237Np
70,1.2223314804563008,237,93,237Np
72,1.2380691533674864,237,93,237Np
73,1.2537881877329171,237,93,237Np
74,1.2694888605146157,237,93,237Np
75,1.2851714408736026,237,93,237Np
76,1.3008361904906676,237,93,237Np
77,1.3164833638699045,237,93,237Np
77,1.3321132086261473,237,93,237Np
78,1.3477259657573586,237,93,237Np
79,1.3633218699029355,237,93,237Np
81,1.3789011495888348,237,93,237Np
82,1.394464027460335,237,93,237Np
83,1.4100107205032086,237,93,237Np
83,1.4255414402540136,237,93,237Np
84,1.4410563930001594,237,93,237Np
85,1.4565557799703641,237,93,237Np
86,1.4720397975160595,237,93,237Np
88,1.4875086372842927,237,93,237Np
89,1.502962486382597,237,93,237Np
90,1.5184015275362956,237,93,237Np
91,1.5338259392386737,237,93,237Np
92,1.5492358958944075,237,93,237Np
92,1.5646315679566272,237,93,237Np
93,1.5800131220579636,237,93,237Np
95,1.5953807211358924,237,93,237Np
96,1.6107345245527045,237,93,237Np
96,1.6260746882103616,237,93,237Np
98,1.6414013646605203,237,93,237Np
99,1.6567147032099694,237,93,237Np
100,1.6720148500217205,237,93,237Np
101,1.687301948211969,237,93,237Np
101,1.7025761379431303,237,93,237Np
102,1.7178375565131618,237,93,237Np
103,1.7330863384413306,237,93,237Np
105,1.7483226155506197,237,93,237Np
106,1.763546517046927,237,93,237Np
107,1.778758169595219,237,93,237Np
108,1.7939576973927698,237,93,237Np
109,1.8091452222396314,237,93,237Np
109,1.8243208636064687,237,93,237Np
111,1.839484738699879,237,93,237Np
111,1.854636962525285,237,93,237Np
112,1.8697776479475727,237,93,237Np
114,1.8849069057495058,237,93,237Np
115,1.9000248446880548,237,93,237Np
116,1.9151315715487387,237,93,237Np
117,1.930227191198039,237,93,237Np
118,1.945311806633991,237,93,237Np
118,1.9603855190350188,237,93,237Np
119,1.9754484278071047,237,93,237Np
121,1.9905006306293398,237,93,237Np
122,2.005542223497942,237,93,237Np
123,2.020573300768811,237,93,237Np
124,2.035593955198656,237,93,237Np
124,2.0506042779847697,237,93,237Np
126,2.0656043588035184,237,93,237Np
126,2.0805942858475612,237,93,237Np
127,2.0955741458618937,237,93,237Np
128,2.1105440241787248,237,93,237Np
130,2.125504004751267,237,93,237Np
131,2.1404541701864406,237,93,237Np
132,2.1553946017765844,237,93,237Np
133,2.1703253795301705,237,93,237Np
134,2.185246582201577,237,93,237Np
135,2.200158287319954,237,93,237Np
135,2.215060571217224,237,93,237Np
136,2.229953509055225,237,93,237Np
138,2.2448371748520635,237,93,237Np
138,2.2597116415076712,237,93,237Np
140,2.2745769808286243,237,93,237Np
140,2.2894332635522234,237,93,237Np
141,2.3042805593698974,237,93,237Np
143,2.3191189369499123,237,93,237Np
144,2.333948463959439,237,93,237Np
144,2.3487692070860016,237,93,237Np
146,2.3635812320583245,237,93,237Np
146,2.3783846036665706,237,93,237Np
148,2.393179385782051,237,93,237Np
149,2.407965641376366,237,93,237Np
150,2.4227434325400368,237,93,237Np
150,2.4375128205006176,237,93,237Np
152,2.4522738656403327,237,93,237Np
153,2.467026627513216,237,93,237Np
154,2.4817711648618235,237,93,237Np
154,2.4965075356334747,237,93,237Np
156,2.51123579699609,237,93,237Np
156,2.5259560053535908,237,93,237Np
158,2.540668216360914,237,93,237Np
158,2.55537248493863,237,93,237Np
159,2.5700688652872032,237,93,237Np
160,2.584757410900858,237,93,237Np
161,2.5994381745811133,237,93,237Np
162,2.6141112084499833,237,93,237Np
164,2.628776563962821,237,93,237Np
165,2.643434291920868,237,93,237Np
165,2.658084442483474,237,93,237Np
167,2.6727270651800406,237,93,237Np
168,2.68736220892163,237,93,237Np
168,2.701989922012343,237,93,237Np
170,2.7166102521603936,237,93,237Np
170,2.731223246488899,237,93,237Np
171,2.7458289515464704,237,93,237Np
173,2.760427413317481,237,93,237Np
174,2.7750186772321515,237,93,237Np
175,2.7896027881763517,237,93,237Np
176,2.804179790501231,237,93,237Np
177,2.818749728032543,237,93,237Np
178,2.833312644079839,237,93,237Np
179,2.8478685814454,237,93,237Np
