Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.026020316316915152,242,95,242Am
2,0.044696510149199155,242,95,242Am
3,0.06133622096715565,242,95,242Am
4,0.0767776223465338,242,95,242Am
5,0.09138506389718422,242,95,242Am
6,0.105360557096295,242,95,242Am
7,0.11883150942886556,242,95,242Am
7,0.13188509065942336,242,95,242Am
9,0.1445844069192225,242,95,242Am
10,0.15697708614366132,242,95,242Am
11,0.16910024418821143,242,95,242Am
12,0.18098354963188754,242,95,242Am
12,0.1926512136460285,242,95,242Am
13,0.2041233358788635,242,95,242Am
15,0.2154168459762928,242,95,242Am
16,0.22654618112212976,242,95,242Am
17,0.23752378549738193,242,95,242Am
17,0.24836048618978218,242,95,242Am
18,0.25906578128138963,242,95,242Am
20,0.26964806417248405,242,95,242Am
21,0.2801148007355835,242,95,242Am
21,0.29047267099043905,242,95,242Am
22,0.30072768369370717,242,95,242Am
23,0.31088526997272037,242,95,242Am
25,0.32095036054821185,242,95,242Am
26,0.33092744996291845,242,95,242Am
27,0.340820650417595,242,95,242Am
28,0.35063373721813634,242,95,242Am
29,0.36037018739349325,242,95,242Am
29,0.37003321271035716,242,95,242Am
30,0.3796257880570108,242,95,242Am
32,0.38915067597410574,242,95,242Am
33,0.3986104479592955,242,95,242Am
34,0.4080075030547736,242,95,242Am
35,0.4173440841338384,242,95,242Am
36,0.42662229222883263,242,95,242Am
37,0.4358440991837844,242,95,242Am
37,0.44501135886754795,242,95,242Am
38,0.45412581714473266,242,95,242Am
39,0.46318912077031194,242,95,242Am
40,0.47220282534805563,242,95,242Am
42,0.48116840247172055,242,95,242Am
42,0.490087246150349,242,95,242Am
44,0.49896067860440074,242,95,242Am
45,0.5077899555072005,242,95,242Am
46,0.516576270735916,242,95,242Am
47,0.5253207606876106,242,95,242Am
47,0.5340245082085768,242,95,242Am
48,0.5426885461789296,242,95,242Am
49,0.5513138607891065,242,95,242Am
50,0.5599013945403839,242,95,242Am
52,0.5684520489976029,242,95,242Am
52,0.5769666873189302,242,95,242Am
54,0.5854461365845803,242,95,242Am
55,0.5938911899438897,242,95,242Am
56,0.60230260859796,242,95,242Am
57,0.6106811236331654,242,95,242Am
58,0.6190274377191614,242,95,242Am
59,0.6273422266835675,242,95,242Am
60,0.6356261409742177,242,95,242Am
61,0.6438798070187428,242,95,242Am
62,0.6521038284902587,242,95,242Am
63,0.660298787487048,242,95,242Am
63,0.6684652456333564,242,95,242Am
64,0.6766037451077231,242,95,242Am
66,0.6847148096046557,242,95,242Am
67,0.6927989452349155,242,95,242Am
68,0.7008566413691907,242,95,242Am
68,0.708888371429488,242,95,242Am
70,0.7168945936322054,242,95,242Am
70,0.7248757516864699,242,95,242Am
72,0.732832275451035,242,95,242Am
73,0.7407645815527332,242,95,242Am
74,0.7486730739692301,242,95,242Am
75,0.7565581445785923,242,95,242Am
76,0.7644201736779802,242,95,242Am
77,0.7722595304735793,242,95,242Am
77,0.7800765735437196,242,95,242Am
78,0.7878716512769722,242,95,242Am
79,0.7956451022868786,242,95,242Am
81,0.8033972558048317,242,95,242Am
82,0.8111284320525164,242,95,242Am
83,0.8188389425952075,242,95,242Am
83,0.8265290906771312,242,95,242Am
84,0.8341991715399981,242,95,242Am
85,0.8418494727257456,242,95,242Am
86,0.8494802743644397,242,95,242Am
88,0.857091849448235,242,95,242Am
89,0.8646844640922091,242,95,242Am
90,0.8722583777828478,242,95,242Am
91,0.8798138436148927,242,95,242Am
92,0.8873511085172183,242,95,242Am
92,0.8948704134683614,242,95,242Am
93,0.9023719937022838,242,95,242Am
95,0.9098560789049048,242,95,242Am
96,0.9173228934019177,242,95,242Am
96,0.9247726563383589,242,95,242Am
98,0.9322055818503736,242,95,242Am
99,0.9396218792295926,242,95,242Am
100,0.9470217530805132,242,95,242Am
101,0.9544054034712426,242,95,242Am
101,0.9617730260779532,242,95,242Am
102,0.9691248123233677,242,95,242Am
103,0.9764609495095729,242,95,242Am
105,0.9837816209454574,242,95,242Am
106,0.9910870060690232,242,95,242Am
107,0.9983772805648451,242,95,242Am
108,1.0056526164768942,242,95,242Am
109,1.012913182316956,242,95,242Am
109,1.0201591431688661,242,95,242Am
111,1.027390660788741,242,95,242Am
111,1.0346078937014034,242,95,242Am
112,1.0418109972931862,242,95,242Am
114,1.0490001239012658,242,95,242Am
115,1.0561754228996927,242,95,242Am
116,1.063337040782273,242,95,242Am
117,1.0704851212424362,242,95,242Am
118,1.0776198052502222,242,95,242Am
118,1.0847412311265183,242,95,242Am
119,1.0918495346146733,242,95,242Am
121,1.0989448489495848,242,95,242Am
122,1.1060273049243843,242,95,242Am
123,1.113097030954822,242,95,242Am
124,1.1201541531414394,242,95,242Am
124,1.1271987953296285,242,95,242Am
126,1.1342310791676673,242,95,242Am
126,1.1412511241628118,242,95,242Am
127,1.1482590477355288,242,95,242Am
128,1.1552549652719362,242,95,242Am
130,1.1622389901745385,242,95,242Am
131,1.1692112339113057,242,95,242Am
132,1.1761718060631856,242,95,242Am
133,1.1831208143700853,242,95,242Am
134,1.1900583647754068,242,95,242Am
135,1.1969845614691708,242,95,242Am
135,1.2038995069298024,242,95,242Am
136,1.2108033019646176,242,95,242Am
138,1.2176960457490618,242,95,242Am
138,1.224577835864752,242,95,242Am
140,1.2314487683363688,242,95,242Am
140,1.2383089376674246,242,95,242Am
141,1.2451584368749817,242,95,242Am
143,1.2519973575233203,242,95,242Am
144,1.2588257897566244,242,95,242Am
144,1.2656438223307092,242,95,242Am
146,1.2724515426438265,242,95,242Am
146,1.279249036766574,242,95,242Am
148,1.286036389470958,242,95,242Am
149,1.2928136842586169,242,95,242Am
150,1.2995810033882538,242,95,242Am
150,1.306338427902291,242,95,242Am
152,1.3130860376527926,242,95,242Am
153,1.3198239113266497,242,95,242Am
154,1.3265521264700881,242,95,242Am
154,1.3332707595124955,242,95,242Am
156,1.3399798857896053,242,95,242Am
156,1.3466795795660491,242,95,242Am
158,1.35336991405731,242,95,242Am
158,1.360050961451081,242,95,242Am
159,1.3667227929280676,242,95,242Am
160,1.3733854786822337,242,95,242Am
161,1.3800390879405189,242,95,242Am
162,1.386683688982049,242,95,242Am
164,1.3933193491568387,242,95,242Am
165,1.399946134904022,242,95,242Am
165,1.4065641117696148,242,95,242Am
167,1.4131733444238253,242,95,242Am
168,1.419773896677922,242,95,242Am
168,1.4263658315006924,242,95,242Am
170,1.432949211034476,242,95,242Am
170,1.4395240966108067,242,95,242Am
171,1.4460905487656737,242,95,242Am
173,1.452648627254395,242,95,242Am
174,1.4591983910661424,242,95,242Am
175,1.4657398984381067,242,95,242Am
176,1.4722732068693263,242,95,242Am
177,1.4787983731341754,242,95,242Am
178,1.4853154532955435,242,95,242Am
179,1.4918245027176948,242,95,242Am
179,1.4983255760788212,242,95,242Am
181,1.5048187273833151,242,95,242Am
181,1.5113040099737385,242,95,242Am
182,1.5177814765425295,242,95,242Am
183,1.5242511791434306,242,95,242Am
184,1.5307131692026574,242,95,242Am
186,1.537167497529816,242,95,242Am
187,1.5436142143285618,242,95,242Am
188,1.5500533692070388,242,95,242Am
189,1.5564850111880602,242,95,242Am
189,1.562909188719077,242,95,242Am
191,1.569325949681927,242,95,242Am
192,1.5757353414023545,242,95,242Am
193,1.582137410659337,242,95,242Am
193,1.588532203694198,242,95,242Am
194,1.5949197662195234,242,95,242Am
195,1.601300143427891,242,95,242Am
197,1.6076733800004,242,95,242Am
197,1.614039520115032,242,95,242Am
199,1.6203986074548253,242,95,242Am
200,1.6267506852158748,242,95,242Am
201,1.6330957961151724,242,95,242Am
202,1.6394339823982707,242,95,242Am
203,1.6457652858467973,242,95,242Am
204,1.6520897477858059,242,95,242Am
204,1.658407409090979,242,95,242Am
205,1.6647183101956822,242,95,242Am
207,1.6710224910978737,242,95,242Am
207,1.6773199913668677,242,95,242Am
209,1.6836108501499745,242,95,242Am
209,1.6898951061789889,242,95,242Am
210,1.6961727977765653,242,95,242Am
211,1.702443962862449,242,95,242Am
212,1.7087086389596002,242,95,242Am
214,1.7149668632001813,242,95,242Am
215,1.7212186723314356,242,95,242Am
215,1.72746410272145,242,95,242Am
217,1.7337031903648055,242,95,242Am
217,1.7399359708881066,242,95,242Am
219,1.7461624795554254,242,95,242Am
219,1.7523827512736159,242,95,242Am
220,1.7585968205975508,242,95,242Am
222,1.7648047217352407,242,95,242Am
223,1.7710064885528567,242,95,242Am
223,1.7772021545796772,242,95,242Am
225,1.7833917530129142,242,95,242Am
225,1.789575316722467,242,95,242Am
226,1.795752878255587,242,95,242Am
228,1.8019244698414483,242,95,242Am
228,1.8080901233956297,242,95,242Am
230,1.8142498705245373,242,95,242Am
231,1.8204037425297153,242,95,242Am
232,1.8265517704121017,242,95,242Am
232,1.8326939848761936,242,95,242Am
234,1.838830416334145,242,95,242Am
235,1.8449610949097834,242,95,242Am
236,1.8510860504425601,242,95,242Am
237,1.8572053124914265,242,95,242Am
237,1.8633189103386452,242,95,242Am
238,1.8694268729935306,242,95,242Am
239,1.8755292291961216,242,95,242Am
240,1.881626007420793,242,95,242Am
241,1.8877172358798033,242,95,242Am
242,1.893802942526785,242,95,242Am
243,1.8998831550601594,242,95,242Am
245,1.9059579009265124,242,95,242Am
246,1.9120272073238955,242,95,242Am
247,1.9180911012050794,242,95,242Am
248,1.9241496092807546,242,95,242Am
249,1.930202758022663,242,95,242Am
249,1.9362505736666937,242,95,242Am
250,1.9422930822159155,242,95,242Am
252,1.9483303094435662,242,95,242Am
253,1.9543622808959766,242,95,242Am
254,1.960389021895472,242,95,242Am
254,1.9664105575431983,242,95,242Am
256,1.9724269127219227,242,95,242Am
257,1.9784381120987669,242,95,242Am
257,1.9844441801279193,242,95,242Am
259,1.9904451410532862,242,95,242Am
259,1.996441018911099,242,95,242Am
260,2.0024318375324994,242,95,242Am
261,2.008417620546051,242,95,242Am
263,2.0143983913802406,242,95,242Am
264,2.020374173265916,242,95,242Am
265,2.026344989238705,242,95,242Am
266,2.0323108621413812,242,95,242Am
267,2.0382718146261984,242,95,242Am
268,2.044227869157182,242,95,242Am
269,2.0501790480123985,242,95,242Am
270,2.0561253732861737,242,95,242Am
271,2.0620668668912843,242,95,242Am
272,2.068003550561113,242,95,242Am
273,2.073935445851773,242,95,242Am
274,2.0798625741441965,242,95,242Am
275,2.0857849566461937,242,95,242Am
276,2.091702614394474,242,95,242Am
277,2.097615568256649,242,95,242Am
277,2.103523838933188,242,95,242Am
278,2.109427446959362,242,95,242Am
280,2.1153264127071445,242,95,242Am
280,2.1212207563870824,242,95,242Am
281,2.127110498050159,242,95,242Am
283,2.1329956575896047,242,95,242Am
283,2.1388762547426894,242,95,242Am
285,2.144752309092501,242,95,242Am
286,2.150623840069673,242,95,242Am
287,2.1564908669541065,242,95,242Am
288,2.1623534088766667,242,95,242Am
288,2.1682114848208314,242,95,242Am
290,2.174065113624354,242,95,242Am
291,2.1799143139808614,242,95,242Am
292,2.1857591044414577,242,95,242Am
293,2.1915995034162954,242,95,242Am
294,2.1974355291761176,242,95,242Am
295,2.203267199853793,242,95,242Am
296,2.2090945334458127,242,95,242Am
296,2.21491754781377,242,95,242Am
298,2.220736260685837,242,95,242Am
298,2.226550689658189,242,95,242Am
300,2.2323608521964347,242,95,242Am
301,2.238166765637012,242,95,242Am
301,2.243968447188574,242,95,242Am
302,2.249765913933349,242,95,242Am
304,2.255559182828483,242,95,242Am
305,2.261348270707355,242,95,242Am
306,2.267133194280902,242,95,242Am
307,2.2729139701388914,242,95,242Am
308,2.278690614751198,242,95,242Am
309,2.2844631444690515,242,95,242Am
309,2.2902315755262785,242,95,242Am
311,2.2959959240405174,242,95,242Am
312,2.301756206014423,242,95,242Am
312,2.3075124373368494,242,95,242Am
313,2.313264633784023,242,95,242Am
314,2.3190128110206967,242,95,242Am
316,2.3247569846012874,242,95,242Am
317,2.3304971699710006,242,95,242Am
317,2.336233382466937,242,95,242Am
318,2.3419656373191944,242,95,242Am
319,2.347693949651935,242,95,242Am
320,2.3534183344844606,242,95,242Am
321,2.359138806732261,242,95,242Am
323,2.3648553812080517,242,95,242Am
323,2.3705680726227936,242,95,242Am
325,2.3762768955867126,242,95,242Am
325,2.381981864610289,242,95,242Am
326,2.3876829941052486,242,95,242Am
328,2.393380298385528,242,95,242Am
329,2.39907379166824,242,95,242Am
330,2.404763488074618,242,95,242Am
331,2.4104494016309514,242,95,242Am
331,2.416131546269508,242,95,242Am
332,2.4218099358294487,242,95,242Am
334,2.427484584057725,242,95,242Am
334,2.433155504609964,242,95,242Am
336,2.438822711051353,242,95,242Am
336,2.444486216857501,242,95,242Am
337,2.4501460354152957,242,95,242Am
