Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.05480570117165641,244,94,244Pu
2,0.12282632206340154,244,94,244Pu
3,0.19692495052241363,244,94,244Pu
4,0.2752689057726087,244,94,244Pu
5,0.3569290651748564,244,94,244Pu
6,0.44133305254918176,244,94,244Pu
7,0.5280893044837934,244,94,244Pu
7,0.6169114991991389,244,94,244Pu
9,0.7075803303162632,244,94,244Pu
10,0.7999219675275027,244,94,244Pu
11,0.8937949438154738,244,94,244Pu
12,0.9890816920642564,244,94,244Pu
12,1.0856828261743776,244,94,244Pu
13,1.18351313100815,244,94,244Pu
15,1.2824986634040285,244,94,244Pu
16,1.3825746020094067,244,94,244Pu
17,1.4836836173049726,244,94,244Pu
17,1.5857746124795482,244,94,244Pu
18,1.6888017346824789,244,94,244Pu
20,1.7927235873032696,244,94,244Pu
21,1.897502594322594,244,94,244Pu
21,2.0031044814822003,244,94,244Pu
22,2.1094978484356157,244,94,244Pu
23,2.216653812638865,244,94,244Pu
25,2.3245457104466873,244,94,244Pu
26,2.4331488442914457,244,94,244Pu
27,2.5424402673316235,244,94,244Pu
28,2.652398598827713,244,94,244Pu
29,2.763003864915142,244,94,244Pu
29,2.8742373605213793,244,94,244Pu
30,2.9860815290051756,244,94,244Pu
32,3.0985198567427474,244,94,244Pu
33,3.21153678039379,244,94,244Pu
34,3.3251176049826543,244,94,244Pu
35,3.439248431251185,244,94,244Pu
36,3.553916090998021,244,94,244Pu
37,3.669108089328141,244,94,244Pu
37,3.7848125529067507,244,94,244Pu
38,3.9010181834511832,244,94,244Pu
39,4.017714215809438,244,94,244Pu
40,4.134890380069354,244,94,244Pu
42,4.252536867221747,244,94,244Pu
42,4.370644297967221,244,94,244Pu
44,4.489203694312297,244,94,244Pu
45,4.608206453647435,244,94,244Pu
46,4.727644325039746,244,94,244Pu
47,4.847509387506904,244,94,244Pu
47,4.967794030068047,244,94,244Pu
48,5.088490933392214,244,94,244Pu
49,5.209593052886291,244,94,244Pu
50,5.3310936030830245,244,94,244Pu
52,5.45298604320551,244,94,244Pu
