Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.06268241868438479,247,96,247Cm
2,0.10222914654202381,247,96,247Cm
3,0.13609360798595466,247,96,247Cm
4,0.16672615100147758,247,96,247Cm
5,0.19515989871682393,247,96,247Cm
6,0.22195591182084992,247,96,247Cm
7,0.247462453372994,247,96,247Cm
7,0.2719147167715092,247,96,247Cm
9,0.29548110177262044,247,96,247Cm
10,0.3182874927897261,247,96,247Cm
11,0.3404311624580126,247,96,247Cm
12,0.36198927724297786,247,96,247Cm
12,0.38302437688704394,247,96,247Cm
13,0.40358805452123775,247,96,247Cm
15,0.42372351463142555,247,96,247Cm
16,0.44346740300071336,247,96,247Cm
17,0.4628511483342032,247,96,247Cm
17,0.48190196689134557,247,96,247Cm
18,0.5006436287594909,247,96,247Cm
20,0.5190970518659976,247,96,247Cm
21,0.537280769112641,247,96,247Cm
21,0.5552113004704685,247,96,247Cm
22,0.572903452802084,247,96,247Cm
23,0.5903705639733462,247,96,247Cm
25,0.607624703490409,247,96,247Cm
26,0.6246768388295686,247,96,247Cm
27,0.6415369744166992,247,96,247Cm
28,0.658214268597457,247,96,247Cm
29,0.6747171327432699,247,96,247Cm
29,0.6910533157417599,247,96,247Cm
30,0.7072299764411247,247,96,247Cm
32,0.7232537460980971,247,96,247Cm
33,0.7391307824773725,247,96,247Cm
34,0.7548668169371179,247,96,247Cm
35,0.7704671955889488,247,96,247Cm
36,0.7859369154256562,247,96,247Cm
37,0.8012806561542765,247,96,247Cm
37,0.8165028083470305,247,96,247Cm
38,0.8316074984214934,247,96,247Cm
39,0.8465986108790884,247,96,247Cm
40,0.8614798081636756,247,96,247Cm
42,0.876254548446618,247,96,247Cm
42,0.8909261015989438,247,96,247Cm
44,0.9054975635731599,247,96,247Cm
45,0.9199718693855331,247,96,247Cm
46,0.9343518048630403,247,96,247Cm
47,0.9486400172967742,247,96,247Cm
47,0.9628390251246545,247,96,247Cm
48,0.9769512267502296,247,96,247Cm
49,0.9909789085906654,247,96,247Cm
50,1.0049242524353341,247,96,247Cm
52,1.0187893421863883,247,96,247Cm
52,1.032576170044088,247,96,247Cm
54,1.0462866421922117,247,96,247Cm
55,1.0599225840324389,247,96,247Cm
56,1.0734857450110358,247,96,247Cm
57,1.0869778030762776,247,96,247Cm
58,1.1004003688008428,247,96,247Cm
59,1.1137549891996874,247,96,247Cm
60,1.1270431512706585,247,96,247Cm
61,1.1402662852822727,247,96,247Cm
62,1.1534257678305377,247,96,247Cm
63,1.1665229246845172,247,96,247Cm
63,1.179559033438337,247,96,247Cm
64,1.1925353259856226,247,96,247Cm
66,1.2054529908307998,247,96,247Cm
67,1.2183131752503151,247,96,247Cm
68,1.2311169873156127,247,96,247Cm
68,1.2438654977886154,247,96,247Cm
70,1.2565597418994656,247,96,247Cm
70,1.2692007210154164,247,96,247Cm
72,1.2817894042089824,247,96,247Cm
73,1.294326729732731,247,96,247Cm
74,1.3068136064074807,247,96,247Cm
75,1.3192509149300908,247,96,247Cm
76,1.3316395091065052,247,96,247Cm
77,1.3439802170152475,247,96,247Cm
77,1.3562738421061473,247,96,247Cm
78,1.3685211642386748,247,96,247Cm
79,1.3807229406639414,247,96,247Cm
81,1.392879906954066,247,96,247Cm
82,1.40499277788236,247,96,247Cm
83,1.4170622482574986,247,96,247Cm
83,1.4290889937145919,247,96,247Cm
84,1.441073671465894,247,96,247Cm
85,1.4530169210136368,247,96,247Cm
86,1.464919364827333,247,96,247Cm
88,1.4767816089876948,247,96,247Cm
89,1.488604243799185,247,96,247Cm
90,1.500387844373053,247,96,247Cm
91,1.5121329711825953,247,96,247Cm
92,1.523840170592257,247,96,247Cm
92,1.5355099753620658,247,96,247Cm
93,1.5471429051288166,247,96,247Cm
95,1.5587394668653,247,96,247Cm
96,1.5703001553188023,247,96,247Cm
96,1.581825453430026,247,96,247Cm
98,1.5933158327334798,247,96,247Cm
99,1.6047717537403563,247,96,247Cm
100,1.616193666304826,247,96,247Cm
101,1.6275820099746132,247,96,247Cm
101,1.6389372143267005,247,96,247Cm
