Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.01296601076935116,249,97,249Bk
2,0.028514611879619792,249,97,249Bk
3,0.045214461813940406,249,97,249Bk
4,0.0627088088317269,249,97,249Bk
5,0.08081872801580638,249,97,249Bk
6,0.0994348109765544,249,97,249Bk
7,0.11848264049758557,249,97,249Bk
7,0.13790805646226129,249,97,249Bk
9,0.1576697407931104,249,97,249Bk
10,0.17773505690914948,249,97,249Bk
11,0.19807752601775538,249,97,249Bk
12,0.21867520340349772,249,97,249Bk
12,0.2395095843566319,249,97,249Bk
13,0.2605648389747744,249,97,249Bk
15,0.2818272602672515,249,97,249Bk
16,0.3032848556928089,249,97,249Bk
17,0.3249270381308456,249,97,249Bk
17,0.34674438760324905,249,97,249Bk
18,0.36872846448593427,249,97,249Bk
20,0.3908716609387908,249,97,249Bk
21,0.41316708120095086,249,97,249Bk
21,0.435608444026784,249,97,249Bk
22,0.4581900023410748,249,97,249Bk
23,0.4809064764535653,249,97,249Bk
25,0.5037529980718767,249,97,249Bk
26,0.5267250630025642,249,97,249Bk
27,0.5498184909081887,249,97,249Bk
28,0.5730293908442531,249,97,249Bk
29,0.5963541315682246,249,97,249Bk
29,0.6197893158174054,249,97,249Bk
30,0.6433317579100114,249,97,249Bk
32,0.666978464146356,249,97,249Bk
33,0.6907266155832261,249,97,249Bk
34,0.7145735528306316,249,97,249Bk
35,0.7385167625807947,249,97,249Bk
36,0.7625538656280073,249,97,249Bk
37,0.7866826061774004,249,97,249Bk
37,0.8109008422727642,249,97,249Bk
38,0.8352065371998444,249,97,249Bk
39,0.8595977517431678,249,97,249Bk
40,0.8840726371923877,249,97,249Bk
42,0.9086294290090298,249,97,249Bk
42,0.9332664410770074,249,97,249Bk
44,0.9579820604707405,249,97,249Bk
45,0.982774742683539,249,97,249Bk
46,1.0076430072664233,249,97,249Bk
47,1.0325854338338896,249,97,249Bk
47,1.0576006583985855,249,97,249Bk
48,1.0826873700015134,249,97,249Bk
49,1.107844307608363,249,97,249Bk
50,1.1330702572460583,249,97,249Bk
52,1.1583640493565623,249,97,249Bk
52,1.1837245563475904,249,97,249Bk
54,1.2091506903221412,249,97,249Bk
55,1.2346414009706905,249,97,249Bk
56,1.2601956736116846,249,97,249Bk
57,1.2858125273673866,249,97,249Bk
58,1.3114910134635496,249,97,249Bk
59,1.337230213642492,249,97,249Bk
60,1.3630292386802327,249,97,249Bk
61,1.3888872269992287,249,97,249Bk
62,1.4148033433690783,249,97,249Bk
63,1.4407767776883038,249,97,249Bk
63,1.4668067438409176,249,97,249Bk
64,1.4928924786220978,249,97,249Bk
66,1.519033240727799,249,97,249Bk
67,1.5452283098035693,249,97,249Bk
68,1.5714769855482773,249,97,249Bk
68,1.597778586868819,249,97,249Bk
70,1.6241324510822144,249,97,249Bk
70,1.6505379331617578,249,97,249Bk
72,1.6769944050242735,249,97,249Bk
73,1.7035012548556243,249,97,249Bk
74,1.7300578864719616,249,97,249Bk
75,1.7566637187143612,249,97,249Bk
76,1.783318184874665,249,97,249Bk
77,1.8100207321505466,249,97,249Bk
77,1.836770821127937,249,97,249Bk
78,1.86356792528911,249,97,249Bk
79,1.8904115305448548,249,97,249Bk
81,1.917301134789251,249,97,249Bk
82,1.9442362474757044,249,97,249Bk
83,1.9712163892129664,249,97,249Bk
83,1.998241091379994,249,97,249Bk
84,2.0253098957585136,249,97,249Bk
85,2.0524223541823132,249,97,249Bk
86,2.079578028202301,249,97,249Bk
88,2.106776488766451,249,97,249Bk
89,2.134017315913804,249,97,249Bk
90,2.161300098481769,249,97,249Bk
91,2.1886244338259977,249,97,249Bk
92,2.215989927552158,249,97,249Bk
92,2.2433961932589814,249,97,249Bk
93,2.2708428522919992,249,97,249Bk
95,2.298329533507391,249,97,249Bk
96,2.3258558730454557,249,97,249Bk
96,2.3534215141132164,249,97,249Bk
98,2.3810261067756593,249,97,249Bk
99,2.4086693077552415,249,97,249Bk
100,2.436350780239203,249,97,249Bk
101,2.4640701936943397,249,97,249Bk
101,2.4918272236888726,249,97,249Bk
102,2.5196215517210447,249,97,249Bk
103,2.547452865054192,249,97,249Bk
105,2.5753208565578887,249,97,249Bk
106,2.6032252245549987,249,97,249Bk
107,2.631165672674266,249,97,249Bk
108,2.659141909708252,249,97,249Bk
109,2.6871536494763384,249,97,249Bk
109,2.7152006106926123,249,97,249Bk
111,2.7432825168383816,249,97,249Bk
111,2.7713990960391115,249,97,249Bk
112,2.799550080945657,249,97,249Bk
114,2.827735208619513,249,97,249Bk
115,2.8559542204219603,249,97,249Bk
116,2.8842068619069723,249,97,249Bk
117,2.9124928827176584,249,97,249Bk
118,2.9408120364861317,249,97,249Bk
118,2.969164080736668,249,97,249Bk
119,2.997548776792,249,97,249Bk
121,3.0259658896826545,249,97,249Bk
122,3.0544151880591293,249,97,249Bk
123,3.082896444106927,249,97,249Bk
124,3.1114094334642104,249,97,249Bk
124,3.1399539351420205,249,97,249Bk
126,3.168529731447009,249,97,249Bk
126,3.1971366079064696,249,97,249Bk
127,3.225774353195732,249,97,249Bk
128,3.2544427590676785,249,97,249Bk
130,3.283141620284414,249,97,249Bk
131,3.3118707345509475,249,97,249Bk
132,3.340629902450853,249,97,249Bk
133,3.369418927383781,249,97,249Bk
134,3.398237615504816,249,97,249Bk
135,3.427085775665573,249,97,249Bk
135,3.4559632193569705,249,97,249Bk
136,3.4848697606536407,249,97,249Bk
138,3.5138052161599176,249,97,249Bk
138,3.5427694049573057,249,97,249Bk
140,3.5717621485534523,249,97,249Bk
140,3.6007832708324807,249,97,249Bk
