Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.08032557367722924,250,98,250Cf
2,0.1549803013281613,250,98,250Cf
3,0.22763448585718057,250,98,250Cf
4,0.2990192624864697,250,98,250Cf
5,0.3694747302922265,250,98,250Cf
6,0.43919837227166664,250,98,250Cf
7,0.5083192532408852,250,98,250Cf
7,0.5769282842509562,250,98,250Cf
9,0.6450929234527484,250,98,250Cf
10,0.7128651861724937,250,98,250Cf
11,0.7802863830570818,250,98,250Cf
12,0.8473901020740122,250,98,250Cf
12,0.9142041787302715,250,98,250Cf
13,0.9807520498357897,250,98,250Cf
15,1.0470537142411178,250,98,250Cf
16,1.1131264333976243,250,98,250Cf
17,1.1789852541367947,250,98,250Cf
17,1.2446434066329348,250,98,250Cf
18,1.3101126126548277,250,98,250Cf
20,1.3754033280024727,250,98,250Cf
21,1.4405249357789116,250,98,250Cf
21,1.5054859023400744,250,98,250Cf
22,1.5702939045025575,250,98,250Cf
23,1.6349559343285578,250,98,250Cf
25,1.6994783862117866,250,98,250Cf
26,1.7638671298434354,250,98,250Cf
27,1.8281275718034469,250,98,250Cf
28,1.8922647079064794,250,98,250Cf
29,1.956283167971403,250,98,250Cf
29,2.020187254334669,250,98,250Cf
30,2.083980975161404,250,98,250Cf
32,2.147668073402249,250,98,250Cf
33,2.2112520520835037,250,98,250Cf
34,2.2747361964920114,250,98,250Cf
35,2.338123593716243,250,98,250Cf
36,2.401417149925237,250,98,250Cf
37,2.464619605702867,250,98,250Cf
37,2.527733549702967,250,98,250Cf
38,2.5907614308485782,250,98,250Cf
39,2.6537055692638756,250,98,250Cf
40,2.716568166098867,250,98,250Cf
42,2.779351312383268,250,98,250Cf
42,2.8420569970263307,250,98,250Cf
44,2.9046871140629715,250,98,250Cf
45,2.9672434692326957,250,98,250Cf
46,3.0297277859662572,250,98,250Cf
47,3.0921417108450795,250,98,250Cf
47,3.154486818590074,250,98,250Cf
48,3.2167646166294284,250,98,250Cf
49,3.278976549288744,250,98,250Cf
50,3.341124001641665,250,98,250Cf
